,mut_E17.5_f4,mut_E17.5_f5
g00001,33,40
g00002,19,19
g00003,0,0
g00004,8,3
g00005,141,148
g00006,429,615
g00007,518,779
g00008,43,61
g00009,232,255
g00010,68,97
g00011,588,687
g00012,7,5
g00013,21,16
g00014,1443,1643
g00015,0,0
g00016,2,4
g00017,700,973
g00018,0,0
g00019,326,346
g00020,11,472
g00021,13,55
g00022,5,4
g00023,75,109
g00024,601,629
g00025,111,121
g00026,293,357
g00027,6,1
g00028,8,12
g00029,214,194
g00030,1,5
g00031,1,2
g00032,0,1
g00033,0,0
g00034,393,559
g00035,488,613
g00036,1381,1613
g00037,14,34
g00038,940,1036
g00039,6,13
g00040,0,1
g00041,1041,1605
g00042,111,112
g00043,2,0
g00044,1461,1561
g00045,1841,2300
g00046,144,259
g00047,0,0
g00048,2,2
g00049,90,79
g00050,53,52
g00051,0,1
g00052,19,16
g00053,200,261
g00054,47,48
g00055,2,1
g00056,5,8
g00057,2490,2841
g00058,159,195
g00059,193,212
g00060,288,368
g00061,263,325
g00062,0,0
g00063,289,430
g00064,25,23
g00065,445,355
g00066,9,1
g00067,351,417
g00068,121,171
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,531,539
g00076,84,109
g00077,2,0
g00078,2,3
g00079,16,19
g00080,0,0
g00081,0,1
g00082,1393,1813
g00083,0,1
g00084,260,436
g00085,21,44
g00086,79,85
g00087,14,27
g00088,16,19
g00089,0,0
g00090,0,1
g00091,0,0
g00092,1,0
g00093,20,12
g00094,14,16
g00095,0,0
g00096,0,0
g00097,1,0
g00098,154,143
g00099,0,0
g00100,402,491
g00101,717,843
g00102,63,98
g00103,1306,1438
g00104,93,83
g00105,292,252
g00106,445,565
g00107,37,41
g00108,2,1
g00109,0,0
g00110,0,0
g00111,0,0
g00112,0,0
g00113,0,0
g00114,0,0
g00115,1751,2005
g00116,101,99
g00117,0,1
g00118,0,0
g00119,0,0
g00120,0,0
g00121,1,0
g00122,3,4
g00123,0,1
g00124,0,0
g00125,332,467
g00126,6,3
g00127,182,163
g00128,324,425
g00129,395,486
g00130,0,0
g00131,10,13
g00132,7627,7913
g00133,2,3
g00134,266,288
g00135,441,525
g00136,189,207
g00137,109,155
g00138,0,0
g00139,0,5
g00140,0,0
g00141,2,1
g00142,0,0
g00143,183,212
g00144,2572,2814
g00145,347,460
g00146,770,709
g00147,1685,2199
g00148,15,24
g00149,169,150
g00150,892,1001
g00151,118,155
g00152,213,262
g00153,350,328
g00154,319,361
g00155,118,149
g00156,544,560
g00157,19,31
g00158,519,1033
g00159,996,1084
g00160,0,4
g00161,14,13
g00162,2046,2337
g00163,17,11
g00164,3,2
g00165,309,357
g00166,802,1160
g00167,374,473
g00168,265,319
g00169,13,12
g00170,36,30
g00171,160,156
g00172,12,14
g00173,70,69
g00174,56,97
g00175,120,132
g00176,372,555
g00177,0,0
g00178,0,0
g00179,528,645
g00180,947,1125
g00181,541,692
g00182,158,173
g00183,135,143
g00184,38,45
g00185,4,3
g00186,0,0
g00187,435,628
g00188,33,43
g00189,198,237
g00190,473,437
g00191,370,474
g00192,14,11
g00193,947,1136
g00194,28,38
g00195,4,6
g00196,0,0
g00197,0,0
g00198,4433,4730
g00199,19,25
g00200,64,106
g00201,584,616
g00202,280,324
g00203,710,724
g00204,25,27
g00205,49,33
g00206,0,2
g00207,91,66
g00208,74,90
g00209,166,170
g00210,0,0
g00211,5,2
g00212,59,40
g00213,13,10
