,wt_E17.5_f5,wt_E17.5_f4
g00193,1067,1015
g00194,41,46
g00195,5,8
g00196,0,0
g00197,0,0
g00198,4113,4366
g00199,21,16
g00200,120,110
g00201,557,525
g00202,268,262
g00203,561,585
g00204,21,23
g00205,38,97
g00206,1,3
g00207,81,75
g00208,63,71
g00209,159,173
g00210,0,0
g00211,3,11
g00212,52,83
g00213,10,16
g00214,372,333
g00215,6,3
g00216,495,450
g00217,373,402
g00218,297,311
g00219,0,1
g00220,543,595
g00221,38,16
g00222,22,23
g00223,103,77
g00224,1,0
g00225,1601,1523
g00226,16,12
g00227,59,65
g00228,354,287
g00229,196,211
g00230,529,462
g00231,145,114
g00232,88,113
g00233,345,324
g00234,17,15
g00235,208885,255812
g00236,18867,21984
g00237,574,468
g00238,2,4
g00239,264,343
g00240,0,0
g00241,0,0
g00242,29,27
g00243,2,1
g00244,1282,1183
g00245,1,0
g00246,283,461
g00247,5,5
g00248,925,944
g00249,196,218
g00250,2,0
g00251,1785,1682
g00252,11,22
g00253,0,0
g00254,570,452
g00255,1166,1379
g00256,759,744
g00257,273,275
g00258,589,566
g00259,121,120
g00260,209,181
g00261,8,18
g00262,213,271
g00263,1,1
g00264,189,190
g00265,251,224
g00266,146,134
g00267,678,711
g00268,0,2
g00269,509,454
g00270,621,638
g00271,1,8
g00272,404,373
g00273,676,762
g00274,1130,1038
g00275,5625,5398
g00276,107,91
g00277,1015,928
g00278,475,401
g00279,571,566
g00280,579,465
g00281,249,217
g00282,2,6
g00283,233,226
g00284,3,3
g00285,1,1
g00286,0,0
g00287,66,42
g00288,19,25
g00289,0,0
g00290,21,21
g00291,158,146
g00292,109,82
g00293,187,171
g00294,607,585
g00295,258,265
g00296,617,492
g00297,66,78
g00298,14,10
g00299,2343,2230
g00300,19,27
g00301,2610,2445
g00302,2296,2484
g00303,235,231
g00304,312,288
g00305,403,360
g00306,10,14
g00307,414,449
g00308,409,396
g00309,16,19
g00310,6,2
g00311,854,908
g00312,398,391
g00313,757,793
g00314,173,180
g00315,0,0
g00316,131,127
g00317,46,28
g00318,449,406
g00319,3,10
g00320,566,681
g00321,38,43
g00322,308,342
g00323,1118,1128
g00324,9,10
g00325,1,1
g00326,1043,1186
g00327,26,61
g00328,629,612
g00329,18,18
g00330,234,233
g00331,175,195
g00332,2,2
g00333,931,876
g00334,284,294
g00335,858,886
g00336,916,989
g00337,7,3
g00338,0,0
g00339,17,37
g00340,0,0
g00341,3,8
g00342,12,4
g00343,0,1
g00344,603,662
g00345,2635,2572
g00346,41,27
g00347,1122,1131
g00348,209,187
g00349,76,69
g00350,1263,1222
g00351,4576,4641
g00352,4,6
g00353,14,11
g00354,793,1090
g00355,401,498
g00356,1,0
g00357,0,1
g00358,189,200
g00359,7,4
g00360,3,5
g00361,193,193
g00362,1427,1460
g00363,187,187
g00364,17,11
g00365,73,86
g00366,128,145
g00367,381,339
g00368,26,24
g00369,2,1
g00370,0,0
g00371,0,0
g00372,1,0
g00373,0,0
g00374,0,0
g00375,4,2
g00376,1119,1073
g00377,1015,928
g00378,0,1
g00379,0,0
g00380,1396,1309
g00381,46,28
g00382,4,16
g00383,392,371
g00384,701,678
g00385,449,423
g00386,70,62
g00387,6618,7516
g00388,1188,1103
g00389,0,5
g00390,25,41
g00391,1,0
g00392,158,170
g00393,0,0
g00394,0,1
g00395,248,196
g00396,6893,6047
g00397,924,860
g00398,10245,14043
g00399,5,1
g00400,0,0
g00401,0,0
g00402,0,2
g00403,328,297
g00404,85,72
g00405,8,14
g00406,340,317
g00407,1,2
g00408,573,537
g00409,0,0
g00410,622,611
g00411,457,508
g00412,3451,3174
g00413,0,0
g00414,1,0
g00415,0,1
g00416,0,1
g00417,2,0
g00418,1442,1882
g00419,4,3
g00420,1,1
g00421,1,2
g00422,0,0
g00423,0,0
g00424,1993,1874
g00425,1,4
g00426,1974,2018
g00427,513,463
g00428,952,933
g00429,20,15
g00430,52,72
g00431,788,715
g00432,2,1
g00433,12,11
g00434,1003,932
g00435,767,672
g00436,43,64
g00437,293,279
g00438,202,179
g00439,380,300
g00440,56,44
g00441,657,596
g00442,90,63
g00443,146,123
g00444,342,318
g00445,173,168
g00446,1,3
g00447,1,0
g00448,1,1
g00449,0,0
g00450,1,1
g00451,2,1
g00452,40,30
g00453,10,10
g00454,488,520
g00455,726,753
g00456,256,250
g00457,260,217
g00458,627,551
g00459,391,443
g00460,249,273
g00461,513,462
g00462,3691,2759
g00463,1,3
g00464,445,390
g00465,10,11
g00466,1,1
g00467,698,673
g00468,8267,10051
g00469,2,3
g00470,607,725
g00471,574,480
g00472,199,159
g00473,17,15
g00474,436,560
g00475,25,24
g00476,1406,1737
g00477,201,210
g00478,356,326
g00479,268,305
g00480,0,0
g00481,0,0
g00482,922,1044
g00483,101,87
g00484,3,4
g00485,42,23
g00486,835,705
g00487,2,0
g00488,632,739
g00489,321,282
g00490,157,165
g00491,3,8
g00492,10,12
g00493,56,53
g00494,173,192
g00495,0,1
g00496,225,250
g00497,42,28
g00498,347,321
g00499,14,15
g00500,1502,1552
g00501,1,0
g00502,774,768
g00503,3,7
g00504,3411,3843
g00505,215,164
g00506,346,345
g00507,16,15
g00508,11,10
g00509,8,12
g00510,805,886
g00511,4,2
g00512,0,1
g00513,1194,1168
g00514,12,10
g00515,1,0
g00516,1,0
g00517,0,2
g00518,55,66
g00519,418,331
g00520,6,14
g00521,0,0
g00522,4676,4693
g00523,39,29
g00524,40,25
g00525,1,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,0,1
g00531,0,0
g00532,0,0
g00533,0,0
g00534,12,12
g00535,14,8
g00536,1,1
g00537,0,3
g00538,22,14
g00539,9,17
g00540,2214,2146
g00541,2034,2200
g00542,2,6
g00543,10,5
g00544,0,0
g00545,2,2
g00546,1840,1752
g00547,56,43
g00548,108,81
g00549,3,0
g00550,25,16
g00551,0,0
g00552,6076,3780
g00553,3,4
g00554,2,0
g00555,10,11
g00556,2,0
g00557,1,0
g00558,1671,1567
g00559,148,124
g00560,305,279
g00561,55,53
g00562,586,577
g00563,0,0
g00564,0,0
g00565,0,0
g00566,0,3
g00567,1,0
g00568,276,364
g00569,307,296
g00570,1144,1142
g00571,42,122
g00572,1347,1239
g00573,70,63
g00574,2,3
g00575,112,99
g00576,2,1
g00577,0,2
g00578,14,6
g00579,497,436
g00580,584,546
g00581,91,107
g00582,4,5
g00583,38,51
g00584,951,989
g00585,861,816
g00586,322,274
g00587,322,274
g00588,395,342
g00589,325,283
g00590,386,327
g00591,349,300
g00592,340,279
g00593,62,43
g00594,393,338
g00595,217,183
g00596,4101,3771
g00597,3273,2990
g00598,2,0
g00599,0,1
g00600,5,6
g00601,3,4
g00602,926,868
g00603,3,0
g00604,1,0
g00605,511,503
g00606,0,0
g00607,1226,1301
g00608,101,71
g00609,1,1
g00610,15,19
g00611,3,0
g00612,395,402
g00613,660,566
g00614,1,0
g00615,33769,35743
g00616,38,44
g00617,0,0
g00618,5,6
g00619,1571,1438
g00620,10,6
g00621,206,242
g00622,269,241
g00623,5,2
g00624,142,133
g00625,0,2
g00626,47,58
g00627,200,258
g00628,44,36
g00629,536,527
g00630,0,0
g00631,211,234
g00632,145,167
g00633,95,119
g00634,267,251
g00635,2907,2358
g00636,629,665
g00637,1186,1109
g00638,0,0
g00639,1,0
g00640,0,0
g00641,0,0
g00642,1,0
g00643,0,1
g00644,0,0
g00645,0,0
g00646,344,409
g00647,2,2
g00648,1552,1909
g00649,249,291
g00650,0,2
g00651,10,11
g00652,95,135
g00653,640,583
g00654,50,49
g00655,320,275
g00656,106,101
g00657,1,1
g00658,168,184
g00659,0,1
g00660,322,340
g00661,8,5
g00662,291,279
g00663,271,283
g00664,359,311
g00665,437,427
g00666,359,253
g00667,5134,5022
g00668,4175,4206
g00669,213,210
g00670,1152,1164
g00671,303,374
g00672,370,361
g00673,671,564
g00674,501,482
g00675,390,408
g00676,135,117
g00677,1,1
g00678,1,0
g00679,1,0
g00680,0,0
g00681,2,0
g00682,1,2
g00683,0,1
g00684,193,182
g00685,182,238
g00686,0,0
g00687,0,0
g00688,0,0
g00689,0,0
g00690,1,1
g00691,4,2
g00692,1,0
g00693,0,0
g00694,0,0
g00695,0,0
g00696,131,133
g00697,1034,948
g00698,65,58
g00699,1144,1440
g00700,12,17
g00701,0,4
g00702,0,0
g00703,0,0
g00704,0,2
g00705,0,0
g00706,3,1
g00707,119,109
g00708,10,17
g00709,686,709
g00710,963,974
g00711,0,0
g00712,226,211
g00713,7,8
g00714,685,608
g00715,1,2
g00716,585,630
g00717,749,739
g00718,84,89
g00719,495,454
g00720,999,952
g00721,3571,3179
g00722,3471,3071
g00723,7,5
g00724,815,712
g00725,4,4
g00726,692,566
g00727,781,532
g00728,30,40
g00729,1018,959
g00730,624,612
g00731,467,388
g00732,928,920
g00733,2,6
g00734,40,48
g00735,950,1124
g00736,1,1
g00737,0,0
g00738,694,623
g00739,512,522
g00740,2264,2229
g00741,11,17
g00742,69,95
g00743,817,852
g00744,344,378
g00745,258,289
g00746,993,1016
g00747,227,231
g00748,184,184
g00749,369,374
g00750,198,169
g00751,1,1
g00752,6,9
g00753,49,33
g00754,2095,1663
g00755,40,19
g00756,206,168
g00757,1,1
g00758,1,1
g00759,141,99
g00760,2,1
g00761,654,602
g00762,615,630
g00763,1,2
g00764,110,93
g00765,13,8
g00766,6,11
g00767,1185,1176
g00768,412,459
g00769,65,75
g00770,80,94
g00771,221,244
g00772,312,303
g00773,0,3
g00774,5,2
g00775,4,3
g00776,8,4
g00777,1167,1165
g00778,3,2
g00779,877,849
g00780,145,156
g00781,714,640
g00782,1,1
g00783,1430,1385
g00784,18,11
g00785,2164,1927
g00786,1064,1105
g00787,653,712
g00788,16,40
g00789,0,1
g00790,0,0
g00791,590,673
g00792,1,2
g00793,0,2
g00794,0,2
g00795,673,702
g00796,1190,1219
g00797,346,380
g00798,17,11
g00799,1,1
g00800,0,1
g00801,0,0
g00802,0,1
g00803,0,0
g00804,1,1
g00805,1,1
g00806,1260,1377
g00807,33,24
g00808,363,352
g00809,542,459
g00810,260,266
g00811,1377,1319
g00812,20,16
g00813,4,5
g00814,4,8
g00815,365,454
g00816,105,86
g00817,2,7
g00818,852,860
g00819,115,118
g00820,4372,4135
g00821,591,381
g00822,693,700
g00823,205,213
g00824,60,44
g00825,0,0
g00826,0,0
g00827,5,11
g00828,245,177
g00829,198,213
g00830,772,786
g00831,608,527
g00832,41,44
g00833,15,13
g00834,16,25
g00835,1,0
g00836,46,65
g00837,850,934
g00838,423,477
g00839,1198,1230
g00840,217,244
g00841,12,8
g00842,0,0
g00843,0,0
g00844,0,2
g00845,4,9
g00846,213,238
g00847,313,328
g00848,2311,2357
g00849,1657,1650
g00850,8,6
g00851,2474,2546
g00852,7,3
g00853,180,245
g00854,48,36
g00855,132,109
g00856,14,15
g00857,722,734
g00858,1,4
g00859,141,137
g00860,125,104
g00861,400,443
g00862,167,195
g00863,764,917
g00864,362,454
g00865,756,692
g00866,0,1
g00867,370,367
g00868,2235,2261
g00869,477,437
g00870,304,300
g00871,380,370
g00872,2,2
g00873,2,0
g00874,2308,2274
g00875,11,3
g00876,575,677
g00877,70,53
g00878,397,389
g00879,61,36
g00880,8,3
g00881,54,57
g00882,245,254
g00883,0,3
g00884,26,29
g00885,627,522
g00886,233,263
g00887,48,56
g00888,170,164
g00889,1566,1504
g00890,488,506
g00891,1576,1647
g00892,469,486
g00893,1466,1389
g00894,1413,1348
g00895,967,798
g00896,8159,8121
g00897,1,1
g00898,478,451
g00899,782,925
g00900,0,0
g00901,277,255
g00902,21,9
g00903,137,145
g00904,0,0
g00905,0,0
g00906,2512,2594
g00907,17,16
g00908,195,191
g00909,452,378
g00910,0,0
g00911,462,563
g00912,2,3
g00913,0,2
g00914,0,2
g00915,45,44
g00916,123,122
g00917,1,1
g00918,0,1
g00919,250,238
g00920,0,0
g00921,607,631
g00922,1,1
g00923,2,3
g00924,51,61
g00925,0,0
g00926,534,533
g00927,1,4
g00928,0,0
g00929,796,809
g00930,1849,1577
g00931,1,0
g00932,0,0
g00933,0,0
g00934,0,0
g00935,0,0
g00936,94,128
g00937,32,48
g00938,0,4
g00939,0,0
g00940,139,178
g00941,163,144
g00942,152,154
g00943,875,840
g00944,294,248
g00945,463,367
g00946,70,53
g00947,2,1
g00948,10,7
g00949,0,0
g00950,52,36
g00951,4,3
g00952,1,0
g00953,0,0
g00954,0,0
g00955,398,365
g00956,0,0
g00957,37,47
g00958,3,2
g00959,0,0
g00960,0,0
g00961,0,0
g00962,474,496
g00963,3600,3536
g00964,38,49
g00965,1534,1644
g00966,11,3
g00967,0,0
g00968,3373,3090
g00969,268,332
g00970,338,322
g00971,705,806
g00972,0,0
g00973,350,387
g00974,1241,1115
g00975,1404,1345
g00976,102,104
g00977,153,174
g00978,515,527
g00979,2,3
g00980,1,0
g00981,1114,1061
g00982,568,584
g00983,83,90
g00984,1447,1363
g00985,54,52
g00986,1261,1324
g00987,4576,5243
g00988,2,2
g00989,4,6
g00990,1340,1454
g00991,3347,2854
g00992,6,4
g00993,6,2
g00994,90,111
g00995,310,310
g00996,2,4
g00997,3,0
g00998,3,2
g00999,1,1
g01000,1679,1923
g01001,295,361
g01002,1,1
g01003,0,0
g01004,76,75
g01005,697,681
g01006,214,191
g01007,962,959
g01008,269,299
g01009,10,11
g01010,422,459
g01011,0,0
g01012,471,498
g01013,0,1
g01014,127,160
g01015,901,994
g01016,2569,2577
g01017,511,531
g01018,1964,1787
g01019,0,3
g01020,13,9
g01021,0,1
g01022,1,0
g01023,397,368
g01024,624,739
g01025,201,147
g01026,189,163
g01027,1455,1345
g01028,907,880
g01029,397,551
g01030,0,0
g01031,916,985
g01032,335,260
g01033,168,173
g01034,284,333
g01035,0,0
g01036,14,11
g01037,19,27
g01038,0,0
g01039,2377,2370
g01040,1,0
g01041,357,380
g01042,6,4
g01043,1,1
g01044,237,218
g01045,60,43
g01046,51,56
g01047,225,177
g01048,524,549
g01049,770,792
g01050,3,1
g01051,16,9
g01052,0,0
g01053,1156,1301
g01054,16,9
g01055,254,257
g01056,2453,2360
g01057,22,23
g01058,12,12
g01059,236,218
g01060,67,64
g01061,405,413
g01062,2,3
g01063,0,0
g01064,939,883
g01065,4,2
g01066,3,6
g01067,0,1
g01068,882,923
g01069,1,0
g01070,297,287
g01071,114,121
g01072,10,10
g01073,2184,1888
g01074,3,2
g01075,18,25
g01076,195,205
g01077,231,243
g01078,0,0
g01079,0,0
g01080,4941,4558
g01081,0,2
g01082,282,283
g01083,3047,2525
g01084,1,0
g01085,0,2
g01086,2,1
g01087,2617,2715
g01088,279,283
g01089,1,0
g01090,736,771
g01091,370,361
g01092,276,236
g01093,41,37
g01094,11,15
g01095,10,11
g01096,13,23
g01097,1,1
g01098,10,12
g01099,1029,909
g01100,98,102
g01101,1233,1191
g01102,263,252
g01103,101,109
g01104,3824,4371
g01105,1,0
g01106,0,0
g01107,0,0
g01108,1,2
g01109,1,0
g01110,1118,1067
g01111,338,337
g01112,114,129
g01113,587,672
g01114,333,308
g01115,4,1
g01116,275,299
g01117,14,9
g01118,405,523
g01119,1,0
g01120,215,219
g01121,127,118
g01122,647,582
g01123,400,499
g01124,4,2
g01125,1,0
g01126,62,155
g01127,71,65
g01128,371,342
g01129,1204,1186
g01130,0,0
g01131,1,0
g01132,0,0
g01133,3,1
g01134,60,87
g01135,963,912
g01136,746,694
g01137,101,103
g01138,251,227
g01139,631,650
g01140,2,1
g01141,0,0
g01142,121,126
g01143,21,31
g01144,762,729
g01145,375,320
g01146,486,363
g01147,354,263
g01148,34,61
g01149,0,2
g01150,542,488
g01151,14,24
g01152,2272,2393
g01153,497,499
g01154,239,307
g01155,0,2
g01156,6,5
g01157,1,4
g01158,29,26
g01159,3,4
g01160,15,25
g01161,436,511
g01162,874,807
g01163,186,204
g01164,0,1
g01165,4,2
g01166,80,99
g01167,10,10
g01168,415,429
g01169,11,12
g01170,1496,1393
g01171,126,157
g01172,33,20
g01173,19,14
g01174,308,285
g01175,0,3
g01176,570,436
g01177,1870,1794
g01178,451,492
g01179,275,296
g01180,259,213
g01181,385,345
g01182,539,481
g01183,266,236
g01184,13,8
g01185,366,345
g01186,311,303
g01187,101,75
g01188,37,22
g01189,1518,1436
g01190,165,139
g01191,330,293
g01192,10,7
g01193,758,858
g01194,84,86
g01195,0,0
g01196,68,38
g01197,17,14
g01198,3,5
g01199,36,40
g01200,0,0
g01201,2,2
g01202,43,78
g01203,5,5
g01204,0,0
g01205,0,0
g01206,340,273
g01207,2,6
g01208,1119,950
g01209,5806,5529
g01210,1167,1090
g01211,1054,1061
g01212,1562,1703
g01213,714,862
g01214,1857,1839
g01215,0,1
g01216,617,716
g01217,301,397
g01218,3,2
g01219,9,10
g01220,677,667
g01221,723,700
g01222,7,7
g01223,1023,1007
g01224,1559,1549
g01225,29,13
g01226,6,14
g01227,13,15
g01228,2,0
g01229,0,0
g01230,116,128
g01231,1,0
g01232,0,0
g01233,0,0
g01234,0,0
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,0,7
g01240,0,0
g01241,0,0
g01242,12,10
g01243,87,173
g01244,46,41
g01245,2,0
g01246,0,0
g01247,1,0
g01248,6,8
g01249,6,10
g01250,0,0
g01251,115,102
g01252,75,53
g01253,13,6
g01254,1,1
g01255,38,28
g01256,10,6
g01257,22,22
g01258,63,61
g01259,2,3
g01260,0,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,0
g01266,0,0
g01267,0,0
g01268,0,0
g01269,35,31
g01270,0,0
g01271,1,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,90,57
g01277,770,664
g01278,11,7
g01279,893,820
g01280,4,7
g01281,71,57
g01282,188,211
g01283,0,2
g01284,315,275
g01285,14,11
g01286,1623,1661
g01287,3,4
g01288,241,250
g01289,32,36
g01290,446,528
g01291,547,573
g01292,35,35
g01293,0,0
g01294,779,805
g01295,0,0
g01296,1,2
g01297,622,621
g01298,9,11
g01299,0,2
g01300,5,7
g01301,6,8
g01302,254,262
g01303,4641,4821
g01304,31,37
g01305,178,209
g01306,190,175
g01307,47,40
g01308,967,867
g01309,432,472
g01310,1846,1884
g01311,0,0
g01312,1299,1255
g01313,333,384
g01314,298,271
g01315,19,12
g01316,708,794
g01317,65,75
g01318,1802,1717
g01319,331,289
g01320,3,0
g01321,946,1021
g01322,47,54
g01323,452,530
g01324,456,459
g01325,0,0
g01326,0,0
g01327,82,101
g01328,372,360
g01329,38,27
g01330,397,466
g01331,225,246
g01332,0,0
g01333,650,582
g01334,394,399
g01335,2264,2541
g01336,26,28
g01337,2,3
g01338,0,1
g01339,48,36
g01340,1232,1154
g01341,0,0
g01342,1603,1754
g01343,266,297
g01344,0,0
g01345,1683,1401
g01346,11,6
g01347,571,572
g01348,730,611
g01349,1330,1558
g01350,0,0
g01351,0,0
g01352,77,57
g01353,71,85
g01354,583,714
g01355,421,406
g01356,371,355
g01357,2096,1969
g01358,198,177
g01359,3,4
g01360,5,8
g01361,409,424
g01362,0,0
g01363,0,0
g01364,106,88
g01365,0,0
g01366,594,545
g01367,3,4
g01368,503,480
g01369,433,526
g01370,1052,1043
g01371,1,1
g01372,1135,1110
g01373,2,1
g01374,2,4
g01375,317,331
g01376,3580,3430
g01377,3,4
g01378,1,1
g01379,3,16
g01380,0,1
g01381,66,77
g01382,426,414
g01383,218,257
g01384,1,0
g01385,2,4
g01386,0,0
g01387,416,355
g01388,60,44
g01389,26,38
g01390,1,0
g01391,2,6
g01392,579,618
g01393,65,87
g01394,9,9
g01395,0,2
g01396,1953,1546
g01397,1099,1147
g01398,517,507
g01399,106,90
g01400,5,3
g01401,393,390
g01402,552,529
g01403,319,365
g01404,202,216
g01405,55,62
g01406,0,0
g01407,78,79
g01408,238,203
g01409,16,11
g01410,0,0
g01411,54,91
g01412,12,15
g01413,388,417
g01414,574,620
g01415,493,434
g01416,1061,1069
g01417,1,3
g01418,485,526
g01419,806,826
g01420,813,792
g01421,317,255
g01422,137,143
g01423,912,837
g01424,5,6
g01425,108,160
g01426,0,0
g01427,9,9
g01428,259,222
g01429,62,62
g01430,10,10
g01431,91,103
g01432,1,0
g01433,0,2
g01434,186,173
g01435,21,17
g01436,54,33
g01437,271,310
g01438,1544,1301
g01439,163,188
g01440,263,284
g01441,7,13
g01442,111,167
g01443,111,167
g01444,1031,1059
g01445,42,43
g01446,0,0
g01447,1,3
g01448,1071,1194
g01449,1,0
g01450,2436,3153
g01451,265,309
g01452,47,61
g01453,2,2
g01454,1,1
g01455,22,13
g01456,270,253
g01457,14,11
g01458,0,0
g01459,0,1
g01460,518,520
g01461,358,317
g01462,7,3
g01463,783,849
g01464,337,319
g01465,2011,2909
g01466,167,153
g01467,126,150
g01468,193,167
g01469,3,3
g01470,101,79
g01471,1454,1847
g01472,94,65
g01473,1,1
g01474,376,341
g01475,124,138
g01476,7,13
g01477,0,1
g01478,0,0
g01479,3,6
g01480,215,202
g01481,69,108
g01482,16,36
g01483,476,453
g01484,24,31
g01485,179,190
g01486,51,62
g01487,1255,1229
g01488,466,449
g01489,381,396
g01490,69,87
g01491,668,649
g01492,4,4
g01493,0,0
g01494,1718,1803
g01495,304,290
g01496,1259,1277
g01497,17,26
g01498,209,175
g01499,0,0
g01500,1130,1042
g01501,10,7
g01502,149,128
g01503,4,2
g01504,1,5
g01505,0,0
g01506,985,991
g01507,359,435
g01508,32,37
g01509,3728,3882
g01510,4,3
g01511,84,70
g01512,654,622
g01513,5882,7345
g01514,571,779
g01515,1,0
g01516,435,363
g01517,1037,1121
g01518,326,319
g01519,351,332
g01520,110,118
g01521,107,90
g01522,669,668
g01523,88,77
g01524,167,203
g01525,0,0
g01526,328,304
g01527,0,0
g01528,0,0
g01529,1,0
g01530,45,30
g01531,421,418
g01532,475,461
g01533,1092,1048
g01534,299,286
g01535,614,567
g01536,2,3
g01537,45,54
g01538,446,569
g01539,776,655
g01540,28,40
g01541,1,2
g01542,1,1
g01543,20950,19142
g01544,147,145
g01545,1,0
g01546,0,1
g01547,486,545
g01548,21,26
g01549,5,0
g01550,55,37
g01551,205,162
g01552,225,233
g01553,515,464
g01554,10,8
g01555,10,6
g01556,3316,3220
g01557,35,15
g01558,320,298
g01559,254,237
g01560,5,13
g01561,4,5
g01562,148,122
g01563,688,698
g01564,136,126
g01565,0,0
g01566,0,0
g01567,0,0
g01568,0,0
g01569,426,388
g01570,0,0
g01571,17,35
g01572,10,1
g01573,12,10
g01574,14,10
g01575,12,7
g01576,2,0
g01577,58,82
g01578,359,277
g01579,0,0
g01580,0,0
g01581,0,0
g01582,203,253
g01583,67,69
g01584,11,6
g01585,22,17
g01586,115,119
g01587,3,2
g01588,9,5
g01589,1,0
g01590,0,1
g01591,0,0
g01592,1,1
g01593,0,2
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,0,0
g01599,0,0
g01600,1,0
g01601,0,0
g01602,0,0
g01603,0,0
g01604,452,449
g01605,64,72
g01606,545,499
g01607,183,173
g01608,39,44
g01609,123,100
g01610,867,737
g01611,19,33
g01612,158,213
g01613,1887,2237
g01614,0,0
g01615,1,1
g01616,0,1
g01617,41,44
g01618,5,5
g01619,2,1
g01620,421,429
g01621,4,1
g01622,687,670
g01623,3312,3800
g01624,0,0
g01625,946,921
g01626,1,1
g01627,0,0
g01628,0,0
g01629,0,0
g01630,23,31
g01631,62,57
g01632,676,576
g01633,1085,950
g01634,325,312
g01635,64,50
g01636,64,55
g01637,136,130
g01638,81,78
g01639,59,65
g01640,157,161
g01641,164,128
g01642,143,127
g01643,68,87
g01644,2,2
g01645,716,804
g01646,6,8
g01647,576,595
g01648,10,20
g01649,1,0
g01650,2,0
g01651,0,0
g01652,0,0
g01653,5,1
g01654,181,180
g01655,93,84
g01656,174,167
g01657,0,0
g01658,0,0
g01659,37,32
g01660,3,3
g01661,978,980
g01662,656,730
g01663,202,224
g01664,130,154
g01665,62,79
g01666,81,67
g01667,0,0
g01668,19,16
g01669,1716,1763
g01670,2336,2505
g01671,1,0
g01672,3574,4034
g01673,10,14
g01674,138,132
g01675,12,9
g01676,910,965
g01677,30,34
g01678,329,294
g01679,96,111
g01680,2651,2627
g01681,52,50
g01682,34,31
g01683,5,0
g01684,0,1
g01685,12,13
g01686,7,9
g01687,4,1
g01688,254,342
g01689,175,133
g01690,322,244
g01691,105,161
g01692,127,102
g01693,560,651
g01694,2,0
g01695,19,22
g01696,11,8
g01697,381,357
g01698,33,22
g01699,0,1
