,wt_E17.5_f5,wt_E17.5_f4
g00001,26,29
g00002,9,12
g00003,1,0
g00004,4,7
g00005,130,113
g00006,444,371
g00007,559,521
g00008,50,44
g00009,215,219
g00010,68,57
g00011,683,643
g00012,3,2
g00013,19,24
g00014,1468,1464
g00015,0,0
g00016,3,9
g00017,740,868
g00018,3,4
g00019,280,290
g00020,14,13
g00021,16,15
g00022,2,10
g00023,101,83
g00024,489,601
g00025,89,99
g00026,357,311
g00027,4,0
g00028,9,10
g00029,178,180
g00030,2,0
g00031,4,1
g00032,3,0
g00033,0,0
g00034,509,392
g00035,509,525
g00036,1330,1301
g00037,18,14
g00038,961,960
g00039,5,14
g00040,1,0
g00041,865,1275
g00042,98,121
g00043,2,0
g00044,1329,1338
g00045,1942,1890
g00046,148,131
g00047,1,1
g00048,0,1
g00049,74,75
g00050,38,49
g00051,2,1
g00052,15,12
g00053,232,205
g00054,34,40
g00055,4,1
g00056,7,7
g00057,2684,2762
g00058,157,158
g00059,208,178
g00060,287,292
g00061,295,322
g00062,0,0
g00063,263,275
g00064,30,35
g00065,363,440
g00066,5,8
g00067,213,411
g00068,101,160
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,1
g00075,518,483
g00076,102,121
g00077,4,0
g00078,2,0
g00079,15,13
g00080,0,0
g00081,0,0
g00082,1494,1347
g00083,1,2
g00084,313,260
g00085,43,46
g00086,68,80
g00087,19,17
g00088,21,10
g00089,0,1
g00090,0,0
g00091,0,0
g00092,0,0
g00093,23,17
g00094,8,15
g00095,1,0
g00096,0,0
g00097,0,1
g00098,155,144
g00099,0,0
g00100,358,396
g00101,642,675
g00102,62,58
g00103,1230,1333
g00104,95,96
g00105,255,320
g00106,416,499
g00107,28,42
g00108,2,1
g00109,0,0
g00110,0,0
g00111,1,0
g00112,0,0
g00113,0,0
g00114,0,0
g00115,1688,1792
g00116,83,106
g00117,0,0
g00118,0,0
g00119,0,0
g00120,0,1
g00121,0,0
g00122,3,2
g00123,0,0
g00124,0,4
g00125,348,310
g00126,3,6
g00127,129,149
g00128,370,322
g00129,439,444
g00130,0,0
g00131,10,16
g00132,6992,7608
g00133,2,5
g00134,276,278
g00135,482,416
g00136,173,152
g00137,91,112
g00138,2,0
g00139,2,3
g00140,0,0
g00141,2,4
g00142,1,0
g00143,206,168
g00144,2441,2567
g00145,395,338
g00146,598,645
g00147,1680,1653
g00148,23,13
g00149,142,158
g00150,783,824
g00151,100,122
g00152,214,223
g00153,264,270
g00154,288,306
g00155,121,144
g00156,520,558
g00157,25,16
g00158,541,499
g00159,1027,995
g00160,1,0
g00161,7,10
g00162,1996,1726
g00163,11,14
g00164,3,5
g00165,291,308
g00166,784,810
g00167,395,385
g00168,293,250
g00169,22,15
g00170,32,32
g00171,173,165
g00172,21,9
g00173,46,52
g00174,56,45
g00175,97,103
g00176,371,393
g00177,1,0
g00178,0,0
g00179,597,629
g00180,950,809
g00181,583,567
g00182,179,182
g00183,143,117
g00184,47,35
g00185,6,3
g00186,0,0
g00187,541,508
g00188,37,39
g00189,225,225
g00190,454,438
g00191,353,388
g00192,15,8
