,mut_E15.5_f4,mut_E15.5_f5
g00001,31,49
g00002,11,26
g00003,0,0
g00004,2,3
g00005,110,106
g00006,480,478
g00007,631,634
g00008,53,49
g00009,201,253
g00010,32,6
g00011,591,562
g00012,13,13
g00013,43,28
g00014,1155,903
g00015,0,0
g00016,2,0
g00017,653,526
g00018,2,2
g00019,378,332
g00020,10,14
g00021,9,11
g00022,7,7
g00023,96,96
g00024,634,550
g00025,126,123
g00026,291,272
g00027,3,0
g00028,10,9
g00029,137,144
g00030,0,4
g00031,2,2
g00032,2,1
g00033,0,1
g00034,481,608
g00035,625,668
g00036,1211,1228
g00037,17,23
g00038,767,700
g00039,5,18
g00040,1,1
g00041,1660,1720
g00042,131,149
g00043,1,0
g00044,1575,1365
g00045,2246,2187
g00046,136,149
g00047,1,0
g00048,1,2
g00049,68,90
g00050,133,134
g00051,3,0
g00052,33,29
g00053,236,240
g00054,21,23
g00055,4,1
g00056,1,4
g00057,2847,2567
g00058,172,159
g00059,279,234
g00060,303,252
g00061,291,334
g00062,1,0
g00063,249,258
g00064,17,11
g00065,242,216
g00066,3,4
g00067,66,86
g00068,63,63
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,1
g00075,794,705
g00076,116,149
g00077,1,1
g00078,0,4
g00079,28,15
g00080,0,1
g00081,0,2
g00082,1832,1983
g00083,3,1
g00084,316,329
g00085,27,21
g00086,56,90
g00087,28,21
g00088,149,105
g00089,0,0
g00090,0,0
g00091,0,0
g00092,0,2
g00093,33,32
g00094,24,16
g00095,0,0
g00096,0,0
g00097,1,0
g00098,142,114
g00099,1,0
g00100,307,313
g00101,549,555
g00102,76,52
g00103,1242,1124
g00104,46,43
g00105,222,222
g00106,405,338
g00107,31,40
g00108,7,3
g00109,0,0
g00110,0,0
g00111,0,0
g00112,1,0
g00113,0,0
g00114,0,0
g00115,1862,1813
g00116,93,88
g00117,0,0
g00118,0,0
g00119,0,0
g00120,0,0
g00121,0,0
g00122,0,3
g00123,0,0
g00124,1,1
g00125,425,479
g00126,8,10
g00127,231,151
g00128,372,365
g00129,425,441
g00130,0,1
g00131,19,21
g00132,6582,6611
g00133,1,4
g00134,320,291
g00135,547,521
g00136,178,145
g00137,80,105
g00138,1,1
g00139,11,15
g00140,0,0
g00141,2,5
g00142,2,0
g00143,289,193
g00144,2953,2817
g00145,226,272
g00146,674,543
g00147,1957,1826
g00148,8,9
g00149,126,132
g00150,881,892
g00151,93,99
g00152,140,140
g00153,298,267
g00154,112,89
g00155,110,103
g00156,464,405
g00157,15,15
g00158,489,517
g00159,1029,1050
g00160,0,1
g00161,5,11
g00162,1436,1497
g00163,11,13
g00164,1,1
g00165,283,347
g00166,912,771
g00167,392,392
g00168,409,303
g00169,21,22
g00170,29,19
g00171,90,70
g00172,7,3
g00173,57,65
g00174,68,57
g00175,173,134
g00176,349,373
g00177,2,1
g00178,0,0
g00179,589,537
g00180,915,924
g00181,631,566
g00182,180,147
g00183,189,174
g00184,40,49
g00185,9,2
g00186,0,0
g00187,461,441
g00188,29,14
g00189,249,253
g00190,547,577
g00191,445,379
g00192,9,11
g00193,1066,817
g00194,30,13
g00195,2,4
