,mut_E15.5_f4,mut_E15.5_f5
g00196,1,0
g00197,0,0
g00198,4647,4139
g00199,1,2
g00200,25,21
g00201,503,431
g00202,191,208
g00203,623,496
g00204,27,10
g00205,4,11
g00206,0,0
g00207,21,21
g00208,68,59
g00209,70,87
g00210,0,0
g00211,6,7
g00212,100,109
g00213,20,13
g00214,412,407
g00215,9,1
g00216,540,438
g00217,424,398
g00218,84,110
g00219,0,0
g00220,537,470
g00221,43,52
g00222,13,14
g00223,100,140
g00224,1,1
g00225,1193,1157
g00226,1,9
g00227,76,77
g00228,294,331
g00229,238,209
g00230,464,462
g00231,113,120
g00232,22,5
g00233,206,207
g00234,6,4
g00235,136059,122088
g00236,13606,12054
g00237,687,732
g00238,2,2
g00239,153,101
g00240,0,0
g00241,0,0
g00242,15,34
g00243,5,5
g00244,1375,1450
g00245,0,0
g00246,312,371
g00247,6,9
g00248,1139,1155
g00249,176,103
g00250,0,0
g00251,1612,1617
g00252,4,4
g00253,0,0
g00254,470,393
g00255,1619,1452
g00256,823,803
g00257,278,274
g00258,673,421
g00259,79,88
g00260,228,180
g00261,6,4
g00262,62,48
g00263,0,3
g00264,197,167
g00265,196,152
g00266,151,139
g00267,693,639
g00268,2,3
g00269,229,167
g00270,400,417
g00271,9,14
g00272,438,444
g00273,748,640
g00274,950,811
g00275,6088,5802
g00276,106,97
g00277,1484,1364
g00278,565,537
g00279,524,497
g00280,298,335
g00281,254,218
g00282,4,3
g00283,212,242
g00284,1,3
g00285,0,0
g00286,0,0
g00287,40,33
g00288,20,19
g00289,0,0
g00290,18,28
g00291,169,157
g00292,78,90
g00293,219,197
g00294,937,940
g00295,316,287
g00296,719,772
g00297,25,36
g00298,8,8
g00299,2256,1841
g00300,30,13
g00301,3078,2811
g00302,2208,1862
g00303,262,244
g00304,348,357
g00305,522,462
g00306,10,8
g00307,389,314
g00308,349,319
g00309,15,10
g00310,4,2
g00311,771,736
g00312,390,405
g00313,870,786
g00314,198,190
g00315,1,0
g00316,135,116
g00317,32,31
g00318,424,394
g00319,5,5
g00320,628,562
g00321,15,8
g00322,379,308
g00323,1554,1498
g00324,3,2
g00325,3,3
g00326,924,866
g00327,20,27
g00328,558,518
g00329,13,12
g00330,290,322
g00331,171,155
g00332,2,2
g00333,821,828
g00334,256,287
g00335,1080,927
g00336,754,711
g00337,11,12
g00338,2,0
g00339,14,13
g00340,0,1
g00341,0,2
g00342,10,5
g00343,0,0
g00344,456,464
g00345,1754,1755
g00346,25,22
g00347,1194,1110
g00348,174,139
g00349,62,69
g00350,1221,1097
g00351,4865,4512
g00352,5,3
g00353,5,3
g00354,870,792
g00355,361,386
g00356,0,1
g00357,0,0
g00358,227,270
g00359,8,4
g00360,1,2
g00361,180,176
g00362,1534,1491
g00363,189,188
g00364,23,31
g00365,98,108
g00366,119,93
g00367,207,245
g00368,14,10
g00369,0,0
g00370,0,0
g00371,0,0
g00372,0,0
g00373,1,0
g00374,0,1
g00375,5,6
g00376,1221,1092
g00377,966,1020
g00378,0,1
g00379,0,0
g00380,532,538
g00381,16,19
g00382,5,4
g00383,508,433
g00384,678,509
g00385,239,293
g00386,34,45
g00387,1578,1765
g00388,1279,969
g00389,1,3
g00390,75,63
g00391,1,0
g00392,474,502
g00393,0,4
g00394,0,1
g00395,293,302
g00396,4334,3362
g00397,1193,1201
g00398,6372,7187
g00399,3,1
g00400,0,0
g00401,0,0
g00402,1,2
g00403,143,114
g00404,105,99
g00405,5,14
g00406,435,467
g00407,2,8
g00408,586,573
g00409,0,0
g00410,672,667
g00411,1013,949
g00412,6294,6091
g00413,0,0
g00414,1,0
g00415,0,1
g00416,1,2
g00417,2,1
g00418,1408,1291
g00419,3,4
g00420,1,1
g00421,4,2
g00422,0,0
g00423,0,0
g00424,2067,1955
g00425,1,2
g00426,2270,2061
g00427,379,351
g00428,1002,849
g00429,8,8
g00430,35,38
g00431,711,722
g00432,0,0
g00433,4,10
g00434,1137,1042
g00435,972,940
g00436,18,9
g00437,321,336
g00438,191,193
g00439,279,315
g00440,48,53
g00441,784,843
g00442,41,53
g00443,110,120
g00444,552,495
g00445,212,205
g00446,3,4
g00447,0,1
g00448,0,0
g00449,0,0
g00450,0,1
g00451,2,0
g00452,52,39
g00453,10,6
g00454,443,394
g00455,748,679
g00456,209,196
g00457,297,257
g00458,588,472
g00459,386,316
g00460,193,204
g00461,544,455
g00462,1470,1111
g00463,1,4
g00464,415,347
g00465,12,15
g00466,0,0
g00467,693,704
g00468,4632,3817
g00469,0,0
g00470,459,472
g00471,503,416
g00472,157,119
g00473,10,7
g00474,622,623
g00475,30,21
g00476,1775,1692
g00477,203,143
g00478,405,335
g00479,315,324
g00480,0,0
g00481,0,0
g00482,984,1068
g00483,71,58
g00484,1,4
g00485,22,31
g00486,988,925
g00487,1,3
g00488,646,720
g00489,294,326
g00490,114,146
g00491,9,4
g00492,11,3
g00493,36,30
g00494,157,124
g00495,0,1
g00496,281,228
g00497,50,24
g00498,443,379
g00499,23,9
g00500,1262,1201
g00501,0,0
g00502,1049,1026
g00503,0,2
g00504,3339,2709
g00505,128,141
g00506,387,318
g00507,22,19
g00508,11,18
g00509,4,4
g00510,826,814
g00511,3,2
g00512,0,0
g00513,1210,1089
g00514,19,10
g00515,0,0
g00516,1,0
g00517,2,0
g00518,149,173
g00519,235,250
g00520,27,37
g00521,0,0
g00522,4289,4104
g00523,30,33
g00524,2,3
g00525,0,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,0,0
g00531,0,0
g00532,0,0
g00533,0,0
g00534,4,11
g00535,4,3
g00536,1,0
g00537,0,0
g00538,9,8
g00539,20,16
g00540,2127,1795
g00541,2027,1926
g00542,1,0
g00543,7,4
g00544,0,0
g00545,1,0
g00546,2111,2006
g00547,51,59
g00548,102,94
g00549,1,1
g00550,17,21
g00551,0,0
g00552,5204,7383
g00553,2,4
g00554,0,3
g00555,12,21
g00556,0,0
g00557,0,0
g00558,1712,1700
g00559,121,111
g00560,371,373
g00561,67,57
g00562,626,599
g00563,0,0
g00564,0,1
g00565,0,2
g00566,4,11
g00567,2,2
g00568,278,283
g00569,412,433
g00570,1337,1250
g00571,57,73
g00572,1345,1283
g00573,58,82
g00574,0,0
g00575,7,9
g00576,0,1
g00577,1,1
g00578,1,2
g00579,412,357
g00580,654,572
g00581,74,119
g00582,0,4
g00583,31,35
g00584,1022,1081
g00585,981,877
g00586,388,279
g00587,388,279
g00588,437,324
g00589,388,281
g00590,431,316
g00591,405,304
g00592,398,295
g00593,71,52
g00594,593,471
g00595,155,174
g00596,3894,5387
g00597,3182,4379
g00598,3,1
g00599,0,0
g00600,2,2
g00601,1,2
g00602,629,560
g00603,0,0
g00604,0,1
g00605,468,402
g00606,0,0
g00607,1295,1262
g00608,79,90
g00609,1,1
g00610,12,8
g00611,2,1
g00612,383,403
g00613,746,689
g00614,1,0
g00615,20227,16730
g00616,33,18
g00617,0,1
g00618,26,9
g00619,1252,1181
g00620,7,7
g00621,129,108
g00622,259,253
g00623,0,12
g00624,169,123
g00625,2,5
g00626,32,28
g00627,156,136
g00628,41,44
g00629,681,678
g00630,0,0
g00631,291,255
g00632,114,108
g00633,133,164
g00634,252,245
g00635,2482,2561
g00636,609,591
g00637,1216,1139
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,0
g00644,0,0
g00645,0,0
g00646,339,287
g00647,1,2
g00648,1843,1505
g00649,288,230
g00650,0,2
g00651,7,7
g00652,74,66
g00653,533,504
g00654,82,58
g00655,352,288
g00656,73,41
g00657,0,0
g00658,178,171
g00659,1,1
g00660,973,421
g00661,18,10
g00662,201,179
g00663,244,224
g00664,367,395
g00665,549,550
g00666,273,193
g00667,5098,5169
g00668,4309,4387
g00669,220,216
g00670,1184,1108
g00671,281,259
g00672,473,358
g00673,632,541
g00674,543,594
g00675,429,392
g00676,111,130
g00677,0,5
g00678,3,1
g00679,0,0
g00680,0,1
g00681,1,0
g00682,3,1
g00683,0,0
g00684,161,135
g00685,262,225
g00686,0,0
g00687,0,0
g00688,0,0
g00689,0,1
g00690,1,0
g00691,3,0
g00692,0,0
g00693,0,0
g00694,1,1
g00695,0,3
g00696,115,88
g00697,1066,1053
g00698,51,61
g00699,775,804
g00700,7,3
g00701,2,1
g00702,0,0
g00703,1,0
g00704,2,3
g00705,0,0
g00706,3,2
g00707,91,100
g00708,14,17
g00709,874,758
g00710,1057,942
g00711,0,0
g00712,137,141
g00713,0,3
g00714,571,477
g00715,1,0
g00716,644,592
g00717,513,465
g00718,60,58
g00719,530,488
g00720,1025,857
g00721,1541,1057
g00722,1082,741
g00723,0,0
g00724,320,232
g00725,5,8
g00726,141,75
g00727,119,138
g00728,324,180
g00729,675,335
g00730,332,340
g00731,862,732
g00732,477,309
g00733,6,10
g00734,25,38
g00735,935,754
g00736,1,2
g00737,0,0
g00738,867,879
g00739,761,714
g00740,2658,2320
g00741,6,19
g00742,91,70
g00743,591,491
g00744,364,255
g00745,328,247
g00746,1236,1051
g00747,280,245
g00748,367,295
g00749,351,307
g00750,126,112
g00751,0,0
g00752,2,6
g00753,32,21
g00754,2256,1763
g00755,24,27
g00756,143,132
g00757,0,1
g00758,3,2
g00759,137,113
g00760,1,2
g00761,276,240
g00762,704,649
g00763,1,1
g00764,128,142
g00765,14,7
g00766,7,7
g00767,1389,1271
g00768,452,392
g00769,68,67
g00770,79,71
g00771,126,174
g00772,334,331
g00773,4,6
g00774,4,4
g00775,6,5
g00776,2,4
g00777,1178,1143
g00778,2,2
g00779,779,741
g00780,199,195
g00781,732,770
g00782,0,0
g00783,1446,1397
g00784,12,17
g00785,2393,2605
g00786,1174,1205
g00787,274,280
g00788,29,30
g00789,0,0
g00790,1,0
g00791,210,247
g00792,0,3
g00793,1,1
g00794,2,0
g00795,467,453
g00796,256,298
g00797,666,422
g00798,67,42
g00799,5,9
g00800,3,1
g00801,0,1
g00802,0,0
g00803,0,0
g00804,1,1
g00805,0,2
g00806,1074,977
g00807,29,30
g00808,385,382
g00809,136,167
g00810,180,153
g00811,1390,1202
g00812,29,30
g00813,1,7
g00814,10,5
g00815,284,210
g00816,13,16
g00817,8,10
g00818,735,624
g00819,126,84
g00820,5445,5344
g00821,886,757
g00822,647,575
g00823,166,132
g00824,39,44
g00825,0,0
g00826,1,3
g00827,1,5
g00828,152,95
g00829,348,191
g00830,791,695
g00831,599,619
g00832,42,49
g00833,15,17
g00834,12,18
g00835,0,0
g00836,71,60
g00837,938,1017
g00838,470,445
g00839,1281,1110
g00840,302,223
g00841,11,10
g00842,0,0
g00843,0,0
g00844,3,5
g00845,3,3
g00846,209,209
g00847,405,422
g00848,2394,2229
g00849,1713,1568
g00850,4,11
g00851,2290,1521
g00852,8,9
g00853,62,83
g00854,35,45
g00855,120,120
g00856,12,5
g00857,456,401
g00858,6,2
g00859,28,30
g00860,34,47
g00861,671,612
g00862,324,274
g00863,1411,1437
g00864,472,413
g00865,944,858
g00866,3,3
g00867,345,321
g00868,1948,1618
g00869,354,298
g00870,361,400
g00871,388,320
g00872,3,0
g00873,0,1
g00874,3196,2519
g00875,34,33
g00876,429,496
g00877,69,76
g00878,168,126
g00879,15,22
g00880,0,4
g00881,112,116
g00882,273,216
g00883,3,2
g00884,141,80
g00885,595,542
g00886,258,222
g00887,24,22
g00888,61,44
g00889,1836,1919
g00890,432,438
g00891,1572,1446
g00892,395,339
g00893,2791,2667
g00894,1887,1027
g00895,1855,1892
g00896,4396,3037
g00897,2,1
g00898,488,497
g00899,544,499
g00900,2,2
g00901,480,472
g00902,6,7
g00903,188,145
g00904,2,0
g00905,1,0
g00906,2220,1883
g00907,27,20
g00908,227,178
g00909,537,541
g00910,0,0
g00911,528,449
g00912,1,7
g00913,1,1
g00914,2,0
g00915,76,97
g00916,79,77
g00917,1,0
g00918,0,3
g00919,161,150
g00920,0,0
g00921,698,573
g00922,0,0
g00923,0,0
g00924,53,65
g00925,0,0
g00926,311,382
g00927,6,9
g00928,0,0
g00929,911,880
g00930,2002,1948
g00931,0,0
g00932,0,0
g00933,0,0
g00934,1,0
g00935,0,0
g00936,81,75
g00937,36,33
g00938,2,1
g00939,0,0
g00940,177,183
g00941,184,189
g00942,158,126
g00943,1013,858
g00944,286,305
g00945,339,340
g00946,46,57
g00947,13,9
g00948,12,23
g00949,1,0
g00950,80,79
g00951,3,1
g00952,0,0
g00953,0,0
g00954,0,0
g00955,346,329
g00956,0,2
g00957,10,8
g00958,0,4
g00959,0,0
g00960,0,0
g00961,0,0
g00962,482,471
g00963,3972,3921
g00964,26,42
g00965,1912,2109
g00966,18,10
g00967,0,0
g00968,4054,3722
g00969,308,246
g00970,384,371
g00971,859,854
g00972,0,0
g00973,283,262
g00974,1554,1460
g00975,1281,1142
g00976,118,140
g00977,107,121
g00978,538,552
g00979,8,8
g00980,1,1
g00981,1002,994
g00982,515,544
g00983,54,69
g00984,1573,1359
g00985,55,43
g00986,706,603
g00987,3867,3586
g00988,3,3
g00989,13,15
g00990,1464,1408
g00991,590,303
g00992,6,12
g00993,4,3
g00994,154,184
g00995,192,182
g00996,6,3
g00997,3,0
g00998,4,3
g00999,2,1
g01000,1636,1415
g01001,316,240
g01002,1,0
g01003,0,0
g01004,41,57
g01005,569,367
g01006,82,80
g01007,1045,866
g01008,244,228
g01009,10,8
g01010,370,358
g01011,3,1
g01012,514,454
g01013,1,0
g01014,92,54
g01015,550,402
g01016,2820,2701
g01017,494,521
g01018,1991,1849
g01019,1,0
g01020,5,4
g01021,0,0
g01022,3,2
g01023,423,472
g01024,826,813
g01025,141,159
g01026,241,189
g01027,1748,1318
g01028,1345,1262
g01029,476,491
g01030,0,1
g01031,912,866
g01032,379,413
g01033,153,177
g01034,245,291
g01035,0,0
g01036,13,7
g01037,33,50
g01038,0,0
g01039,2824,3033
g01040,1,1
g01041,377,330
g01042,5,7
g01043,3,2
g01044,244,238
g01045,55,47
g01046,35,31
g01047,226,197
g01048,643,674
g01049,681,647
g01050,0,0
g01051,28,20
g01052,1,1
g01053,1203,1098
g01054,85,92
g01055,281,304
g01056,2958,2855
g01057,21,41
g01058,11,13
g01059,269,239
g01060,80,88
g01061,402,387
g01062,6,2
g01063,0,0
g01064,1106,1074
g01065,0,0
g01066,4,8
g01067,1,0
g01068,825,812
g01069,0,0
g01070,263,224
g01071,80,91
g01072,11,19
g01073,1505,1720
g01074,2,15
g01075,16,15
g01076,268,251
g01077,235,220
g01078,0,1
g01079,0,1
g01080,5372,5363
g01081,0,0
g01082,170,124
g01083,51,110
g01084,0,0
g01085,1,0
g01086,1,0
g01087,2807,2779
g01088,221,205
g01089,1,0
g01090,695,777
g01091,392,384
g01092,355,338
g01093,51,48
g01094,3,5
g01095,4,3
g01096,2,0
g01097,2,0
g01098,16,8
g01099,430,357
g01100,76,60
g01101,536,485
g01102,315,258
g01103,267,128
g01104,2152,2131
g01105,0,2
g01106,0,0
g01107,1,0
g01108,0,0
g01109,0,0
g01110,1128,894
g01111,335,322
g01112,134,132
g01113,525,490
g01114,280,267
g01115,1,4
g01116,329,311
g01117,11,17
g01118,224,278
g01119,0,6
g01120,375,274
g01121,92,146
g01122,645,674
g01123,407,392
g01124,10,3
g01125,0,0
g01126,52,55
g01127,54,74
g01128,392,471
g01129,1768,1655
g01130,0,0
g01131,0,0
g01132,0,0
g01133,1,0
g01134,43,25
g01135,1072,956
g01136,714,679
g01137,112,96
g01138,298,268
g01139,634,489
g01140,1,1
g01141,0,0
g01142,92,74
g01143,12,16
g01144,718,658
g01145,485,474
g01146,335,349
g01147,237,244
g01148,21,23
g01149,1,0
g01150,692,576
g01151,22,19
g01152,2565,2745
g01153,621,523
g01154,325,268
g01155,0,0
g01156,2,5
g01157,1,1
g01158,13,22
g01159,4,2
g01160,21,25
g01161,275,339
g01162,695,621
g01163,281,299
g01164,0,3
g01165,0,0
g01166,27,19
g01167,5,4
g01168,266,253
g01169,13,8
g01170,1453,1322
g01171,113,106
g01172,67,47
g01173,18,20
g01174,405,323
g01175,10,0
g01176,333,320
g01177,1861,1764
g01178,308,270
g01179,338,347
g01180,282,289
g01181,474,417
g01182,540,527
g01183,250,270
g01184,11,10
g01185,398,336
g01186,312,258
g01187,92,99
g01188,13,28
g01189,2201,1522
g01190,182,149
g01191,349,345
g01192,15,10
g01193,897,676
g01194,76,77
g01195,0,0
g01196,8,5
g01197,23,34
g01198,1,4
g01199,21,27
g01200,1,0
g01201,3,3
g01202,27,47
g01203,2,2
g01204,0,0
g01205,1,1
g01206,339,311
g01207,4,1
g01208,1003,1001
g01209,5738,5834
g01210,1231,1176
g01211,1170,1062
g01212,1791,1656
g01213,1006,855
g01214,296,287
g01215,1,1
g01216,388,313
g01217,381,309
g01218,2,3
g01219,7,9
g01220,684,638
g01221,553,496
g01222,4,7
g01223,866,811
g01224,1207,1143
g01225,24,21
g01226,10,9
g01227,115,21
g01228,1,0
g01229,0,0
g01230,73,72
g01231,0,0
g01232,0,0
g01233,0,0
g01234,0,0
g01235,1,0
g01236,0,0
g01237,0,0
g01238,0,1
g01239,0,0
g01240,0,0
g01241,0,0
g01242,8,4
g01243,63,56
g01244,27,26
g01245,0,0
g01246,1,0
g01247,1,0
g01248,6,1
g01249,1,3
g01250,0,0
g01251,44,43
g01252,27,21
g01253,6,5
g01254,1,1
g01255,19,15
g01256,2,0
g01257,4,9
g01258,92,88
g01259,0,4
g01260,0,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,0
g01266,0,0
g01267,1,1
g01268,0,0
g01269,235,63
g01270,1,0
g01271,0,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,65,69
g01277,602,506
g01278,6,8
g01279,883,893
g01280,8,3
g01281,59,62
g01282,208,197
g01283,0,0
g01284,490,551
g01285,11,22
g01286,1398,1394
g01287,2,2
g01288,243,214
g01289,39,30
g01290,417,420
g01291,562,615
g01292,16,12
g01293,0,1
g01294,919,877
g01295,1,0
g01296,1,1
g01297,586,523
g01298,7,9
g01299,0,0
g01300,4,5
g01301,3,2
g01302,264,235
g01303,6678,5664
g01304,32,36
g01305,134,120
g01306,272,227
g01307,49,48
g01308,593,587
g01309,363,327
g01310,2334,2350
g01311,0,0
g01312,1197,1196
g01313,131,104
g01314,357,343
g01315,20,17
g01316,1339,871
g01317,73,85
g01318,2326,2226
g01319,246,240
g01320,0,2
g01321,998,896
g01322,24,29
g01323,451,404
g01324,534,488
g01325,0,3
g01326,1,0
g01327,111,98
g01328,413,367
g01329,20,27
g01330,230,214
g01331,146,87
g01332,0,0
g01333,698,725
g01334,411,413
g01335,2201,1844
g01336,13,17
g01337,4,7
g01338,0,2
g01339,35,34
g01340,1790,1689
g01341,1,0
g01342,1965,1800
g01343,278,283
g01344,0,0
g01345,1888,1428
g01346,23,7
g01347,658,516
g01348,581,558
g01349,1697,1454
g01350,1,4
g01351,0,0
g01352,121,129
g01353,61,54
g01354,698,687
g01355,399,375
g01356,368,338
g01357,2086,2040
g01358,228,233
g01359,3,4
g01360,8,7
g01361,539,574
g01362,1,0
g01363,0,0
g01364,113,77
g01365,1,3
g01366,639,672
g01367,5,2
g01368,512,519
g01369,506,470
g01370,1067,935
g01371,0,1
g01372,1329,1168
g01373,2,4
g01374,8,3
g01375,330,373
g01376,3927,3907
g01377,2,4
g01378,0,1
g01379,5,4
g01380,1,1
g01381,84,69
g01382,309,348
g01383,302,338
g01384,1,1
g01385,2,4
g01386,0,0
g01387,418,443
g01388,66,59
g01389,20,19
g01390,0,1
g01391,6,5
g01392,741,671
g01393,59,73
g01394,13,8
g01395,0,0
g01396,1889,2021
g01397,1189,1094
g01398,680,681
g01399,124,143
g01400,8,9
g01401,418,414
g01402,564,561
g01403,380,449
g01404,222,254
g01405,75,75
g01406,1,1
g01407,52,64
g01408,280,297
g01409,5,13
g01410,1,0
g01411,81,70
g01412,14,10
g01413,331,326
g01414,496,506
g01415,453,410
g01416,969,856
g01417,2,1
g01418,741,713
g01419,972,973
g01420,733,801
g01421,400,402
g01422,104,42
g01423,550,359
g01424,4,6
g01425,112,94
g01426,0,0
g01427,3,6
g01428,217,266
g01429,61,53
g01430,9,6
g01431,84,102
g01432,3,1
g01433,0,0
g01434,181,178
g01435,9,10
g01436,42,43
g01437,379,385
g01438,2750,2068
g01439,218,203
g01440,286,243
g01441,77,29
g01442,106,86
g01443,106,86
g01444,556,392
g01445,50,57
g01446,0,0
g01447,0,1
g01448,1474,1460
g01449,0,0
g01450,1839,1708
g01451,219,194
g01452,34,41
g01453,0,2
g01454,2,1
g01455,13,11
g01456,300,292
g01457,14,14
g01458,0,0
g01459,0,0
g01460,273,197
g01461,146,153
g01462,10,3
g01463,706,568
g01464,428,492
g01465,2468,2589
g01466,187,182
g01467,134,116
g01468,203,175
g01469,5,6
g01470,58,36
g01471,1115,1096
g01472,71,94
g01473,0,0
g01474,452,430
g01475,137,151
g01476,7,19
g01477,0,0
g01478,0,1
g01479,7,7
g01480,254,203
g01481,71,63
g01482,35,17
g01483,453,439
g01484,21,27
g01485,215,225
g01486,52,58
g01487,1224,1077
g01488,533,405
g01489,272,256
g01490,41,56
g01491,630,588
g01492,2,1
g01493,0,0
g01494,1418,1304
g01495,336,294
g01496,1146,902
g01497,23,47
g01498,224,236
g01499,0,0
g01500,1040,1014
g01501,13,11
g01502,154,184
g01503,3,3
g01504,1,2
g01505,0,0
g01506,1058,1075
g01507,371,346
g01508,20,26
g01509,4349,4067
g01510,4,4
g01511,102,97
g01512,846,849
g01513,7735,8111
g01514,819,723
g01515,0,1
g01516,536,571
g01517,1285,1341
g01518,428,342
g01519,307,259
g01520,104,106
g01521,108,118
g01522,727,677
g01523,86,105
g01524,460,482
g01525,1,1
g01526,358,355
g01527,0,1
g01528,0,1
g01529,1,2
g01530,5,6
g01531,320,249
g01532,281,265
g01533,713,617
g01534,363,357
g01535,814,761
g01536,2,9
g01537,90,67
g01538,635,511
g01539,483,371
g01540,46,60
g01541,1,2
g01542,1,1
g01543,18751,14314
g01544,155,142
g01545,7,2
g01546,0,0
g01547,483,352
g01548,4,3
g01549,5,2
g01550,22,17
g01551,202,172
g01552,283,236
g01553,687,507
g01554,13,8
g01555,7,9
g01556,3854,3751
g01557,40,35
g01558,455,525
g01559,205,197
g01560,4,7
g01561,5,3
g01562,220,182
g01563,704,669
g01564,138,145
g01565,0,2
g01566,0,2
g01567,0,1
g01568,0,1
g01569,239,178
g01570,0,0
g01571,27,24
g01572,7,10
g01573,7,3
g01574,6,9
g01575,21,21
g01576,0,0
g01577,43,52
g01578,294,302
g01579,0,0
g01580,0,0
g01581,0,1
g01582,156,185
g01583,68,79
g01584,19,7
g01585,18,22
g01586,96,79
g01587,2,0
g01588,1,3
g01589,0,0
g01590,0,0
g01591,0,2
g01592,0,0
g01593,0,0
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,0,0
g01599,0,0
g01600,0,0
g01601,0,0
g01602,0,0
g01603,0,0
g01604,469,397
g01605,87,67
g01606,354,380
g01607,253,231
g01608,28,33
g01609,119,122
g01610,897,926
g01611,223,170
g01612,165,119
g01613,1799,1808
g01614,0,0
g01615,1,1
g01616,0,0
g01617,97,110
g01618,19,24
g01619,0,1
g01620,437,406
g01621,5,1
g01622,746,693
g01623,1592,1555
g01624,0,0
g01625,782,753
g01626,1,0
g01627,0,0
g01628,0,0
g01629,0,1
g01630,27,24
g01631,59,45
g01632,461,416
g01633,826,752
g01634,173,169
g01635,32,25
g01636,97,79
g01637,158,168
g01638,84,56
g01639,53,39
g01640,143,138
g01641,129,130
g01642,155,155
g01643,97,110
g01644,3,2
g01645,667,526
g01646,14,16
g01647,136,118
g01648,7,4
g01649,0,0
g01650,0,2
g01651,0,0
g01652,0,0
g01653,4,5
g01654,196,212
g01655,89,82
g01656,171,154
g01657,0,1
g01658,0,0
g01659,23,24
g01660,3,5
g01661,1127,1135
g01662,821,719
g01663,361,277
g01664,155,146
g01665,78,78
g01666,94,113
g01667,1,0
g01668,20,27
g01669,2023,1924
g01670,4134,2993
g01671,0,2
g01672,3519,3606
g01673,10,3
g01674,146,134
g01675,15,11
g01676,880,896
g01677,16,13
g01678,277,246
g01679,90,107
g01680,2247,2272
g01681,46,36
g01682,25,25
g01683,1,5
g01684,2,0
g01685,12,5
g01686,9,6
g01687,0,1
g01688,247,168
g01689,258,254
g01690,314,363
g01691,114,215
g01692,131,138
g01693,563,482
g01694,0,1
g01695,4,0
g01696,9,2
g01697,355,326
g01698,23,40
g01699,0,0
g01700,0,0
