,mut_NB_f4,mut_NB_f5
g00391,0,0
g00392,131,189
g00393,0,0
g00394,0,1
g00395,23,20
g00396,29552,22046
g00397,72,46
g00398,535,399
g00399,0,0
g00400,0,0
g00401,5,3
g00402,0,0
g00403,1356,960
g00404,27,35
g00405,1,2
g00406,133,120
g00407,0,0
g00408,191,144
g00409,0,0
g00410,547,439
g00411,195,138
g00412,129,282
g00413,0,0
g00414,0,0
g00415,1,0
g00416,0,0
g00417,0,0
g00418,157,69
g00419,3,0
g00420,3,5
g00421,14,10
g00422,0,0
g00423,0,0
g00424,1982,1637
g00425,1,4
g00426,1584,1484
g00427,304,241
g00428,949,894
g00429,2,2
g00430,4,4
g00431,249,227
g00432,0,0
g00433,5,2
g00434,330,269
g00435,321,264
g00436,6,2
g00437,115,90
g00438,68,53
g00439,485,329
g00440,9,4
g00441,209,143
g00442,9,9
g00443,18,2
g00444,100,49
g00445,79,35
g00446,0,0
g00447,0,0
g00448,0,0
g00449,0,0
g00450,0,0
g00451,0,1
g00452,22,13
g00453,66,45
g00454,735,568
g00455,675,678
g00456,427,356
g00457,247,184
g00458,1144,933
g00459,418,400
g00460,168,132
g00461,299,329
g00462,7547,7945
g00463,7,7
g00464,746,610
g00465,51,31
g00466,2,0
g00467,567,488
g00468,84,57
g00469,0,0
g00470,15,9
g00471,343,334
g00472,126,124
g00473,2,1
g00474,49,44
g00475,8,10
g00476,169,85
g00477,170,81
g00478,319,255
g00479,28,22
g00480,0,0
g00481,0,0
g00482,1161,1395
g00483,26,1
g00484,0,0
g00485,300,152
g00486,424,376
g00487,0,0
g00488,95,52
g00489,65,50
g00490,2,1
g00491,0,0
g00492,24,19
g00493,174,134
g00494,113,146
g00495,0,0
g00496,131,92
g00497,2,1
g00498,7,7
g00499,2,1
g00500,3293,1889
g00501,0,0
g00502,59,59
g00503,1,0
g00504,3160,2815
g00505,88,112
g00506,694,579
g00507,29,29
g00508,86,80
g00509,3,6
g00510,507,411
g00511,3,1
g00512,0,0
g00513,1367,1160
g00514,24,29
g00515,0,0
g00516,14,8
g00517,2,1
g00518,1,3
g00519,14,19
g00520,5,10
g00521,0,0
g00522,9333,7424
g00523,36,24
g00524,144,154
g00525,0,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,0,0
g00531,0,0
g00532,1,0
g00533,0,0
g00534,3,2
g00535,4,1
g00536,0,0
g00537,0,0
g00538,3,2
g00539,0,3
g00540,3257,2585
g00541,163,187
g00542,1,1
g00543,1,2
g00544,0,0
g00545,0,0
g00546,1819,1577
g00547,39,30
g00548,29,9
g00549,0,0
g00550,3,1
g00551,0,0
g00552,3743,3693
g00553,5,3
g00554,1,0
g00555,4,5
g00556,0,0
g00557,0,1
g00558,641,709
g00559,19,13
g00560,100,72
g00561,10,0
g00562,449,345
g00563,0,0
g00564,0,0
g00565,0,0
g00566,0,1
g00567,0,0
g00568,1,6
g00569,5,12
g00570,723,539
g00571,9,5
g00572,1081,722
g00573,46,29
g00574,9,7
g00575,403,368
g00576,12,16
g00577,3,3
g00578,138,130
g00579,54,62
g00580,424,275
g00581,68,56
g00582,4,0
g00583,4,2
g00584,202,93
g00585,363,262
g00586,811,701
g00587,811,701
g00588,1018,834
g00589,821,717
g00590,878,793
g00591,840,739
g00592,840,718
g00593,71,72
g00594,1306,995
g00595,171,148
g00596,1684,1567
g00597,1241,1163
g00598,8,6
g00599,1,0
g00600,1,0
g00601,1,1
g00602,456,323
g00603,0,0
g00604,0,0
g00605,186,107
g00606,0,0
g00607,739,747
g00608,60,36
g00609,1,1
g00610,2,1
g00611,0,0
g00612,86,50
g00613,420,345
g00614,0,0
g00615,281,522
g00616,25,8
g00617,0,0
g00618,1,0
g00619,3352,2198
g00620,1,2
g00621,4,12
g00622,361,268
g00623,17,12
g00624,62,60
g00625,8,7
g00626,0,1
g00627,5,7
g00628,29,38
g00629,186,199
g00630,0,0
g00631,44,23
g00632,176,289
g00633,14,12
g00634,11,13
g00635,19,29
g00636,616,558
g00637,899,748
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,0
g00644,0,0
g00645,0,0
g00646,321,270
g00647,0,0
g00648,1336,921
g00649,225,138
g00650,0,0
g00651,4,3
g00652,90,62
g00653,1781,1672
g00654,83,54
g00655,580,361
g00656,110,91
g00657,0,0
g00658,15,27
g00659,30,22
g00660,1850,1214
g00661,41,29
g00662,514,387
g00663,231,223
g00664,77,64
g00665,387,432
g00666,1476,2010
g00667,3733,3931
g00668,874,700
g00669,175,173
g00670,343,262
g00671,920,846
g00672,721,618
g00673,488,478
g00674,30,27
g00675,206,161
g00676,100,84
g00677,0,0
g00678,0,0
g00679,0,0
g00680,0,1
g00681,0,0
g00682,0,0
g00683,0,0
g00684,144,112
g00685,43,39
g00686,0,0
g00687,0,0
g00688,0,0
g00689,0,0
g00690,0,0
g00691,0,0
g00692,0,0
g00693,0,0
g00694,0,0
g00695,0,0
g00696,68,62
g00697,655,545
g00698,20,28
g00699,938,582
g00700,21,24
g00701,0,0
g00702,0,0
g00703,0,0
g00704,2,1
g00705,0,0
g00706,0,0
g00707,44,43
g00708,6,3
g00709,565,516
g00710,1620,1307
g00711,0,0
g00712,34,41
g00713,17,16
g00714,1182,1089
g00715,1,2
g00716,685,538
g00717,86,90
g00718,11,11
g00719,1084,872
g00720,1483,1258
g00721,9354,7158
g00722,8275,8392
g00723,4,3
g00724,2368,4474
g00725,56,72
g00726,719,930
g00727,727,2510
g00728,587,157
g00729,3917,2280
g00730,2987,4097
g00731,153,193
g00732,3763,2243
g00733,0,12
g00734,0,1
g00735,312,303
g00736,0,0
g00737,0,0
g00738,346,273
g00739,380,346
g00740,3493,3200
g00741,12,9
g00742,753,317
g00743,404,105
g00744,44,17
g00745,142,88
g00746,543,359
g00747,89,92
g00748,327,141
g00749,283,216
g00750,486,391
g00751,2,1
g00752,0,0
g00753,4,4
g00754,2423,2900
g00755,16,14
g00756,11,3
g00757,0,0
g00758,0,0
g00759,2,1
g00760,0,0
g00761,1406,940
g00762,216,194
g00763,0,1
g00764,77,54
g00765,5,4
g00766,4,1
