,mut_NB_f4,mut_NB_f5
g05496,409,282
g05497,254,217
g05498,181,146
g05499,3,2
g05500,187,128
g05501,60,46
g05502,153,97
g05503,53,40
g05504,16,13
g05505,5,6
g05506,10,3
g05507,2,0
g05508,1,0
g05509,0,0
g05510,0,0
g05511,0,0
g05512,0,0
g05513,19,20
g05514,0,0
g05515,0,0
g05516,0,0
g05517,0,0
g05518,0,0
g05519,0,0
g05520,0,0
g05521,0,0
g05522,0,0
g05523,0,0
g05524,0,0
g05525,0,0
g05526,0,0
g05527,0,0
g05528,0,0
g05529,0,0
g05530,0,0
g05531,0,0
g05532,0,0
g05533,0,0
g05534,0,0
g05535,0,0
g05536,0,0
g05537,0,0
g05538,0,0
g05539,0,0
g05540,0,0
g05541,0,0
g05542,0,0
g05543,0,0
g05544,0,0
g05545,0,0
g05546,0,0
g05547,0,0
g05548,0,0
g05549,0,0
g05550,0,0
g05551,0,0
g05552,0,0
g05553,0,0
g05554,0,0
g05555,0,0
g05556,0,0
g05557,0,0
g05558,0,0
g05559,0,0
g05560,0,0
g05561,0,0
g05562,0,0
g05563,0,0
g05564,0,0
g05565,0,0
g05566,0,0
g05567,0,0
g05568,0,0
g05569,0,0
g05570,0,0
g05571,0,0
g05572,0,0
g05573,0,0
g05574,0,0
g05575,0,0
g05576,0,0
g05577,0,0
g05578,0,0
g05579,0,0
g05580,0,0
g05581,0,0
g05582,0,0
g05583,0,0
g05584,0,0
g05585,0,0
g05586,0,0
g05587,0,0
g05588,0,0
g05589,0,0
g05590,0,0
g05591,0,0
g05592,0,0
g05593,0,0
g05594,0,0
g05595,0,0
g05596,0,0
g05597,0,0
g05598,0,0
g05599,0,0
g05600,0,0
g05601,0,0
g05602,0,0
g05603,0,0
g05604,0,0
g05605,0,0
g05606,0,0
g05607,0,0
g05608,0,0
g05609,0,0
g05610,0,0
g05611,0,0
g05612,0,0
g05613,0,0
g05614,0,0
g05615,0,0
g05616,0,0
g05617,0,0
g05618,0,0
g05619,0,0
g05620,0,0
g05621,0,0
g05622,0,0
g05623,0,0
g05624,0,0
g05625,0,0
g05626,0,0
g05627,0,0
g05628,0,0
g05629,0,0
g05630,0,0
g05631,0,0
g05632,0,0
g05633,0,0
g05634,0,0
g05635,0,0
g05636,0,0
g05637,0,0
g05638,0,0
g05639,0,0
g05640,0,0
g05641,0,0
g05642,0,0
g05643,0,0
g05644,0,0
g05645,0,0
g05646,0,0
g05647,0,0
g05648,0,0
g05649,0,0
g05650,0,0
g05651,0,0
g05652,125,108
g05653,2,5
g05654,76,76
g05655,824,667
g05656,69,47
g05657,30,29
g05658,113,86
g05659,1,12
g05660,0,0
g05661,0,1
g05662,0,0
g05663,0,0
g05664,553,394
g05665,107,117
g05666,102,104
g05667,42,42
g05668,0,0
g05669,0,1
g05670,0,0
g05671,19,19
g05672,645,549
g05673,0,1
g05674,0,0
g05675,0,0
g05676,3,0
g05677,0,1
g05678,2720,2468
g05679,511,598
g05680,306,339
g05681,17519,13404
g05682,98455,53642
g05683,207,181
g05684,1507,1385
g05685,9,6
g05686,2,0
g05687,1,1
g05688,10,3
g05689,0,0
g05690,0,1
g05691,1,0
g05692,0,0
g05693,0,0
g05694,0,0
g05695,3,2
g05696,103,103
g05697,0,0
g05698,0,0
g05699,2251,3023
g05700,459,459
g05701,361,464
g05702,0,0
g05703,0,1
g05704,137,122
g05705,39,28
g05706,0,0
g05707,20,1
g05708,591,535
g05709,1842,1790
g05710,0,0
g05711,426,325
g05712,1146,797
g05713,2,0
g05714,0,0
g05715,13,1
g05716,30,25
g05717,86,33
g05718,2,2
g05719,72,43
g05720,1,1
g05721,482,499
g05722,202,149
g05723,179,126
g05724,15,23
g05725,94,79
g05726,0,0
g05727,0,0
g05728,1,0
g05729,0,0
g05730,0,0
g05731,39,40
g05732,120,174
g05733,5693,3502
g05734,1697,1392
g05735,415,278
g05736,366,287
g05737,163,107
g05738,702,602
g05739,4,3
g05740,0,0
g05741,137,105
g05742,674,553
g05743,81,53
g05744,7,4
g05745,0,0
g05746,140,76
g05747,0,0
g05748,2,0
g05749,2,1
g05750,2,4
g05751,24,34
g05752,1898,1357
g05753,7,0
g05754,597,604
g05755,56,61
g05756,0,0
g05757,0,0
g05758,1003,863
g05759,1,5
g05760,0,0
g05761,2,1
g05762,0,0
g05763,12,1
g05764,1,0
g05765,9,1
g05766,0,0
g05767,0,0
g05768,0,0
g05769,5,0
g05770,0,0
g05771,2,0
g05772,2,4
g05773,0,0
g05774,4,4
g05775,23,23
g05776,18,20
g05777,2,1
g05778,0,0
g05779,0,1
g05780,16,7
g05781,0,0
g05782,37,44
g05783,0,0
g05784,4,1
g05785,0,0
g05786,0,0
g05787,0,0
g05788,314,246
g05789,93,75
g05790,0,0
g05791,0,0
g05792,0,0
g05793,49,43
g05794,210,197
g05795,25,31
g05796,503,366
g05797,22,12
g05798,1,0
g05799,9,9
g05800,0,0
g05801,295,276
g05802,0,0
g05803,0,0
g05804,0,0
g05805,0,0
g05806,0,0
g05807,0,0
g05808,0,0
g05809,0,0
g05810,31,15
g05811,60,77
g05812,3,4
g05813,45,37
g05814,43,60
g05815,71,94
g05816,147,156
g05817,15,35
g05818,198,232
g05819,25,30
g05820,15,17
g05821,2,3
g05822,0,0
g05823,0,0
g05824,13,0
g05825,2,2
g05826,0,0
g05827,0,0
g05828,1,1
g05829,6,2
g05830,0,0
g05831,1,0
g05832,0,0
g05833,16,13
g05834,16,24
g05835,32,27
g05836,10,8
g05837,17,48
g05838,0,0
g05839,0,0
g05840,0,0
g05841,0,0
g05842,0,0
g05843,0,0
g05844,0,0
g05845,0,0
g05846,0,0
g05847,0,0
g05848,0,0
g05849,0,0
g05850,0,0
g05851,0,0
g05852,0,0
g05853,0,0
g05854,1,0
g05855,0,0
g05856,0,0
g05857,0,0
g05858,0,0
g05859,0,0
g05860,0,0
g05861,0,0
g05862,0,0
g05863,0,0
g05864,0,0
g05865,0,0
g05866,0,0
g05867,0,0
g05868,0,0
g05869,0,0
g05870,0,0
g05871,0,0
g05872,0,0
g05873,0,0
g05874,0,0
g05875,89,62
g05876,126,111
g05877,0,0
g05878,0,2
g05879,2,0
g05880,0,1
g05881,46,85
g05882,256,274
g05883,46,85
g05884,29,51
g05885,23,29
g05886,131,136
g05887,234,244
g05888,351,275
g05889,383,327
g05890,18,24
g05891,184,156
g05892,22,20
g05893,1,1
g05894,16,32
g05895,1070,1159
g05896,61,44
g05897,2106,1299
g05898,28,23
g05899,213,147
g05900,5,2
g05901,264,397
g05902,7,8
g05903,3124,1587
g05904,60,93
g05905,2,5
g05906,101,140
g05907,55,76
g05908,30,27
g05909,40,73
g05910,218,103
g05911,60,95
g05912,146,160
g05913,0,0
g05914,0,0
g05915,1,0
g05916,0,0
g05917,0,0
g05918,0,0
g05919,0,0
g05920,1,0
g05921,773,633
g05922,2,0
g05923,0,0
g05924,0,0
g05925,13,11
g05926,0,2
g05927,1,0
g05928,34,20
g05929,986,1000
g05930,108,123
g05931,109,74
g05932,4,1
g05933,68,65
g05934,798,620
g05935,4330,2937
g05936,236,196
g05937,1,2
g05938,4,4
g05939,0,0
g05940,0,0
g05941,0,0
g05942,0,0
g05943,0,0
g05944,0,0
g05945,0,0
g05946,0,0
g05947,0,0
g05948,0,0
g05949,0,0
g05950,0,0
g05951,0,0
g05952,0,0
g05953,0,0
g05954,5,18
g05955,1,0
g05956,12,2
g05957,0,0
g05958,0,0
g05959,0,0
g05960,0,0
g05961,0,0
g05962,0,0
g05963,0,0
g05964,0,0
g05965,1,2
g05966,29,21
g05967,292,188
g05968,1,3
g05969,226,170
g05970,74,89
g05971,362,338
g05972,18,11
g05973,876,664
g05974,2,0
g05975,1544,1095
g05976,6,1
g05977,633,539
g05978,65,78
g05979,13,20
g05980,0,0
g05981,131,85
g05982,0,0
g05983,0,0
g05984,1,5
g05985,177,67
g05986,10,6
g05987,0,0
g05988,4,1
g05989,178,130
g05990,8,7
g05991,49,30
g05992,0,0
g05993,5,7
g05994,4,1
g05995,57,30
g05996,12,3
g05997,2,0
g05998,0,0
g05999,0,0
g06000,0,0
g06001,0,0
g06002,0,0
g06003,0,0
g06004,0,0
g06005,6,0
g06006,406,288
g06007,164,100
g06008,6,4
g06009,39,21
g06010,254,236
g06011,66,76
g06012,1925,2223
g06013,4,4
g06014,116,164
g06015,30,46
g06016,103,61
g06017,6191,4868
g06018,57,41
g06019,0,0
g06020,867,583
g06021,3,3
g06022,0,0
g06023,1,0
g06024,70,45
g06025,0,0
g06026,681,1198
g06027,467,378
g06028,29,18
g06029,0,1
g06030,35,42
g06031,1,2
g06032,126,127
g06033,16,19
g06034,16,22
g06035,6,3
g06036,12,2
g06037,1131,821
g06038,1034,1072
g06039,256,256
g06040,44,37
g06041,490,366
g06042,138276,144298
g06043,168,135
g06044,13,13
g06045,439,376
g06046,73,62
g06047,88,72
g06048,117,113
g06049,4,9
g06050,0,4
g06051,594,669
g06052,477,320
g06053,0,0
g06054,32,26
g06055,320,254
g06056,270,260
g06057,1,1
g06058,0,0
g06059,0,0
g06060,1,2
g06061,507,486
g06062,72,64
g06063,1175,1040
g06064,20,11
g06065,736,1000
g06066,0,0
g06067,1490,1669
g06068,53,41
g06069,2,2
g06070,68,94
g06071,616,584
g06072,49,43
g06073,192,236
g06074,1395,969
g06075,746,676
g06076,0,0
g06077,1,0
g06078,3,6
g06079,0,0
g06080,1,2
g06081,0,0
g06082,1431,1116
g06083,457,225
g06084,150,80
g06085,4,3
g06086,91,61
g06087,1,1
g06088,3,4
g06089,0,0
g06090,7,3
g06091,7,6
g06092,564,416
g06093,921,759
g06094,530,267
g06095,2,3
g06096,20,15
g06097,9,11
g06098,540,282
g06099,647,453
g06100,674,1193
g06101,4,2
g06102,0,0
g06103,0,0
g06104,180,114
g06105,1000,562
g06106,2,1
g06107,564,532
g06108,12,8
g06109,1,1
g06110,1,1
g06111,1,0
g06112,44,43
g06113,0,0
g06114,402,333
g06115,2075,1719
g06116,75,49
g06117,630,277
g06118,35,52
g06119,139,73
g06120,10,5
g06121,2,16
g06122,5092,4097
g06123,568,397
g06124,15,30
g06125,18,11
g06126,26,15
g06127,1,5
g06128,14,23
g06129,164,168
g06130,765,715
g06131,1,0
g06132,0,0
g06133,0,0
g06134,0,0
g06135,0,0
g06136,0,0
g06137,0,0
g06138,0,0
g06139,26,13
g06140,0,0
g06141,0,0
g06142,0,0
g06143,0,0
g06144,0,0
g06145,0,0
g06146,0,0
g06147,0,0
g06148,43,38
g06149,453,360
g06150,136,118
g06151,1,0
g06152,218,180
g06153,12,42
g06154,0,0
g06155,2,9
g06156,369,299
g06157,744,732
g06158,29,24
g06159,555,133
g06160,1,0
g06161,2,1
g06162,0,0
g06163,95,74
g06164,0,0
g06165,124,87
g06166,217,221
g06167,12,11
g06168,491,381
g06169,2636,2228
g06170,10,18
g06171,19,18
g06172,0,1
g06173,238,266
g06174,1,3
g06175,10,13
g06176,300,274
g06177,4,3
g06178,55,28
g06179,1199,842
g06180,123,97
g06181,27,32
g06182,179,194
g06183,304,327
g06184,6165,4146
g06185,1318,1002
g06186,1002,894
g06187,1,0
g06188,6,4
g06189,1,1
g06190,0,0
g06191,24,15
g06192,2,2
g06193,2,3
g06194,233,205
g06195,61,58
g06196,67,60
g06197,5,1
g06198,3203,2351
g06199,1407,1059
g06200,1035,1272
g06201,68,76
g06202,1630,1394
g06203,1,5
g06204,0,0
g06205,0,0
g06206,0,0
g06207,283,256
g06208,18,20
g06209,42,32
g06210,49,58
g06211,27,15
g06212,201,200
g06213,639,517
g06214,594,549
g06215,1417,1493
g06216,93,54
g06217,126,88
g06218,1474,1337
g06219,374,331
g06220,143,104
g06221,34,66
g06222,1,0
g06223,10,15
g06224,2071,1833
g06225,16,13
g06226,0,0
g06227,1159,747
g06228,93,132
g06229,9,23
g06230,207,199
g06231,3,0
g06232,5,0
g06233,0,0
g06234,653,226
g06235,678,604
g06236,2,0
g06237,2,6
g06238,3,3
g06239,0,0
g06240,1227,1199
g06241,96,116
g06242,5393,4824
g06243,0,0
g06244,4,5
g06245,4,3
g06246,312,327
g06247,98,97
g06248,1092,1120
g06249,11,10
g06250,246,249
g06251,1584,960
g06252,1,0
g06253,7,13
g06254,81,59
g06255,1,1
g06256,391,274
g06257,30,33
g06258,0,0
g06259,0,1
g06260,0,0
g06261,0,0
g06262,1,0
g06263,14,10
g06264,50,44
g06265,232,193
g06266,2430,1920
g06267,1,0
g06268,2,1
g06269,430,347
g06270,7,3
g06271,1989,1344
g06272,0,0
g06273,2,2
g06274,1,1
g06275,3,1
g06276,0,0
g06277,5,3
g06278,0,0
g06279,0,0
g06280,2,0
g06281,0,0
g06282,0,0
g06283,0,0
g06284,0,0
g06285,0,0
g06286,0,0
g06287,0,0
g06288,0,0
g06289,0,0
g06290,0,0
g06291,1,0
g06292,0,0
g06293,0,1
g06294,3,2
g06295,0,1
g06296,3,2
g06297,0,0
g06298,48,49
g06299,2,0
g06300,1,0
g06301,3,4
g06302,3,2
g06303,1,0
g06304,0,0
g06305,7,5
g06306,7,1
g06307,3,2
g06308,480,338
g06309,383,247
g06310,3,7
g06311,224,184
g06312,13,11
g06313,7,11
g06314,7,10
g06315,174,128
g06316,658,557
g06317,361,261
g06318,0,0
g06319,76,71
g06320,58,42
g06321,102,90
g06322,1031,587
g06323,58,29
g06324,187,170
g06325,3094,1531
g06326,14,8
g06327,0,0
g06328,0,0
g06329,0,0
g06330,1,0
g06331,1,1
g06332,4511,3979
g06333,0,0
g06334,1,6
g06335,0,0
g06336,0,0
g06337,0,1
g06338,287,294
g06339,0,0
g06340,0,0
g06341,0,0
g06342,0,0
g06343,1,0
g06344,0,0
g06345,0,0
g06346,0,0
g06347,0,0
g06348,2,1
g06349,232,185
g06350,4,6
g06351,131,109
g06352,1447,1105
g06353,88,72
g06354,16,27
g06355,9,20
g06356,18,11
g06357,26,19
g06358,1,4
g06359,3,4
g06360,24,17
g06361,0,0
g06362,0,3
g06363,57,49
g06364,39,37
g06365,5,2
g06366,16,5
g06367,18,15
g06368,11,20
g06369,38,49
g06370,54,36
g06371,42,31
g06372,81,49
g06373,103,77
g06374,190,78
g06375,14,24
g06376,99,81
g06377,60,49
g06378,1,2
g06379,8,13
g06380,1,2
g06381,3,1
g06382,0,5
g06383,0,0
g06384,0,0
g06385,0,0
g06386,0,0
g06387,205,204
g06388,106,101
g06389,0,0
g06390,11,6
g06391,400,284
g06392,4,6
g06393,541,646
g06394,2599,2565
g06395,2,2
g06396,234,163
g06397,0,0
g06398,0,0
g06399,0,0
g06400,0,1
g06401,493,339
g06402,4,1
g06403,0,0
g06404,62,46
g06405,0,0
g06406,211,186
g06407,1163,907
g06408,0,5
g06409,668,203
g06410,343,337
g06411,193,157
g06412,193,155
g06413,0,0
g06414,6,5
g06415,0,0
g06416,807,669
g06417,6,5
g06418,9,2
g06419,880,556
g06420,32,20
g06421,45,23
g06422,19,36
g06423,3,6
g06424,18,25
g06425,320,267
g06426,1,0
g06427,575,933
g06428,54,52
g06429,3,4
g06430,741,643
g06431,6,4
g06432,571,492
g06433,771,861
g06434,381,254
g06435,63,45
g06436,2,13
g06437,8,5
g06438,16,28
g06439,185,212
g06440,3387,2499
g06441,0,1
g06442,0,0
g06443,1633,1561
g06444,3787,2810
g06445,117,140
g06446,1,1
g06447,55,78
g06448,0,1
g06449,96,94
g06450,1227,927
g06451,8,4
g06452,4,2
g06453,94,74
g06454,32,29
g06455,0,0
g06456,313,245
g06457,32,26
g06458,6,9
g06459,1,5
g06460,1,2
g06461,1614,1277
g06462,9,7
g06463,2,4
g06464,5,3
g06465,114,105
g06466,2329,1878
g06467,178,98
g06468,15,30
g06469,206,247
g06470,0,0
g06471,53,77
g06472,6,10
g06473,1,0
g06474,0,0
g06475,0,0
g06476,0,0
g06477,0,0
g06478,136,107
g06479,149,118
g06480,1028,697
g06481,19,21
g06482,0,0
g06483,2,4
g06484,6,2
g06485,217,372
g06486,0,2
g06487,85,57
g06488,453,344
g06489,0,0
g06490,10,7
g06491,34,39
g06492,1,0
g06493,0,0
g06494,407,290
g06495,78,65
g06496,0,3
g06497,186,135
g06498,1,1
g06499,0,1
g06500,162,115
g06501,53,40
g06502,0,1
g06503,25,16
g06504,564,425
g06505,0,0
g06506,1039,768
g06507,2,5
g06508,142,123
g06509,15,11
g06510,1,0
g06511,1,4
g06512,198,150
g06513,159,87
g06514,1077,806
g06515,2,4
g06516,0,0
g06517,0,0
g06518,0,0
g06519,0,0
g06520,22,21
g06521,47,48
g06522,2085,1953
g06523,24,18
g06524,1487,1297
g06525,82,46
g06526,0,0
g06527,306,314
g06528,105,112
g06529,0,0
g06530,14,12
g06531,0,0
g06532,1,0
g06533,505,426
g06534,1,0
g06535,1,2
g06536,198,156
g06537,66,59
g06538,22,33
g06539,6,1
g06540,2,1
g06541,137,93
g06542,7,18
g06543,71,74
g06544,740,675
g06545,1769,1319
g06546,1,1
g06547,0,0
g06548,22,16
g06549,125,146
g06550,604,473
g06551,793,500
g06552,51,40
g06553,0,1
g06554,1,1
g06555,0,0
g06556,155,22
g06557,295,211
g06558,159,151
g06559,603,561
g06560,33,17
g06561,1,5
g06562,0,0
g06563,0,0
g06564,0,0
g06565,614,545
g06566,654,685
g06567,2,0
g06568,0,0
g06569,0,0
g06570,2,1
g06571,81,64
g06572,158,143
g06573,24,23
g06574,93,125
g06575,0,0
g06576,105,121
g06577,1049,874
g06578,40,42
g06579,80,82
g06580,3,8
g06581,4,0
g06582,1,2
g06583,0,1
g06584,14,8
g06585,105,92
g06586,771,602
g06587,115,81
g06588,216,179
g06589,247,236
g06590,55,50
g06591,313,224
g06592,16,15
g06593,8,6
g06594,13,14
g06595,275,261
g06596,1,1
g06597,1,0
g06598,3,17
g06599,0,1
g06600,0,0
g06601,1347,888
g06602,3,4
g06603,1980,1874
g06604,37,29
g06605,19,15
g06606,0,0
g06607,695,531
g06608,5135,3610
g06609,158,139
g06610,24,31
g06611,577,414
g06612,460,473
g06613,129,118
g06614,9,16
g06615,21,11
g06616,29,19
g06617,132,140
g06618,63,57
g06619,1,0
g06620,1,7
g06621,0,0
g06622,9,12
g06623,0,0
g06624,276,233
g06625,11,5
g06626,40,42
g06627,192,150
g06628,5,3
g06629,4,0
g06630,148,144
g06631,0,0
g06632,233,195
g06633,94,92
g06634,52,46
g06635,64,68
g06636,8774,6025
g06637,11,11
g06638,34,56
g06639,8,6
g06640,0,0
g06641,0,0
g06642,7,3
g06643,0,0
g06644,0,0
g06645,1557,551
g06646,0,0
g06647,0,0
g06648,535,422
g06649,3,1
g06650,348,242
g06651,1208,1468
g06652,28,22
g06653,356,279
g06654,2765,2507
g06655,1,9
g06656,0,2
g06657,605,592
g06658,569,305
g06659,397,391
g06660,207,195
g06661,2,1
g06662,0,1
g06663,0,1
g06664,0,0
g06665,0,0
g06666,2,2
g06667,19,25
g06668,0,0
g06669,1,0
g06670,0,0
g06671,0,0
g06672,77,30
g06673,0,0
g06674,51,38
g06675,471,393
g06676,2,1
g06677,323,347
g06678,32,41
g06679,183,194
g06680,110,58
g06681,0,0
g06682,662,587
g06683,53,21
g06684,18,18
g06685,96,74
g06686,50,33
g06687,0,0
g06688,0,1
g06689,6,26
g06690,143,178
g06691,0,0
g06692,208,111
g06693,41,32
g06694,0,0
g06695,0,0
g06696,273,230
g06697,0,0
g06698,1,0
g06699,45,39
g06700,343,277
g06701,467,398
g06702,145,112
g06703,14,8
g06704,102,31
g06705,7,3
g06706,0,0
g06707,3308,2198
g06708,37,8
g06709,399,235
g06710,66,55
g06711,0,0
g06712,0,0
g06713,0,0
g06714,0,0
g06715,0,0
g06716,0,0
g06717,0,0
g06718,0,0
g06719,0,0
g06720,0,0
g06721,0,0
g06722,0,0
g06723,0,1
g06724,0,0
g06725,0,0
g06726,0,0
g06727,0,0
g06728,0,0
g06729,0,0
g06730,0,0
g06731,0,0
g06732,0,0
g06733,0,0
g06734,0,0
g06735,0,0
g06736,0,0
g06737,0,0
g06738,0,0
g06739,0,0
g06740,0,0
g06741,0,0
g06742,0,0
g06743,0,0
g06744,0,0
g06745,0,0
g06746,0,0
g06747,0,0
g06748,0,0
g06749,0,0
g06750,0,0
g06751,0,0
g06752,0,0
g06753,0,0
g06754,0,0
g06755,0,0
g06756,0,0
g06757,0,0
g06758,0,0
g06759,0,0
g06760,0,0
g06761,0,0
g06762,0,0
g06763,0,0
g06764,0,0
g06765,0,0
g06766,0,0
g06767,0,0
g06768,0,0
g06769,0,0
g06770,0,0
g06771,0,0
g06772,0,0
g06773,0,0
g06774,0,0
g06775,0,0
g06776,0,0
g06777,0,0
g06778,0,0
g06779,0,0
g06780,0,0
g06781,0,0
g06782,0,0
g06783,2,0
g06784,2,0
g06785,0,0
g06786,0,0
g06787,0,0
g06788,0,0
g06789,0,0
g06790,0,0
g06791,0,0
g06792,0,0
g06793,0,0
g06794,0,0
g06795,2,0
g06796,0,0
g06797,0,0
g06798,0,0
g06799,0,0
g06800,0,1
g06801,0,0
g06802,0,0
g06803,0,0
g06804,0,0
g06805,0,0
g06806,0,0
g06807,0,0
g06808,0,0
g06809,0,0
g06810,0,0
g06811,0,0
g06812,3381,3367
g06813,1367,1452
g06814,692,544
g06815,78,105
g06816,474,370
g06817,260,207
g06818,55,46
g06819,65,58
g06820,1,1
g06821,4,4
g06822,0,1
g06823,16,26
g06824,1,3
g06825,0,0
g06826,439,471
g06827,120,94
g06828,4,6
g06829,302,251
g06830,215,197
g06831,0,1
g06832,4,3
g06833,0,0
g06834,2,3
g06835,0,0
g06836,2,1
g06837,282,210
g06838,1174,1007
g06839,633,508
g06840,0,0
g06841,0,0
g06842,5,6
g06843,172,104
g06844,0,0
g06845,0,0
g06846,75,58
g06847,380,355
g06848,3152,2651
g06849,18,31
g06850,260,257
g06851,147,176
g06852,160,155
g06853,227,168
g06854,204,198
g06855,62,44
g06856,795,473
g06857,0,0
g06858,0,0
g06859,32,27
g06860,366,303
g06861,48,51
g06862,69,65
g06863,22,20
g06864,3,3
g06865,211,107
g06866,374,344
g06867,191,165
g06868,29,14
g06869,146,133
g06870,67,80
g06871,4,3
g06872,2947,3062
g06873,20,6
g06874,147,130
g06875,166,112
g06876,2987,1913
g06877,36,46
g06878,3,4
g06879,7,10
g06880,2160,1529
g06881,82,79
g06882,14,12
g06883,64,49
g06884,1457,1160
g06885,384,277
g06886,402,320
g06887,541,492
g06888,1666,1837
g06889,407,344
g06890,148,131
g06891,447,469
g06892,1,0
g06893,63,101
g06894,1209,944
g06895,545,486
g06896,89,67
g06897,50,37
g06898,30,23
g06899,238,127
g06900,3,12
g06901,0,0
g06902,0,3
g06903,3,3
g06904,9,4
g06905,2,1
g06906,301,147
g06907,1,0
g06908,512,362
g06909,1444,1116
g06910,0,0
g06911,0,0
g06912,5,4
g06913,2136,1729
g06914,2,3
g06915,163,159
g06916,2176,1541
g06917,714,428
g06918,1,0
g06919,45,53
g06920,270,174
g06921,0,0
g06922,0,0
g06923,0,0
g06924,0,0
g06925,0,0
g06926,0,0
g06927,0,0
g06928,0,0
g06929,0,0
g06930,0,0
g06931,0,0
g06932,0,0
g06933,0,0
g06934,0,0
g06935,15,10
g06936,1272,1056
g06937,13,12
g06938,315,293
g06939,508,509
g06940,1621,1281
g06941,4,2
g06942,25,14
g06943,795,592
g06944,0,0
g06945,17,22
g06946,0,0
g06947,163,108
g06948,432,330
g06949,28,42
g06950,5,6
g06951,0,0
g06952,0,1
g06953,7,56
g06954,1,9
g06955,0,4
g06956,195,199
g06957,158,135
g06958,48,31
g06959,509,251
g06960,79,51
g06961,379,430
g06962,2868,2872
g06963,30,38
g06964,1251,783
g06965,164,171
g06966,70,34
g06967,324,185
g06968,16,13
g06969,2,3
g06970,0,1
g06971,0,0
g06972,104,64
g06973,428,330
g06974,62,55
g06975,399,376
g06976,6,4
g06977,3,4
g06978,1612,1291
g06979,45,27
g06980,1956,3024
g06981,1685,1284
g06982,157,151
g06983,1967,1933
g06984,13,17
g06985,9,6
g06986,60,43
g06987,385,331
g06988,9,9
g06989,927,616
g06990,440,458
g06991,124,130
g06992,453,352
g06993,1,2
g06994,60,58
g06995,130,123
g06996,341,285
g06997,0,0
g06998,1,3
g06999,223,191
g07000,22,21
g07001,0,0
g07002,76,54
g07003,67,45
g07004,751,543
g07005,21,19
g07006,0,0
g07007,0,0
g07008,0,0
g07009,717,604
g07010,1,0
g07011,0,1
g07012,3,4
g07013,0,0
g07014,0,0
g07015,9,12
g07016,12,15
g07017,1,0
g07018,0,0
g07019,56,62
g07020,72,70
g07021,686,562
g07022,0,0
g07023,0,0
g07024,5,7
g07025,0,0
g07026,0,0
g07027,1,0
g07028,1,0
g07029,0,2
g07030,1,0
g07031,12852,5153
g07032,0,1
g07033,873,495
g07034,7,9
g07035,45,43
g07036,363,285
g07037,0,2
g07038,15919,10999
g07039,5,2
g07040,12,21
g07041,1352,976
g07042,0,0
g07043,25,9
g07044,2,0
g07045,3700,2413
g07046,3,3
g07047,0,0
g07048,0,0
g07049,0,0
g07050,563,414
g07051,0,0
g07052,0,0
g07053,0,0
g07054,8,9
g07055,486,823
g07056,783,715
g07057,0,0
g07058,0,0
g07059,0,0
g07060,0,0
g07061,18,9
g07062,622,654
g07063,25,12
g07064,83,32
g07065,0,0
g07066,0,0
g07067,0,0
g07068,0,0
g07069,0,0
g07070,0,0
g07071,0,0
g07072,0,0
g07073,0,0
g07074,0,0
g07075,0,0
g07076,0,0
g07077,0,0
g07078,0,0
g07079,0,0
g07080,0,0
g07081,0,0
g07082,0,0
g07083,0,0
g07084,0,0
g07085,0,0
g07086,0,0
g07087,0,0
g07088,7,4
g07089,0,0
g07090,0,0
g07091,0,0
g07092,0,0
g07093,0,0
g07094,0,0
g07095,1,3
g07096,0,0
g07097,0,0
g07098,0,0
g07099,0,0
g07100,0,0
g07101,0,0
g07102,0,0
g07103,0,0
g07104,0,0
g07105,0,0
g07106,0,0
g07107,0,0
g07108,0,0
g07109,0,0
g07110,0,0
g07111,1,0
g07112,2,1
g07113,31,17
g07114,4,9
g07115,336,235
g07116,68,47
g07117,792,567
g07118,128,89
g07119,37,33
g07120,16,13
g07121,32,26
g07122,1,0
g07123,1409,848
g07124,32,14
g07125,0,0
g07126,0,1
g07127,0,0
g07128,0,0
g07129,12,26
g07130,2,1
g07131,17,13
g07132,197,210
g07133,694,490
g07134,1,2
g07135,87,40
g07136,21,35
g07137,244,192
g07138,94,53
g07139,135,110
g07140,434,465
g07141,12750,13354
g07142,57,41
g07143,345,337
g07144,189,183
g07145,1221,922
g07146,0,0
g07147,452,361
g07148,36,10
g07149,181,120
g07150,0,0
g07151,0,0
g07152,1,1
g07153,0,0
g07154,0,0
g07155,752,588
g07156,145,133
g07157,1016,671
g07158,1,1
g07159,3,6
g07160,9,17
g07161,0,0
g07162,0,0
g07163,0,0
g07164,0,0
g07165,0,0
g07166,6,3
g07167,0,0
g07168,0,0
g07169,0,0
g07170,0,0
g07171,0,0
g07172,0,0
g07173,0,0
g07174,0,0
g07175,0,0
g07176,0,0
g07177,0,0
g07178,0,0
g07179,0,0
g07180,0,0
g07181,0,0
g07182,0,0
g07183,0,0
g07184,0,0
g07185,0,0
g07186,0,0
g07187,2,0
g07188,0,0
g07189,0,0
g07190,0,0
g07191,193,192
g07192,0,0
g07193,95126,78490
g07194,170,129
g07195,196,129
g07196,1,0
g07197,0,2
g07198,96,79
g07199,291,298
g07200,476,406
g07201,131,148
g07202,0,3
g07203,0,0
g07204,0,0
g07205,0,0
g07206,1,0
g07207,0,0
g07208,111,132
g07209,1051,648
g07210,0,1
g07211,2,0
g07212,1192,1282
g07213,47,153
g07214,15,25
g07215,0,0
g07216,0,0
g07217,0,0
g07218,0,0
