,het_E17.5_f5,het_E17.5_f4
g00389,7,1
g00390,27,23
g00391,0,0
g00392,135,140
g00393,0,0
g00394,0,0
g00395,241,198
g00396,7713,7550
g00397,973,730
g00398,10642,8896
g00399,3,4
g00400,0,0
g00401,1,0
g00402,0,0
g00403,319,252
g00404,92,84
g00405,9,5
g00406,344,265
g00407,2,1
g00408,602,477
g00409,0,0
g00410,634,576
g00411,456,484
g00412,3978,2736
g00413,0,2
g00414,1,1
g00415,0,0
g00416,0,0
g00417,0,1
g00418,1551,1604
g00419,5,6
g00420,0,0
g00421,6,1
g00422,0,0
g00423,0,0
g00424,2099,1681
g00425,1,1
g00426,1988,1827
g00427,569,394
g00428,907,870
g00429,15,7
g00430,53,63
g00431,782,666
g00432,1,0
g00433,5,8
g00434,1033,841
g00435,845,726
g00436,56,48
g00437,317,266
g00438,195,146
g00439,370,324
g00440,62,61
g00441,636,597
g00442,65,53
g00443,125,105
g00444,312,291
g00445,141,163
g00446,0,1
g00447,0,0
g00448,1,4
g00449,0,0
g00450,0,0
g00451,6,2
g00452,34,34
g00453,5,11
g00454,435,481
g00455,708,652
g00456,253,225
g00457,266,221
g00458,625,558
g00459,404,387
g00460,239,229
g00461,560,445
g00462,4371,3073
g00463,4,0
g00464,423,398
g00465,13,9
g00466,1,2
g00467,749,552
g00468,7911,8025
g00469,0,2
g00470,602,561
g00471,542,478
g00472,166,160
g00473,15,12
g00474,626,525
g00475,27,22
g00476,1445,1511
g00477,149,190
g00478,371,329
g00479,249,313
g00480,0,0
g00481,0,0
g00482,999,974
g00483,85,83
g00484,2,2
g00485,21,28
g00486,803,676
g00487,2,1
g00488,690,532
g00489,276,237
g00490,154,157
g00491,5,5
g00492,5,11
g00493,62,60
g00494,161,295
g00495,1,1
g00496,258,222
g00497,36,31
g00498,293,254
g00499,13,10
g00500,1509,1445
g00501,0,0
g00502,851,715
g00503,2,7
g00504,3226,3552
g00505,148,170
g00506,390,316
g00507,22,22
g00508,9,11
g00509,9,5
g00510,815,747
g00511,2,3
g00512,0,0
g00513,1250,1027
g00514,14,8
g00515,0,0
g00516,0,1
g00517,1,0
g00518,65,43
g00519,397,307
g00520,12,9
g00521,0,0
g00522,5009,4604
g00523,29,22
g00524,26,33
g00525,0,0
g00526,0,2
g00527,0,2
g00528,0,0
g00529,0,0
g00530,2,0
g00531,0,0
g00532,0,0
g00533,0,0
g00534,19,6
g00535,11,9
g00536,0,3
g00537,1,0
g00538,26,27
g00539,15,13
g00540,2202,2044
g00541,1988,2002
g00542,2,2
g00543,15,12
g00544,0,1
g00545,3,2
g00546,2022,1684
g00547,50,38
g00548,107,82
g00549,4,0
g00550,20,12
g00551,0,0
g00552,6124,2680
g00553,3,2
g00554,0,0
g00555,13,9
g00556,0,0
g00557,0,0
g00558,1760,1474
g00559,120,108
g00560,326,237
g00561,44,42
g00562,611,508
g00563,0,1
g00564,0,0
g00565,0,0
g00566,3,1
g00567,2,3
g00568,362,257
g00569,368,256
g00570,1249,1029
g00571,134,88
g00572,1261,1218
g00573,60,60
g00574,1,1
g00575,91,82
g00576,2,1
g00577,1,2
g00578,11,13
g00579,586,479
g00580,559,550
g00581,71,101
g00582,5,5
g00583,31,42
g00584,919,916
g00585,887,697
g00586,294,307
g00587,293,307
g00588,366,391
g00589,298,314
g00590,359,366
g00591,321,336
g00592,309,319
g00593,45,53
g00594,391,373
g00595,217,178
g00596,4315,3521
g00597,3446,2787
g00598,3,2
g00599,1,0
g00600,3,6
g00601,3,0
g00602,805,714
g00603,0,0
g00604,0,1
g00605,515,501
g00606,0,0
g00607,1186,1161
g00608,81,86
g00609,1,0
g00610,17,11
g00611,1,2
g00612,416,340
g00613,686,581
g00614,1,3
g00615,29766,31601
g00616,47,52
g00617,0,0
g00618,3,0
g00619,1594,1392
g00620,12,9
g00621,192,221
g00622,330,209
g00623,7,5
g00624,120,127
g00625,0,1
g00626,48,39
g00627,212,203
g00628,34,37
g00629,625,503
g00630,0,0
g00631,210,190
g00632,130,141
g00633,107,108
g00634,252,260
g00635,2857,1909
g00636,599,540
g00637,1128,1009
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,0
g00644,0,0
g00645,0,0
g00646,386,334
g00647,0,2
g00648,1490,1655
g00649,250,290
g00650,0,1
g00651,9,2
g00652,113,95
g00653,619,613
g00654,65,51
g00655,362,343
g00656,97,106
g00657,0,0
g00658,150,145
g00659,0,1
g00660,368,378
g00661,7,4
g00662,289,276
g00663,268,268
g00664,355,319
g00665,505,385
g00666,346,337
g00667,5564,4603
g00668,4224,3482
g00669,208,223
g00670,1120,993
g00671,314,338
g00672,421,371
g00673,589,593
g00674,492,430
g00675,450,365
g00676,154,136
g00677,1,2
g00678,1,0
g00679,0,1
g00680,1,1
g00681,0,0
g00682,3,3
g00683,0,0
g00684,166,175
g00685,219,181
g00686,0,0
g00687,0,0
g00688,0,0
g00689,0,0
g00690,2,0
g00691,3,4
g00692,0,0
g00693,0,0
g00694,1,0
g00695,1,0
g00696,108,123
g00697,1075,814
g00698,58,48
g00699,1114,1119
g00700,18,8
g00701,0,0
g00702,0,0
g00703,1,3
g00704,2,1
g00705,0,1
g00706,1,1
g00707,111,109
g00708,18,17
g00709,700,614
g00710,1028,959
g00711,0,1
g00712,188,167
g00713,10,9
g00714,654,622
g00715,0,3
g00716,601,528
g00717,695,689
g00718,86,87
g00719,523,389
g00720,993,938
g00721,3491,3859
g00722,3194,3716
g00723,6,7
g00724,552,883
g00725,3,3
g00726,555,689
g00727,680,772
g00728,51,37
g00729,983,1140
g00730,655,757
g00731,382,373
g00732,1051,1058
g00733,11,3
g00734,44,31
g00735,1100,973
g00736,0,2
g00737,0,0
g00738,742,606
g00739,536,508
g00740,2503,2004
g00741,14,8
g00742,67,97
g00743,834,719
g00744,384,335
g00745,249,264
g00746,938,913
g00747,233,207
g00748,160,159
g00749,348,322
g00750,276,171
g00751,1,0
g00752,6,5
g00753,44,34
g00754,2164,1699
g00755,29,24
g00756,158,129
g00757,0,0
g00758,0,3
g00759,129,73
g00760,1,1
g00761,635,640
g00762,642,580
g00763,1,0
g00764,92,93
g00765,9,8
g00766,2,3
g00767,1259,1116
g00768,399,443
g00769,74,58
g00770,91,73
g00771,235,175
g00772,297,287
g00773,4,2
g00774,0,3
g00775,10,3
g00776,9,3
g00777,1135,1016
g00778,0,8
g00779,850,822
g00780,167,138
g00781,767,571
g00782,1,0
g00783,1495,1324
g00784,45,22
g00785,2149,1842
g00786,1113,970
g00787,653,501
g00788,24,24
g00789,0,1
g00790,2,0
g00791,668,507
g00792,0,2
g00793,1,2
g00794,2,1
g00795,705,727
g00796,1134,1402
g00797,414,416
g00798,15,16
g00799,2,3
g00800,0,3
g00801,1,0
g00802,0,0
g00803,0,0
g00804,1,0
g00805,1,2
g00806,1257,1235
g00807,25,30
g00808,407,290
g00809,655,516
g00810,245,263
g00811,1392,1370
g00812,21,22
g00813,3,3
g00814,10,8
g00815,368,429
g00816,141,126
g00817,6,2
g00818,895,868
g00819,133,112
g00820,4572,3844
g00821,747,588
g00822,680,640
g00823,171,211
g00824,49,30
g00825,0,0
g00826,0,0
g00827,12,13
