,het_E15.5_f4,het_E15.5_f5
g00001,41,47
g00002,23,25
g00003,0,0
g00004,5,4
g00005,92,137
g00006,571,568
g00007,685,674
g00008,56,51
g00009,239,230
g00010,17,15
g00011,640,622
g00012,11,19
g00013,37,30
g00014,1057,1087
g00015,0,0
g00016,6,3
g00017,743,691
g00018,4,7
g00019,488,490
g00020,87,17
g00021,24,10
g00022,8,4
g00023,92,106
g00024,610,650
g00025,126,131
g00026,289,277
g00027,1,0
g00028,5,12
g00029,174,176
g00030,4,14
g00031,1,0
g00032,0,0
g00033,0,0
g00034,517,623
g00035,668,729
g00036,1053,1531
g00037,15,26
g00038,775,748
g00039,24,16
g00040,0,0
g00041,1610,1924
g00042,121,148
g00043,0,0
g00044,1532,1870
g00045,2362,2237
g00046,218,134
g00047,0,0
g00048,2,1
g00049,88,82
g00050,112,180
g00051,3,2
g00052,41,37
g00053,285,317
g00054,19,19
g00055,4,3
g00056,0,3
g00057,3091,2708
g00058,177,155
g00059,280,202
g00060,369,304
g00061,349,347
g00062,0,1
g00063,400,290
g00064,12,12
g00065,236,214
g00066,3,1
g00067,73,122
g00068,101,93
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,617,990
g00076,122,149
g00077,1,1
g00078,0,0
g00079,12,23
g00080,0,0
g00081,1,0
g00082,2210,2245
g00083,2,1
g00084,294,385
g00085,35,25
g00086,53,105
g00087,27,29
g00088,159,140
g00089,0,0
g00090,0,0
g00091,0,0
g00092,0,0
g00093,33,37
g00094,18,21
g00095,0,0
g00096,0,0
g00097,1,0
g00098,176,137
g00099,0,0
g00100,297,383
g00101,521,655
g00102,106,66
g00103,1161,1313
g00104,52,44
g00105,159,235
g00106,392,377
g00107,38,37
g00108,3,1
g00109,0,0
g00110,0,0
g00111,0,2
g00112,0,0
g00113,0,0
g00114,0,0
g00115,1861,1972
g00116,96,107
g00117,0,0
g00118,0,0
g00119,0,0
g00120,0,0
g00121,0,0
g00122,5,1
g00123,2,0
g00124,1,1
g00125,455,485
g00126,12,0
g00127,197,197
g00128,448,413
g00129,473,507
g00130,1,0
g00131,25,21
g00132,6126,7760
g00133,0,1
g00134,300,376
g00135,574,627
g00136,166,229
g00137,123,104
g00138,0,0
g00139,23,17
g00140,0,0
g00141,1,2
g00142,1,1
g00143,285,259
g00144,2966,3216
g00145,202,353
g00146,698,642
g00147,2143,2140
g00148,13,16
g00149,128,123
g00150,1003,1013
g00151,102,116
g00152,165,149
g00153,335,357
g00154,116,136
g00155,118,154
g00156,428,509
g00157,19,24
g00158,701,578
g00159,1157,1133
g00160,1,0
g00161,7,21
g00162,1257,1882
g00163,14,10
g00164,1,3
g00165,270,368
g00166,1026,962
g00167,522,480
g00168,372,417
g00169,22,27
g00170,27,35
g00171,88,104
g00172,8,10
g00173,70,69
g00174,81,78
g00175,171,151
g00176,486,439
g00177,0,0
g00178,0,0
g00179,641,584
g00180,885,1566
g00181,622,625
g00182,215,178
g00183,200,195
g00184,30,44
g00185,11,3
g00186,0,0
g00187,534,535
g00188,17,26
g00189,349,316
g00190,612,619
g00191,495,436
g00192,6,12
g00193,981,1028
g00194,12,13
g00195,12,3
g00196,1,0
g00197,1,0
g00198,4856,4835
g00199,3,4
g00200,22,28
g00201,451,507
g00202,213,274
g00203,546,599
g00204,18,13
g00205,1,8
g00206,0,0
g00207,26,11
g00208,87,80
g00209,84,64
g00210,0,0
g00211,3,7
g00212,93,94
g00213,9,23
g00214,540,447
g00215,3,8
g00216,451,584
g00217,404,431
g00218,116,96
g00219,1,0
g00220,554,572
g00221,27,34
g00222,25,20
g00223,126,136
g00224,1,0
g00225,1382,1468
g00226,13,7
g00227,130,94
g00228,357,400
g00229,244,208
g00230,477,545
g00231,143,159
g00232,22,5
g00233,273,251
g00234,10,12
g00235,155308,148588
g00236,15625,14457
g00237,835,770
g00238,4,3
g00239,182,145
g00240,1,0
g00241,0,0
g00242,25,37
g00243,3,2
g00244,1387,1721
g00245,0,0
g00246,408,427
g00247,7,6
g00248,1611,1323
g00249,200,179
g00250,2,3
g00251,1714,1838
g00252,4,3
g00253,0,0
g00254,640,524
g00255,1541,1494
g00256,802,854
g00257,261,277
g00258,500,668
g00259,98,107
g00260,283,214
g00261,10,6
g00262,45,41
g00263,3,1
g00264,191,235
g00265,209,188
g00266,167,126
g00267,814,725
g00268,2,1
g00269,207,234
g00270,483,501
g00271,14,8
g00272,472,486
g00273,756,870
g00274,973,963
g00275,6454,6872
g00276,127,100
g00277,2322,1512
g00278,887,547
g00279,612,547
g00280,369,382
g00281,288,271
g00282,0,1
g00283,249,223
g00284,3,3
g00285,0,0
g00286,0,0
g00287,32,52
g00288,22,17
g00289,1,0
g00290,24,20
g00291,200,150
g00292,115,108
g00293,242,243
g00294,979,1090
g00295,305,344
g00296,788,746
g00297,47,44
g00298,11,9
g00299,3109,3207
g00300,11,22
g00301,3337,3165
g00302,2161,1806
g00303,334,281
g00304,408,375
g00305,571,527
g00306,5,12
g00307,354,369
g00308,512,351
g00309,11,6
g00310,3,2
