,het_E15.5_f4,het_E15.5_f5
g00311,773,866
g00312,391,396
g00313,826,923
g00314,210,236
g00315,0,1
g00316,122,122
g00317,22,27
g00318,447,445
g00319,2,7
g00320,586,638
g00321,11,11
g00322,430,407
g00323,1856,1697
g00324,8,9
g00325,3,1
g00326,826,964
g00327,35,40
g00328,504,586
g00329,17,13
g00330,353,310
g00331,176,218
g00332,0,4
g00333,894,823
g00334,360,271
g00335,1032,1051
g00336,886,951
g00337,8,8
g00338,0,0
g00339,12,17
g00340,0,0
g00341,1,0
g00342,8,12
g00343,4,0
g00344,515,513
g00345,1956,2253
g00346,20,23
g00347,1031,1355
g00348,210,182
g00349,91,68
g00350,1642,1189
g00351,5399,5125
g00352,2,3
g00353,4,4
g00354,965,991
g00355,382,407
g00356,1,0
g00357,0,0
g00358,304,281
g00359,10,2
g00360,5,4
g00361,203,211
g00362,1536,1667
g00363,192,226
g00364,41,35
g00365,109,129
g00366,143,120
g00367,229,266
g00368,9,8
g00369,0,0
g00370,0,0
g00371,0,0
g00372,0,0
g00373,0,1
g00374,0,0
g00375,1,3
g00376,1359,1097
g00377,1035,1099
g00378,2,2
g00379,0,0
g00380,621,716
g00381,36,25
g00382,5,5
g00383,518,512
g00384,596,608
g00385,452,359
g00386,58,46
g00387,2041,1767
g00388,1158,1163
g00389,1,3
g00390,60,87
g00391,4,1
g00392,451,522
g00393,1,1
g00394,0,0
g00395,336,347
g00396,3733,4506
g00397,1471,1366
g00398,5861,8184
g00399,4,3
g00400,0,0
g00401,1,0
g00402,0,1
g00403,124,134
g00404,95,119
g00405,12,5
g00406,448,480
g00407,4,2
g00408,620,680
g00409,0,1
g00410,827,740
g00411,942,940
g00412,5455,7920
g00413,0,1
g00414,1,0
g00415,1,2
g00416,2,0
g00417,1,1
g00418,1421,1582
g00419,11,2
g00420,0,0
g00421,1,3
g00422,1,1
g00423,0,0
g00424,2111,2209
g00425,5,2
g00426,2553,2171
g00427,395,490
g00428,982,1137
g00429,8,6
g00430,58,57
g00431,786,841
g00432,0,0
g00433,7,8
g00434,1146,1182
g00435,1054,1092
g00436,18,11
g00437,302,398
g00438,284,210
g00439,355,369
g00440,60,66
g00441,780,921
g00442,56,46
g00443,104,153
g00444,478,505
g00445,149,175
g00446,4,6
g00447,0,0
g00448,0,0
g00449,0,0
g00450,3,0
g00451,2,0
g00452,41,40
g00453,13,8
g00454,471,473
g00455,774,746
g00456,205,244
g00457,420,349
g00458,547,617
g00459,443,439
g00460,257,258
g00461,581,591
g00462,1246,1411
g00463,2,2
g00464,387,435
g00465,7,4
g00466,0,0
g00467,800,767
g00468,4944,4009
g00469,0,1
g00470,475,537
g00471,527,511
g00472,169,189
g00473,10,11
g00474,777,757
g00475,22,24
g00476,1905,2056
g00477,165,191
g00478,443,414
g00479,325,364
g00480,0,0
g00481,0,0
g00482,1005,1236
g00483,85,80
g00484,2,6
g00485,15,25
g00486,1150,1098
g00487,0,3
g00488,780,674
g00489,319,306
g00490,112,121
g00491,6,4
g00492,4,4
g00493,38,37
g00494,166,162
g00495,0,0
g00496,379,314
g00497,41,53
g00498,413,440
g00499,14,16
g00500,1358,1333
g00501,0,0
g00502,1110,1175
g00503,0,0
g00504,2897,3635
g00505,131,185
g00506,360,361
g00507,20,29
g00508,21,17
g00509,7,5
g00510,978,910
g00511,10,5
g00512,0,0
g00513,1250,1265
g00514,18,14
g00515,0,0
g00516,0,0
g00517,0,0
g00518,138,188
g00519,265,325
g00520,33,45
g00521,0,0
g00522,4550,4764
g00523,37,40
g00524,3,3
g00525,0,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,0,1
g00531,0,0
g00532,0,0
g00533,0,0
g00534,12,6
g00535,8,8
g00536,0,0
g00537,0,1
g00538,13,6
g00539,30,19
g00540,2115,2183
g00541,2128,2030
g00542,0,2
g00543,8,11
g00544,0,0
g00545,2,4
g00546,2464,2198
g00547,62,59
g00548,99,126
g00549,1,2
g00550,16,20
g00551,0,0
g00552,6238,10271
g00553,4,7
g00554,0,0
g00555,20,26
g00556,0,1
g00557,1,0
g00558,2189,2054
g00559,114,156
g00560,361,402
g00561,27,76
g00562,621,777
g00563,0,0
g00564,4,0
g00565,1,3
g00566,6,15
g00567,0,2
g00568,268,327
g00569,380,429
g00570,1503,1476
g00571,115,148
g00572,1392,1508
g00573,52,87
g00574,1,1
g00575,22,15
g00576,0,0
g00577,0,0
g00578,0,3
g00579,378,408
g00580,654,696
g00581,81,103
g00582,5,7
g00583,41,51
g00584,1160,1127
g00585,1060,1068
g00586,327,355
g00587,328,355
g00588,365,410
g00589,328,365
g00590,359,403
g00591,345,378
g00592,342,374
g00593,71,60
g00594,529,563
g00595,107,233
g00596,4010,5905
g00597,3245,4809
g00598,0,0
g00599,0,0
g00600,3,2
g00601,1,0
g00602,652,714
g00603,0,0
g00604,1,0
g00605,391,540
g00606,1,1
g00607,1270,1590
g00608,75,120
g00609,2,2
g00610,11,10
g00611,6,2
g00612,351,452
g00613,889,809
g00614,0,0
g00615,18652,22179
g00616,29,28
g00617,0,0
g00618,16,10
g00619,1295,1516
g00620,7,9
g00621,137,129
g00622,272,320
g00623,6,3
g00624,184,199
g00625,6,4
g00626,39,22
g00627,163,129
g00628,46,62
g00629,719,660
g00630,1,1
g00631,283,275
g00632,102,166
g00633,146,152
g00634,299,259
g00635,2165,2896
g00636,584,767
g00637,1567,1370
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,0
g00644,0,0
g00645,0,0
g00646,431,343
g00647,1,0
g00648,1750,1830
g00649,270,285
g00650,2,0
g00651,8,9
g00652,93,91
g00653,528,640
g00654,61,56
g00655,352,314
g00656,47,69
g00657,0,0
g00658,144,191
g00659,1,0
g00660,853,721
g00661,10,8
g00662,250,288
g00663,267,249
g00664,430,451
g00665,566,630
g00666,192,332
g00667,5414,5979
g00668,5058,4670
g00669,220,285
g00670,1247,1274
g00671,302,279
g00672,459,499
g00673,687,688
g00674,743,667
g00675,531,437
g00676,158,156
g00677,3,8
g00678,1,3
g00679,0,0
g00680,3,2
g00681,2,0
g00682,3,2
g00683,0,0
g00684,160,168
g00685,277,289
g00686,0,0
g00687,0,0
g00688,0,1
g00689,0,0
g00690,1,0
g00691,0,1
g00692,1,0
g00693,0,0
g00694,0,0
g00695,0,2
g00696,109,110
g00697,1095,1166
g00698,74,59
g00699,1017,1152
g00700,19,13
g00701,2,2
g00702,0,0
g00703,3,0
g00704,1,1
g00705,0,0
g00706,6,3
g00707,106,82
g00708,16,14
g00709,931,884
g00710,1086,1090
g00711,0,0
g00712,184,175
g00713,7,9
g00714,521,549
g00715,4,5
g00716,596,685
g00717,458,586
g00718,58,71
g00719,514,569
g00720,1021,1088
g00721,1158,1321
g00722,845,927
g00723,1,0
g00724,310,297
g00725,4,7
g00726,140,136
g00727,109,148
g00728,291,195
g00729,455,443
g00730,365,463
g00731,775,691
g00732,352,420
g00733,7,3
g00734,21,33
g00735,861,835
g00736,1,2
g00737,0,0
g00738,970,896
g00739,965,728
g00740,2590,2991
g00741,22,24
g00742,76,102
g00743,406,764
g00744,242,273
g00745,389,332
g00746,1458,1262
g00747,253,329
g00748,375,410
g00749,381,371
g00750,167,135
g00751,0,2
g00752,15,5
g00753,51,28
g00754,2529,1991
g00755,38,32
g00756,129,138
g00757,1,0
g00758,2,0
g00759,98,146
g00760,1,0
g00761,269,289
g00762,711,801
g00763,1,0
g00764,150,155
g00765,13,14
g00766,7,8
g00767,1451,1457
g00768,428,439
g00769,77,65
g00770,91,76
g00771,166,186
g00772,321,415
g00773,1,5
g00774,4,1
g00775,5,7
g00776,4,7
g00777,1319,1412
g00778,2,2
g00779,867,830
g00780,226,237
g00781,667,1021
g00782,4,3
g00783,1559,1593
g00784,11,13
g00785,3056,2746
g00786,1463,1300
g00787,263,296
g00788,25,29
g00789,4,0
g00790,1,0
g00791,270,345
g00792,2,0
g00793,1,2
g00794,0,1
g00795,498,598
g00796,236,277
g00797,465,625
g00798,41,76
g00799,10,6
g00800,3,6
g00801,0,0
g00802,0,0
g00803,0,0
g00804,0,0
g00805,1,0
g00806,1173,1080
g00807,19,30
g00808,400,414
g00809,100,182
g00810,166,183
g00811,1205,1676
g00812,49,42
g00813,2,2
g00814,2,6
g00815,277,244
g00816,6,11
g00817,5,2
g00818,761,739
g00819,108,124
g00820,6431,5786
g00821,770,778
g00822,625,756
g00823,160,194
g00824,39,55
g00825,0,0
g00826,0,1
g00827,2,0
g00828,125,151
g00829,227,228
g00830,742,772
g00831,631,728
g00832,48,41
g00833,12,20
g00834,14,21
g00835,1,0
g00836,69,75
g00837,952,1094
g00838,519,561
g00839,1320,1344
g00840,283,295
g00841,9,21
g00842,0,2
g00843,0,0
g00844,7,4
g00845,8,8
g00846,249,276
g00847,507,429
g00848,2203,2694
g00849,1482,1904
g00850,12,12
g00851,1873,2334
g00852,9,11
g00853,155,147
g00854,27,61
g00855,108,169
g00856,13,10
g00857,531,472
g00858,3,2
g00859,24,24
g00860,23,68
g00861,592,708
g00862,264,351
g00863,1425,1339
g00864,428,469
g00865,1011,981
g00866,0,1
g00867,358,374
g00868,1887,1958
g00869,396,382
g00870,350,320
g00871,411,456
g00872,5,2
g00873,3,4
g00874,2696,3306
g00875,31,53
g00876,495,570
g00877,76,80
g00878,144,158
g00879,21,20
g00880,1,5
g00881,98,133
g00882,260,267
g00883,3,2
g00884,86,122
g00885,678,626
g00886,360,274
g00887,50,22
g00888,73,45
g00889,2193,2158
g00890,397,559
g00891,1660,1672
g00892,415,372
g00893,3036,2609
g00894,1557,1689
g00895,1832,2119
g00896,3499,4595
g00897,5,3
g00898,526,522
g00899,547,562
g00900,1,0
g00901,400,523
g00902,3,6
g00903,108,175
g00904,1,0
g00905,0,3
g00906,2010,2257
g00907,33,22
g00908,262,212
g00909,577,649
g00910,0,0
g00911,550,532
g00912,1,6
g00913,1,0
g00914,0,0
g00915,69,70
g00916,59,80
g00917,0,2
g00918,0,2
g00919,180,197
g00920,0,0
g00921,621,637
g00922,0,0
g00923,0,2
g00924,50,57
g00925,0,0
g00926,362,402
g00927,3,6
g00928,0,0
g00929,994,980
g00930,2175,2169
g00931,0,0
g00932,0,0
g00933,0,0
g00934,0,0
g00935,1,1
g00936,100,115
g00937,41,51
g00938,0,0
g00939,0,0
g00940,188,208
g00941,195,174
g00942,153,156
g00943,931,977
g00944,329,374
g00945,339,351
g00946,43,63
g00947,19,4
g00948,22,14
g00949,0,0
g00950,88,78
g00951,5,2
g00952,0,0
g00953,0,0
g00954,0,0
g00955,416,393
g00956,1,0
g00957,13,13
g00958,6,3
g00959,0,0
g00960,0,0
g00961,0,0
g00962,578,532
g00963,3997,4642
g00964,39,40
g00965,1855,1781
g00966,12,14
g00967,0,0
g00968,4187,4220
g00969,315,315
g00970,362,441
g00971,969,896
g00972,1,3
g00973,358,301
g00974,1622,1649
g00975,1325,1390
g00976,182,160
g00977,140,161
g00978,595,591
g00979,4,5
g00980,1,0
g00981,1110,1223
g00982,597,698
g00983,71,82
g00984,1509,1748
g00985,50,34
g00986,641,699
g00987,4126,4427
g00988,1,1
g00989,14,13
g00990,1451,1658
g00991,448,475
g00992,8,12
g00993,1,2
g00994,171,181
g00995,229,234
g00996,2,2
g00997,1,1
g00998,1,1
g00999,1,3
g01000,1574,1664
g01001,287,293
g01002,2,1
g01003,0,0
g01004,64,52
g01005,463,465
g01006,80,96
g01007,1039,1013
g01008,275,292
g01009,11,10
g01010,402,471
g01011,2,1
g01012,574,568
g01013,0,2
g01014,73,95
g01015,560,564
g01016,2666,3099
g01017,551,635
g01018,2079,2107
g01019,2,2
g01020,4,7
g01021,0,7
g01022,2,1
g01023,444,486
g01024,843,911
g01025,129,176
g01026,251,235
g01027,1760,1679
g01028,1293,1392
g01029,619,483
g01030,2,0
g01031,897,1073
g01032,459,400
g01033,188,204
g01034,273,261
g01035,0,0
g01036,6,10
g01037,41,32
g01038,0,0
g01039,2345,3328
g01040,1,1
g01041,354,365
g01042,7,15
g01043,5,2
g01044,230,244
g01045,44,46
g01046,11,36
g01047,264,274
g01048,843,756
g01049,600,673
g01050,1,0
g01051,18,30
g01052,0,0
g01053,1119,1224
g01054,79,75
g01055,272,344
g01056,3566,3083
g01057,32,29
g01058,16,16
g01059,354,304
g01060,82,66
g01061,449,474
g01062,0,4
g01063,0,0
g01064,1286,1236
g01065,1,1
g01066,5,8
g01067,0,0
g01068,855,856
g01069,1,2
g01070,277,297
g01071,84,125
g01072,6,9
g01073,1235,1943
g01074,7,10
g01075,8,27
g01076,302,315
g01077,245,315
g01078,0,2
g01079,0,0
g01080,4745,6762
g01081,0,2
g01082,189,200
g01083,43,79
g01084,1,1
g01085,0,2
g01086,0,2
g01087,2734,3188
g01088,273,276
g01089,1,0
g01090,772,875
g01091,409,450
g01092,409,351
g01093,54,37
g01094,0,1
g01095,5,6
g01096,1,3
g01097,0,1
g01098,6,13
g01099,355,457
g01100,68,66
g01101,570,586
g01102,317,306
g01103,248,208
g01104,2700,2550
g01105,1,2
g01106,0,0
g01107,0,0
g01108,0,0
g01109,0,0
g01110,1042,1155
g01111,396,406
g01112,147,162
g01113,523,604
g01114,380,312
g01115,4,6
g01116,306,396
g01117,26,24
g01118,264,269
g01119,0,1
g01120,385,325
g01121,132,127
g01122,676,855
g01123,455,410
g01124,4,4
g01125,0,1
g01126,76,91
g01127,67,73
g01128,470,428
g01129,1764,1960
g01130,0,0
g01131,0,0
g01132,0,0
g01133,3,2
g01134,40,48
g01135,1247,1059
g01136,880,725
g01137,103,110
g01138,308,281
g01139,698,593
g01140,2,0
g01141,0,0
g01142,101,83
g01143,16,23
g01144,705,858
g01145,600,527
g01146,389,413
g01147,255,277
g01148,25,30
g01149,0,2
g01150,777,787
g01151,22,30
g01152,2743,3032
g01153,660,660
g01154,319,335
g01155,0,1
g01156,5,8
g01157,4,0
g01158,26,41
g01159,2,3
g01160,23,35
g01161,338,423
g01162,718,740
g01163,284,331
g01164,2,0
g01165,1,0
g01166,35,34
g01167,10,4
g01168,265,266
g01169,6,9
g01170,2017,1467
g01171,119,137
g01172,43,65
g01173,21,23
g01174,449,359
g01175,5,4
g01176,395,362
g01177,2428,1860
g01178,299,332
g01179,368,384
g01180,287,303
g01181,478,486
g01182,676,576
g01183,318,272
g01184,15,7
g01185,420,400
g01186,398,331
g01187,96,129
g01188,27,22
g01189,1912,2237
g01190,176,176
g01191,396,374
g01192,8,9
g01193,830,849
g01194,82,105
g01195,0,0
g01196,8,13
g01197,17,32
g01198,5,1
g01199,22,29
g01200,1,0
g01201,5,2
g01202,34,33
g01203,2,0
g01204,0,0
g01205,1,0
g01206,281,361
g01207,0,4
g01208,942,1293
g01209,6519,7130
g01210,1296,1332
g01211,1325,1104
g01212,2009,1991
g01213,1127,1001
g01214,355,253
g01215,2,3
g01216,473,362
g01217,408,340
g01218,3,1
g01219,8,4
g01220,689,865
g01221,566,609
g01222,7,8
g01223,795,970
g01224,1242,1301
g01225,17,28
g01226,12,9
g01227,61,31
g01228,3,2
g01229,0,0
g01230,71,83
g01231,1,1
g01232,1,0
g01233,0,0
g01234,0,0
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,1,2
g01240,0,0
g01241,0,0
g01242,6,5
g01243,65,58
g01244,42,33
g01245,1,2
g01246,0,0
g01247,0,0
g01248,2,4
g01249,1,1
g01250,0,0
g01251,48,70
g01252,36,27
g01253,3,5
g01254,0,2
g01255,17,18
g01256,0,1
g01257,8,13
g01258,85,101
g01259,3,0
g01260,0,0
g01261,0,0
g01262,0,1
g01263,0,0
g01264,0,0
g01265,0,0
g01266,0,1
g01267,0,0
g01268,0,0
g01269,121,69
g01270,0,1
g01271,0,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,69,76
g01277,506,556
g01278,7,4
g01279,1263,981
g01280,7,4
g01281,88,88
g01282,200,233
g01283,0,0
g01284,574,600
g01285,19,22
g01286,1620,1646
g01287,1,2
g01288,244,272
g01289,36,46
g01290,418,483
g01291,660,632
g01292,24,13
g01293,0,0
g01294,1187,1011
g01295,1,0
g01296,5,2
g01297,666,662
g01298,11,14
g01299,1,2
g01300,10,7
g01301,5,4
g01302,247,239
g01303,6654,6487
g01304,43,36
g01305,122,129
g01306,248,312
g01307,39,55
g01308,602,683
g01309,415,347
g01310,2507,2552
g01311,0,0
g01312,1220,1417
g01313,207,126
g01314,358,418
g01315,31,14
g01316,1077,1263
g01317,64,78
g01318,2668,2556
g01319,257,225
g01320,4,2
g01321,1108,1165
g01322,27,28
g01323,520,459
g01324,571,547
g01325,0,0
g01326,2,1
g01327,139,109
g01328,490,413
g01329,25,27
g01330,246,270
g01331,163,128
g01332,0,0
g01333,770,836
g01334,424,447
g01335,2033,2115
g01336,17,15
g01337,6,4
g01338,0,0
g01339,27,42
g01340,1924,1951
g01341,0,0
g01342,1864,2049
g01343,330,299
g01344,0,0
g01345,1878,1689
g01346,17,15
g01347,627,622
g01348,587,742
g01349,1879,1729
g01350,2,1
g01351,0,0
g01352,89,168
g01353,71,73
g01354,659,807
g01355,440,393
g01356,444,419
g01357,2179,2474
g01358,270,251
g01359,5,4
g01360,17,22
g01361,554,676
g01362,0,0
g01363,0,0
g01364,95,108
g01365,3,1
g01366,763,708
g01367,6,4
g01368,606,657
g01369,443,589
g01370,1028,1155
g01371,0,0
g01372,1528,1466
g01373,2,0
g01374,6,5
g01375,398,320
g01376,4571,4454
g01377,3,7
g01378,3,1
g01379,1,2
g01380,0,1
g01381,119,96
g01382,303,400
g01383,431,357
g01384,0,0
g01385,3,2
g01386,1,0
g01387,433,499
g01388,61,57
g01389,66,20
g01390,4,2
g01391,5,2
g01392,772,805
g01393,44,59
g01394,12,4
g01395,0,5
g01396,1738,2309
g01397,1171,1370
g01398,763,800
g01399,165,149
g01400,9,8
g01401,474,467
g01402,590,629
g01403,475,492
g01404,294,231
g01405,98,75
g01406,2,4
g01407,67,55
g01408,338,343
g01409,7,9
g01410,0,1
g01411,70,79
g01412,16,22
g01413,431,389
g01414,650,583
g01415,493,511
g01416,1060,1009
g01417,0,1
g01418,848,800
g01419,1179,1115
g01420,892,805
g01421,528,406
g01422,75,107
g01423,447,530
g01424,9,8
g01425,121,124
g01426,0,1
g01427,8,8
g01428,254,269
g01429,65,73
g01430,5,16
g01431,116,104
g01432,4,4
g01433,1,0
g01434,146,200
g01435,9,13
g01436,48,57
g01437,369,443
g01438,2438,2599
g01439,265,210
g01440,288,269
g01441,65,36
g01442,354,113
g01443,354,113
g01444,427,488
g01445,46,50
g01446,1,0
g01447,0,2
g01448,1423,1753
g01449,1,0
g01450,2409,2243
g01451,234,252
g01452,38,36
g01453,3,1
g01454,1,1
g01455,14,15
g01456,363,303
g01457,17,17
g01458,0,0
g01459,1,0
g01460,205,188
g01461,135,160
g01462,4,5
g01463,591,825
g01464,499,454
g01465,3475,3702
g01466,179,220
g01467,180,147
g01468,203,210
g01469,4,2
g01470,33,48
g01471,1144,1234
g01472,86,117
g01473,2,0
g01474,532,473
g01475,183,158
g01476,15,22
g01477,0,0
g01478,0,0
g01479,4,5
g01480,195,233
g01481,91,74
g01482,32,19
g01483,477,509
g01484,25,20
g01485,287,245
g01486,74,62
g01487,1117,1350
g01488,505,501
g01489,323,288
g01490,65,61
g01491,740,691
g01492,4,2
g01493,0,0
g01494,1299,1616
g01495,305,374
g01496,1102,1139
g01497,34,47
g01498,219,249
g01499,2,0
g01500,939,1180
g01501,7,7
g01502,188,224
g01503,2,1
g01504,1,1
g01505,0,0
g01506,1146,1299
g01507,385,387
g01508,36,25
g01509,4384,4893
g01510,6,4
g01511,110,130
g01512,1084,921
g01513,9159,10177
g01514,958,886
g01515,1,0
g01516,634,648
g01517,1522,1457
g01518,338,413
g01519,333,314
g01520,151,130
g01521,98,122
g01522,612,793
g01523,85,129
g01524,459,495
g01525,2,2
g01526,461,437
g01527,0,0
g01528,0,0
g01529,0,2
g01530,20,3
g01531,261,351
g01532,254,278
g01533,766,788
g01534,437,342
g01535,819,903
g01536,3,11
g01537,84,87
g01538,467,682
g01539,454,544
g01540,41,64
g01541,0,3
g01542,6,2
g01543,16692,17921
g01544,148,160
g01545,5,4
g01546,0,0
g01547,493,468
g01548,2,3
g01549,0,1
g01550,14,21
g01551,224,197
g01552,302,276
g01553,564,637
g01554,13,9
g01555,12,13
g01556,4257,4150
g01557,32,36
g01558,432,534
g01559,203,261
g01560,9,9
g01561,5,6
g01562,196,210
g01563,735,757
g01564,151,155
g01565,1,2
g01566,0,0
g01567,0,0
g01568,0,0
g01569,203,216
g01570,0,0
g01571,41,28
g01572,16,13
g01573,2,11
g01574,9,11
g01575,28,19
g01576,1,2
g01577,48,53
g01578,354,344
g01579,1,0
g01580,0,0
g01581,0,0
g01582,178,193
g01583,110,101
g01584,5,12
g01585,22,27
g01586,129,125
g01587,1,2
g01588,5,2
g01589,0,0
g01590,1,0
g01591,0,0
g01592,1,0
g01593,0,0
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,1
g01598,0,0
g01599,0,0
g01600,0,0
g01601,0,0
g01602,0,0
g01603,0,0
g01604,493,478
g01605,88,73
g01606,325,378
g01607,246,285
g01608,24,22
g01609,139,155
g01610,997,1061
g01611,208,168
g01612,194,153
g01613,2087,2181
g01614,0,0
g01615,1,0
g01616,0,0
g01617,106,109
g01618,22,26
g01619,3,2
g01620,431,517
g01621,0,0
g01622,873,789
g01623,1458,1904
g01624,0,0
g01625,782,883
g01626,0,3
g01627,0,0
g01628,0,1
g01629,0,0
g01630,25,23
g01631,42,52
g01632,538,443
g01633,905,812
g01634,174,210
g01635,29,56
g01636,108,93
g01637,185,165
g01638,77,71
g01639,64,54
g01640,158,137
g01641,106,127
g01642,195,145
g01643,82,119
g01644,3,2
g01645,654,694
g01646,18,14
g01647,154,165
g01648,1,4
g01649,0,0
g01650,0,1
g01651,0,0
g01652,0,0
g01653,3,2
g01654,189,199
g01655,95,92
g01656,224,188
g01657,0,0
g01658,0,0
g01659,18,23
g01660,7,6
g01661,1239,1297
g01662,804,843
g01663,366,343
g01664,189,180
g01665,65,103
g01666,112,123
g01667,0,2
g01668,24,32
g01669,2250,2160
g01670,3857,3721
g01671,2,0
g01672,4235,4292
g01673,10,6
g01674,177,148
g01675,19,17
g01676,949,1021
g01677,14,15
g01678,275,355
g01679,116,99
g01680,2226,2562
g01681,32,55
g01682,29,25
g01683,6,3
g01684,0,0
g01685,14,6
g01686,6,5
g01687,0,0
g01688,244,209
g01689,274,207
g01690,399,360
g01691,140,184
g01692,153,149
g01693,516,584
g01694,0,0
g01695,7,0
g01696,3,4
