,wt_E15.5_f5,wt_E15.5_f4
g00171,85,91
g00172,4,4
g00173,58,64
g00174,64,73
g00175,159,149
g00176,439,398
g00177,2,0
g00178,0,0
g00179,532,530
g00180,1356,823
g00181,595,622
g00182,208,153
g00183,178,194
g00184,45,48
g00185,3,3
g00186,0,0
g00187,500,458
g00188,25,18
g00189,262,307
g00190,585,595
g00191,415,422
g00192,11,19
g00193,930,1063
g00194,24,23
g00195,5,4
g00196,0,0
g00197,0,0
g00198,4227,4560
g00199,5,3
g00200,24,23
g00201,435,445
g00202,182,242
g00203,474,715
g00204,18,15
g00205,8,8
g00206,0,1
g00207,9,23
g00208,59,102
g00209,77,77
g00210,0,0
g00211,5,10
g00212,99,123
g00213,14,13
g00214,396,423
g00215,9,3
g00216,522,548
g00217,350,393
g00218,82,103
g00219,0,0
g00220,502,541
g00221,47,31
g00222,5,36
g00223,118,142
g00224,0,0
g00225,1287,1228
g00226,11,6
g00227,91,118
g00228,296,323
g00229,212,221
g00230,488,509
g00231,128,134
g00232,8,12
g00233,192,253
g00234,3,7
g00235,111692,169372
g00236,11083,16626
g00237,704,660
g00238,2,2
g00239,102,139
g00240,0,0
g00241,0,0
g00242,23,33
g00243,3,4
g00244,1648,1481
g00245,0,0
g00246,204,473
g00247,7,8
g00248,1130,1268
g00249,158,148
g00250,1,1
g00251,1865,1513
g00252,2,2
g00253,1,0
g00254,486,473
g00255,1354,1536
g00256,743,791
g00257,253,278
g00258,569,580
g00259,71,125
g00260,194,188
g00261,3,15
g00262,28,59
g00263,1,2
g00264,182,181
g00265,138,215
g00266,143,141
g00267,644,742
g00268,1,1
g00269,212,218
g00270,427,478
g00271,4,6
g00272,438,468
g00273,731,764
g00274,860,946
g00275,6019,5815
g00276,79,95
g00277,1457,1463
g00278,539,603
g00279,492,562
g00280,323,346
g00281,225,231
g00282,0,3
g00283,209,222
g00284,5,7
g00285,0,0
g00286,0,0
g00287,40,22
g00288,22,13
g00289,1,0
g00290,16,24
g00291,140,159
g00292,96,104
g00293,206,184
g00294,966,925
g00295,299,288
g00296,787,685
g00297,42,55
g00298,12,9
g00299,2641,3076
g00300,7,19
g00301,2939,3061
g00302,1782,2228
g00303,256,304
g00304,360,358
g00305,492,494
g00306,15,2
g00307,362,354
g00308,352,383
g00309,8,15
g00310,4,3
g00311,730,790
g00312,365,411
g00313,869,856
g00314,195,224
g00315,0,1
g00316,110,147
g00317,25,38
g00318,374,444
g00319,3,6
g00320,486,613
g00321,17,22
g00322,348,388
g00323,1545,1552
g00324,8,6
g00325,4,1
g00326,903,838
g00327,24,36
g00328,486,503
g00329,19,17
g00330,277,285
g00331,182,202
g00332,1,3
g00333,727,826
g00334,241,309
g00335,963,1075
g00336,769,784
g00337,4,9
g00338,1,0
g00339,6,15
g00340,0,0
g00341,0,0
g00342,8,10
g00343,0,0
g00344,493,450
g00345,1950,1836
g00346,25,19
g00347,1208,1019
g00348,167,186
g00349,64,70
g00350,1156,1275
g00351,4607,5324
g00352,8,4
g00353,3,4
g00354,758,914
g00355,286,533
g00356,0,0
g00357,0,1
g00358,238,277
g00359,1,3
g00360,4,2
g00361,199,205
g00362,1573,1583
g00363,180,185
g00364,25,28
g00365,86,112
g00366,111,134
g00367,237,221
g00368,4,11
g00369,1,0
g00370,0,0
g00371,0,0
g00372,0,0
g00373,0,0
g00374,0,0
g00375,2,5
g00376,1001,1257
g00377,964,1089
g00378,1,0
g00379,0,0
g00380,720,631
g00381,31,30
g00382,4,6
g00383,497,451
g00384,598,560
g00385,301,301
g00386,31,52
g00387,1617,1861
g00388,1039,1143
g00389,0,2
g00390,75,64
g00391,2,0
g00392,484,455
g00393,0,3
g00394,0,1
g00395,348,300
g00396,4255,3869
g00397,1314,1239
g00398,5715,8318
g00399,3,2
g00400,0,0
g00401,0,0
g00402,0,0
g00403,104,126
g00404,103,107
g00405,5,15
g00406,402,481
g00407,0,2
g00408,642,597
g00409,0,0
g00410,709,722
g00411,863,1025
g00412,7118,5719
g00413,0,0
g00414,0,0
g00415,0,1
g00416,4,0
g00417,1,1
g00418,1272,1506
g00419,4,4
g00420,2,2
g00421,3,4
g00422,0,0
g00423,0,0
g00424,1938,2120
g00425,1,1
g00426,2068,2324
g00427,430,365
g00428,953,1090
g00429,12,8
g00430,32,56
g00431,658,752
g00432,0,0
g00433,7,6
g00434,1179,1082
g00435,1082,971
g00436,8,16
g00437,358,336
g00438,208,199
g00439,296,308
g00440,58,56
g00441,911,805
g00442,54,65
g00443,101,110
g00444,464,517
g00445,189,182
g00446,0,0
g00447,0,0
g00448,0,0
g00449,0,0
g00450,0,0
g00451,1,2
g00452,44,61
g00453,11,7
g00454,353,483
g00455,664,786
g00456,218,210
g00457,279,313
g00458,577,572
g00459,406,445
g00460,212,246
g00461,515,521
g00462,1391,1153
g00463,1,2
g00464,345,411
g00465,12,15
g00466,0,0
g00467,714,785
g00468,3528,4602
g00469,0,0
g00470,419,424
g00471,484,451
g00472,153,157
g00473,13,5
g00474,573,735
g00475,17,22
g00476,1626,1918
g00477,164,167
g00478,414,414
g00479,324,331
g00480,0,0
g00481,0,0
g00482,1165,1145
g00483,82,60
g00484,1,4
g00485,33,18
g00486,1027,1049
g00487,0,2
g00488,649,655
g00489,291,311
g00490,90,130
g00491,4,13
g00492,9,1
g00493,39,24
g00494,145,163
g00495,0,0
g00496,271,304
g00497,36,36
g00498,383,383
g00499,5,18
g00500,1294,1336
g00501,0,0
g00502,1045,999
g00503,5,2
g00504,3007,3291
g00505,139,142
g00506,350,348
g00507,35,27
g00508,19,9
g00509,3,3
g00510,772,880
g00511,0,3
g00512,0,0
g00513,1134,1203
g00514,12,16
g00515,0,1
g00516,2,1
g00517,4,1
g00518,153,122
g00519,204,291
g00520,34,35
g00521,0,0
g00522,4296,4290
g00523,42,40
g00524,4,4
g00525,0,0
g00526,0,0
g00527,1,0
g00528,0,0
g00529,0,0
g00530,0,1
g00531,0,0
g00532,0,0
g00533,0,0
g00534,3,13
g00535,7,10
g00536,1,1
g00537,1,2
g00538,8,2
g00539,17,27
g00540,1934,2080
g00541,1723,2297
g00542,4,0
g00543,10,6
g00544,0,0
g00545,0,2
g00546,2111,2132
g00547,48,47
g00548,115,115
g00549,1,0
g00550,16,15
g00551,0,0
g00552,9620,5438
g00553,9,3
g00554,2,0
g00555,14,15
g00556,0,0
g00557,0,0
g00558,1851,2131
g00559,93,129
g00560,358,342
g00561,80,46
g00562,619,627
g00563,0,0
g00564,1,1
g00565,3,0
g00566,9,6
g00567,1,4
g00568,276,297
g00569,398,421
g00570,1180,1469
g00571,15,192
g00572,1367,1339
g00573,59,66
g00574,0,0
g00575,15,12
g00576,1,0
g00577,0,5
g00578,3,0
g00579,330,439
g00580,650,635
g00581,105,92
g00582,2,1
g00583,42,39
g00584,1061,1029
g00585,995,931
g00586,308,418
g00587,308,418
g00588,341,491
g00589,304,415
g00590,351,457
g00591,337,441
g00592,319,432
g00593,56,66
g00594,516,595
g00595,241,198
g00596,5713,5367
g00597,4568,4363
g00598,1,2
g00599,0,0
g00600,1,2
g00601,2,1
g00602,599,565
g00603,1,0
g00604,0,0
g00605,447,389
g00606,0,0
g00607,1434,1336
g00608,122,74
g00609,1,1
g00610,2,9
g00611,1,1
g00612,343,504
g00613,774,748
g00614,0,3
g00615,19601,18474
g00616,34,28
g00617,0,1
g00618,11,16
g00619,1311,1251
g00620,10,14
g00621,123,179
g00622,255,219
g00623,4,6
g00624,155,201
g00625,8,7
g00626,38,34
g00627,151,150
g00628,51,48
g00629,609,692
g00630,0,0
g00631,242,300
g00632,108,167
g00633,158,129
g00634,228,288
g00635,2678,2502
g00636,578,589
g00637,1238,1249
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,1
g00644,0,0
g00645,0,0
g00646,298,386
g00647,3,1
g00648,1671,1617
g00649,252,243
g00650,1,0
g00651,8,6
g00652,84,92
g00653,556,540
g00654,46,50
g00655,281,349
g00656,72,64
g00657,0,0
g00658,140,167
g00659,5,1
g00660,646,817
g00661,5,12
g00662,140,208
g00663,230,290
g00664,389,404
g00665,528,534
g00666,285,246
g00667,5177,5364
g00668,4091,4710
g00669,260,229
g00670,1151,1278
g00671,265,289
g00672,427,394
g00673,612,614
g00674,604,618
g00675,367,478
g00676,137,160
g00677,7,6
g00678,1,2
g00679,0,0
g00680,2,2
g00681,1,1
g00682,1,1
g00683,1,0
g00684,123,172
g00685,226,278
g00686,0,0
g00687,0,0
g00688,0,0
g00689,0,0
g00690,1,1
g00691,3,3
g00692,0,1
g00693,0,0
g00694,0,0
g00695,0,0
g00696,106,86
g00697,1076,1052
g00698,68,63
g00699,752,1320
g00700,12,9
g00701,5,2
g00702,0,0
g00703,0,0
g00704,3,1
g00705,0,0
g00706,4,1
g00707,79,83
g00708,12,14
g00709,854,813
g00710,1029,1117
g00711,0,0
g00712,113,184
g00713,4,9
g00714,483,518
g00715,2,3
g00716,582,600
g00717,461,511
g00718,75,70
g00719,526,542
g00720,891,973
g00721,1216,1388
g00722,889,853
g00723,1,0
g00724,263,237
g00725,12,4
g00726,104,144
g00727,161,116
g00728,211,244
g00729,383,484
g00730,427,339
g00731,762,741
g00732,379,353
g00733,4,4
g00734,29,30
g00735,734,962
g00736,2,1
g00737,0,0
g00738,801,892
g00739,739,720
g00740,2602,2501
g00741,22,19
g00742,141,95
g00743,650,575
g00744,268,350
g00745,270,365
g00746,1125,1390
g00747,256,254
g00748,369,361
g00749,301,332
g00750,140,123
g00751,1,2
g00752,3,2
g00753,24,36
g00754,1929,2222
g00755,29,35
g00756,130,120
g00757,0,0
g00758,2,4
g00759,91,135
g00760,0,0
g00761,282,277
g00762,746,708
g00763,0,1
g00764,177,133
g00765,20,10
g00766,1,13
g00767,1319,1389
g00768,383,505
g00769,59,83
g00770,72,88
g00771,175,154
g00772,383,298
g00773,5,2
g00774,3,1
g00775,2,3
g00776,6,2
g00777,1170,1165
g00778,1,0
g00779,850,827
g00780,186,192
g00781,896,797
g00782,2,1
g00783,1401,1598
g00784,14,13
g00785,2579,2480
g00786,1168,1267
g00787,292,315
g00788,28,44
g00789,0,1
g00790,0,0
g00791,100,478
g00792,0,0
g00793,1,0
g00794,0,2
g00795,469,502
g00796,243,226
g00797,505,508
g00798,58,64
g00799,10,12
g00800,5,7
g00801,0,1
g00802,0,0
g00803,0,0
g00804,0,2
g00805,1,0
g00806,1017,1120
g00807,23,14
g00808,346,375
g00809,124,140
g00810,140,193
g00811,1410,1241
g00812,24,30
g00813,2,0
g00814,4,5
g00815,218,282
g00816,5,1
g00817,15,8
g00818,646,663
g00819,101,119
g00820,5426,5717
g00821,709,871
g00822,629,646
g00823,177,170
g00824,51,41
g00825,0,0
g00826,0,1
g00827,4,2
g00828,151,156
g00829,178,219
g00830,774,821
g00831,659,667
g00832,42,41
g00833,21,13
g00834,15,10
g00835,0,0
g00836,59,83
g00837,1056,955
g00838,460,433
g00839,1183,1208
g00840,306,229
g00841,15,12
g00842,0,1
g00843,0,0
g00844,1,7
g00845,4,11
g00846,195,266
g00847,400,475
g00848,2482,2293
g00849,1723,1561
g00850,6,16
g00851,2020,2151
g00852,8,7
g00853,37,214
g00854,26,64
g00855,103,189
g00856,8,4
g00857,436,400
g00858,2,2
g00859,21,25
g00860,49,46
g00861,700,581
g00862,299,259
g00863,1344,1534
g00864,431,424
g00865,889,888
g00866,0,0
g00867,329,345
g00868,1660,1788
g00869,322,306
g00870,311,373
g00871,389,388
g00872,2,2
g00873,2,3
g00874,2975,2879
g00875,55,34
g00876,488,469
g00877,91,93
g00878,150,147
g00879,22,24
g00880,1,1
g00881,99,135
g00882,227,251
g00883,3,10
g00884,98,85
g00885,602,704
g00886,243,249
g00887,18,16
g00888,35,79
g00889,1855,1859
g00890,474,444
g00891,1422,1573
g00892,365,417
g00893,2678,2829
g00894,1480,1586
g00895,1983,1750
g00896,4128,3743
g00897,0,0
g00898,439,561
g00899,493,495
g00900,0,0
g00901,514,413
g00902,10,5
g00903,161,128
g00904,0,0
g00905,1,2
g00906,2007,2022
g00907,26,17
g00908,226,214
g00909,597,566
g00910,0,0
g00911,480,521
g00912,1,4
g00913,0,0
g00914,0,0
g00915,89,79
g00916,90,85
g00917,1,0
g00918,2,1
g00919,157,213
g00920,0,0
g00921,554,665
g00922,0,0
g00923,0,0
g00924,68,83
g00925,0,0
g00926,354,371
g00927,11,4
g00928,0,0
g00929,860,942
g00930,1995,1926
g00931,0,0
g00932,1,0
g00933,0,0
g00934,0,0
g00935,0,0
g00936,63,155
g00937,30,40
g00938,1,1
g00939,0,0
g00940,165,161
g00941,181,163
g00942,149,149
g00943,904,906
g00944,288,300
g00945,326,348
g00946,45,56
g00947,9,19
g00948,18,30
g00949,0,0
g00950,61,94
g00951,0,0
g00952,0,0
g00953,0,0
g00954,0,0
g00955,339,336
g00956,0,1
g00957,4,8
g00958,2,6
g00959,1,0
g00960,0,0
g00961,0,1
g00962,473,540
g00963,4242,3389
g00964,37,30
g00965,1549,2089
g00966,17,15
g00967,0,0
g00968,4016,3944
g00969,232,300
g00970,367,372
g00971,788,910
g00972,1,0
g00973,245,297
g00974,1458,1478
g00975,1203,1270
g00976,140,106
g00977,141,126
g00978,464,706
g00979,4,9
g00980,0,1
g00981,1030,1082
g00982,589,582
g00983,68,81
g00984,1574,1529
g00985,34,58
g00986,677,627
g00987,3718,3786
g00988,5,9
g00989,11,9
g00990,1452,1419
g00991,435,550
g00992,15,10
g00993,5,3
g00994,173,153
g00995,150,222
g00996,1,3
g00997,4,2
g00998,3,0
g00999,1,1
g01000,1506,1471
g01001,260,284
g01002,1,4
g01003,1,0
g01004,38,40
g01005,444,527
g01006,77,89
g01007,876,1017
g01008,247,316
g01009,5,13
g01010,390,385
g01011,2,0
g01012,470,516
g01013,0,0
g01014,76,80
g01015,459,584
g01016,2973,2698
g01017,575,556
g01018,1950,1995
g01019,0,0
g01020,6,4
g01021,2,0
g01022,4,2
g01023,405,501
g01024,781,793
g01025,173,157
g01026,228,219
g01027,1529,1796
g01028,1255,1240
g01029,392,584
g01030,2,2
g01031,920,914
g01032,385,379
g01033,178,211
g01034,206,319
g01035,0,1
g01036,6,6
g01037,35,38
g01038,0,0
g01039,2888,2802
g01040,0,0
g01041,305,403
g01042,8,7
g01043,1,3
g01044,207,286
g01045,46,73
g01046,24,22
g01047,220,213
g01048,714,666
g01049,649,630
g01050,1,1
g01051,23,25
g01052,0,0
g01053,1130,1120
g01054,79,69
g01055,309,244
g01056,3014,2995
g01057,32,23
g01058,9,16
g01059,281,284
g01060,73,89
g01061,443,403
g01062,2,0
g01063,0,1
g01064,1186,1138
g01065,0,1
g01066,10,5
g01067,0,1
g01068,769,903
g01069,0,0
g01070,292,288
g01071,97,74
g01072,12,13
g01073,1619,1603
g01074,6,3
g01075,22,12
g01076,253,270
g01077,244,252
g01078,0,0
g01079,0,0
g01080,5845,4731
g01081,1,6
g01082,133,165
g01083,42,60
g01084,0,0
g01085,0,1
g01086,1,2
g01087,2776,2874
g01088,226,237
g01089,1,0
g01090,726,698
g01091,405,384
g01092,340,365
g01093,66,48
g01094,2,7
g01095,3,6
g01096,1,1
g01097,0,0
g01098,7,5
g01099,378,419
g01100,70,69
g01101,467,599
g01102,256,282
g01103,139,217
g01104,1612,3344
g01105,0,2
g01106,0,0
g01107,0,0
g01108,0,0
g01109,0,1
g01110,1056,1150
g01111,336,333
g01112,134,157
g01113,490,539
g01114,284,358
g01115,3,8
g01116,276,309
g01117,19,14
g01118,244,282
g01119,3,2
g01120,286,330
g01121,134,104
g01122,741,677
g01123,358,406
g01124,5,3
g01125,0,2
g01126,22,168
g01127,61,93
g01128,404,479
g01129,1820,1774
g01130,0,0
g01131,0,0
g01132,1,0
g01133,0,2
g01134,32,28
g01135,1070,1114
g01136,677,842
g01137,95,123
g01138,293,272
g01139,532,721
g01140,0,1
g01141,0,0
g01142,74,71
g01143,10,41
g01144,789,689
g01145,483,508
g01146,379,318
g01147,294,246
g01148,23,26
g01149,0,0
g01150,657,757
g01151,19,19
g01152,2452,2868
g01153,561,580
g01154,312,361
g01155,0,0
g01156,12,0
g01157,2,4
g01158,19,23
g01159,4,2
g01160,29,27
g01161,262,401
g01162,699,706
g01163,294,316
g01164,0,1
g01165,0,0
g01166,18,51
g01167,2,9
g01168,235,340
g01169,9,14
g01170,1321,1512
g01171,103,136
g01172,42,68
g01173,30,23
g01174,309,361
g01175,1,2
g01176,318,447
g01177,1902,1945
g01178,254,310
g01179,331,390
g01180,269,253
g01181,413,445
g01182,526,600
g01183,248,307
g01184,9,7
g01185,356,382
g01186,279,314
g01187,131,88
g01188,28,27
g01189,1991,1993
g01190,170,243
g01191,313,378
g01192,2,7
g01193,718,797
g01194,79,80
g01195,0,0
g01196,2,3
g01197,16,33
g01198,6,4
g01199,22,24
g01200,0,0
g01201,1,2
g01202,26,50
g01203,4,2
g01204,0,0
g01205,0,0
g01206,315,313
g01207,3,1
g01208,1070,999
g01209,6395,6478
g01210,1234,1329
g01211,1086,1182
g01212,1705,1910
g01213,908,1092
g01214,224,258
g01215,1,2
g01216,289,318
g01217,309,405
g01218,4,4
g01219,3,5
g01220,657,693
g01221,504,575
g01222,8,5
g01223,929,800
g01224,1092,1299
g01225,21,23
g01226,17,18
g01227,19,68
g01228,0,1
g01229,0,0
g01230,79,83
g01231,1,0
g01232,0,2
g01233,0,0
g01234,0,0
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,1,0
g01240,0,0
g01241,0,0
g01242,3,9
g01243,39,117
g01244,40,33
g01245,1,1
g01246,0,0
g01247,0,0
g01248,3,5
g01249,2,3
g01250,0,0
g01251,40,68
g01252,15,42
g01253,3,5
g01254,0,1
g01255,12,18
g01256,2,3
g01257,9,10
g01258,82,73
g01259,2,2
g01260,0,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,1,0
g01265,0,0
g01266,1,0
g01267,0,0
g01268,0,0
g01269,49,66
g01270,0,0
g01271,0,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,78,79
g01277,537,572
g01278,4,2
g01279,948,972
g01280,3,10
g01281,69,91
g01282,224,232
g01283,0,0
g01284,533,498
g01285,19,24
g01286,1417,1578
g01287,2,3
g01288,209,229
g01289,32,46
g01290,379,385
g01291,597,643
g01292,12,10
g01293,1,0
g01294,898,977
g01295,0,1
g01296,2,3
g01297,586,643
g01298,4,9
g01299,0,4
g01300,5,8
g01301,5,8
g01302,228,208
g01303,5851,6099
g01304,37,37
g01305,154,112
g01306,279,238
g01307,52,61
g01308,571,632
g01309,292,376
g01310,2331,2379
g01311,0,0
g01312,1212,1351
g01313,114,137
g01314,353,381
g01315,15,23
g01316,996,1204
g01317,69,74
g01318,2397,2351
g01319,227,207
g01320,1,2
g01321,981,1030
g01322,25,33
g01323,387,510
g01324,539,549
g01325,1,0
g01326,0,1
g01327,92,108
g01328,348,417
g01329,20,19
g01330,215,247
g01331,94,157
g01332,0,1
g01333,848,711
g01334,397,413
g01335,1838,2103
g01336,23,20
g01337,12,0
g01338,0,0
g01339,33,48
g01340,1834,1935
g01341,0,1
g01342,1781,2000
g01343,283,348
g01344,1,0
g01345,1581,1826
g01346,11,15
g01347,598,611
g01348,633,591
g01349,1488,1762
g01350,6,3
g01351,0,0
g01352,149,98
g01353,63,86
g01354,656,764
g01355,356,398
g01356,368,359
g01357,2173,2217
g01358,239,251
g01359,8,4
g01360,14,5
g01361,547,503
g01362,0,0
g01363,0,0
g01364,65,95
g01365,2,0
g01366,617,717
g01367,2,3
g01368,554,559
g01369,508,453
g01370,978,1040
g01371,0,0
g01372,1378,1323
g01373,3,0
g01374,2,4
g01375,321,379
g01376,4030,4068
g01377,3,6
g01378,0,4
g01379,3,7
g01380,0,0
g01381,67,77
g01382,346,323
g01383,349,348
g01384,0,0
g01385,1,4
g01386,0,1
g01387,484,424
g01388,67,65
g01389,20,25
g01390,0,1
g01391,3,8
g01392,742,710
g01393,71,56
g01394,5,10
g01395,0,0
g01396,2290,1367
g01397,1155,1087
g01398,684,756
g01399,156,139
g01400,9,7
g01401,414,462
g01402,560,571
g01403,436,433
g01404,231,233
g01405,70,65
g01406,1,1
g01407,64,49
g01408,303,328
g01409,13,11
g01410,0,0
g01411,83,85
g01412,14,18
g01413,287,445
g01414,468,668
g01415,444,451
g01416,915,979
g01417,2,1
g01418,784,680
g01419,1083,1003
g01420,776,769
g01421,395,416
g01422,61,85
g01423,400,479
g01424,7,7
g01425,115,128
g01426,0,0
g01427,8,4
g01428,242,236
g01429,68,80
g01430,12,9
g01431,83,102
g01432,0,0
g01433,1,0
g01434,151,154
g01435,16,11
g01436,45,45
g01437,398,401
g01438,2492,2585
g01439,232,218
g01440,262,323
g01441,30,74
g01442,102,123
g01443,102,123
g01444,456,497
g01445,54,52
g01446,1,0
g01447,1,2
g01448,1681,1327
g01449,0,0
g01450,1371,2450
g01451,167,264
g01452,43,36
g01453,1,1
g01454,3,2
g01455,9,17
g01456,259,301
g01457,11,14
g01458,0,0
g01459,1,0
g01460,224,206
g01461,133,154
g01462,3,20
g01463,681,639
g01464,417,458
g01465,1661,3559
g01466,204,177
g01467,133,118
g01468,203,200
g01469,7,2
g01470,51,40
g01471,1083,1034
g01472,98,95
g01473,0,1
g01474,434,485
g01475,149,173
g01476,4,14
g01477,0,0
g01478,0,0
g01479,4,6
g01480,206,221
g01481,85,109
g01482,17,24
g01483,429,483
g01484,20,25
g01485,256,226
g01486,54,51
g01487,1178,1179
g01488,503,477
g01489,269,282
g01490,59,62
g01491,647,662
g01492,2,1
g01493,0,0
g01494,1276,1384
g01495,304,329
g01496,1002,1093
g01497,48,40
g01498,232,212
g01499,0,0
g01500,1070,1007
g01501,5,8
g01502,136,221
g01503,0,1
g01504,2,0
g01505,0,0
g01506,1153,1085
g01507,338,384
g01508,12,27
g01509,4173,4138
g01510,2,4
g01511,87,135
g01512,842,968
g01513,6894,9819
g01514,602,947
g01515,0,0
g01516,601,543
g01517,1226,1492
g01518,336,398
g01519,288,302
g01520,121,122
g01521,131,110
g01522,624,690
g01523,97,110
g01524,437,469
g01525,4,1
g01526,354,370
g01527,0,0
g01528,0,0
g01529,0,1
g01530,6,8
g01531,255,278
g01532,240,234
g01533,715,774
g01534,322,366
g01535,787,793
g01536,7,7
g01537,76,90
g01538,554,605
g01539,474,505
g01540,54,40
g01541,3,0
g01542,1,4
g01543,16817,18006
g01544,145,150
g01545,4,4
g01546,1,0
g01547,410,485
g01548,1,3
g01549,0,3
g01550,12,27
g01551,200,227
g01552,240,250
g01553,588,563
g01554,18,13
g01555,12,9
g01556,3698,3795
g01557,45,33
g01558,515,415
g01559,236,219
g01560,6,6
g01561,9,2
g01562,202,211
g01563,674,709
g01564,148,162
g01565,0,2
g01566,0,1
g01567,0,0
g01568,0,0
g01569,214,236
g01570,0,0
g01571,31,16
g01572,15,13
g01573,8,5
g01574,7,10
g01575,17,27
g01576,0,0
g01577,41,40
g01578,299,285
g01579,0,0
g01580,0,0
g01581,0,0
g01582,179,215
g01583,86,113
g01584,18,7
g01585,34,23
g01586,111,90
g01587,2,1
g01588,3,1
g01589,0,0
g01590,0,0
g01591,0,0
g01592,0,0
g01593,0,0
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,0,0
g01599,0,0
g01600,0,0
g01601,0,0
g01602,0,0
g01603,0,0
g01604,416,455
g01605,74,70
g01606,408,346
g01607,254,285
g01608,30,28
g01609,124,135
g01610,1029,925
g01611,172,195
g01612,109,141
g01613,1714,2114
g01614,2,0
g01615,0,0
g01616,0,0
g01617,116,96
g01618,23,24
g01619,0,1
g01620,474,449
g01621,1,1
g01622,683,793
g01623,1688,1577
g01624,0,0
g01625,826,772
g01626,1,1
g01627,0,0
g01628,2,0
g01629,0,0
g01630,25,22
g01631,51,58
g01632,447,485
g01633,788,897
g01634,185,202
g01635,37,27
g01636,104,102
g01637,147,170
g01638,71,87
g01639,51,48
g01640,120,136
g01641,120,111
g01642,155,174
g01643,119,105
g01644,0,2
g01645,618,729
g01646,16,14
g01647,149,115
g01648,2,2
g01649,0,0
g01650,1,1
g01651,0,0
g01652,0,0
g01653,2,4
g01654,189,198
g01655,73,70
g01656,185,167
g01657,0,0
g01658,0,0
g01659,13,34
g01660,9,3
g01661,1146,1255
g01662,800,843
g01663,287,390
g01664,171,181
g01665,76,88
g01666,95,116
g01667,0,0
g01668,36,32
g01669,1875,2134
g01670,2999,4105
g01671,0,0
g01672,3770,3772
g01673,0,9
g01674,160,138
g01675,13,15
g01676,794,1032
g01677,13,20
g01678,322,251
g01679,107,112
g01680,2319,2091
g01681,41,36
g01682,27,26
g01683,1,7
g01684,0,0
g01685,1,6
g01686,3,1
g01687,1,0
g01688,173,202
g01689,217,268
g01690,331,320
g01691,188,125
g01692,137,117
g01693,521,555
g01694,0,0
g01695,0,2
g01696,4,2
g01697,396,358
g01698,38,27
