,wt_E15.5_f5,wt_E15.5_f4
g00001,42,50
g00002,23,22
g00003,0,0
g00004,5,1
g00005,128,117
g00006,489,526
g00007,630,646
g00008,57,45
g00009,235,247
g00010,16,14
g00011,524,603
g00012,13,18
g00013,27,25
g00014,939,927
g00015,0,0
g00016,4,0
g00017,546,655
g00018,0,2
g00019,411,415
g00020,18,19
g00021,11,21
g00022,8,5
g00023,87,99
g00024,538,576
g00025,112,115
g00026,234,332
g00027,3,3
g00028,6,9
g00029,141,173
g00030,2,2
g00031,1,1
g00032,0,1
g00033,0,0
g00034,599,533
g00035,649,626
g00036,1393,1324
g00037,24,37
g00038,734,743
g00039,3,27
g00040,0,0
g00041,1402,2379
g00042,159,179
g00043,0,0
g00044,1561,1521
g00045,2041,2393
g00046,121,169
g00047,1,0
g00048,2,4
g00049,91,73
g00050,157,157
g00051,3,0
g00052,32,36
g00053,284,265
g00054,22,23
g00055,1,1
g00056,3,0
g00057,2494,2783
g00058,137,149
g00059,224,211
g00060,274,309
g00061,373,330
g00062,1,0
g00063,263,321
g00064,12,30
g00065,192,230
g00066,4,5
g00067,42,144
g00068,70,106
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,962,691
g00076,127,133
g00077,2,1
g00078,0,0
g00079,22,19
g00080,0,0
g00081,2,2
g00082,2061,2104
g00083,1,0
g00084,363,374
g00085,27,32
g00086,72,70
g00087,19,19
g00088,129,148
g00089,0,0
g00090,0,0
g00091,0,0
g00092,0,0
g00093,29,40
g00094,18,23
g00095,0,0
g00096,0,0
g00097,0,0
g00098,133,155
g00099,1,1
g00100,383,316
g00101,619,571
g00102,56,61
g00103,1076,1114
g00104,37,49
g00105,196,201
g00106,365,406
g00107,26,55
g00108,1,2
g00109,0,0
g00110,1,0
g00111,1,0
g00112,1,0
g00113,0,0
g00114,0,1
g00115,1922,1862
g00116,111,85
g00117,1,0
g00118,0,0
g00119,0,0
g00120,0,0
g00121,0,0
g00122,6,5
g00123,0,1
g00124,2,0
g00125,418,508
g00126,6,7
g00127,154,168
g00128,391,408
g00129,415,424
g00130,2,0
g00131,23,24
g00132,6964,6337
g00133,5,1
g00134,315,318
g00135,609,555
g00136,207,182
g00137,98,139
g00138,0,0
g00139,12,10
g00140,0,0
g00141,0,4
g00142,0,2
g00143,232,230
g00144,2876,3130
g00145,295,318
g00146,594,644
g00147,1874,2068
g00148,17,23
g00149,123,125
g00150,847,904
g00151,109,123
g00152,115,153
g00153,284,267
g00154,100,99
g00155,113,113
g00156,403,459
g00157,20,24
g00158,518,584
g00159,1004,1184
g00160,1,1
g00161,13,15
g00162,1709,1302
g00163,6,9
g00164,0,1
g00165,364,307
g00166,840,878
g00167,408,460
g00168,353,350
g00169,25,24
g00170,22,26
