,wt_NB_f5,wt_NB_f4
g07454,10,11
g07455,238,312
g07456,515,678
g07457,80,97
g07458,650,655
g07459,1,1
g07460,0,0
g07461,7,10
g07462,0,0
g07463,3,2
g07464,36,27
g07465,0,0
g07466,113,134
g07467,179,145
g07468,68,37
g07469,109,136
g07470,485,395
g07471,3,2
g07472,2,5
g07473,1,0
g07474,145,139
g07475,4,9
g07476,0,0
g07477,0,0
g07478,0,0
g07479,34,41
g07480,433,419
g07481,3,1
g07482,294,305
g07483,89,96
g07484,98,97
g07485,233,256
g07486,167,188
g07487,138,155
g07488,659,572
g07489,503,433
g07490,442,384
g07491,17,27
g07492,153,155
g07493,729,594
g07494,36,36
g07495,45,87
g07496,6669,9060
g07497,418,357
g07498,1083,1065
g07499,213,179
g07500,16,12
g07501,109,106
g07502,78,68
g07503,25,30
g07504,24,24
g07505,29,35
g07506,410,536
g07507,0,2
g07508,439,559
g07509,296,318
g07510,24,34
g07511,0,0
g07512,0,0
g07513,0,0
g07514,1,1
g07515,0,0
g07516,0,0
g07517,4,2
g07518,0,0
g07519,0,1
g07520,0,0
g07521,0,0
g07522,0,0
g07523,0,0
g07524,0,0
g07525,1,0
g07526,0,0
g07527,8,15
g07528,1,1
g07529,18,11
g07530,32,41
g07531,66,85
g07532,39,46
g07533,20,25
g07534,274,249
g07535,314,397
g07536,70,99
g07537,630,727
g07538,0,0
g07539,1,4
g07540,3723,4651
g07541,1346,1238
g07542,386,300
g07543,0,4
g07544,71,81
g07545,17,14
g07546,87,87
g07547,0,0
g07548,259,245
g07549,13,5
g07550,366,392
g07551,67,48
g07552,2,1
g07553,16,16
g07554,378,307
g07555,462,551
g07556,1494,1637
g07557,1,0
g07558,0,0
g07559,0,0
g07560,92,131
g07561,0,0
g07562,1,0
g07563,0,0
g07564,1,0
g07565,2,8
g07566,72,98
g07567,532,522
g07568,177,217
g07569,5,18
g07570,7,7
g07571,354,361
g07572,15,26
g07573,646,730
g07574,1,4
g07575,0,0
g07576,140,62
g07577,1,2
g07578,0,1
g07579,126,102
g07580,576,463
g07581,5,1
g07582,7,7
g07583,0,0
g07584,0,0
g07585,4,1
g07586,62,28
g07587,600,596
g07588,0,1
g07589,537,801
g07590,93,105
g07591,22,13
g07592,12,24
g07593,4,4
g07594,0,0
g07595,0,1
g07596,0,0
g07597,1,0
g07598,65,75
g07599,0,0
g07600,0,0
g07601,5,4
g07602,3,1
g07603,377,586
g07604,7,15
g07605,836,626
g07606,1,0
g07607,1,0
g07608,0,0
g07609,0,0
g07610,0,0
g07611,0,0
g07612,2336,1788
g07613,1051,1293
g07614,5,7
g07615,0,1
g07616,0,0
g07617,17,13
g07618,1503,740
g07619,669,551
g07620,11,16
g07621,0,0
g07622,67,73
g07623,832,730
g07624,45,37
g07625,8,18
g07626,5,0
g07627,37,11
g07628,6,1
g07629,7,6
g07630,41,48
g07631,0,0
g07632,1,3
g07633,0,0
g07634,0,0
g07635,1795,2654
g07636,226,243
g07637,136,91
g07638,365,303
g07639,333,316
g07640,6,6
g07641,123,136
g07642,0,0
g07643,356,330
g07644,0,0
g07645,165,19
g07646,24,10
g07647,26,14
g07648,388,310
g07649,1,2
g07650,156,159
g07651,2,2
g07652,5506,4809
g07653,10,18
g07654,0,0
g07655,107,55
g07656,14,6
g07657,431,403
g07658,35,42
g07659,2,3
g07660,114,111
g07661,1,1
g07662,1,1
g07663,1,1
g07664,0,0
g07665,86,112
g07666,0,0
g07667,2,0
g07668,754,1023
g07669,900,926
g07670,2,1
g07671,2,2
g07672,0,0
g07673,0,0
g07674,47,40
g07675,207,255
g07676,10,22
g07677,32,40
g07678,12,17
g07679,2,5
g07680,0,3
g07681,0,0
g07682,0,0
g07683,3,4
g07684,52,14
g07685,0,0
g07686,0,0
g07687,0,0
g07688,389,202
g07689,0,0
g07690,0,0
g07691,1,0
g07692,1,0
g07693,0,0
g07694,2,0
g07695,0,0
g07696,0,0
g07697,14,18
g07698,0,0
g07699,140,152
g07700,262,295
g07701,19,14
g07702,125,142
g07703,3,2
g07704,1029,1123
g07705,862,875
g07706,710,881
g07707,372,777
g07708,3188,3063
g07709,236,144
g07710,11,13
g07711,24,24
g07712,25,10
g07713,221,180
g07714,0,0
g07715,953,819
g07716,761,525
g07717,2,0
g07718,5,4
g07719,1889,2003
g07720,3285,4616
g07721,141,134
g07722,555,436
g07723,12,1
g07724,0,0
g07725,113,98
g07726,2,6
g07727,971,813
g07728,14,15
g07729,0,0
g07730,7,3
g07731,0,0
g07732,0,0
g07733,0,0
g07734,258,206
g07735,1,0
g07736,0,0
g07737,119,75
g07738,672,575
g07739,1,3
g07740,157,147
g07741,29772,25929
g07742,1000,666
g07743,307,274
g07744,3,5
g07745,457,556
g07746,0,0
g07747,0,0
g07748,2,3
g07749,76,72
g07750,1553,2506
g07751,152,156
g07752,2,4
g07753,16,17
g07754,0,0
g07755,97,102
g07756,0,0
g07757,0,1
g07758,905,653
g07759,0,0
g07760,0,0
g07761,0,0
g07762,304,409
g07763,132,194
g07764,6,4
g07765,870,789
g07766,10,11
g07767,8,8
g07768,340,390
g07769,11,7
g07770,592,1213
g07771,639,656
g07772,137,105
g07773,1032,556
g07774,22,19
g07775,0,0
g07776,2,1
g07777,2,1
g07778,408,405
g07779,93,163
g07780,37,43
g07781,0,1
g07782,0,4
g07783,0,0
g07784,101,76
g07785,2,6
g07786,0,1
g07787,0,0
g07788,0,0
g07789,0,0
g07790,717,827
g07791,6,9
g07792,142,123
g07793,0,1
g07794,4,12
g07795,26,68
g07796,81,68
g07797,19,14
g07798,62,62
g07799,3,1
g07800,239,303
g07801,1057,1033
g07802,242,159
g07803,3,3
g07804,0,0
g07805,0,0
g07806,1,0
g07807,1,1
g07808,0,0
g07809,5,6
g07810,0,0
g07811,0,0
g07812,134,133
g07813,577,702
g07814,68,47
g07815,0,0
g07816,0,0
g07817,29,19
g07818,1,1
g07819,0,0
g07820,0,0
g07821,80,86
g07822,116,142
g07823,64,58
g07824,247,207
g07825,106,105
g07826,2190,1512
g07827,0,0
g07828,701,1005
g07829,0,0
g07830,69,74
g07831,4,5
g07832,150,122
g07833,422,618
g07834,3600,4836
g07835,105,246
g07836,3,1
g07837,0,0
g07838,0,0
g07839,485,446
g07840,1603,1574
g07841,6593,7234
g07842,3708,5110
g07843,2,5
g07844,0,4
g07845,27,38
g07846,0,0
g07847,1,1
g07848,12,20
g07849,95,79
g07850,0,0
g07851,184,155
g07852,651,510
g07853,1159,1733
g07854,0,1
g07855,0,0
g07856,1,1
g07857,92,74
g07858,0,0
g07859,0,0
g07860,0,0
g07861,0,0
g07862,0,0
g07863,0,0
g07864,0,0
g07865,0,0
g07866,0,0
g07867,0,0
g07868,0,0
g07869,0,0
g07870,0,0
g07871,1,0
g07872,272,436
g07873,0,0
g07874,1,1
g07875,0,0
g07876,0,0
g07877,5,3
g07878,2,2
g07879,5,3
g07880,2,1
g07881,3,2
g07882,68,43
g07883,7,0
g07884,0,0
g07885,0,0
g07886,23,7
g07887,2,0
g07888,104,155
g07889,34,48
g07890,80,76
g07891,44,78
g07892,0,0
g07893,0,1
g07894,65,107
g07895,1,4
g07896,26,21
g07897,570,584
g07898,15,16
g07899,1,2
g07900,0,0
g07901,0,0
g07902,1478,1092
g07903,320,226
g07904,77,67
g07905,0,0
g07906,1373,1143
g07907,220,153
g07908,70,47
g07909,1580,1715
g07910,1948,2735
g07911,2665,3039
g07912,608,497
g07913,37,21
g07914,71,62
g07915,0,2
g07916,3,8
g07917,942,960
g07918,136,58
g07919,2,2
g07920,4,0
g07921,0,0
g07922,0,0
g07923,2,1
g07924,0,0
g07925,19,12
g07926,4,6
g07927,14,10
g07928,52,56
g07929,0,0
g07930,67,104
g07931,1,1
g07932,1,0
g07933,0,0
g07934,1959,1436
g07935,4,2
g07936,490,474
g07937,22,24
g07938,783,756
g07939,1,0
g07940,164,102
g07941,1388,811
g07942,273,178
g07943,0,1
g07944,3,0
g07945,0,0
g07946,0,0
g07947,14,17
g07948,393,388
g07949,5,2
g07950,188,177
g07951,64,65
g07952,11,14
g07953,1,0
g07954,57,42
g07955,0,0
g07956,4,9
g07957,974,1163
g07958,27,29
g07959,474,704
g07960,7,8
g07961,4,2
g07962,116,114
g07963,2,2
g07964,461,390
g07965,162,196
g07966,2243,2601
g07967,258,75
g07968,0,1
g07969,93,80
g07970,66,59
g07971,623,929
g07972,0,0
g07973,2,0
g07974,48,18
g07975,1,3
g07976,2,7
g07977,1,0
g07978,16,56
g07979,0,0
g07980,247,229
g07981,275,176
g07982,21,29
g07983,4,12
g07984,0,1
g07985,1141,1240
g07986,100,91
g07987,13,16
g07988,1,2
g07989,14,17
g07990,20,16
g07991,2,9
g07992,0,1
g07993,17,10
g07994,783,684
g07995,39,17
g07996,3,0
g07997,1,0
g07998,629,585
g07999,929,949
g08000,3,3
g08001,0,1
g08002,479,547
g08003,1326,1309
g08004,5089,6359
g08005,34,61
g08006,0,0
g08007,235,268
g08008,237,225
g08009,1,2
g08010,0,1
g08011,0,0
g08012,0,1
g08013,0,0
g08014,0,0
g08015,1,0
g08016,1,0
g08017,0,0
g08018,0,0
g08019,1,9
g08020,34,51
g08021,0,0
g08022,2235,2048
g08023,1919,2478
g08024,365,400
g08025,0,0
g08026,7,7
g08027,1,2
g08028,1,0
g08029,3756,4367
g08030,188,172
g08031,191,182
g08032,302,284
g08033,101,135
g08034,645,682
g08035,14,14
g08036,1,1
g08037,0,0
g08038,30,17
g08039,0,0
g08040,55,64
g08041,2,1
g08042,1,1
g08043,720,792
g08044,7,4
g08045,1860,1583
g08046,53,51
g08047,0,0
g08048,3,6
g08049,0,0
g08050,143,187
g08051,88,64
g08052,4,8
g08053,0,2
g08054,0,4
g08055,7,6
g08056,954,954
g08057,38,32
g08058,1088,1450
g08059,29,43
g08060,1,2
g08061,269,327
g08062,0,1
g08063,30,16
g08064,90,82
g08065,815,928
g08066,294,287
g08067,0,0
g08068,141,150
g08069,3,6
g08070,0,0
g08071,1665,1655
g08072,1,0
g08073,3,1
g08074,456,457
g08075,0,2
g08076,0,0
g08077,5,6
g08078,706,1242
g08079,552,554
g08080,165,153
g08081,1,5
g08082,3336,3290
g08083,3368,2314
g08084,365,281
g08085,2,0
g08086,255,281
g08087,2540,2384
g08088,326,349
g08089,359,435
g08090,8,5
g08091,1,1
g08092,0,0
g08093,38,54
g08094,0,0
g08095,3510,3331
g08096,21,12
g08097,0,0
g08098,798,708
g08099,443,387
g08100,0,0
g08101,334,320
g08102,13,4
g08103,607,572
g08104,10,8
g08105,61,61
g08106,229,201
g08107,2,1
g08108,0,0
g08109,1,0
g08110,0,0
g08111,83,74
g08112,0,0
g08113,0,0
g08114,0,0
g08115,3,1
g08116,424,583
g08117,2,0
g08118,5,5
g08119,2,0
g08120,0,0
g08121,0,0
g08122,654,733
g08123,0,0
g08124,276,269
g08125,0,0
g08126,0,0
g08127,169,164
g08128,113,101
g08129,0,1
g08130,62,73
g08131,203,350
g08132,0,0
g08133,1,0
g08134,0,0
g08135,3,12
g08136,0,0
g08137,0,0
g08138,0,0
g08139,2,3
g08140,117,97
g08141,0,0
g08142,0,0
g08143,894,1010
g08144,26,24
g08145,645,733
g08146,0,0
g08147,0,0
g08148,1,0
g08149,126,134
g08150,534,410
g08151,215,134
g08152,1,0
g08153,0,0
g08154,0,0
g08155,2,2
g08156,1,0
g08157,0,1
g08158,1252,1684
g08159,11,15
g08160,11,27
g08161,0,0
g08162,292,280
g08163,7,3
g08164,36,15
g08165,282,160
g08166,84,77
g08167,0,0
g08168,113,119
g08169,54,54
g08170,263,370
g08171,9,10
g08172,1,4
g08173,1,0
g08174,251,165
g08175,34,29
g08176,927,1044
g08177,488,554
g08178,46,65
g08179,380,278
g08180,208,179
g08181,795,868
g08182,174,189
g08183,76,92
g08184,103,145
g08185,1,7
g08186,0,2
g08187,1353,1946
g08188,4,3
g08189,2282,3024
g08190,13,16
g08191,68,66
g08192,444,546
g08193,65,67
g08194,4,5
g08195,589,599
g08196,1016,1241
g08197,0,1
g08198,2080,2202
g08199,447,408
g08200,156,151
g08201,375,404
g08202,38,68
g08203,0,0
g08204,339,293
g08205,141,114
g08206,31,6
g08207,0,0
g08208,919,377
g08209,39,19
g08210,4,3
g08211,1,0
g08212,1,0
g08213,2203,2715
g08214,0,0
g08215,17,11
g08216,0,0
g08217,23,2
g08218,0,0
g08219,20,0
g08220,2,0
g08221,57,56
g08222,6,3
g08223,189,277
g08224,49,55
g08225,1,1
g08226,336,411
g08227,4,0
g08228,0,0
g08229,0,2
g08230,3,1
g08231,0,0
g08232,850,1049
g08233,8,3
g08234,11,10
g08235,9,14
g08236,1804,1581
g08237,64,110
g08238,12,12
g08239,0,0
g08240,115,90
g08241,0,0
g08242,0,1
g08243,10,6
g08244,0,0
g08245,0,0
g08246,1,1
g08247,3,1
g08248,0,0
g08249,0,1
g08250,499,378
g08251,90,104
g08252,0,0
g08253,127,105
g08254,1313,1069
g08255,24,15
g08256,237,193
g08257,0,0
g08258,0,0
g08259,6,10
g08260,836,1091
g08261,0,0
g08262,6,18
g08263,74,72
g08264,0,0
g08265,0,0
g08266,0,0
g08267,24,25
g08268,1,2
g08269,37,573
g08270,65,76
g08271,3,0
g08272,60,212
g08273,5,6
g08274,298,303
g08275,7,5
g08276,361,276
g08277,430,254
g08278,18836,20077
g08279,125,155
g08280,7,13
g08281,5,4
g08282,1,5
g08283,4,2
g08284,0,0
g08285,1166,1400
g08286,455,345
g08287,0,0
g08288,0,13
g08289,3,1
g08290,0,0
g08291,0,0
g08292,0,0
g08293,0,0
g08294,0,0
g08295,0,0
g08296,0,0
g08297,7,4
g08298,3,3
g08299,33,22
g08300,1,3
g08301,3,2
g08302,52,53
g08303,190,98
g08304,4,7
g08305,32,34
g08306,0,2
g08307,4,9
g08308,728,833
g08309,27,27
g08310,1429,1020
g08311,19,14
g08312,70,65
g08313,115,97
g08314,59,63
g08315,192,210
g08316,65,77
g08317,82,80
g08318,2857,2277
g08319,89,48
g08320,3349,3406
g08321,862,771
g08322,1299,1153
g08323,18886,17201
g08324,32,26
g08325,0,0
g08326,10393,10182
g08327,1,2
g08328,334,283
g08329,1257,927
g08330,0,0
g08331,0,2
g08332,0,0
g08333,44,66
g08334,469,684
g08335,244,217
g08336,453,360
g08337,777,660
g08338,193,161
g08339,206,225
g08340,124,79
g08341,5,1
g08342,318,232
g08343,535,386
g08344,13,9
g08345,206,146
g08346,169,124
g08347,0,1
g08348,0,0
g08349,277,240
g08350,56,69
g08351,346,367
g08352,606,456
g08353,2,3
g08354,717,742
g08355,35,44
g08356,604,713
g08357,92,103
g08358,20,17
g08359,0,0
g08360,203,190
g08361,1489,1074
g08362,52,36
g08363,37,27
g08364,123,156
g08365,15,29
g08366,58,59
g08367,211,204
g08368,111,133
g08369,49,38
g08370,157,151
g08371,8790,9912
g08372,9,5
g08373,107,62
g08374,3,5
g08375,1,0
g08376,621,606
g08377,0,0
g08378,0,3
g08379,0,1
g08380,0,0
g08381,0,0
g08382,0,0
g08383,1,0
g08384,0,0
g08385,0,0
g08386,0,0
g08387,0,0
g08388,0,0
g08389,0,0
g08390,1,2
g08391,4672,3920
g08392,476,376
g08393,23,20
g08394,1608,1276
g08395,785,629
g08396,0,0
g08397,12,7
g08398,32,34
g08399,0,0
g08400,1,10
g08401,2,8
g08402,22,12
g08403,0,1
g08404,0,0
g08405,66,48
g08406,595,409
g08407,171,103
g08408,1,0
g08409,28,31
g08410,6,7
g08411,1,1
g08412,32,28
g08413,16,7
g08414,1,1
g08415,1,6
g08416,28,74
g08417,31,34
g08418,1,1
g08419,753,743
g08420,135,144
g08421,2,1
g08422,438,599
g08423,82,72
g08424,227,252
g08425,187,143
g08426,2272,2244
g08427,124,119
g08428,1,1
g08429,4207,3308
g08430,5861,5416
g08431,18,43
g08432,114,130
g08433,2154,2132
g08434,1806,1945
g08435,300,328
g08436,531,476
g08437,12,42
g08438,0,1
g08439,2,3
g08440,283,365
g08441,25,28
g08442,136,87
g08443,308,244
g08444,376,579
g08445,61,69
g08446,0,0
g08447,1691,2460
g08448,397,474
g08449,0,0
g08450,29,37
g08451,1875,1883
g08452,2,0
g08453,19,19
g08454,56,29
g08455,393,399
g08456,202,189
g08457,1334,1638
g08458,2053,3219
g08459,15,10
g08460,121,136
g08461,164,122
g08462,57,42
g08463,800,619
g08464,0,1
g08465,1,0
g08466,20,14
g08467,455,682
g08468,297,438
g08469,479,533
g08470,10,5
g08471,8,10
g08472,179,160
g08473,163,166
g08474,2,16
g08475,354,315
g08476,1993,1691
g08477,687,591
g08478,80,51
g08479,6,10
g08480,0,1
g08481,11,11
g08482,431,449
g08483,161,157
g08484,1971,1955
g08485,10,18
g08486,294,250
g08487,190,172
g08488,420,355
g08489,0,1
g08490,0,1
g08491,0,0
g08492,674,747
g08493,769,540
g08494,84,71
g08495,3,4
g08496,333,395
g08497,0,0
g08498,1283,1401
g08499,124,66
g08500,21,7
g08501,2728,1960
g08502,307,301
g08503,1,0
g08504,787,844
g08505,850,1206
g08506,225,190
g08507,942,723
g08508,228,196
g08509,25,32
g08510,385,447
g08511,1,0
g08512,2014,2373
g08513,215,171
g08514,46,38
g08515,0,0
g08516,0,1
g08517,61,60
g08518,3355,3240
g08519,0,1
g08520,9,6
g08521,6,3
g08522,13,4
g08523,1,1
g08524,18,7
g08525,6,7
g08526,908,1258
g08527,13,15
g08528,447,419
g08529,506,612
g08530,285,337
g08531,3,0
g08532,0,0
g08533,0,0
g08534,0,0
g08535,0,0
g08536,0,0
g08537,0,0
g08538,0,0
g08539,0,0
g08540,0,0
g08541,1,1
g08542,3227,3362
g08543,304,271
g08544,15,10
g08545,2,0
g08546,0,0
g08547,8,15
g08548,401,500
g08549,441,389
g08550,1105,940
g08551,5,4
g08552,484,406
g08553,2,2
g08554,457,484
g08555,18,38
g08556,28,40
g08557,901,1257
g08558,91,50
g08559,24,30
g08560,138,169
g08561,56,63
g08562,296,250
g08563,39,31
g08564,46,35
g08565,0,0
g08566,1,0
g08567,4,1
g08568,757,876
g08569,319,302
g08570,2,2
g08571,22,14
g08572,3,2
g08573,23,14
g08574,6,11
g08575,0,0
g08576,9,3
g08577,29,27
g08578,788,749
g08579,1547,2045
g08580,2,5
g08581,0,1
g08582,19,7
g08583,2,0
g08584,0,1
g08585,0,0
g08586,1,0
g08587,834,553
g08588,179,207
g08589,881,1019
g08590,0,0
g08591,0,0
g08592,2177,2366
g08593,93,78
g08594,2,0
g08595,1,0
g08596,10,19
g08597,87,95
g08598,2,7
g08599,153,176
g08600,17,17
g08601,98,106
g08602,1594,1697
g08603,1042,1336
g08604,976,1128
g08605,461,589
g08606,2,6
g08607,1,0
g08608,1,0
g08609,1607,2130
g08610,22,17
g08611,119,71
g08612,79,107
g08613,1392,1262
g08614,0,0
g08615,1,0
g08616,0,0
g08617,0,1
g08618,0,0
g08619,1,2
g08620,7,12
g08621,808,864
g08622,195,165
g08623,360,374
g08624,148,119
g08625,15,21
g08626,12,9
g08627,3516,3244
g08628,74,83
g08629,462,431
g08630,3655,3956
g08631,39,10
g08632,2,0
g08633,183,185
g08634,1222,1178
g08635,201,176
g08636,171,153
g08637,0,1
g08638,0,0
g08639,0,0
g08640,140,203
g08641,12,18
g08642,128,188
g08643,2,0
g08644,202,364
g08645,0,1
g08646,8,0
g08647,0,0
g08648,65,36
g08649,0,0
g08650,0,0
g08651,224,177
g08652,0,0
g08653,66,57
g08654,2,6
g08655,3084,2571
g08656,0,0
g08657,2,2
g08658,0,0
g08659,7,8
g08660,8,14
g08661,0,0
g08662,0,0
g08663,14,18
g08664,98,77
g08665,3,1
g08666,528,547
g08667,89,96
g08668,179,172
g08669,197,178
g08670,141,83
g08671,0,0
g08672,0,0
g08673,0,0
g08674,13,27
g08675,84,65
g08676,184,168
g08677,2370,3030
g08678,25,25
g08679,0,0
g08680,4,1
g08681,0,0
g08682,21,22
g08683,739,881
g08684,8,3
g08685,2,2
g08686,2,1
g08687,1,6
g08688,24,33
g08689,1609,1852
g08690,1408,1350
g08691,36,30
g08692,1944,1261
g08693,3765,3396
g08694,6,3
g08695,7,9
g08696,144,114
g08697,5387,4577
g08698,16,10
g08699,2,1
g08700,640,780
g08701,103,142
g08702,239,294
g08703,187,209
g08704,31,18
g08705,453,619
g08706,188,173
g08707,156,153
g08708,0,2
g08709,0,0
g08710,0,0
g08711,0,0
g08712,0,0
g08713,0,1
g08714,0,0
g08715,0,0
g08716,0,0
g08717,0,0
g08718,0,0
g08719,0,0
g08720,0,0
g08721,0,0
g08722,76,75
g08723,1,0
g08724,20,12
g08725,1,1
g08726,329,376
g08727,55,51
g08728,3,4
g08729,108,115
g08730,171,167
g08731,624,584
g08732,56,68
g08733,50,19
g08734,31,5
g08735,2264,2067
g08736,194,174
g08737,0,0
g08738,0,0
g08739,166,220
g08740,319,372
g08741,3029,2881
g08742,20,9
g08743,1,2
g08744,615,842
g08745,269,339
g08746,148,81
g08747,148,81
g08748,310,377
g08749,7,1
g08750,359,310
g08751,263,226
g08752,2,3
g08753,22,12
g08754,1,0
g08755,1,0
g08756,121,131
g08757,9,10
g08758,112,109
g08759,12,13
g08760,0,1
g08761,152,91
g08762,37,54
g08763,2721,3437
g08764,58,37
g08765,28,46
g08766,3,6
g08767,0,0
g08768,61,3
g08769,0,0
g08770,114,95
g08771,28,18
g08772,116,109
g08773,9,5
g08774,274,183
g08775,200,153
g08776,533,448
g08777,0,1
g08778,0,0
g08779,428,322
g08780,25,14
g08781,2145,1783
g08782,110,107
g08783,0,0
g08784,0,0
g08785,313,341
g08786,17,4
g08787,0,0
g08788,0,2
g08789,0,0
g08790,1202,1781
g08791,56,94
g08792,254,222
g08793,91,78
g08794,93,92
g08795,52,77
g08796,5,10
g08797,1152,1259
g08798,767,822
g08799,11,7
g08800,2757,2902
g08801,0,0
g08802,1,3
g08803,7,3
g08804,14,12
g08805,0,0
g08806,40,38
g08807,1011,1114
g08808,9,8
g08809,3,4
g08810,102,75
g08811,101,42
g08812,227,229
g08813,1,0
g08814,3662,5325
g08815,2,11
g08816,192,245
g08817,6,9
g08818,0,0
g08819,0,0
g08820,0,2
g08821,0,6
g08822,0,0
g08823,10,35
g08824,5,5
g08825,0,1
g08826,8,101
g08827,0,0
g08828,0,0
g08829,3,8
g08830,0,1
g08831,103,2013
g08832,150,1203
g08833,5138,5821
g08834,28,94
g08835,0,5
g08836,1,5
g08837,13,31
g08838,63,9
g08839,510987,372526
g08840,1334,1811
g08841,2,6
g08842,127,468
g08843,2061,1951
g08844,8480,13736
g08845,6,12
g08846,4,3
g08847,1,1
g08848,3361,3339
g08849,56,89
g08850,701,751
g08851,4,1
g08852,1,5
g08853,105,94
g08854,391,425
g08855,30,52
g08856,1505,1990
g08857,1943,1788
g08858,230,109
g08859,480,482
g08860,88,87
g08861,109,133
g08862,1,1
g08863,1932,2139
g08864,7,3
g08865,369,386
g08866,874,911
g08867,362,361
g08868,91,90
g08869,22,23
g08870,208,231
g08871,4,2
g08872,5,6
g08873,0,0
g08874,2164,3751
g08875,11,17
g08876,0,0
g08877,0,0
g08878,0,0
g08879,4,3
g08880,0,0
g08881,14,3
g08882,49,30
g08883,17,22
g08884,28,13
g08885,0,0
g08886,26,29
g08887,2,0
g08888,268,242
g08889,650,471
g08890,130,81
g08891,171,28
g08892,868,700
g08893,0,0
g08894,478,363
g08895,1,7
g08896,773,780
g08897,27,34
g08898,0,0
g08899,0,0
g08900,42,33
g08901,5,2
g08902,4,24
g08903,0,1
g08904,0,0
g08905,0,0
g08906,0,0
g08907,0,0
g08908,1,0
g08909,222,204
g08910,0,0
g08911,55,58
g08912,71,68
g08913,312,316
g08914,8,10
g08915,107,71
g08916,26,24
g08917,51,53
g08918,7,17
g08919,505,329
g08920,3102,3131
g08921,0,0
g08922,0,0
g08923,66,85
g08924,218,170
g08925,107,121
g08926,28,22
g08927,5,2
g08928,284,244
g08929,1662,2732
g08930,413,337
g08931,28,34
g08932,433,379
g08933,427,449
g08934,16,35
g08935,102,97
g08936,574,402
g08937,469,677
g08938,118,154
g08939,154,151
g08940,161,207
g08941,6,4
g08942,0,0
g08943,2,3
g08944,214,129
g08945,1670,1783
g08946,1276,1217
g08947,34351,45974
g08948,1,4
g08949,241,232
g08950,49,55
g08951,133,114
g08952,211,138
g08953,6,10
g08954,0,0
g08955,0,0
g08956,67,49
g08957,134,66
g08958,34,65
g08959,105,100
g08960,476,560
g08961,157,182
g08962,3,0
g08963,3742,5143
g08964,946,1221
g08965,0,0
g08966,2,0
g08967,2,3
g08968,5105,4910
g08969,28,13
g08970,138,182
g08971,66,90
g08972,17,16
g08973,668,819
g08974,1000,1374
g08975,31,41
g08976,19,28
g08977,0,0
g08978,1,0
g08979,0,0
g08980,0,0
g08981,0,0
g08982,18,17
g08983,1065,1203
g08984,78,102
g08985,1,3
g08986,158,178
g08987,189,228
g08988,634,688
g08989,570,451
g08990,116,86
g08991,1615,1255
g08992,2,4
g08993,0,2
g08994,546,737
g08995,71,52
g08996,3,3
g08997,1,1
g08998,0,0
g08999,0,0
g09000,271,273
g09001,1193,1080
g09002,2,0
g09003,4,2
g09004,0,1
g09005,212,193
g09006,53,69
g09007,12,15
g09008,0,0
g09009,0,0
g09010,2,0
g09011,1386,1133
g09012,227,249
g09013,1976,2447
g09014,265,325
g09015,0,0
g09016,0,0
g09017,649,682
g09018,0,0
g09019,161,207
g09020,11,8
g09021,208,174
g09022,2213,3416
g09023,0,0
g09024,88,71
g09025,27,25
g09026,7,12
g09027,1,0
g09028,77,74
g09029,199,188
g09030,305,302
g09031,84,77
g09032,35,62
g09033,91,36
g09034,1,4
g09035,0,0
g09036,38,44
g09037,603,518
g09038,188,222
g09039,0,0
g09040,0,0
g09041,0,0
g09042,0,0
g09043,3,5
g09044,0,0
g09045,402,528
g09046,84,96
g09047,2263,2089
g09048,109,132
g09049,627,727
g09050,4,2
g09051,0,0
g09052,0,0
g09053,129,92
g09054,86,72
g09055,134,96
g09056,554,493
g09057,23,15
g09058,141,114
g09059,18,24
g09060,1329,1202
g09061,16,16
g09062,1091,1187
g09063,305,365
g09064,2,3
g09065,431,421
g09066,164,141
g09067,1,0
g09068,2,3
g09069,40,138
g09070,317,271
g09071,15,20
g09072,294,306
g09073,1,2
g09074,42,27
g09075,22,14
g09076,1,3
g09077,20,22
g09078,869,661
g09079,1,5
g09080,4,8
g09081,138,160
g09082,0,0
g09083,476,442
g09084,0,0
g09085,0,0
g09086,529,606
g09087,452,508
g09088,118,76
g09089,0,0
g09090,42,39
g09091,0,0
g09092,0,0
g09093,0,0
g09094,0,0
g09095,0,0
g09096,0,0
g09097,30,27
g09098,0,0
g09099,0,0
g09100,31,33
g09101,5,6
g09102,0,2
g09103,861,1086
g09104,2971,3176
g09105,9,2
g09106,44,59
g09107,315,446
g09108,101,95
g09109,88,97
g09110,369,370
g09111,4,2
g09112,0,0
g09113,0,0
g09114,0,0
g09115,0,0
g09116,0,0
g09117,0,0
g09118,0,0
g09119,0,0
g09120,0,0
g09121,0,0
g09122,0,0
g09123,0,0
g09124,0,0
g09125,0,0
g09126,0,0
g09127,0,0
g09128,0,0
g09129,0,0
g09130,0,0
g09131,16,40
g09132,0,1
g09133,6,9
g09134,221,202
g09135,521,565
g09136,13,13
g09137,536,525
g09138,2,1
g09139,777,822
g09140,767,753
g09141,7,13
g09142,312,326
g09143,102,101
g09144,13,25
g09145,552,463
g09146,18,17
g09147,0,1
g09148,326,167
g09149,59,48
g09150,5,10
g09151,2233,2405
g09152,10749,12840
g09153,3,6
g09154,15,5
g09155,65,62
g09156,62,72
g09157,2,0
g09158,2,6
g09159,247,332
g09160,556,764
g09161,55,81
g09162,777,898
g09163,1,2
g09164,317,246
