,mut_E14.5_f5,mut_E14.5_f4
g00387,1976,1675
g00388,947,930
g00389,9,4
g00390,385,458
g00391,6,5
g00392,272,261
g00393,10,3
g00394,49,44
g00395,230,235
g00396,443,208
g00397,1094,1140
g00398,10283,6981
g00399,4,4
g00400,0,0
g00401,1,0
g00402,0,1
g00403,37,37
g00404,83,76
g00405,173,222
g00406,478,539
g00407,194,197
g00408,820,749
g00409,0,0
g00410,523,522
g00411,1770,2078
g00412,10930,9769
g00413,0,1
g00414,0,1
g00415,0,1
g00416,1,1
g00417,3,5
g00418,1477,1194
g00419,7,5
g00420,3,3
g00421,3,4
g00422,0,0
g00423,0,0
g00424,1706,1631
g00425,5,0
g00426,1865,1994
g00427,504,440
g00428,479,431
g00429,12,19
g00430,34,34
g00431,658,576
g00432,1,1
g00433,8,13
g00434,1120,1020
g00435,895,858
g00436,83,70
g00437,422,320
g00438,214,230
g00439,368,391
g00440,126,142
g00441,801,709
g00442,42,27
g00443,109,85
g00444,232,201
g00445,52,31
g00446,124,141
g00447,2,0
g00448,2,0
g00449,0,0
g00450,7,2
g00451,70,66
g00452,32,32
g00453,3,1
g00454,415,442
g00455,967,991
g00456,179,157
g00457,395,387
g00458,719,675
g00459,361,281
g00460,280,180
g00461,563,602
g00462,539,463
g00463,0,0
g00464,404,396
g00465,210,143
g00466,101,114
g00467,848,867
g00468,3031,3173
g00469,2,2
g00470,775,715
g00471,418,351
g00472,137,110
g00473,186,240
g00474,1089,1033
g00475,126,132
g00476,2561,2515
g00477,258,223
g00478,449,463
g00479,772,730
g00480,0,0
g00481,1,0
g00482,1667,1800
g00483,50,79
g00484,5,4
g00485,41,23
g00486,866,877
g00487,4,2
g00488,1079,1184
g00489,506,535
g00490,161,199
g00491,284,186
g00492,1,4
g00493,12,9
g00494,503,261
g00495,0,0
g00496,220,223
g00497,117,130
g00498,1174,1128
g00499,11,11
g00500,1267,1234
g00501,1,0
g00502,698,601
g00503,291,222
g00504,2533,2650
g00505,152,129
g00506,166,150
g00507,20,5
g00508,9,19
g00509,7,11
g00510,1235,1281
g00511,6,9
g00512,0,0
g00513,1230,1218
g00514,12,7
g00515,0,1
g00516,0,0
g00517,8,4
g00518,310,217
g00519,584,648
g00520,1006,1052
g00521,11,12
g00522,4649,4429
g00523,24,27
g00524,29,33
g00525,0,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,0,0
g00531,0,0
g00532,0,0
g00533,0,0
g00534,11,6
g00535,6,2
g00536,1,0
g00537,0,0
g00538,5,5
g00539,14,10
g00540,2041,2185
g00541,2176,2198
g00542,12,9
g00543,4,2
g00544,1,0
g00545,36,32
g00546,2035,2130
g00547,61,62
g00548,218,190
g00549,4,2
g00550,65,49
g00551,0,0
g00552,7116,4502
g00553,6,2
g00554,1,1
g00555,7,15
g00556,2,2
g00557,0,1
g00558,1623,1637
g00559,159,152
g00560,428,376
g00561,63,69
g00562,663,579
g00563,0,0
g00564,1,0
g00565,2,2
g00566,175,200
g00567,7,13
g00568,264,198
g00569,499,444
g00570,1355,1443
g00571,98,63
g00572,1375,1324
g00573,67,64
g00574,148,135
g00575,60,66
g00576,0,0
g00577,1,0
g00578,1,1
g00579,200,153
g00580,725,714
g00581,108,98
g00582,11,10
g00583,61,51
g00584,1357,1445
g00585,864,768
g00586,82,43
g00587,82,43
g00588,101,63
g00589,80,44
g00590,86,45
g00591,88,44
g00592,82,45
g00593,45,49
g00594,102,47
g00595,142,77
g00596,4088,2686
g00597,3296,2109
g00598,0,3
g00599,3,0
g00600,3,0
g00601,0,0
g00602,694,678
g00603,0,1
g00604,0,0
g00605,303,242
g00606,0,0
g00607,1755,1853
g00608,103,84
g00609,37,72
g00610,9,9
g00611,1,2
g00612,470,428
g00613,817,804
g00614,2,1
g00615,11800,10334
g00616,12,7
g00617,0,0
g00618,2,4
g00619,769,818
g00620,15,22
g00621,76,85
g00622,217,203
g00623,2,1
g00624,141,130
g00625,3,4
g00626,26,28
g00627,132,127
g00628,46,40
g00629,723,750
g00630,0,0
g00631,548,707
g00632,155,139
g00633,212,214
g00634,447,470
g00635,807,586
g00636,635,626
g00637,1157,1106
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,0
g00644,0,0
g00645,0,0
g00646,334,351
g00647,0,2
g00648,2145,2248
g00649,292,364
g00650,5,0
g00651,4,4
g00652,90,93
g00653,466,427
g00654,75,89
g00655,395,455
g00656,26,13
g00657,0,1
g00658,2610,2584
g00659,0,0
g00660,57,19
g00661,13,16
g00662,601,604
g00663,346,375
g00664,379,301
g00665,525,493
g00666,20,13
g00667,5125,4483
g00668,4167,4230
g00669,230,195
g00670,1557,1587
g00671,197,195
g00672,360,328
g00673,716,763
g00674,625,674
g00675,338,364
g00676,137,128
g00677,1,0
g00678,0,0
g00679,0,0
g00680,0,2
g00681,0,0
g00682,4,3
g00683,0,0
g00684,156,162
g00685,498,546
g00686,0,0
g00687,0,0
g00688,0,0
g00689,0,0
g00690,9,2
g00691,11,4
g00692,0,0
g00693,1,0
g00694,0,0
g00695,3,2
g00696,183,188
g00697,1568,1592
g00698,45,65
g00699,1603,1443
g00700,23,26
g00701,1,2
g00702,0,0
g00703,0,0
g00704,150,145
g00705,0,0
g00706,44,42
g00707,330,281
g00708,40,41
g00709,631,590
g00710,970,974
g00711,0,0
g00712,112,100
g00713,6,2
g00714,419,365
g00715,2,0
g00716,670,651
g00717,437,448
g00718,53,52
g00719,281,282
g00720,660,653
g00721,112,70
g00722,81,51
g00723,0,0
g00724,36,32
g00725,0,2
g00726,14,3
g00727,26,20
g00728,4,2
g00729,20,27
g00730,18,13
g00731,155,117
g00732,65,58
g00733,85,71
g00734,55,41
g00735,699,759
g00736,185,146
g00737,0,0
g00738,1125,1087
g00739,552,590
g00740,2923,2896
g00741,17,10
g00742,95,43
g00743,450,336
g00744,142,145
g00745,237,251
g00746,1020,1095
g00747,263,270
g00748,363,331
g00749,417,430
g00750,151,172
g00751,1,2
g00752,17,16
g00753,50,34
g00754,1223,1258
g00755,32,24
g00756,118,98
g00757,2,3
g00758,2,1
g00759,140,96
g00760,1,2
g00761,227,230
g00762,703,770
g00763,1,2
g00764,123,116
g00765,9,9
g00766,288,311
g00767,1151,1168
g00768,446,432
g00769,196,199
g00770,239,238
g00771,249,257
g00772,370,390
g00773,1,3
g00774,136,151
g00775,4,5
g00776,8,6
g00777,1281,1344
g00778,7,12
g00779,761,781
g00780,199,191
g00781,1127,910
g00782,0,1
g00783,1398,1461
g00784,7,18
g00785,2305,2283
g00786,1015,1082
g00787,253,241
g00788,510,702
g00789,1,1
g00790,2,0
g00791,219,114
g00792,1,1
g00793,0,1
g00794,0,0
g00795,567,515
g00796,217,203
g00797,78,41
g00798,5,2
g00799,1,0
g00800,2,0
g00801,1,0
g00802,0,0
g00803,0,0
g00804,0,0
g00805,1,0
g00806,943,908
g00807,53,60
g00808,423,344
g00809,110,88
g00810,142,139
g00811,1304,1164
g00812,25,25
g00813,2,2
g00814,13,1
g00815,74,50
g00816,8,3
g00817,10,7
g00818,770,750
g00819,66,75
g00820,4554,4308
g00821,194,184
g00822,512,443
g00823,164,106
g00824,28,21
g00825,0,2
g00826,24,26
g00827,54,40
g00828,58,55
g00829,486,512
g00830,627,637
g00831,617,658
g00832,24,23
g00833,917,1210
g00834,641,675
g00835,5,15
g00836,205,181
g00837,981,940
g00838,588,573
g00839,1183,1029
g00840,420,409
g00841,27,22
g00842,0,1
g00843,0,0
g00844,255,129
g00845,75,53
g00846,255,197
g00847,411,458
g00848,2015,1884
g00849,1375,1193
g00850,6,7
g00851,1480,1467
g00852,14,18
g00853,324,186
g00854,454,273
g00855,1450,819
g00856,8,3
g00857,306,344
g00858,2,1
g00859,10,20
g00860,70,70
g00861,967,877
g00862,561,487
g00863,2039,2414
g00864,687,672
g00865,975,898
g00866,0,2
g00867,253,222
g00868,1487,1450
g00869,288,267
g00870,325,336
g00871,441,411
g00872,2,2
g00873,1,2
g00874,2555,2540
g00875,105,103
g00876,465,404
g00877,40,43
g00878,74,80
g00879,143,144
g00880,13,15
g00881,60,40
g00882,648,658
g00883,8,9
