,het_E16.5_f4,het_E16.5_f5
g00001,41,42
g00002,19,14
g00003,0,0
g00004,2,3
g00005,104,178
g00006,555,518
g00007,792,750
g00008,58,86
g00009,277,253
g00010,102,77
g00011,912,773
g00012,16,13
g00013,23,19
g00014,1572,1319
g00015,0,0
g00016,7,4
g00017,961,855
g00018,9,5
g00019,440,408
g00020,15,16
g00021,16,19
g00022,6,19
g00023,79,97
g00024,680,676
g00025,122,138
g00026,340,331
g00027,0,3
g00028,4,10
g00029,188,162
g00030,9,4
g00031,1,2
g00032,3,0
g00033,0,1
g00034,612,657
g00035,700,659
g00036,1630,1600
g00037,23,14
g00038,875,862
g00039,13,6
g00040,0,2
g00041,2129,1640
g00042,178,141
g00043,0,1
g00044,1615,1689
g00045,2781,2529
g00046,168,163
g00047,0,0
g00048,1,2
g00049,70,84
g00050,71,75
g00051,1,2
g00052,22,30
g00053,225,268
g00054,38,20
g00055,4,1
g00056,5,0
g00057,3373,3145
g00058,235,237
g00059,208,230
g00060,366,380
g00061,440,378
g00062,0,0
g00063,345,317
g00064,32,33
g00065,440,340
g00066,3,0
g00067,461,228
g00068,187,98
g00069,2,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,635,634
g00076,157,148
g00077,3,4
g00078,1,1
g00079,22,25
g00080,0,1
g00081,0,1
g00082,1845,1932
g00083,0,2
g00084,351,344
g00085,44,37
g00086,95,93
g00087,22,25
g00088,26,29
g00089,0,0
g00090,0,0
g00091,0,0
g00092,0,0
g00093,31,30
g00094,23,16
g00095,1,0
g00096,0,0
g00097,0,2
g00098,159,185
g00099,0,0
g00100,415,446
g00101,770,828
g00102,78,66
g00103,1782,1746
g00104,101,119
g00105,283,222
g00106,524,528
g00107,35,30
g00108,0,1
g00109,0,0
g00110,1,0
g00111,0,0
g00112,0,0
g00113,0,0
g00114,0,1
g00115,2034,2045
g00116,164,113
g00117,0,0
g00118,0,0
g00119,0,0
g00120,0,0
g00121,0,0
g00122,1,3
g00123,0,0
g00124,1,0
g00125,435,415
g00126,8,3
g00127,169,209
g00128,490,440
g00129,541,517
g00130,0,0
g00131,24,19
g00132,8242,7144
g00133,4,4
g00134,359,357
g00135,561,568
g00136,175,216
g00137,97,122
g00138,1,6
g00139,5,6
g00140,0,0
g00141,2,2
g00142,0,0
g00143,239,230
g00144,3223,3027
g00145,468,429
g00146,786,674
g00147,2256,2162
g00148,30,19
g00149,204,193
g00150,1068,970
g00151,125,117
g00152,264,242
g00153,338,300
g00154,437,262
g00155,138,152
g00156,531,508
g00157,25,26
g00158,604,596
g00159,1363,1150
g00160,1,1
g00161,9,9
g00162,1777,2088
g00163,19,15
g00164,0,1
g00165,308,343
g00166,1089,985
g00167,515,434
g00168,222,293
g00169,12,21
g00170,30,29
g00171,199,166
g00172,10,14
g00173,68,67
g00174,59,50
g00175,153,175
g00176,489,419
g00177,2,2
g00178,0,3
g00179,796,796
g00180,1131,1234
g00181,637,711
g00182,154,158
g00183,146,194
g00184,41,34
g00185,1,4
g00186,0,0
g00187,640,613
g00188,26,48
g00189,321,259
g00190,591,548
g00191,492,462
g00192,9,14
g00193,1558,1366
g00194,70,63
g00195,4,8
g00196,1,0
g00197,0,0
g00198,5625,5043
g00199,21,16
g00200,202,107
g00201,561,568
g00202,293,273
g00203,1087,758
g00204,23,42
g00205,28,21
g00206,2,4
g00207,75,48
g00208,66,60
g00209,140,118
g00210,0,0
g00211,5,7
g00212,64,58
g00213,9,12
g00214,385,405
g00215,4,11
g00216,608,615
g00217,474,413
g00218,428,368
g00219,0,0
g00220,631,562
g00221,45,43
g00222,30,25
g00223,134,126
g00224,0,0
g00225,2086,2145
g00226,21,14
g00227,98,97
g00228,341,395
g00229,214,241
g00230,566,632
g00231,143,151
g00232,97,64
g00233,299,309
g00234,10,8
g00235,279799,195642
g00236,24579,18442
g00237,826,701
g00238,4,2
g00239,220,190
g00240,0,0
g00241,0,0
g00242,22,33
g00243,4,9
