,het_E16.5_f4,het_E16.5_f5
g00244,1290,1272
g00245,0,0
g00246,498,363
g00247,9,8
g00248,1222,1378
g00249,284,262
g00250,0,1
g00251,1683,1879
g00252,8,7
g00253,0,2
g00254,584,545
g00255,1664,1391
g00256,1091,914
g00257,229,200
g00258,1018,941
g00259,140,112
g00260,232,208
g00261,16,7
g00262,242,143
g00263,0,0
g00264,240,189
g00265,271,223
g00266,149,133
g00267,756,692
g00268,0,2
g00269,429,403
g00270,601,596
g00271,6,11
g00272,493,480
g00273,767,680
g00274,1555,1435
g00275,6446,6394
g00276,198,155
g00277,1625,1361
g00278,547,480
g00279,798,757
g00280,529,601
g00281,294,300
g00282,2,1
g00283,282,257
g00284,3,1
g00285,1,1
g00286,0,0
g00287,58,56
g00288,34,28
g00289,0,0
g00290,17,17
g00291,219,163
g00292,112,90
g00293,215,247
g00294,751,763
g00295,319,322
g00296,631,663
g00297,91,60
g00298,10,10
g00299,5734,4854
g00300,26,18
g00301,3903,3607
g00302,2699,2558
g00303,259,277
g00304,446,413
g00305,611,540
g00306,6,8
g00307,426,454
g00308,472,421
g00309,14,18
g00310,8,6
g00311,1103,947
g00312,514,447
g00313,1055,1000
g00314,198,225
g00315,0,0
g00316,131,113
g00317,41,38
g00318,549,525
g00319,20,4
g00320,679,616
g00321,34,23
g00322,421,359
g00323,1584,1444
g00324,5,7
g00325,1,2
g00326,1325,1208
g00327,49,39
g00328,647,705
g00329,25,20
g00330,325,301
g00331,191,191
g00332,4,3
g00333,981,1033
g00334,347,346
g00335,1103,1053
g00336,1014,1048
g00337,4,9
g00338,0,0
g00339,17,26
g00340,0,0
g00341,8,1
g00342,12,16
g00343,0,0
g00344,567,524
g00345,2422,2265
g00346,25,27
g00347,1304,1416
g00348,226,221
g00349,71,67
g00350,1602,1417
g00351,5845,5247
g00352,7,4
g00353,17,7
g00354,1259,1104
g00355,623,482
g00356,0,1
g00357,0,1
g00358,260,268
g00359,5,3
g00360,1,3
g00361,189,208
g00362,1722,1819
g00363,184,180
g00364,22,20
g00365,101,125
g00366,163,192
g00367,344,348
g00368,32,23
g00369,2,0
g00370,0,0
g00371,0,0
g00372,0,0
g00373,0,0
g00374,0,0
g00375,1,0
g00376,1401,1146
g00377,1202,1105
g00378,1,0
g00379,0,0
g00380,1724,1973
g00381,70,64
g00382,4,12
g00383,552,477
g00384,752,735
g00385,364,452
g00386,54,58
g00387,4441,3691
g00388,1620,1495
g00389,5,7
g00390,41,40
g00391,1,1
g00392,155,211
g00393,0,3
g00394,0,1
g00395,261,309
g00396,10365,8500
g00397,1088,1103
g00398,12430,11306
g00399,3,3
g00400,0,0
g00401,0,0
g00402,1,2
g00403,371,341
g00404,88,116
g00405,15,11
g00406,446,429
g00407,3,3
g00408,693,662
g00409,0,1
g00410,758,784
g00411,826,764
g00412,4277,5133
g00413,0,1
g00414,2,0
g00415,0,1
g00416,0,0
g00417,4,2
g00418,2064,1969
g00419,2,2
g00420,6,3
g00421,15,6
g00422,0,0
g00423,0,0
g00424,2477,2422
g00425,3,1
g00426,2647,2468
g00427,455,618
g00428,978,1085
g00429,6,16
g00430,55,39
g00431,812,831
g00432,1,3
g00433,11,19
g00434,1252,1198
g00435,1019,980
g00436,38,28
g00437,347,429
g00438,258,222
g00439,443,463
g00440,60,94
g00441,802,877
g00442,64,54
g00443,143,117
g00444,377,397
g00445,150,189
g00446,0,5
g00447,0,0
g00448,0,0
g00449,0,1
g00450,0,21
g00451,3,0
g00452,47,37
g00453,10,23
g00454,558,518
g00455,819,827
g00456,347,355
g00457,393,316
g00458,772,755
g00459,385,413
g00460,203,226
g00461,747,694
g00462,5672,5459
g00463,3,3
g00464,671,576
g00465,18,12
g00466,0,3
g00467,855,876
g00468,10249,6394
g00469,5,5
g00470,728,625
g00471,645,629
g00472,207,217
g00473,17,17
g00474,1094,841
g00475,21,31
g00476,2227,2045
g00477,186,163
g00478,368,433
g00479,337,303
g00480,0,0
g00481,1,0
g00482,1111,929
g00483,76,67
g00484,3,5
g00485,31,41
g00486,1158,1110
g00487,2,0
g00488,820,712
g00489,339,363
g00490,161,117
g00491,3,6
g00492,14,10
g00493,55,54
g00494,374,510
g00495,0,1
g00496,270,260
g00497,31,44
g00498,298,442
g00499,17,19
g00500,1915,1663
g00501,0,0
g00502,1046,954
g00503,1,4
g00504,4850,4459
g00505,171,158
g00506,470,471
g00507,31,23
g00508,24,35
g00509,2,33
g00510,1020,942
g00511,3,5
g00512,0,0
g00513,1558,1452
g00514,14,11
g00515,0,0
g00516,0,0
g00517,1,1
g00518,120,76
g00519,427,362
g00520,8,17
g00521,1,1
g00522,6027,5336
g00523,42,41
g00524,21,29
g00525,0,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,0,1
g00531,0,0
g00532,0,0
g00533,0,0
g00534,11,13
g00535,11,10
g00536,1,0
g00537,2,1
g00538,14,10
g00539,27,22
g00540,2950,2490
g00541,2383,2382
g00542,3,0
g00543,8,13
g00544,0,0
g00545,1,3
g00546,2845,2517
g00547,53,50
g00548,103,135
g00549,2,1
g00550,15,19
g00551,0,0
g00552,5641,7622
g00553,3,4
g00554,3,2
g00555,12,14
g00556,0,3
g00557,0,0
g00558,2066,2115
g00559,137,138
g00560,346,360
g00561,48,60
g00562,675,710
g00563,0,1
g00564,0,0
g00565,0,2
g00566,1,3
g00567,1,3
g00568,467,404
g00569,483,512
g00570,1589,1538
g00571,216,109
g00572,1588,1467
g00573,69,83
g00574,2,3
g00575,48,51
g00576,0,1
g00577,1,2
g00578,11,5
g00579,625,592
g00580,762,685
g00581,124,137
g00582,6,8
g00583,35,47
g00584,1103,1073
g00585,946,985
g00586,419,421
g00587,419,421
g00588,520,504
g00589,430,429
g00590,476,485
g00591,439,446
g00592,433,440
g00593,44,64
g00594,559,561
g00595,251,241
g00596,4653,4804
g00597,3665,3823
g00598,2,3
g00599,2,2
g00600,3,4
g00601,4,3
g00602,901,710
g00603,0,0
g00604,0,1
g00605,474,492
g00606,0,1
g00607,1537,1454
g00608,81,86
g00609,0,0
g00610,9,8
g00611,0,5
g00612,386,363
g00613,820,863
g00614,0,0
g00615,35307,30222
g00616,73,64
g00617,0,0
g00618,26,15
g00619,1942,1742
g00620,9,10
g00621,218,166
g00622,371,319
g00623,8,6
g00624,156,163
g00625,5,3
g00626,70,53
g00627,262,183
g00628,34,55
g00629,713,716
g00630,0,0
g00631,270,265
g00632,160,214
g00633,129,163
g00634,301,287
g00635,2659,2944
g00636,677,715
g00637,1345,1374
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,1
g00644,0,0
g00645,0,0
g00646,461,389
g00647,0,2
g00648,2500,1889
g00649,380,269
g00650,1,0
g00651,13,6
g00652,102,108
g00653,738,807
g00654,75,74
g00655,451,442
g00656,103,122
g00657,0,0
g00658,213,183
g00659,3,1
g00660,802,846
g00661,6,30
g00662,600,638
g00663,382,374
g00664,371,349
g00665,580,663
g00666,404,456
g00667,7215,6865
g00668,4898,4900
g00669,308,271
g00670,1431,1348
g00671,450,394
g00672,475,527
g00673,817,776
g00674,595,584
g00675,468,467
g00676,131,164
g00677,4,3
g00678,0,2
g00679,1,0
g00680,4,1
g00681,2,2
g00682,1,2
g00683,0,0
g00684,215,199
g00685,255,283
g00686,0,0
g00687,0,0
g00688,0,0
g00689,0,0
g00690,1,27
g00691,1,1
g00692,0,0
g00693,0,1
g00694,0,0
g00695,1,0
g00696,157,143
g00697,1310,1315
g00698,72,69
g00699,1631,1315
g00700,15,10
g00701,1,2
g00702,0,1
g00703,0,0
g00704,2,0
g00705,0,0
g00706,4,1
g00707,126,125
g00708,15,24
g00709,867,874
g00710,1369,1306
g00711,0,0
g00712,196,193
g00713,10,9
g00714,866,829
g00715,6,2
g00716,727,709
g00717,790,672
g00718,92,76
g00719,717,650
g00720,1301,1141
g00721,5511,4469
g00722,3739,3058
g00723,4,2
g00724,418,297
g00725,3,0
g00726,798,634
g00727,680,560
g00728,254,287
g00729,1775,1514
g00730,985,937
g00731,697,670
g00732,1518,1195
g00733,13,9
g00734,49,36
g00735,1314,1039
g00736,2,0
g00737,0,0
g00738,913,895
g00739,787,748
g00740,3319,3025
g00741,26,16
g00742,120,124
g00743,823,876
g00744,392,357
g00745,354,336
g00746,1295,1322
g00747,286,328
g00748,316,360
g00749,413,423
g00750,326,315
g00751,0,3
g00752,5,5
g00753,49,41
g00754,3592,3184
g00755,35,30
g00756,151,149
g00757,0,0
g00758,1,2
g00759,141,141
g00760,0,0
g00761,650,608
g00762,758,752
g00763,0,1
g00764,149,149
g00765,11,13
g00766,3,2
g00767,1626,1488
g00768,528,496
g00769,93,87
g00770,117,97
g00771,225,347
g00772,349,381
g00773,4,2
g00774,2,3
g00775,4,6
g00776,6,5
g00777,1323,1315
g00778,2,8
g00779,1125,1036
g00780,179,192
g00781,774,935
g00782,1,3
g00783,1898,1796
g00784,30,28
g00785,2560,2511
g00786,1326,1407
g00787,466,469
g00788,23,22
g00789,1,1
g00790,3,3
g00791,662,483
g00792,0,0
g00793,0,1
g00794,2,0
g00795,907,761
g00796,1583,1078
g00797,950,949
g00798,27,46
g00799,5,9
g00800,10,4
g00801,1,2
g00802,0,0
g00803,0,1
g00804,0,2
g00805,0,3
g00806,1578,1384
g00807,20,22
g00808,442,478
g00809,697,546
g00810,287,213
g00811,1730,1700
g00812,30,22
g00813,3,3
g00814,7,14
g00815,535,391
g00816,108,107
g00817,7,16
g00818,1066,983
g00819,143,140
g00820,5546,5149
g00821,911,895
g00822,815,758
g00823,238,215
g00824,53,61
g00825,0,0
g00826,0,4
g00827,14,8
g00828,278,283
g00829,234,193
g00830,887,911
g00831,708,669
g00832,56,59
g00833,25,18
g00834,22,19
g00835,1,0
g00836,73,73
g00837,1045,1096
g00838,622,581
g00839,1876,1617
g00840,304,311
g00841,12,19
g00842,1,0
g00843,0,2
g00844,0,5
g00845,15,9
g00846,290,258
g00847,419,386
g00848,2923,2877
g00849,2040,1949
g00850,16,14
g00851,2850,2519
g00852,8,6
g00853,243,285
g00854,20,100
g00855,93,304
g00856,11,9
g00857,742,655
g00858,1,1
g00859,67,49
g00860,258,146
g00861,647,526
g00862,307,272
g00863,1550,1242
g00864,752,666
g00865,1068,924
g00866,2,0
g00867,404,371
g00868,2731,2530
g00869,529,484
g00870,407,331
g00871,478,551
g00872,2,1
g00873,3,1
g00874,2723,2907
g00875,9,24
g00876,647,614
g00877,71,73
g00878,466,354
g00879,29,28
g00880,1,5
g00881,120,112
g00882,332,311
g00883,3,2
g00884,38,80
g00885,846,815
g00886,334,299
g00887,59,41
g00888,126,99
g00889,1798,2032
g00890,596,587
g00891,1840,1932
g00892,716,591
g00893,2762,2339
g00894,2862,2845
g00895,1532,1595
g00896,11378,9751
g00897,4,2
g00898,495,527
g00899,944,738
g00900,0,0
g00901,448,370
g00902,23,24
g00903,220,268
g00904,0,0
g00905,3,3
g00906,3536,3317
g00907,29,18
g00908,232,226
g00909,500,517
g00910,1,0
g00911,596,541
g00912,3,0
g00913,0,0
g00914,0,1
g00915,62,74
g00916,83,80
g00917,0,1
g00918,1,1
g00919,245,239
g00920,2,0
g00921,953,874
g00922,0,0
g00923,0,2
g00924,54,72
g00925,0,0
g00926,457,448
g00927,4,6
g00928,0,0
g00929,1132,1043
g00930,1794,1900
g00931,0,0
g00932,1,0
g00933,0,0
g00934,0,1
g00935,0,0
g00936,161,169
g00937,63,44
g00938,4,0
g00939,0,0
g00940,207,212
g00941,159,180
g00942,196,206
g00943,1137,1133
g00944,389,377
g00945,575,737
g00946,69,103
g00947,12,3
g00948,28,21
g00949,0,0
g00950,76,58
g00951,1,1
g00952,0,0
g00953,1,0
g00954,0,0
g00955,469,380
g00956,0,1
g00957,40,35
g00958,0,4
g00959,1,0
g00960,0,0
g00961,0,0
g00962,520,520
g00963,4361,4487
g00964,41,44
g00965,1837,1522
g00966,11,15
g00967,0,0
g00968,4125,4178
g00969,357,320
g00970,364,391
g00971,892,871
g00972,0,0
g00973,373,340
g00974,1688,1658
g00975,1537,1325
g00976,138,141
g00977,144,169
g00978,666,608
g00979,3,4
g00980,2,2
g00981,1352,1375
g00982,710,754
g00983,107,75
g00984,1884,1923
g00985,171,183
g00986,1337,1098
g00987,5507,4989
g00988,1,2
g00989,10,11
g00990,1751,1573
g00991,5247,4188
g00992,5,11
g00993,3,6
g00994,112,117
g00995,300,287
g00996,3,4
g00997,3,3
g00998,3,0
g00999,1,5
g01000,1750,1856
g01001,340,320
g01002,1,2
g01003,0,0
g01004,50,59
g01005,970,768
g01006,182,155
g01007,1188,1170
g01008,306,288
g01009,3,5
g01010,422,418
g01011,1,0
g01012,530,593
g01013,1,0
g01014,208,204
g01015,1268,1112
g01016,3281,3332
g01017,636,722
g01018,2419,2325
g01019,2,1
g01020,11,12
g01021,1,1
g01022,4,2
g01023,459,512
g01024,1000,854
g01025,236,239
g01026,271,264
g01027,2227,1971
g01028,1281,1206
g01029,694,606
g01030,2,1
g01031,1139,1130
g01032,400,423
g01033,199,186
g01034,449,463
g01035,0,0
g01036,15,6
g01037,22,25
g01038,0,0
g01039,2727,2203
g01040,2,0
g01041,456,408
g01042,10,10
g01043,6,4
g01044,207,271
g01045,38,66
g01046,32,38
g01047,277,236
g01048,723,716
g01049,983,998
g01050,2,3
g01051,24,22
g01052,1,1
g01053,1461,1528
g01054,22,22
g01055,254,286
g01056,3362,2933
g01057,36,22
g01058,8,13
g01059,275,221
g01060,80,90
g01061,476,487
g01062,3,2
g01063,0,0
g01064,1051,1218
g01065,1,4
g01066,3,6
g01067,0,1
g01068,1134,1002
g01069,1,2
g01070,326,313
g01071,107,121
g01072,10,8
g01073,1405,1902
g01074,8,9
g01075,18,23
g01076,303,257
g01077,281,311
g01078,1,0
g01079,0,0
g01080,5396,6190
g01081,0,3
g01082,262,257
g01083,3465,2642
g01084,0,5
g01085,2,1
g01086,0,0
g01087,3030,2710
g01088,304,276
g01089,0,1
g01090,759,776
g01091,463,501
g01092,315,287
g01093,40,32
g01094,10,8
g01095,12,11
g01096,21,11
g01097,2,1
g01098,6,8
g01099,1374,1092
g01100,70,86
g01101,1653,1391
g01102,311,320
g01103,392,422
g01104,4869,3495
g01105,0,0
g01106,0,1
g01107,0,0
g01108,1,0
g01109,1,1
g01110,1804,1804
g01111,397,390
g01112,189,159
g01113,673,646
g01114,339,301
g01115,0,3
g01116,330,320
g01117,22,19
g01118,483,417
g01119,1,0
g01120,376,344
g01121,132,147
g01122,713,802
g01123,696,460
g01124,0,1
g01125,0,0
g01126,252,134
g01127,101,72
g01128,534,496
g01129,1862,1715
g01130,0,0
g01131,1,0
g01132,0,0
g01133,3,2
g01134,73,59
g01135,1349,1242
g01136,860,850
g01137,120,126
g01138,317,337
g01139,735,634
g01140,4,2
g01141,0,0
g01142,129,86
g01143,53,30
g01144,808,829
g01145,457,403
g01146,396,414
g01147,269,337
g01148,18,25
g01149,0,1
g01150,871,788
g01151,30,28
g01152,3047,2867
g01153,649,575
g01154,379,349
g01155,0,2
g01156,6,7
g01157,3,2
g01158,34,24
g01159,0,1
g01160,15,22
g01161,574,415
g01162,995,982
g01163,281,305
g01164,1,0
g01165,0,0
g01166,63,59
g01167,5,8
g01168,457,408
g01169,13,14
g01170,1694,1576
g01171,224,146
g01172,61,55
g01173,30,30
g01174,383,379
g01175,2,7
g01176,544,546
g01177,2202,2031
g01178,510,384
g01179,355,399
g01180,301,303
g01181,438,532
g01182,688,613
g01183,353,301
g01184,10,5
g01185,468,418
g01186,398,331
g01187,119,135
g01188,30,28
g01189,2836,2248
g01190,205,192
g01191,411,382
g01192,6,12
g01193,1121,1126
g01194,111,95
g01195,0,0
g01196,18,13
g01197,18,29
g01198,3,5
g01199,45,34
g01200,0,0
g01201,2,5
g01202,38,43
g01203,8,3
g01204,0,0
g01205,0,0
g01206,340,328
g01207,4,11
g01208,1088,1349
g01209,7287,7313
g01210,1463,1423
g01211,1260,1169
g01212,1939,1807
g01213,1237,1265
g01214,1161,712
g01215,0,4
g01216,561,494
g01217,394,367
g01218,1,4
g01219,5,5
g01220,886,899
g01221,754,846
g01222,4,5
g01223,1179,984
g01224,1694,1826
g01225,14,26
g01226,4,5
g01227,44,52
g01228,0,0
g01229,0,1
g01230,87,85
g01231,3,0
g01232,1,0
g01233,0,1
g01234,0,0
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,6,2
g01240,0,0
g01241,0,0
g01242,7,13
g01243,135,104
g01244,63,43
g01245,2,1
g01246,0,1
g01247,0,0
g01248,5,9
g01249,2,0
g01250,0,0
g01251,90,79
g01252,66,29
g01253,8,7
g01254,0,2
g01255,35,18
g01256,5,3
g01257,19,23
g01258,94,45
g01259,4,1
g01260,0,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,0
g01266,0,0
g01267,0,0
g01268,0,0
g01269,56,54
g01270,0,0
g01271,0,0
g01272,1,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,102,80
g01277,688,672
g01278,7,14
g01279,1038,979
g01280,5,3
g01281,83,82
g01282,237,257
g01283,0,0
g01284,439,439
g01285,9,10
g01286,1884,1799
g01287,2,1
g01288,241,289
g01289,43,51
g01290,510,513
g01291,709,679
g01292,32,29
g01293,0,1
g01294,976,947
g01295,0,0
g01296,3,3
g01297,749,709
g01298,11,14
g01299,0,4
g01300,7,6
g01301,1,8
g01302,276,242
g01303,6592,5968
g01304,44,37
g01305,144,137
g01306,197,223
g01307,54,58
g01308,981,824
g01309,498,412
g01310,2438,2504
g01311,0,0
g01312,1512,1459
g01313,301,218
g01314,413,447
g01315,25,23
g01316,1198,1296
g01317,81,89
g01318,2657,2443
g01319,498,447
g01320,6,1
g01321,1306,1163
g01322,64,43
g01323,624,526
g01324,657,576
g01325,1,0
g01326,1,0
g01327,126,116
g01328,469,422
g01329,34,33
g01330,490,446
g01331,256,190
g01332,0,0
g01333,771,766
g01334,513,462
g01335,3168,2678
g01336,14,17
g01337,0,1
g01338,0,0
g01339,51,48
g01340,1575,1611
g01341,0,0
g01342,2656,2360
g01343,370,319
g01344,0,0
g01345,2694,2664
g01346,83,60
g01347,805,736
g01348,788,846
g01349,1899,1634
g01350,1,3
g01351,0,0
g01352,74,79
g01353,99,95
g01354,696,670
g01355,516,471
g01356,459,412
g01357,2700,2516
g01358,222,240
g01359,3,1
g01360,13,7
g01361,506,541
g01362,0,0
g01363,0,1
g01364,86,114
g01365,1,1
g01366,709,713
g01367,2,3
g01368,633,634
g01369,569,534
g01370,1339,1226
g01371,4,0
g01372,1487,1357
g01373,2,1
g01374,4,2
g01375,434,460
g01376,4910,4742
g01377,12,7
g01378,2,3
g01379,11,11
g01380,0,0
g01381,64,125
g01382,360,439
g01383,366,308
g01384,1,0
g01385,1,3
g01386,1,0
g01387,493,525
g01388,59,66
g01389,37,56
g01390,4,3
g01391,5,3
g01392,823,765
g01393,47,63
g01394,15,12
g01395,0,3
g01396,1826,2141
g01397,1439,1285
g01398,735,669
g01399,104,145
g01400,7,7
g01401,445,434
g01402,626,665
g01403,487,454
g01404,287,254
g01405,89,76
g01406,1,1
g01407,63,61
g01408,279,254
g01409,11,18
g01410,0,0
g01411,121,85
g01412,12,18
g01413,458,403
g01414,703,611
g01415,567,617
g01416,1291,1235
g01417,1,3
g01418,627,717
g01419,1035,972
g01420,909,878
g01421,348,341
g01422,169,169
g01423,1121,951
g01424,11,7
g01425,164,127
g01426,0,0
g01427,10,6
g01428,283,260
g01429,55,63
g01430,10,19
g01431,128,123
g01432,0,3
g01433,0,1
g01434,159,157
g01435,16,9
g01436,37,64
g01437,402,380
g01438,2088,2090
g01439,190,195
g01440,379,310
g01441,24,109
g01442,165,192
g01443,165,192
g01444,1126,916
g01445,45,75
g01446,2,1
g01447,2,2
g01448,1320,1389
g01449,0,0
g01450,3751,2807
g01451,406,289
g01452,46,33
g01453,1,1
g01454,3,1
g01455,16,13
g01456,296,279
g01457,8,14
g01458,0,0
g01459,0,0
g01460,582,456
g01461,333,302
g01462,16,10
g01463,1067,917
g01464,428,439
g01465,3385,3149
g01466,191,186
g01467,118,127
g01468,230,179
g01469,4,5
g01470,82,62
g01471,1434,1293
g01472,81,124
g01473,1,1
g01474,407,404
g01475,142,157
g01476,8,14
g01477,0,1
g01478,1,0
g01479,7,3
g01480,282,283
g01481,127,112
g01482,29,31
g01483,607,514
g01484,38,26
g01485,225,236
g01486,55,70
g01487,1418,1454
g01488,687,593
g01489,500,460
g01490,98,99
g01491,855,781
g01492,4,5
g01493,0,0
g01494,2085,1997
g01495,335,298
g01496,1676,1413
g01497,25,46
g01498,176,204
g01499,0,0
g01500,1320,1238
g01501,11,10
g01502,159,165
g01503,1,3
g01504,0,0
g01505,0,0
g01506,1057,1184
g01507,429,452
g01508,34,23
g01509,4374,4159
g01510,3,5
g01511,150,119
g01512,900,895
g01513,9508,8984
g01514,1003,880
g01515,0,0
g01516,572,633
g01517,1479,1449
g01518,536,514
g01519,498,457
g01520,121,131
g01521,129,130
g01522,791,799
g01523,86,102
g01524,295,385
g01525,1,1
g01526,434,425
g01527,0,3
g01528,0,1
g01529,0,0
g01530,12,20
g01531,599,689
g01532,505,416
g01533,1486,1155
g01534,422,333
g01535,784,800
g01536,2,3
g01537,75,73
g01538,669,561
g01539,1172,1132
g01540,50,87
g01541,1,1
g01542,2,6
g01543,31652,28510
g01544,173,170
g01545,2,2
g01546,0,0
g01547,625,618
g01548,83,79
g01549,2,2
g01550,54,44
g01551,241,238
g01552,312,291
g01553,806,692
g01554,10,9
g01555,9,7
g01556,4080,3918
g01557,19,33
g01558,429,422
g01559,208,266
g01560,8,4
g01561,1,7
g01562,241,259
g01563,833,798
g01564,158,166
g01565,2,1
g01566,0,0
g01567,0,0
g01568,1,0
g01569,505,472
g01570,0,0
g01571,34,27
g01572,3,7
g01573,5,4
g01574,12,5
g01575,12,17
g01576,0,0
g01577,57,72
g01578,346,389
g01579,0,0
g01580,0,1
g01581,2,122
g01582,253,224
g01583,105,98
g01584,17,14
g01585,23,32
g01586,94,147
g01587,3,5
g01588,17,16
g01589,0,1
g01590,0,0
g01591,0,0
g01592,0,0
g01593,0,0
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,1,0
g01599,0,0
g01600,0,0
g01601,0,0
g01602,0,0
g01603,0,0
g01604,487,501
g01605,76,80
g01606,455,410
g01607,157,205
g01608,23,38
g01609,157,167
g01610,930,1002
g01611,53,75
g01612,191,200
g01613,2444,2056
g01614,0,0
g01615,0,3
g01616,0,0
g01617,51,45
g01618,9,10
g01619,3,0
g01620,485,481
g01621,0,1
g01622,798,854
g01623,3439,2984
g01624,0,0
g01625,1202,1200
g01626,0,0
g01627,0,0
g01628,0,0
g01629,0,0
g01630,15,17
g01631,48,36
g01632,834,728
g01633,1308,1180
g01634,330,314
g01635,57,69
g01636,84,71
g01637,182,150
g01638,73,99
g01639,73,81
g01640,184,187
g01641,96,104
g01642,149,144
g01643,109,89
g01644,3,5
g01645,860,906
g01646,13,7
g01647,433,283
g01648,10,3
g01649,0,0
g01650,0,0
g01651,0,0
g01652,0,0
g01653,3,7
g01654,205,190
g01655,86,86
g01656,205,214
g01657,0,0
g01658,1,1
g01659,26,21
g01660,0,2
g01661,1129,1127
g01662,905,903
g01663,428,357
g01664,204,191
g01665,75,75
g01666,92,86
g01667,1,0
g01668,37,26
g01669,2382,2176
g01670,3456,2823
g01671,1,0
g01672,4064,3804
g01673,18,4
g01674,126,142
g01675,15,20
g01676,1126,1042
g01677,25,26
g01678,331,351
g01679,124,111
g01680,2579,2818
g01681,50,46
g01682,22,16
g01683,0,6
g01684,1,0
g01685,17,5
g01686,12,5
g01687,0,0
g01688,274,232
