,wt_E16.5_f4,wt_E16.5_f5
g00001,33,33
g00002,14,12
g00003,0,0
g00004,4,4
g00005,107,130
g00006,543,478
g00007,774,667
g00008,56,67
g00009,274,269
g00010,93,88
g00011,879,799
g00012,17,18
g00013,29,17
g00014,1581,1308
g00015,0,0
g00016,0,7
g00017,1027,752
g00018,1,1
g00019,426,403
g00020,15,10
g00021,18,21
g00022,5,6
g00023,90,87
g00024,620,598
g00025,123,110
g00026,368,321
g00027,1,3
g00028,8,4
g00029,187,179
g00030,6,5
g00031,1,1
g00032,1,0
g00033,0,1
g00034,525,629
g00035,689,614
g00036,1329,1502
g00037,18,28
g00038,863,764
g00039,10,7
g00040,0,0
g00041,1782,1872
g00042,139,142
g00043,1,0
g00044,1392,1418
g00045,2586,2521
g00046,158,141
g00047,1,0
g00048,1,1
g00049,68,94
g00050,84,63
g00051,0,3
g00052,28,25
g00053,212,229
g00054,29,25
g00055,2,3
g00056,7,4
g00057,3421,2871
g00058,230,206
g00059,214,193
g00060,383,295
g00061,434,340
g00062,0,0
g00063,312,273
g00064,28,22
g00065,383,309
g00066,1,3
g00067,297,213
g00068,126,105
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,1,0
g00075,524,571
g00076,110,111
g00077,2,2
g00078,1,3
g00079,15,18
g00080,0,0
g00081,1,2
g00082,1894,1764
g00083,0,1
g00084,349,297
g00085,30,25
g00086,70,74
g00087,19,21
g00088,26,36
g00089,0,0
g00090,0,0
g00091,0,0
g00092,0,0
g00093,19,20
g00094,19,8
g00095,0,0
g00096,0,0
g00097,1,0
g00098,157,182
g00099,0,1
g00100,459,386
g00101,797,717
g00102,80,46
g00103,1572,1640
g00104,116,86
g00105,271,234
g00106,503,457
g00107,24,32
g00108,3,1
g00109,0,1
g00110,0,0
g00111,0,0
g00112,0,1
g00113,0,0
g00114,0,0
g00115,1832,1857
g00116,147,121
g00117,0,1
g00118,0,0
g00119,0,0
g00120,0,0
g00121,0,0
g00122,3,1
g00123,0,0
g00124,0,2
g00125,442,420
g00126,2,5
g00127,158,162
g00128,478,410
g00129,457,432
g00130,2,1
g00131,28,12
g00132,6939,6612
g00133,5,2
g00134,326,336
g00135,529,549
g00136,196,201
g00137,129,108
g00138,2,1
g00139,1,8
g00140,0,0
g00141,1,2
g00142,0,3
g00143,230,236
g00144,3081,2937
g00145,431,405
g00146,654,586
g00147,2038,1932
g00148,20,14
g00149,161,144
g00150,977,950
g00151,112,96
g00152,223,174
g00153,306,272
g00154,425,230
g00155,138,144
g00156,517,460
g00157,32,29
g00158,622,577
g00159,1346,1154
g00160,0,3
g00161,13,16
g00162,1449,1793
g00163,10,20
g00164,0,1
g00165,274,310
g00166,1032,925
g00167,549,491
g00168,250,251
g00169,7,15
g00170,23,28
g00171,173,179
g00172,10,8
g00173,54,66
g00174,64,50
g00175,144,144
g00176,451,428
g00177,1,2
g00178,0,4
g00179,842,744
g00180,889,992
g00181,653,594
g00182,144,146
g00183,129,142
g00184,40,35
g00185,4,2
g00186,0,0
g00187,594,513
g00188,29,33
g00189,329,259
g00190,554,531
g00191,469,423
g00192,17,8
g00193,1565,1256
g00194,63,61
g00195,7,2
g00196,1,1
g00197,0,0
g00198,5062,4441
g00199,12,14
g00200,183,85
g00201,546,520
g00202,325,251
g00203,938,932
g00204,22,23
g00205,17,16
g00206,0,1
g00207,55,33
g00208,56,65
g00209,120,121
g00210,0,1
g00211,1,11
g00212,69,77
g00213,9,8
g00214,402,401
g00215,7,3
g00216,545,615
g00217,438,364
g00218,432,315
g00219,0,0
g00220,620,479
g00221,29,38
g00222,33,34
g00223,140,122
g00224,2,2
g00225,1910,1972
g00226,17,14
g00227,80,101
g00228,302,345
g00229,200,207
g00230,582,533
g00231,144,143
g00232,80,58
g00233,306,292
g00234,4,6
g00235,249799,192350
g00236,22779,17955
g00237,774,718
g00238,3,2
g00239,234,153
g00240,0,0
g00241,0,0
g00242,29,24
g00243,2,5
g00244,1161,1199
g00245,0,0
g00246,384,396
g00247,4,3
g00248,1229,1086
g00249,256,208
g00250,3,1
g00251,1653,1686
g00252,5,7
g00253,1,1
g00254,516,499
g00255,1503,1299
g00256,970,889
g00257,230,256
g00258,928,847
g00259,128,102
g00260,224,185
g00261,8,6
g00262,140,148
g00263,1,3
g00264,193,167
g00265,250,193
g00266,159,136
g00267,785,663
g00268,0,3
g00269,500,431
g00270,606,551
g00271,8,3
g00272,443,450
g00273,708,647
g00274,1448,1222
g00275,6590,5903
g00276,185,169
g00277,1524,1325
g00278,578,474
g00279,767,681
g00280,531,522
g00281,278,232
g00282,1,0
g00283,254,200
g00284,2,1
g00285,3,1
g00286,0,0
g00287,44,55
g00288,28,29
g00289,0,1
g00290,8,14
g00291,211,181
g00292,97,88
g00293,234,238
g00294,700,697
g00295,311,270
g00296,615,638
g00297,73,76
g00298,12,15
g00299,4526,4136
g00300,21,24
g00301,3895,3423
g00302,2917,2296
g00303,352,274
g00304,408,379
g00305,591,478
g00306,5,8
g00307,485,393
g00308,474,417
g00309,13,13
g00310,8,5
g00311,1026,866
g00312,543,435
g00313,881,914
g00314,190,201
g00315,1,0
g00316,120,113
g00317,36,34
g00318,519,504
g00319,10,3
g00320,613,525
g00321,29,19
g00322,440,329
g00323,1631,1361
g00324,6,3
g00325,4,2
g00326,1108,1081
g00327,38,30
g00328,534,572
g00329,14,17
g00330,350,265
g00331,195,164
g00332,3,1
g00333,883,943
g00334,367,268
g00335,1002,964
g00336,823,909
g00337,10,6
g00338,0,0
g00339,15,22
g00340,0,1
g00341,5,4
g00342,11,13
g00343,0,0
g00344,560,512
g00345,2364,2209
g00346,20,27
g00347,1067,1176
g00348,228,181
g00349,73,69
g00350,1603,1310
g00351,5988,5076
g00352,13,8
g00353,9,14
g00354,951,896
g00355,526,519
g00356,0,0
g00357,0,0
g00358,272,225
g00359,4,5
g00360,2,0
g00361,206,187
g00362,1727,1664
g00363,176,195
g00364,27,27
g00365,104,90
g00366,137,146
g00367,297,288
g00368,32,21
g00369,3,1
g00370,0,0
g00371,0,0
g00372,0,0
g00373,0,0
g00374,0,0
g00375,4,1
g00376,1319,1106
g00377,1204,1031
g00378,2,0
g00379,0,0
g00380,2198,1656
g00381,89,59
g00382,4,3
g00383,547,452
g00384,696,629
g00385,315,381
g00386,53,58
g00387,4692,3418
g00388,1482,1488
g00389,1,1
g00390,29,46
g00391,0,0
g00392,174,186
g00393,1,0
g00394,0,2
g00395,231,245
g00396,9322,6837
g00397,1067,1134
