,wt_E16.5_f4,wt_E16.5_f5
g00398,8007,9710
g00399,4,3
g00400,0,0
g00401,1,0
g00402,0,0
g00403,322,267
g00404,76,85
g00405,8,5
g00406,412,379
g00407,2,2
g00408,555,658
g00409,0,0
g00410,783,729
g00411,765,730
g00412,3672,4608
g00413,1,0
g00414,1,0
g00415,0,0
g00416,0,1
g00417,0,1
g00418,1524,1555
g00419,3,7
g00420,6,2
g00421,8,6
g00422,0,0
g00423,0,0
g00424,2414,2305
g00425,1,1
g00426,2690,2342
g00427,414,543
g00428,1132,1009
g00429,10,10
g00430,54,43
g00431,788,832
g00432,0,0
g00433,15,11
g00434,1152,1079
g00435,973,933
g00436,31,12
g00437,292,370
g00438,243,208
g00439,458,439
g00440,41,55
g00441,738,836
g00442,61,59
g00443,124,135
g00444,417,389
g00445,186,180
g00446,1,2
g00447,0,0
g00448,1,1
g00449,0,0
g00450,0,1
g00451,0,0
g00452,50,37
g00453,16,14
g00454,525,506
g00455,793,690
g00456,367,323
g00457,321,315
g00458,728,713
g00459,373,379
g00460,232,239
g00461,717,666
g00462,5703,4704
g00463,4,1
g00464,652,538
g00465,22,9
g00466,2,0
g00467,897,852
g00468,8876,6061
g00469,4,6
g00470,658,530
g00471,606,590
g00472,206,194
g00473,15,5
g00474,831,768
g00475,21,26
g00476,1860,1774
g00477,170,178
g00478,377,402
g00479,349,278
g00480,0,0
g00481,0,0
g00482,1126,863
g00483,78,85
g00484,6,3
g00485,41,38
g00486,1137,1101
g00487,1,0
g00488,829,696
g00489,336,286
g00490,171,147
g00491,2,1
g00492,6,15
g00493,41,55
g00494,341,432
g00495,1,0
g00496,334,273
g00497,50,36
g00498,326,313
g00499,11,17
g00500,1763,1538
g00501,0,0
g00502,1034,981
g00503,0,0
g00504,3870,4181
g00505,157,191
g00506,481,397
g00507,27,13
g00508,13,13
g00509,2,11
g00510,1032,858
g00511,2,1
g00512,0,0
g00513,1477,1311
g00514,13,15
g00515,0,0
g00516,0,0
g00517,0,0
g00518,92,61
g00519,356,376
g00520,13,13
g00521,0,0
g00522,5448,4893
g00523,29,33
g00524,35,30
g00525,0,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,0,2
g00531,0,0
g00532,0,0
g00533,0,0
g00534,15,6
g00535,12,14
g00536,2,0
g00537,1,1
g00538,24,12
g00539,20,22
g00540,2872,2364
g00541,2515,2326
g00542,3,1
g00543,3,9
g00544,0,2
g00545,4,0
g00546,2713,2447
g00547,55,37
g00548,123,110
g00549,3,1
g00550,16,18
g00551,0,0
g00552,4687,7117
g00553,4,9
g00554,2,1
g00555,19,9
g00556,1,0
g00557,0,1
g00558,2150,1864
g00559,138,127
g00560,355,344
g00561,51,48
g00562,704,695
g00563,0,0
g00564,0,0
g00565,0,0
g00566,3,6
g00567,3,1
g00568,391,323
g00569,384,458
g00570,1571,1469
g00571,128,134
g00572,1535,1401
g00573,70,81
g00574,0,2
g00575,62,44
g00576,0,1
g00577,0,0
g00578,7,4
g00579,590,583
g00580,689,667
g00581,79,126
g00582,5,7
g00583,42,40
g00584,998,962
g00585,871,912
g00586,390,388
g00587,390,388
g00588,510,459
g00589,401,387
g00590,444,451
g00591,408,417
g00592,404,404
g00593,48,47
g00594,507,528
g00595,249,233
g00596,4409,4480
g00597,3468,3595
g00598,2,1
g00599,0,2
g00600,1,3
g00601,4,2
g00602,816,697
g00603,0,0
g00604,2,0
g00605,386,433
g00606,0,0
g00607,1389,1363
g00608,84,99
g00609,3,0
g00610,12,12
g00611,0,4
g00612,393,357
g00613,814,769
g00614,0,1
g00615,28822,27883
g00616,56,81
g00617,0,1
g00618,16,13
g00619,1844,1562
g00620,16,15
g00621,209,136
g00622,330,342
g00623,9,10
g00624,147,134
g00625,6,6
g00626,52,40
g00627,221,190
g00628,44,55
g00629,699,582
g00630,0,0
g00631,277,222
g00632,158,147
g00633,113,144
g00634,289,261
g00635,2845,2975
g00636,651,668
g00637,1358,1252
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,0
g00644,0,0
g00645,0,0
g00646,513,397
g00647,1,1
g00648,2236,1757
g00649,327,257
g00650,1,0
g00651,2,5
g00652,118,97
g00653,670,713
g00654,70,68
g00655,478,405
g00656,99,78
g00657,0,0
g00658,171,163
g00659,4,3
g00660,745,705
g00661,7,11
g00662,444,493
g00663,299,331
g00664,397,337
g00665,550,581
g00666,304,423
g00667,5763,6144
g00668,4993,4348
g00669,255,284
g00670,1365,1290
g00671,472,372
g00672,460,508
g00673,721,700
g00674,585,567
g00675,468,416
g00676,132,161
g00677,2,2
g00678,0,0
g00679,0,0
g00680,0,1
g00681,1,0
g00682,2,1
g00683,0,0
g00684,210,176
g00685,271,255
g00686,0,1
g00687,0,1
g00688,0,0
g00689,0,0
g00690,1,0
g00691,3,1
g00692,0,1
g00693,0,0
g00694,0,0
g00695,1,3
g00696,158,119
g00697,1297,1135
g00698,50,55
g00699,1378,1258
g00700,20,16
g00701,5,0
g00702,0,1
g00703,0,0
g00704,2,4
g00705,0,0
g00706,7,2
g00707,134,137
g00708,17,18
g00709,774,806
g00710,1299,1119
g00711,0,0
g00712,214,204
g00713,13,7
g00714,807,742
g00715,5,3
g00716,606,657
g00717,723,581
g00718,86,81
g00719,578,601
g00720,1253,1060
g00721,6006,4549
g00722,4135,3066
g00723,5,3
g00724,508,273
g00725,6,1
g00726,803,634
g00727,696,446
g00728,282,251
g00729,1768,1377
g00730,861,781
g00731,649,693
g00732,1528,1069
g00733,11,7
g00734,41,34
g00735,1288,1032
g00736,0,0
g00737,0,0
g00738,832,830
g00739,825,725
g00740,2818,2524
g00741,7,16
g00742,95,120
g00743,659,732
g00744,409,400
g00745,309,317
g00746,1264,1145
g00747,310,283
g00748,247,266
g00749,410,350
g00750,292,228
g00751,1,2
g00752,5,3
g00753,34,34
g00754,3411,3172
g00755,39,35
g00756,130,150
g00757,0,1
g00758,6,2
g00759,136,123
g00760,3,0
g00761,638,465
g00762,745,714
g00763,1,1
g00764,121,123
g00765,10,11
g00766,7,5
g00767,1480,1435
g00768,485,460
g00769,89,77
g00770,102,92
g00771,158,187
g00772,290,326
g00773,1,7
g00774,2,5
g00775,6,1
g00776,5,4
g00777,1233,1173
g00778,3,4
g00779,1118,962
g00780,154,165
g00781,655,753
g00782,2,2
g00783,1857,1733
g00784,42,26
g00785,2647,2266
g00786,1338,1294
g00787,452,458
g00788,20,35
g00789,0,1
g00790,1,2
g00791,530,484
g00792,2,1
g00793,0,0
g00794,0,0
g00795,784,656
g00796,1240,942
g00797,852,777
g00798,26,32
g00799,4,5
g00800,4,9
g00801,2,0
g00802,0,1
g00803,0,0
g00804,1,1
g00805,0,1
g00806,1502,1297
g00807,34,27
g00808,406,435
g00809,565,445
g00810,261,234
g00811,1512,1575
g00812,24,23
g00813,0,3
g00814,12,5
g00815,539,404
g00816,122,69
g00817,14,12
g00818,995,861
g00819,133,127
g00820,5202,4877
g00821,996,829
g00822,711,734
g00823,220,214
g00824,57,53
g00825,0,0
g00826,0,0
g00827,10,11
g00828,277,218
g00829,231,229
g00830,909,834
g00831,712,653
g00832,45,63
g00833,19,22
g00834,15,17
g00835,0,1
g00836,64,58
g00837,908,964
g00838,530,484
g00839,1510,1508
g00840,255,298
g00841,8,20
g00842,0,0
g00843,0,0
g00844,2,0
g00845,10,11
g00846,246,250
g00847,464,367
g00848,2526,2539
g00849,1624,1761
g00850,14,11
g00851,2434,2482
g00852,5,8
g00853,169,228
g00854,34,53
g00855,94,153
g00856,11,12
g00857,758,607
g00858,2,4
g00859,87,31
g00860,216,140
g00861,510,520
g00862,252,212
g00863,1365,1209
g00864,670,546
g00865,1007,880
g00866,1,1
g00867,381,386
g00868,2577,2240
g00869,520,438
g00870,391,311
g00871,443,483
g00872,4,3
g00873,3,2
g00874,2400,2594
g00875,14,16
g00876,597,517
g00877,65,60
g00878,387,367
g00879,22,18
g00880,2,2
g00881,99,108
g00882,252,327
g00883,3,2
g00884,50,47
g00885,814,798
g00886,310,292
g00887,39,28
g00888,94,56
g00889,1728,1768
g00890,423,504
g00891,1647,1559
g00892,647,552
g00893,2502,2371
g00894,2433,2631
g00895,1489,1435
g00896,9513,8619
g00897,2,1
g00898,502,472
g00899,792,547
g00900,2,2
g00901,389,381
g00902,22,21
g00903,167,192
g00904,1,0
g00905,3,0
g00906,3319,2970
g00907,30,27
g00908,245,237
g00909,436,498
g00910,0,0
g00911,596,531
g00912,4,1
g00913,0,0
g00914,0,1
g00915,62,83
g00916,86,87
g00917,1,0
g00918,0,3
g00919,258,247
g00920,0,1
g00921,881,803
g00922,0,0
g00923,0,2
g00924,79,57
g00925,0,0
g00926,450,395
g00927,4,3
g00928,0,0
g00929,1032,1002
g00930,1685,1686
g00931,0,0
g00932,0,0
g00933,0,0
g00934,0,0
g00935,0,0
g00936,146,132
g00937,48,49
g00938,2,1
g00939,0,0
g00940,168,155
g00941,153,170
g00942,213,196
g00943,1134,1020
g00944,365,341
g00945,562,600
g00946,87,88
g00947,18,15
g00948,37,20
g00949,0,0
g00950,81,64
g00951,0,0
g00952,1,0
g00953,0,0
g00954,0,0
g00955,437,368
g00956,1,0
g00957,27,34
g00958,3,1
g00959,0,1
g00960,0,0
g00961,0,0
g00962,629,480
g00963,3991,3960
g00964,56,51
g00965,1526,1531
g00966,14,10
g00967,0,0
g00968,4213,3988
g00969,362,302
g00970,337,390
g00971,947,817
g00972,3,2
g00973,269,268
g00974,1694,1512
g00975,1353,1263
g00976,112,106
g00977,116,152
g00978,527,559
g00979,6,4
g00980,1,3
g00981,1384,1250
g00982,755,676
g00983,103,71
g00984,1696,1747
g00985,104,148
g00986,1230,1008
g00987,4262,4076
g00988,4,2
g00989,14,7
g00990,1318,1367
g00991,5729,4465
g00992,18,6
g00993,2,1
g00994,119,114
g00995,269,265
g00996,6,1
g00997,0,1
g00998,1,1
g00999,1,3
g01000,1709,1849
g01001,332,322
g01002,1,1
g01003,0,0
g01004,40,40
g01005,1046,676
g01006,150,126
g01007,1218,1053
g01008,298,266
g01009,11,12
g01010,381,438
g01011,0,3
g01012,581,568
g01013,1,0
g01014,185,156
g01015,1075,926
g01016,2883,2890
g01017,500,599
g01018,2220,2234
g01019,1,2
g01020,13,6
g01021,1,1
g01022,0,4
g01023,419,407
g01024,801,736
g01025,237,253
g01026,240,240
g01027,2091,1764
g01028,1243,1104
g01029,644,523
g01030,3,3
g01031,1129,1074
g01032,404,408
g01033,234,185
g01034,430,367
g01035,0,0
g01036,5,10
g01037,14,20
g01038,1,0
g01039,2404,2326
g01040,0,1
g01041,425,368
g01042,14,5
g01043,2,1
g01044,254,178
g01045,61,48
g01046,31,18
g01047,285,241
g01048,772,691
g01049,1031,893
g01050,1,1
g01051,15,17
g01052,0,1
g01053,1301,1277
g01054,16,19
g01055,254,225
g01056,3437,2711
g01057,37,35
g01058,13,14
g01059,235,232
g01060,75,69
g01061,481,480
g01062,2,1
g01063,0,1
g01064,1084,1107
g01065,0,1
g01066,6,3
g01067,0,0
g01068,1047,966
g01069,0,0
g01070,319,292
g01071,88,126
g01072,11,10
g01073,1557,1881
g01074,6,4
g01075,19,26
g01076,272,202
g01077,279,275
g01078,0,2
g01079,0,0
g01080,4296,5571
g01081,1,0
g01082,255,218
g01083,3410,1920
g01084,2,3
g01085,6,0
g01086,2,0
g01087,2848,2850
g01088,291,259
g01089,0,0
g01090,675,732
g01091,504,469
g01092,280,291
g01093,44,32
g01094,6,2
g01095,16,15
g01096,5,8
g01097,1,2
g01098,12,11
g01099,1361,923
g01100,85,62
g01101,1623,1224
g01102,299,249
g01103,337,323
g01104,4285,3617
g01105,1,1
g01106,0,1
g01107,0,0
g01108,0,0
g01109,0,1
g01110,1745,1525
g01111,386,347
g01112,181,149
g01113,587,571
g01114,335,303
g01115,4,4
g01116,275,284
g01117,15,14
g01118,413,358
g01119,0,1
g01120,336,374
g01121,95,116
g01122,622,671
g01123,563,479
g01124,0,1
g01125,0,0
g01126,156,134
g01127,97,78
g01128,523,466
g01129,1689,1674
g01130,0,0
g01131,1,1
g01132,0,0
g01133,5,4
g01134,44,66
g01135,1407,1208
g01136,870,750
g01137,117,93
g01138,293,327
g01139,722,651
g01140,0,2
g01141,0,0
g01142,119,103
g01143,34,30
g01144,682,671
g01145,500,391
g01146,409,386
g01147,289,329
g01148,19,25
g01149,1,1
g01150,865,792
g01151,26,27
g01152,2738,2800
g01153,597,612
g01154,342,295
g01155,0,0
g01156,6,3
g01157,2,1
g01158,27,11
g01159,0,4
g01160,17,25
g01161,395,385
g01162,886,858
g01163,303,261
g01164,1,0
g01165,0,0
g01166,84,54
g01167,10,9
g01168,525,445
g01169,7,11
g01170,1664,1441
g01171,178,168
g01172,65,61
g01173,22,22
g01174,410,357
g01175,6,1
g01176,595,552
g01177,2114,1927
g01178,494,436
g01179,343,314
g01180,285,263
g01181,430,480
g01182,734,615
g01183,357,279
g01184,7,8
g01185,426,401
g01186,379,359
g01187,88,105
g01188,24,29
g01189,2634,1982
g01190,244,218
g01191,400,360
g01192,15,11
g01193,992,989
g01194,132,106
g01195,0,1
g01196,24,25
g01197,26,28
g01198,4,5
g01199,44,26
g01200,1,0
g01201,3,1
g01202,54,50
g01203,1,5
g01204,0,0
g01205,1,2
g01206,299,345
g01207,3,3
g01208,900,1217
g01209,6606,6683
g01210,1305,1293
g01211,1269,1091
g01212,1936,1702
g01213,1068,1179
g01214,886,677
g01215,0,5
g01216,471,409
g01217,384,329
g01218,3,6
g01219,4,8
g01220,843,774
g01221,776,740
g01222,8,2
g01223,1129,1011
g01224,1646,1682
g01225,17,23
g01226,10,11
g01227,38,41
g01228,0,0
g01229,0,1
g01230,74,100
g01231,0,0
g01232,0,1
g01233,0,0
g01234,0,0
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,1,0
g01240,0,0
g01241,0,0
g01242,7,7
g01243,104,82
g01244,51,61
g01245,1,0
g01246,0,0
g01247,1,1
g01248,5,1
g01249,1,2
g01250,0,0
g01251,113,85
g01252,46,31
g01253,11,7
g01254,0,12
g01255,53,12
g01256,7,12
g01257,31,19
g01258,102,182
g01259,6,3
g01260,0,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,1
g01266,0,0
g01267,0,0
g01268,0,0
g01269,43,49
g01270,0,0
g01271,0,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,71,85
g01277,819,755
g01278,15,7
g01279,1006,947
g01280,8,4
g01281,66,71
g01282,229,197
g01283,0,1
g01284,438,404
g01285,8,12
g01286,1657,1623
g01287,3,2
g01288,270,252
g01289,38,42
g01290,447,453
g01291,666,586
g01292,25,30
g01293,0,1
g01294,924,872
g01295,0,1
g01296,1,1
g01297,720,690
g01298,5,8
g01299,1,2
g01300,8,8
g01301,3,6
g01302,297,216
g01303,5712,5674
g01304,23,35
g01305,168,127
g01306,202,201
g01307,40,54
g01308,958,691
g01309,489,434
g01310,2280,2253
g01311,0,0
g01312,1401,1404
g01313,284,194
g01314,439,368
g01315,11,19
g01316,1024,1127
g01317,91,119
g01318,2330,2326
g01319,458,427
g01320,1,3
g01321,1174,1080
g01322,57,42
g01323,738,484
g01324,629,574
g01325,1,0
g01326,0,1
g01327,117,119
g01328,478,486
g01329,50,32
g01330,434,366
g01331,202,200
g01332,2,0
g01333,717,707
g01334,496,482
g01335,2560,2177
g01336,17,12
g01337,1,2
g01338,0,1
g01339,57,53
g01340,1562,1468
g01341,0,1
g01342,2319,2016
g01343,368,226
g01344,0,0
g01345,2464,2533
g01346,40,70
g01347,767,714
g01348,612,748
g01349,1712,1519
g01350,1,2
g01351,0,1
g01352,58,82
g01353,80,62
g01354,593,661
g01355,526,413
g01356,411,387
g01357,2473,2365
g01358,250,219
g01359,2,2
g01360,10,8
g01361,462,493
g01362,0,0
g01363,0,0
g01364,97,115
g01365,1,3
g01366,706,687
g01367,2,3
g01368,707,592
g01369,529,477
g01370,1176,1272
g01371,0,0
g01372,1370,1351
g01373,2,1
g01374,3,0
g01375,420,372
g01376,4698,4229
g01377,3,13
g01378,0,5
g01379,7,12
g01380,0,0
g01381,68,122
g01382,374,330
g01383,372,317
g01384,0,0
g01385,1,3
g01386,0,0
g01387,477,448
g01388,53,65
g01389,21,46
g01390,1,4
g01391,1,7
g01392,795,720
g01393,48,56
g01394,9,9
g01395,1,0
g01396,1546,1807
g01397,1206,1185
g01398,705,636
g01399,96,147
g01400,7,4
g01401,386,408
g01402,594,550
g01403,434,410
g01404,262,253
g01405,64,92
g01406,0,0
g01407,58,62
g01408,269,255
g01409,6,12
g01410,1,0
g01411,103,79
g01412,13,9
g01413,480,396
g01414,701,591
g01415,547,496
g01416,1256,1091
g01417,1,4
g01418,534,624
g01419,954,984
g01420,828,802
g01421,339,341
g01422,158,104
g01423,1098,717
g01424,7,9
g01425,150,124
g01426,0,0
g01427,12,7
g01428,247,264
g01429,65,63
g01430,9,9
g01431,114,99
g01432,2,3
g01433,0,1
g01434,148,160
g01435,26,10
g01436,44,45
g01437,394,389
g01438,2090,1929
g01439,228,170
g01440,386,289
g01441,9,55
g01442,142,114
g01443,142,114
g01444,983,912
g01445,62,46
g01446,2,2
g01447,3,2
g01448,1123,1170
g01449,0,0
g01450,3025,2770
g01451,336,332
g01452,40,36
g01453,2,1
g01454,3,2
g01455,18,19
g01456,293,295
g01457,16,10
g01458,0,0
g01459,0,2
g01460,598,408
g01461,253,251
g01462,13,4
g01463,823,835
g01464,451,451
g01465,2584,2598
g01466,189,214
g01467,114,104
g01468,206,159
g01469,6,5
g01470,75,73
g01471,1277,1199
g01472,69,95
g01473,0,0
g01474,398,401
g01475,139,173
g01476,11,7
g01477,0,0
g01478,2,3
g01479,6,3
g01480,216,195
g01481,86,93
g01482,32,34
g01483,587,504
g01484,25,29
g01485,224,226
g01486,65,58
g01487,1296,1339
g01488,682,580
g01489,419,408
g01490,71,75
g01491,838,765
g01492,3,6
g01493,0,0
g01494,1878,1612
g01495,318,338
g01496,1298,1323
g01497,20,38
g01498,175,201
g01499,1,0
g01500,1255,1253
g01501,11,9
g01502,153,153
g01503,4,2
g01504,2,1
g01505,0,0
g01506,1078,1069
g01507,390,388
g01508,33,18
g01509,3882,3782
g01510,5,3
g01511,156,104
g01512,948,889
g01513,7199,7798
g01514,706,751
g01515,0,0
g01516,581,523
g01517,1311,1326
g01518,461,459
g01519,501,387
g01520,159,134
g01521,116,122
g01522,689,705
g01523,80,86
g01524,267,239
g01525,1,2
g01526,406,402
g01527,0,0
g01528,0,0
g01529,1,1
g01530,24,13
g01531,521,592
g01532,468,395
g01533,1416,1059
g01534,446,325
g01535,717,773
g01536,3,6
g01537,71,71
g01538,487,546
g01539,1161,1031
g01540,32,41
g01541,1,0
g01542,3,1
g01543,32355,26938
g01544,144,187
g01545,2,1
g01546,2,0
g01547,545,519
g01548,77,58
g01549,1,1
g01550,65,63
g01551,299,216
g01552,309,277
g01553,753,669
g01554,6,9
g01555,10,15
g01556,4038,3675
g01557,22,33
g01558,399,411
g01559,215,185
g01560,5,3
g01561,3,3
g01562,228,198
g01563,835,712
g01564,156,160
g01565,3,1
g01566,1,0
g01567,0,0
g01568,0,0
g01569,468,374
g01570,0,0
g01571,35,15
g01572,8,9
g01573,5,6
g01574,3,3
g01575,15,22
g01576,1,0
g01577,57,47
g01578,316,332
g01579,0,0
g01580,0,1
g01581,0,2
g01582,215,176
g01583,90,81
g01584,23,10
g01585,30,29
g01586,95,137
g01587,5,3
g01588,18,43
g01589,0,0
g01590,0,1
g01591,0,0
g01592,0,0
g01593,0,1
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,0,0
g01599,0,0
g01600,0,0
g01601,0,0
g01602,0,0
g01603,0,0
g01604,484,482
g01605,87,77
g01606,430,414
g01607,154,162
g01608,36,31
g01609,131,135
g01610,915,887
g01611,50,41
g01612,182,144
g01613,2071,1898
g01614,1,0
g01615,1,1
g01616,0,0
g01617,51,62
g01618,12,13
g01619,3,0
g01620,492,476
g01621,1,1
g01622,790,769
g01623,2786,2846
g01624,0,1
g01625,1070,976
g01626,0,1
g01627,0,0
g01628,0,0
g01629,0,0
g01630,9,12
g01631,44,46
g01632,887,679
g01633,1370,1118
g01634,352,289
g01635,71,60
g01636,85,62
g01637,185,124
g01638,84,72
g01639,84,63
g01640,161,145
g01641,121,89
g01642,183,159
g01643,100,67
g01644,0,1
g01645,894,802
g01646,7,10
g01647,361,260
g01648,2,5
g01649,0,0
g01650,0,0
g01651,0,1
g01652,0,0
g01653,2,3
g01654,186,194
g01655,91,100
g01656,230,164
g01657,0,0
g01658,1,0
g01659,30,35
g01660,6,3
g01661,1109,1072
g01662,915,825
g01663,388,377
g01664,157,154
g01665,64,68
g01666,74,72
g01667,1,0
g01668,25,36
g01669,2417,2043
g01670,2856,2742
g01671,0,0
g01672,3438,3344
g01673,11,3
g01674,126,137
g01675,21,19
g01676,966,995
g01677,26,18
g01678,330,377
g01679,122,98
g01680,2397,2466
g01681,48,42
g01682,28,25
g01683,1,1
g01684,0,2
g01685,11,6
g01686,5,4
g01687,0,0
g01688,296,240
g01689,262,222
g01690,322,348
g01691,144,140
g01692,136,105
