,wt_E14.5_f4,wt_E14.5_f5
g00387,1406,2347
g00388,831,1185
g00389,2,11
g00390,422,573
g00391,6,10
g00392,246,280
g00393,5,2
g00394,31,75
g00395,246,284
g00396,176,228
g00397,1244,1300
g00398,7563,11644
g00399,5,6
g00400,0,1
g00401,1,1
g00402,0,0
g00403,37,32
g00404,79,99
g00405,180,265
g00406,506,619
g00407,182,306
g00408,757,910
g00409,0,0
g00410,593,571
g00411,2032,2320
g00412,11358,13245
g00413,0,0
g00414,0,0
g00415,2,1
g00416,1,0
g00417,4,5
g00418,1345,1656
g00419,0,10
g00420,0,1
g00421,0,5
g00422,0,1
g00423,0,0
g00424,1750,2137
g00425,1,7
g00426,2109,2416
g00427,390,587
g00428,397,497
g00429,9,22
g00430,35,29
g00431,594,775
g00432,0,2
g00433,11,20
g00434,1097,1342
g00435,935,1125
g00436,58,117
g00437,349,536
g00438,211,257
g00439,371,423
g00440,166,223
g00441,762,975
g00442,45,39
g00443,91,120
g00444,225,152
g00445,47,42
g00446,97,188
g00447,1,0
g00448,3,1
g00449,0,0
g00450,3,8
g00451,101,93
g00452,47,53
g00453,4,2
g00454,446,586
g00455,961,1214
g00456,172,199
g00457,378,521
g00458,616,811
g00459,322,396
g00460,192,315
g00461,575,692
g00462,422,617
g00463,2,1
g00464,374,485
g00465,126,237
g00466,88,148
g00467,899,1044
g00468,2908,3349
g00469,0,5
g00470,702,869
g00471,389,550
g00472,132,205
g00473,239,262
g00474,1042,1376
g00475,123,176
g00476,2474,3193
g00477,221,251
g00478,432,583
g00479,758,998
g00480,1,0
g00481,0,0
g00482,1632,2131
g00483,90,81
g00484,10,9
g00485,35,71
g00486,959,1078
g00487,2,1
g00488,1210,1366
g00489,573,583
g00490,223,177
g00491,201,336
g00492,2,3
g00493,6,9
g00494,272,701
g00495,0,0
g00496,252,267
g00497,125,165
g00498,1209,1500
g00499,10,9
g00500,1309,1543
g00501,0,0
g00502,558,766
g00503,236,403
g00504,2841,3190
g00505,126,161
g00506,177,186
g00507,7,13
g00508,15,21
g00509,8,11
g00510,1169,1509
g00511,3,6
g00512,0,1
g00513,1268,1569
g00514,20,22
g00515,0,1
g00516,0,0
g00517,5,5
g00518,215,286
g00519,593,808
g00520,1038,1353
g00521,14,12
g00522,4720,5609
g00523,24,23
g00524,29,48
g00525,0,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,0,0
g00531,0,0
g00532,0,0
g00533,0,0
g00534,8,2
g00535,6,4
g00536,0,1
g00537,1,0
g00538,5,10
g00539,14,15
g00540,2077,2485
g00541,2129,2617
g00542,6,8
g00543,2,9
g00544,1,2
g00545,18,31
g00546,2101,2535
g00547,91,96
g00548,202,240
g00549,5,9
g00550,45,72
g00551,0,0
g00552,4940,7535
g00553,5,6
g00554,0,4
g00555,15,15
g00556,1,3
g00557,0,0
g00558,1668,1970
g00559,138,200
g00560,437,537
g00561,61,58
g00562,639,792
g00563,0,0
g00564,0,0
g00565,0,1
g00566,231,266
g00567,4,29
g00568,213,308
g00569,375,528
g00570,1429,1691
g00571,40,63
g00572,1302,1577
g00573,70,74
g00574,175,253
g00575,43,60
g00576,1,7
g00577,0,3
g00578,1,1
g00579,158,210
g00580,691,817
g00581,94,136
g00582,7,17
g00583,43,72
g00584,1437,1719
g00585,840,970
g00586,37,47
g00587,37,48
g00588,57,70
g00589,38,46
g00590,40,47
g00591,40,53
g00592,38,48
g00593,50,44
g00594,47,52
g00595,99,161
g00596,2898,4559
g00597,2308,3678
g00598,2,2
g00599,0,0
g00600,0,0
g00601,0,0
g00602,695,904
g00603,0,0
g00604,0,0
g00605,232,339
g00606,0,0
g00607,1794,2165
g00608,91,108
g00609,73,83
g00610,8,7
g00611,0,3
g00612,423,517
g00613,801,946
g00614,0,2
g00615,10236,12892
g00616,12,8
g00617,1,0
g00618,7,9
g00619,703,984
g00620,5,13
g00621,58,108
g00622,220,295
g00623,3,9
g00624,141,189
g00625,4,7
g00626,29,41
g00627,113,170
g00628,40,42
g00629,797,901
g00630,0,0
g00631,646,801
g00632,153,192
g00633,212,321
g00634,409,608
g00635,746,562
g00636,614,761
g00637,1151,1374
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,0
g00644,0,0
g00645,0,0
g00646,387,440
g00647,2,1
g00648,2284,2707
g00649,358,424
g00650,2,6
g00651,6,5
g00652,109,131
g00653,310,497
g00654,67,85
g00655,463,572
g00656,20,12
g00657,0,0
g00658,2342,3748
g00659,1,0
g00660,28,18
g00661,9,17
g00662,614,870
g00663,348,500
g00664,382,454
g00665,531,715
g00666,11,23
g00667,4669,5940
g00668,4349,5106
g00669,195,273
g00670,1528,2052
g00671,215,233
g00672,364,353
g00673,827,967
g00674,717,801
g00675,444,423
g00676,121,165
g00677,2,4
g00678,1,1
g00679,0,0
g00680,0,1
g00681,0,1
g00682,2,6
g00683,0,0
g00684,157,192
g00685,481,672
g00686,0,1
g00687,0,0
g00688,0,0
g00689,1,0
g00690,3,20
g00691,2,15
g00692,0,0
g00693,0,0
g00694,0,0
g00695,1,0
g00696,178,258
g00697,1521,2019
g00698,65,80
g00699,1416,1901
g00700,22,35
g00701,3,5
g00702,0,0
g00703,0,0
g00704,118,217
g00705,0,0
g00706,35,50
g00707,294,401
g00708,33,44
g00709,609,731
g00710,1000,1242
g00711,0,0
g00712,97,134
g00713,0,2
g00714,363,552
g00715,3,3
g00716,640,787
g00717,512,593
g00718,61,54
g00719,253,316
g00720,644,823
g00721,54,77
g00722,66,53
g00723,0,0
g00724,22,27
g00725,1,2
g00726,8,10
g00727,13,15
g00728,3,1
g00729,32,24
g00730,15,24
g00731,122,79
g00732,60,45
g00733,58,89
g00734,44,55
g00735,750,848
g00736,147,226
g00737,0,0
g00738,1200,1371
g00739,652,701
g00740,2817,3485
g00741,27,20
g00742,29,169
g00743,350,459
g00744,138,166
g00745,281,313
g00746,1111,1245
g00747,276,314
g00748,318,472
g00749,475,567
g00750,149,183
g00751,1,0
g00752,9,10
g00753,44,65
g00754,1208,1493
g00755,23,33
g00756,76,129
g00757,2,3
g00758,4,0
g00759,116,107
g00760,2,2
g00761,198,287
g00762,750,922
g00763,6,5
g00764,137,149
g00765,13,16
g00766,231,383
g00767,1136,1360
g00768,445,524
g00769,190,245
g00770,227,287
g00771,243,349
g00772,412,473
g00773,2,1
g00774,159,215
g00775,5,10
g00776,5,11
g00777,1343,1563
g00778,13,5
g00779,747,902
g00780,237,269
g00781,924,1399
g00782,3,5
g00783,1544,1800
g00784,12,11
g00785,2416,2606
g00786,1125,1269
g00787,250,354
g00788,554,775
g00789,3,2
g00790,0,1
g00791,94,170
g00792,0,1
g00793,1,1
g00794,2,2
g00795,572,647
g00796,204,239
g00797,42,67
g00798,1,1
g00799,1,0
g00800,1,2
g00801,0,0
g00802,0,0
g00803,0,0
g00804,0,0
g00805,0,1
g00806,970,1077
g00807,38,82
g00808,387,470
g00809,65,108
g00810,119,165
g00811,1309,1631
g00812,32,33
g00813,2,1
g00814,4,6
g00815,37,54
g00816,5,9
g00817,10,12
g00818,723,916
g00819,84,107
g00820,4808,5028
g00821,147,193
g00822,458,513
g00823,117,166
g00824,45,39
g00825,2,0
g00826,17,34
g00827,44,51
g00828,67,64
g00829,491,636
g00830,628,776
g00831,682,768
g00832,28,44
g00833,1088,1456
g00834,624,882
g00835,6,13
g00836,177,231
g00837,923,1155
g00838,545,736
g00839,1011,1296
g00840,397,541
g00841,26,15
g00842,0,4
g00843,0,0
g00844,29,74
g00845,49,64
g00846,200,282
g00847,444,457
g00848,2020,2411
g00849,1244,1490
g00850,11,13
g00851,1443,1918
g00852,12,15
g00853,214,295
g00854,262,518
g00855,801,1547
g00856,5,5
g00857,332,406
g00858,3,0
g00859,18,12
g00860,58,69
g00861,794,1103
g00862,447,628
g00863,2189,2673
g00864,688,830
g00865,982,1098
g00866,0,0
g00867,259,316
g00868,1410,1869
g00869,249,373
g00870,329,397
g00871,402,558
g00872,0,2
g00873,2,2
g00874,2657,3129
g00875,109,139
g00876,452,525
g00877,60,59
g00878,61,98
g00879,174,221
g00880,16,28
g00881,37,41
g00882,557,878
g00883,6,11
g00884,10,18
g00885,601,695
g00886,222,301
g00887,32,26
g00888,223,327
g00889,2355,2743
g00890,969,1428
g00891,1471,1717
g00892,293,351
g00893,3003,3670
g00894,104,118
g00895,1410,2155
g00896,398,363
g00897,21,25
g00898,772,1094
g00899,552,779
g00900,1,0
g00901,1484,1753
g00902,3,3
g00903,67,51
g00904,2,0
g00905,10,6
g00906,2502,3328
g00907,28,37
g00908,200,208
g00909,391,392
g00910,0,0
g00911,646,799
g00912,1,0
g00913,0,0
g00914,0,0
g00915,61,53
g00916,194,253
g00917,0,0
g00918,1,0
g00919,65,90
g00920,0,0
g00921,484,558
g00922,0,1
g00923,17,41
g00924,58,81
g00925,0,0
g00926,533,620
g00927,39,59
g00928,0,1
g00929,922,1435
g00930,1313,1637
g00931,0,0
g00932,0,0
g00933,0,0
g00934,0,0
g00935,0,2
g00936,330,538
g00937,102,170
g00938,1,3
g00939,0,0
g00940,152,189
g00941,287,357
g00942,132,183
