,wt_E14.5_f4,wt_E14.5_f5
g04648,2691,3177
g04649,2,4
g04650,1392,1384
g04651,312,321
g04652,6,8
g04653,3515,4421
g04654,561,764
g04655,483,592
g04656,45,52
g04657,0,0
g04658,479,501
g04659,2,5
g04660,218,251
g04661,1,2
g04662,0,0
g04663,60,52
g04664,1,0
g04665,1,0
g04666,132,209
g04667,1332,1842
g04668,92,209
g04669,0,0
g04670,6,11
g04671,0,0
g04672,2,3
g04673,485,658
g04674,16,29
g04675,262,417
g04676,2011,2403
g04677,1439,1847
g04678,330,438
g04679,0,0
g04680,0,0
g04681,2193,2706
g04682,287,423
g04683,2,2
g04684,100,142
g04685,484,579
g04686,1844,2439
g04687,73,93
g04688,6,10
g04689,19,26
g04690,4631,5034
g04691,23,17
g04692,166,225
g04693,2,2
g04694,14,8
g04695,928,1000
g04696,261,406
g04697,107,115
g04698,36,56
g04699,0,0
g04700,0,1
g04701,17,27
g04702,0,0
g04703,0,0
g04704,17,17
g04705,6,6
g04706,0,0
g04707,1,1
g04708,0,0
g04709,0,0
g04710,7,8
g04711,0,0
g04712,0,0
g04713,6,8
g04714,3,8
g04715,12,13
g04716,3,3
g04717,350,516
g04718,199,277
g04719,974,1095
g04720,201,231
g04721,974,1091
g04722,917,1028
g04723,18,24
g04724,6,4
g04725,1,1
g04726,6,2
g04727,39,41
g04728,4,4
g04729,11,21
g04730,0,1
g04731,29,29
g04732,0,0
g04733,215,231
g04734,130,116
g04735,337,341
g04736,26,74
g04737,784,1037
g04738,87,92
g04739,591,753
g04740,5220,7159
g04741,504,762
g04742,1,1
g04743,0,0
g04744,0,0
g04745,986,1190
g04746,23,39
g04747,104,142
g04748,3,0
g04749,8,10
g04750,5549,6555
g04751,0,1
g04752,0,0
g04753,0,0
g04754,1,5
g04755,767,813
g04756,176,237
g04757,112,153
g04758,613,813
g04759,272,296
g04760,44,56
g04761,959,1501
g04762,64,89
g04763,4376,5478
g04764,1,2
g04765,12,22
g04766,0,0
g04767,333,478
g04768,19,19
g04769,229,261
g04770,110,129
g04771,1,1
g04772,0,0
g04773,4785,5619
g04774,914,1118
g04775,1,1
g04776,161,232
g04777,2,4
g04778,55,118
g04779,76,83
g04780,659,789
g04781,186,229
g04782,1491,1854
g04783,875,1026
g04784,1,0
g04785,104,118
g04786,3,6
g04787,315,363
g04788,684,784
g04789,86,108
g04790,9,15
g04791,407,584
g04792,7,11
g04793,30,39
g04794,206,331
g04795,18,14
g04796,0,1
g04797,180,217
g04798,5,10
g04799,928,826
g04800,61,74
g04801,236,344
g04802,0,0
g04803,575,740
g04804,35,37
g04805,0,0
g04806,407,452
g04807,6,6
g04808,1,0
g04809,2,0
g04810,763,1108
g04811,51,104
g04812,8,9
g04813,1969,2422
g04814,508,666
g04815,0,0
g04816,211,268
g04817,135,142
g04818,0,0
g04819,671,971
g04820,11,9
g04821,104,184
g04822,1,5
g04823,74,129
g04824,781,994
g04825,179,251
g04826,29,28
g04827,439,475
g04828,15,5
g04829,2,5
g04830,263,304
g04831,683,964
g04832,26,38
g04833,722,887
g04834,127,204
g04835,3,0
g04836,798,949
g04837,1243,1772
g04838,194,278
g04839,993,1345
g04840,1,1
g04841,0,1
g04842,0,0
g04843,0,0
g04844,0,0
g04845,239,263
g04846,716,985
g04847,767,898
g04848,50,67
g04849,2494,2973
g04850,226,256
g04851,4517,5507
g04852,222,265
g04853,1359,1645
g04854,145,188
g04855,0,0
g04856,26,47
g04857,1509,2117
g04858,0,0
g04859,2357,3620
g04860,380,534
g04861,1,4
g04862,116,156
g04863,0,0
g04864,0,1
g04865,393,483
g04866,29,27
g04867,257,341
g04868,970,1158
g04869,1446,1928
g04870,585,629
g04871,65,69
g04872,6,12
g04873,53,88
g04874,0,0
g04875,0,0
g04876,47,52
g04877,0,0
g04878,0,0
g04879,126,137
g04880,15,37
g04881,236,277
g04882,204,264
g04883,991,1225
g04884,346,443
g04885,0,2
g04886,17,23
g04887,1582,1905
g04888,609,699
g04889,0,1
g04890,233,257
g04891,0,0
g04892,0,0
g04893,0,1
g04894,0,0
g04895,0,0
g04896,127,223
g04897,9,7
g04898,645,769
g04899,140,179
g04900,0,0
g04901,0,0
g04902,3,17
g04903,10,18
g04904,3,0
g04905,10,18
g04906,89,117
g04907,337,381
g04908,182,165
g04909,2547,3349
g04910,97,98
g04911,291,395
g04912,1502,1943
g04913,0,0
g04914,679,830
g04915,184,209
g04916,0,0
g04917,3,8
g04918,257,381
g04919,0,0
g04920,0,0
g04921,37,49
g04922,319,451
g04923,839,1153
g04924,761,970
g04925,968,1047
g04926,565,664
g04927,375,527
g04928,0,0
g04929,0,0
g04930,282,382
g04931,0,1
g04932,6,5
g04933,29,34
g04934,198,233
g04935,784,828
g04936,272,391
g04937,215,264
g04938,221,207
g04939,62,76
g04940,1500,1910
g04941,894,1076
g04942,1690,1892
g04943,0,0
g04944,86,107
g04945,583,733
g04946,253,277
g04947,60,71
g04948,49,44
g04949,0,1
g04950,108,126
g04951,1274,1490
g04952,93,107
g04953,343,516
g04954,17,44
g04955,449,568
g04956,1414,1637
g04957,66,72
g04958,3,3
g04959,262,376
g04960,0,0
g04961,253,399
g04962,746,1018
g04963,242,328
g04964,489,568
g04965,792,1069
g04966,195,206
g04967,68,80
g04968,579,862
g04969,1,2
g04970,169,190
g04971,590,717
g04972,941,970
g04973,0,0
g04974,2,1
g04975,1106,1395
g04976,33,53
g04977,137,161
g04978,414,540
g04979,8,13
g04980,946,1528
g04981,50,54
g04982,263,401
g04983,111,143
g04984,1180,1496
g04985,465,607
g04986,37,44
g04987,1,4
g04988,582,783
g04989,385,571
g04990,440,475
g04991,203,242
g04992,312,396
g04993,0,0
g04994,79,128
g04995,9,2
g04996,269,286
g04997,0,0
g04998,2417,2984
g04999,47,62
g05000,2,4
g05001,235,289
g05002,237,337
g05003,4,4
g05004,10,33
g05005,15,34
g05006,123,157
g05007,789,990
g05008,0,3
g05009,516,630
g05010,62,62
g05011,20,15
g05012,461,554
g05013,2782,3301
g05014,7,6
g05015,6,10
g05016,1,2
g05017,958,934
g05018,232,345
g05019,118,212
g05020,462,619
g05021,5,5
g05022,93,161
g05023,24,12
g05024,3,3
g05025,0,1
g05026,373,371
g05027,2,7
g05028,368,572
g05029,110,100
g05030,0,0
g05031,482,567
g05032,377,474
g05033,577,714
g05034,533,641
g05035,1,0
g05036,635,900
g05037,7,10
g05038,547,647
g05039,613,773
g05040,868,874
g05041,23,16
g05042,583,782
g05043,268,331
g05044,230,263
g05045,43,87
g05046,523,618
g05047,367,479
g05048,26,38
g05049,428,573
g05050,75,71
g05051,1644,2033
g05052,160,184
g05053,684,837
g05054,1010,1312
g05055,3,7
g05056,340,442
g05057,4,4
g05058,801,1094
g05059,24,37
g05060,365,531
g05061,3,3
g05062,51,88
g05063,96,129
g05064,651,760
g05065,0,0
g05066,5,6
g05067,1625,2060
g05068,32,22
g05069,167,278
g05070,0,2
g05071,477,490
g05072,37,55
g05073,31,59
g05074,37,48
g05075,278,315
g05076,33,50
g05077,699,847
g05078,19,20
g05079,299,307
g05080,36,58
g05081,89,147
g05082,441,554
g05083,1503,1945
g05084,935,1257
g05085,16,32
g05086,0,0
g05087,4,1
g05088,101,133
g05089,346,371
g05090,648,827
g05091,2960,3717
g05092,968,1282
g05093,56,65
g05094,337,433
g05095,260,242
g05096,77,113
g05097,168,200
g05098,4,7
g05099,0,7
g05100,1,1
g05101,36,39
g05102,343,450
g05103,34,49
g05104,529,623
g05105,22,25
g05106,191,262
g05107,624,739
g05108,117,128
g05109,301,331
g05110,293,375
g05111,66,77
g05112,108,126
g05113,362,449
g05114,52,47
g05115,80,80
g05116,35,62
g05117,141,143
g05118,0,0
g05119,26,22
g05120,1281,1682
g05121,207,313
g05122,127,223
g05123,17,24
g05124,1103,1377
g05125,178,157
g05126,932,1354
g05127,45,62
g05128,88,109
g05129,1997,2608
g05130,113,156
g05131,69,137
g05132,548,672
g05133,314,438
g05134,54,72
g05135,49,62
g05136,1220,1476
g05137,130,180
g05138,528,719
g05139,173,124
g05140,262,323
g05141,18,26
g05142,73,117
g05143,344,440
g05144,412,535
g05145,1458,1714
g05146,143,180
g05147,156,216
g05148,2,0
g05149,506,544
g05150,32,64
g05151,1189,1481
g05152,132,186
g05153,0,0
g05154,563,640
g05155,628,861
g05156,46,99
g05157,97,151
g05158,7,6
g05159,614,736
g05160,387,471
g05161,397,532
g05162,7,11
g05163,12,16
g05164,584,783
g05165,1349,1610
g05166,3,11
g05167,812,927
g05168,429,567
g05169,3,4
g05170,168,186
g05171,284,338
g05172,1205,1315
g05173,0,0
g05174,0,0
g05175,0,0
g05176,0,0
g05177,0,0
g05178,1,0
g05179,0,0
g05180,0,0
g05181,0,0
g05182,0,0
g05183,0,0
g05184,0,0
g05185,0,0
g05186,0,0
g05187,0,0
g05188,0,0
g05189,0,0
g05190,0,0
g05191,0,0
g05192,0,0
g05193,0,0
g05194,0,0
g05195,0,1
g05196,0,0
g05197,0,0
g05198,207,276
g05199,8,6
g05200,1149,1765
g05201,44,94
g05202,144,199
g05203,4,5
g05204,13,21
g05205,632,838
g05206,334,394
g05207,29,25
g05208,2052,2504
g05209,2691,3210
g05210,211,289
g05211,0,0
g05212,120,169
g05213,37,33
g05214,112,155
g05215,148,192
g05216,228,338
g05217,1633,2013
g05218,636,963
g05219,217,304
g05220,0,1
g05221,663,811
g05222,28,47
g05223,6,6
g05224,1,0
g05225,46,47
g05226,164,242
g05227,45,70
g05228,1284,1600
g05229,347,380
g05230,6,2
g05231,6371,8545
g05232,387,580
g05233,6,18
g05234,380,512
g05235,252,259
g05236,8,6
g05237,37,55
g05238,0,1
g05239,28,41
g05240,497,559
g05241,36,43
g05242,1,1
g05243,1135,1345
g05244,372,435
g05245,2,1
g05246,0,0
g05247,5,10
g05248,554,789
g05249,1071,1308
g05250,106,144
g05251,314,398
g05252,364,403
g05253,1083,1281
g05254,13,15
g05255,173,252
g05256,852,1151
g05257,683,800
g05258,392,540
g05259,244,301
g05260,0,1
g05261,0,1
g05262,415,456
g05263,359,386
g05264,103,125
g05265,108,131
g05266,957,1099
g05267,1282,1450
g05268,0,0
g05269,571,814
g05270,17,20
g05271,17,14
g05272,334,425
g05273,201,331
g05274,1209,1658
g05275,102,120
g05276,18,9
g05277,0,1
g05278,50,74
g05279,6,4
g05280,24,0
g05281,0,0
g05282,2,1
g05283,5,0
g05284,3,0
g05285,2,1
g05286,0,0
g05287,0,2
g05288,0,1
g05289,5,3
g05290,32,35
g05291,0,0
g05292,0,0
g05293,0,0
g05294,0,0
g05295,0,1
g05296,0,0
g05297,12,25
g05298,9,13
g05299,4,9
g05300,4,3
g05301,0,0
g05302,0,0
g05303,0,1
g05304,64,101
g05305,7,5
g05306,1,0
g05307,1777,1949
g05308,0,8
g05309,170,210
g05310,224,253
g05311,45,35
g05312,1263,1304
g05313,205,205
g05314,483,487
g05315,476,483
g05316,0,1
g05317,0,0
g05318,0,0
g05319,0,0
g05320,0,0
g05321,0,0
g05322,71,128
g05323,0,0
g05324,1542,1952
g05325,47,77
g05326,0,1
g05327,1113,1391
g05328,170,237
g05329,11,17
g05330,2681,3290
g05331,2,6
g05332,458,532
g05333,0,0
g05334,0,0
g05335,0,1
g05336,0,1
g05337,994,916
g05338,22,5
g05339,807,985
g05340,140,224
g05341,200,212
g05342,15,14
g05343,37,42
g05344,52,127
g05345,931,1295
g05346,141,179
g05347,941,1201
g05348,0,3
g05349,278,346
g05350,595,715
g05351,68,85
g05352,45,96
g05353,0,1
g05354,56,88
g05355,938,995
g05356,82,74
g05357,266,334
g05358,0,0
g05359,1154,1867
g05360,0,0
g05361,0,0
g05362,0,0
g05363,0,0
g05364,0,0
g05365,0,0
g05366,0,0
g05367,0,0
g05368,0,0
g05369,0,0
g05370,0,0
g05371,0,0
g05372,0,0
g05373,0,0
g05374,0,0
g05375,0,0
g05376,0,0
g05377,0,0
g05378,0,0
g05379,0,0
g05380,0,0
g05381,0,0
g05382,0,0
g05383,0,0
g05384,0,0
g05385,0,0
g05386,0,0
g05387,0,0
g05388,0,0
g05389,7,8
g05390,1,3
g05391,6,17
g05392,7,8
g05393,28,39
g05394,38,54
g05395,21,42
g05396,5,10
g05397,17,22
g05398,81,80
g05399,72,83
g05400,16,21
g05401,11,24
g05402,6,4
g05403,3,13
g05404,14,20
g05405,12,22
g05406,4,6
g05407,7,4
g05408,10,18
g05409,7,16
g05410,7,20
g05411,13,18
g05412,27,28
g05413,29,37
g05414,30,32
g05415,126,156
g05416,29,48
g05417,1457,1696
g05418,47,74
g05419,2,6
g05420,6,21
g05421,28,54
g05422,21,16
g05423,10,13
g05424,15,12
g05425,14,19
g05426,40,35
g05427,8,13
g05428,0,0
g05429,11,7
g05430,2,2
g05431,39,45
g05432,0,0
g05433,1585,1957
g05434,53,65
g05435,11,8
g05436,11702,14621
g05437,12,28
g05438,62,72
g05439,1474,1791
g05440,295,337
g05441,65,97
g05442,1,2
g05443,193,231
g05444,12,17
g05445,381,413
g05446,515,616
g05447,79,83
g05448,4,2
g05449,478,676
g05450,863,1170
g05451,11,22
g05452,1,2
g05453,1944,2217
g05454,21,41
g05455,64,71
g05456,85,81
g05457,84,115
g05458,1406,1717
g05459,5,10
g05460,41,83
g05461,1867,2168
g05462,2175,2527
g05463,225,241
g05464,492,587
g05465,200,257
g05466,3159,4235
g05467,216,280
g05468,311,390
g05469,444,549
g05470,12,13
g05471,436,495
g05472,20,18
g05473,0,0
g05474,10,19
g05475,0,0
g05476,0,0
g05477,624,626
g05478,0,0
g05479,0,0
g05480,12,10
g05481,107,197
g05482,155,198
g05483,129,164
g05484,362,373
g05485,3276,3819
g05486,29,41
g05487,709,832
g05488,104,148
g05489,75,94
g05490,38,53
g05491,42,61
g05492,767,885
g05493,1,1
g05494,631,754
g05495,148,171
g05496,635,690
g05497,366,461
g05498,1471,1885
g05499,6,4
g05500,823,993
g05501,252,326
g05502,748,1123
g05503,468,496
g05504,240,302
g05505,263,283
g05506,0,0
g05507,0,0
g05508,0,1
g05509,0,1
g05510,0,0
g05511,0,0
g05512,2,2
g05513,71,81
g05514,1,0
g05515,1,0
g05516,0,0
g05517,0,0
g05518,0,0
g05519,0,0
g05520,0,0
g05521,0,0
g05522,0,0
g05523,0,0
g05524,0,0
g05525,0,0
g05526,0,0
g05527,0,0
g05528,0,0
g05529,0,0
g05530,0,0
g05531,0,0
g05532,0,0
g05533,0,0
g05534,0,0
g05535,0,0
g05536,0,0
g05537,0,0
g05538,0,0
g05539,0,0
g05540,0,0
g05541,0,0
g05542,0,0
g05543,0,0
g05544,0,0
g05545,0,0
g05546,0,0
g05547,0,0
g05548,0,0
g05549,0,0
g05550,0,0
g05551,0,0
g05552,0,0
g05553,0,0
g05554,0,0
g05555,0,0
g05556,0,0
g05557,0,0
g05558,0,0
g05559,0,0
g05560,0,0
g05561,0,0
g05562,0,0
g05563,0,0
g05564,0,0
g05565,0,0
g05566,0,0
g05567,0,0
g05568,0,0
g05569,0,0
g05570,0,0
g05571,0,0
g05572,0,0
g05573,0,0
g05574,0,0
g05575,0,0
g05576,0,0
g05577,0,0
g05578,0,0
g05579,0,0
g05580,0,0
g05581,0,0
g05582,0,0
g05583,0,0
g05584,0,0
g05585,0,0
g05586,0,0
g05587,0,0
g05588,0,0
g05589,0,0
g05590,0,0
g05591,0,0
g05592,0,0
g05593,0,0
g05594,0,0
g05595,0,0
g05596,0,0
g05597,0,0
g05598,0,0
g05599,0,0
g05600,0,0
g05601,0,0
g05602,0,0
g05603,0,0
g05604,0,0
g05605,0,0
g05606,0,0
g05607,0,0
g05608,0,0
g05609,0,0
g05610,0,0
g05611,0,0
g05612,0,0
g05613,0,0
g05614,0,0
g05615,0,0
g05616,0,0
g05617,0,0
g05618,0,0
g05619,0,0
g05620,0,0
g05621,0,0
g05622,0,0
g05623,0,0
g05624,0,0
g05625,0,0
g05626,0,0
g05627,0,0
g05628,0,0
g05629,0,0
g05630,0,0
g05631,0,0
g05632,0,0
g05633,0,0
g05634,0,0
g05635,0,0
g05636,0,0
g05637,0,0
g05638,0,0
g05639,0,0
g05640,0,0
g05641,0,2
g05642,0,0
g05643,0,0
g05644,0,0
g05645,0,0
g05646,0,0
g05647,0,0
g05648,0,0
g05649,0,0
g05650,0,0
g05651,0,0
g05652,379,459
g05653,113,116
g05654,408,510
g05655,1078,1347
g05656,75,78
g05657,143,155
g05658,809,877
g05659,309,525
g05660,2,4
g05661,2,5
g05662,6,7
g05663,0,1
g05664,307,419
g05665,269,303
g05666,78,96
g05667,553,769
g05668,0,0
g05669,23,28
g05670,1,2
g05671,172,219
g05672,37,29
g05673,21,23
g05674,0,0
g05675,0,0
g05676,16,18
g05677,9,10
g05678,3528,4062
g05679,1568,1949
g05680,100,143
g05681,121,161
g05682,353,328
g05683,0,1
g05684,1211,1338
g05685,0,0
g05686,0,0
g05687,11,26
g05688,0,1
g05689,5,6
g05690,4,11
g05691,12,6
g05692,1,2
g05693,0,0
g05694,0,0
g05695,0,3
g05696,278,333
g05697,0,1
g05698,0,0
g05699,1493,1749
g05700,1491,1632
g05701,800,1369
g05702,0,0
g05703,146,217
g05704,659,799
g05705,37,27
g05706,0,0
g05707,10,5
g05708,757,819
g05709,1560,1983
g05710,0,0
g05711,1553,2011
g05712,2143,2648
g05713,76,148
g05714,0,1
g05715,475,671
g05716,245,290
g05717,657,780
g05718,2,1
g05719,3593,5120
g05720,1,1
g05721,1035,1186
g05722,326,408
g05723,115,100
g05724,80,97
g05725,84,123
g05726,1,10
g05727,0,0
g05728,0,0
g05729,0,0
g05730,0,0
g05731,51,92
g05732,3387,4760
g05733,781,1169
g05734,123,203
g05735,603,674
g05736,487,577
g05737,317,488
g05738,915,1227
g05739,806,1196
g05740,111,132
g05741,206,241
g05742,968,1024
g05743,178,261
g05744,9,5
g05745,1,0
g05746,1386,1538
g05747,1,1
g05748,0,0
g05749,58,84
g05750,8,15
g05751,160,177
g05752,1959,2303
g05753,11,5
g05754,1109,1287
g05755,190,229
g05756,1,0
g05757,16,13
g05758,1128,1510
g05759,446,750
g05760,0,1
g05761,0,0
g05762,0,0
g05763,0,0
g05764,0,0
g05765,0,0
g05766,0,0
g05767,0,0
g05768,0,0
g05769,0,0
g05770,0,0
g05771,0,0
g05772,0,0
g05773,0,0
g05774,0,0
g05775,292,393
g05776,165,230
g05777,60,85
g05778,0,0
g05779,4,1
g05780,7,8
g05781,4,3
g05782,572,856
g05783,1,1
g05784,12,22
g05785,0,0
g05786,0,0
g05787,0,0
g05788,1078,1076
g05789,290,316
g05790,0,0
g05791,2,0
g05792,0,0
g05793,206,240
g05794,519,636
g05795,78,56
g05796,919,1151
g05797,24,33
g05798,10,14
g05799,41,72
g05800,5,6
g05801,810,1077
g05802,0,1
g05803,0,0
g05804,0,1
g05805,0,1
g05806,0,0
g05807,0,0
g05808,0,0
g05809,0,0
g05810,599,486
g05811,1085,1156
g05812,64,69
g05813,915,957
g05814,1330,1434
g05815,1427,1487
g05816,3061,3455
g05817,613,641
g05818,2961,3151
g05819,356,407
g05820,245,243
g05821,41,42
g05822,1,0
g05823,0,1
g05824,79,167
g05825,21,10
g05826,0,0
g05827,0,0
g05828,1,2
g05829,157,217
g05830,3,6
g05831,3,3
g05832,1,4
g05833,354,410
g05834,627,700
g05835,492,215
g05836,230,207
g05837,520,925
g05838,0,0
g05839,0,0
g05840,0,0
g05841,1,0
g05842,0,0
g05843,0,0
g05844,0,1
g05845,0,0
g05846,0,0
g05847,0,0
g05848,0,0
g05849,0,0
g05850,0,0
g05851,0,0
g05852,0,0
g05853,0,0
g05854,0,0
g05855,0,0
g05856,0,0
g05857,0,0
g05858,0,0
g05859,0,0
g05860,0,0
g05861,0,0
g05862,0,0
g05863,0,0
g05864,0,0
g05865,0,0
g05866,0,0
g05867,0,0
g05868,0,0
g05869,0,0
g05870,0,0
g05871,0,0
g05872,0,0
g05873,0,0
g05874,0,1
g05875,585,755
g05876,217,267
g05877,12,14
g05878,5,4
g05879,2,3
g05880,21,16
g05881,1272,1240
g05882,2322,2692
g05883,1271,1240
g05884,897,994
g05885,675,707
g05886,1550,1616
g05887,3467,3981
g05888,2551,2625
g05889,2371,2676
g05890,506,575
g05891,1369,1449
g05892,414,441
g05893,13,20
g05894,555,689
g05895,6631,8057
g05896,508,540
g05897,4439,4801
g05898,390,424
g05899,275,312
g05900,33,35
g05901,1888,2944
g05902,38,71
g05903,2826,3036
g05904,1520,2130
g05905,8,4
g05906,2292,2706
g05907,1459,1608
g05908,795,931
g05909,979,1422
g05910,2556,2251
g05911,959,1426
g05912,3958,4382
g05913,0,0
g05914,0,2
g05915,2,4
g05916,0,1
g05917,1,2
g05918,5,1
g05919,3,1
g05920,7,4
g05921,578,680
g05922,24,16
g05923,0,2
g05924,5,10
g05925,429,557
g05926,14,14
g05927,1,1
g05928,179,167
g05929,1012,1349
g05930,128,213
g05931,313,373
g05932,62,133
g05933,37,43
g05934,334,377
g05935,297,350
g05936,209,256
g05937,20,47
g05938,41,75
g05939,0,0
g05940,0,1
g05941,0,0
g05942,0,0
g05943,0,0
g05944,0,0
g05945,0,0
g05946,0,1
g05947,1,1
g05948,0,0
g05949,0,0
g05950,0,1
g05951,0,0
g05952,0,0
g05953,0,0
g05954,0,0
g05955,0,0
g05956,0,0
g05957,0,0
g05958,0,0
g05959,1,0
g05960,0,0
g05961,0,0
g05962,0,0
g05963,0,0
g05964,0,2
g05965,0,0
g05966,293,347
g05967,2809,2939
g05968,32,42
g05969,317,350
g05970,457,524
g05971,66,111
g05972,96,130
g05973,1001,1334
g05974,0,0
g05975,269,396
g05976,18,38
g05977,800,1039
g05978,106,113
g05979,4,9
g05980,0,2
g05981,43,81
g05982,1,3
g05983,2,7
g05984,38,51
g05985,568,657
g05986,184,274
g05987,0,1
g05988,183,364
g05989,739,886
g05990,17,24
g05991,64,98
g05992,0,1
g05993,16,12
g05994,62,80
g05995,0,4
g05996,0,0
g05997,22,36
g05998,0,1
g05999,0,0
g06000,0,0
g06001,0,0
g06002,0,0
g06003,1,0
g06004,0,0
g06005,0,0
g06006,1,6
g06007,565,636
g06008,10,11
g06009,201,247
g06010,408,519
g06011,157,174
g06012,3176,3838
g06013,2,1
g06014,4955,6897
g06015,1421,2255
g06016,265,279
g06017,796,1053
g06018,240,308
g06019,0,1
g06020,2102,2721
g06021,10,9
g06022,1,6
g06023,6,12
g06024,624,714
g06025,0,0
g06026,8,16
g06027,498,609
g06028,112,116
g06029,20,14
g06030,178,208
g06031,4,4
g06032,349,428
g06033,294,411
g06034,781,831
g06035,51,73
g06036,3,5
g06037,577,648
g06038,2628,3091
g06039,642,756
g06040,20,30
g06041,586,627
g06042,1675,1612
g06043,348,398
g06044,106,119
g06045,3789,4163
g06046,214,272
g06047,293,386
g06048,170,183
g06049,1,1
g06050,5,0
g06051,63,74
g06052,88,131
g06053,0,0
g06054,4,6
g06055,478,519
g06056,462,591
g06057,12,13
g06058,0,0
g06059,0,1
g06060,119,210
g06061,378,543
g06062,769,1048
g06063,467,735
g06064,4,5
g06065,25,16
g06066,0,2
g06067,616,900
g06068,27,33
g06069,252,441
g06070,256,365
g06071,278,299
g06072,86,111
g06073,479,570
g06074,491,645
g06075,166,229
g06076,41,73
g06077,1,7
g06078,105,112
g06079,2,2
g06080,1,4
g06081,0,0
g06082,1135,1427
g06083,350,452
g06084,512,563
g06085,254,326
g06086,562,747
g06087,19,20
g06088,1,0
g06089,4,8
g06090,510,632
g06091,734,939
g06092,446,624
g06093,1929,2208
g06094,1006,1135
g06095,2,2
g06096,65,46
g06097,123,143
g06098,517,558
g06099,1484,1731
g06100,161,169
g06101,8,10
g06102,1,0
g06103,0,3
g06104,149,197
g06105,631,876
g06106,0,5
g06107,213,299
g06108,8,7
g06109,0,0
g06110,1,6
g06111,1,1
g06112,381,477
g06113,6,15
g06114,885,1036
g06115,2938,3298
g06116,129,163
g06117,432,618
g06118,138,227
g06119,168,220
g06120,9,13
g06121,96,127
g06122,1596,1870
g06123,276,302
g06124,89,115
g06125,118,173
g06126,1434,1953
g06127,84,105
g06128,2708,3669
g06129,393,464
g06130,1744,2114
g06131,1,0
g06132,1,0
g06133,0,0
g06134,0,0
g06135,0,0
g06136,0,1
g06137,0,0
g06138,0,0
g06139,203,271
g06140,0,0
g06141,0,0
g06142,0,0
g06143,0,0
g06144,0,0
g06145,0,0
g06146,0,0
g06147,0,0
g06148,47,52
g06149,1326,1704
g06150,456,586
g06151,4,8
g06152,12,14
g06153,1394,1448
g06154,65,71
g06155,94,96
g06156,425,448
g06157,125,195
g06158,7,9
g06159,323,336
g06160,0,2
g06161,150,225
g06162,0,0
g06163,114,136
g06164,2,5
g06165,168,190
g06166,204,264
g06167,282,293
g06168,68,106
g06169,389,540
g06170,3,3
g06171,27,30
g06172,3,3
g06173,618,822
g06174,1,4
g06175,509,638
g06176,803,907
g06177,329,372
g06178,529,744
g06179,918,1143
g06180,10,12
g06181,318,385
g06182,415,445
g06183,342,461
g06184,592,713
g06185,1155,1412
g06186,613,878
g06187,4,9
g06188,710,980
g06189,32,55
g06190,1,1
g06191,67,101
g06192,106,195
g06193,56,38
g06194,373,465
g06195,113,121
g06196,419,488
g06197,215,251
g06198,5639,7066
g06199,550,639
g06200,1255,1560
g06201,318,317
g06202,2044,2393
g06203,10,18
g06204,0,10
g06205,2,5
g06206,3,1
g06207,1051,1091
g06208,153,165
g06209,3461,4180
g06210,891,1136
g06211,38,54
g06212,695,751
g06213,867,1013
g06214,459,673
g06215,1282,1810
g06216,303,365
g06217,491,582
g06218,1608,1879
g06219,2225,2540
g06220,467,654
g06221,45,65
g06222,4,1
g06223,25,39
g06224,2218,2421
g06225,38,39
g06226,1,3
g06227,1114,733
g06228,0,2
g06229,0,0
g06230,8,2
g06231,0,0
g06232,28,34
g06233,4,3
g06234,1657,2353
g06235,2086,2546
g06236,15,29
g06237,337,548
g06238,84,127
g06239,1,1
g06240,3170,3039
g06241,134,174
g06242,1611,1930
g06243,1,2
g06244,165,205
g06245,31,44
g06246,321,360
g06247,168,209
g06248,2964,3559
g06249,5,13
g06250,704,866
g06251,5,4
g06252,0,0
g06253,1362,1968
g06254,1109,1488
g06255,10,6
g06256,538,633
g06257,1043,1192
g06258,0,0
g06259,0,0
g06260,0,0
g06261,1,2
g06262,0,0
g06263,67,95
g06264,221,277
g06265,136,144
g06266,1113,1318
g06267,12,10
g06268,1,2
g06269,3141,3343
g06270,16,15
g06271,791,1062
g06272,0,0
g06273,0,0
g06274,1,1
g06275,13,17
g06276,0,0
g06277,52,47
g06278,0,0
g06279,0,0
g06280,0,1
g06281,0,0
g06282,0,1
g06283,0,0
g06284,0,0
g06285,0,0
g06286,0,0
g06287,0,1
g06288,0,0
g06289,0,0
g06290,0,0
g06291,0,0
g06292,0,0
g06293,2,1
g06294,37,47
g06295,0,5
g06296,20,30
g06297,1,2
g06298,166,155
g06299,32,42
g06300,13,10
g06301,99,134
g06302,59,73
g06303,34,37
g06304,0,0
g06305,95,153
g06306,8,16
g06307,6,17
g06308,692,894
g06309,378,480
g06310,0,6
g06311,393,454
g06312,6,13
g06313,4,5
g06314,4,5
g06315,273,301
g06316,1011,1329
g06317,407,537
g06318,0,2
g06319,52,37
g06320,327,371
g06321,287,352
g06322,210,222
g06323,26,34
g06324,131,198
g06325,1329,1577
g06326,102,146
g06327,0,0
g06328,15,29
g06329,0,0
g06330,0,2
g06331,0,0
g06332,715,844
g06333,0,0
g06334,0,0
g06335,2,0
g06336,0,0
g06337,3,7
g06338,410,508
g06339,0,0
g06340,0,0
g06341,0,0
g06342,0,0
g06343,1,0
g06344,0,0
g06345,0,0
g06346,0,0
g06347,0,0
g06348,0,1
g06349,245,226
