,het_E14.5_f5,het_E14.5_f4
g00001,211,439
g00002,60,142
g00003,0,0
g00004,4,3
g00005,84,119
g00006,360,442
g00007,383,419
g00008,33,23
g00009,216,265
g00010,10,29
g00011,497,893
g00012,5,6
g00013,5,6
g00014,977,1207
g00015,0,0
g00016,160,232
g00017,554,731
g00018,40,111
g00019,369,365
g00020,31,59
g00021,15,27
g00022,66,194
g00023,122,124
g00024,642,721
g00025,118,141
g00026,183,171
g00027,0,0
g00028,13,23
g00029,157,208
g00030,3,4
g00031,3,2
g00032,0,1
g00033,3,0
g00034,548,564
g00035,780,950
g00036,1224,1295
g00037,43,24
g00038,603,587
g00039,109,142
g00040,1,1
g00041,3370,2402
g00042,371,708
g00043,0,0
g00044,1571,1739
g00045,1583,1793
g00046,108,110
g00047,0,0
g00048,2,4
g00049,236,401
g00050,286,335
g00051,3,10
g00052,119,214
g00053,268,214
g00054,67,36
g00055,2,0
g00056,3,7
g00057,2025,2348
g00058,426,335
g00059,351,569
g00060,348,410
g00061,282,395
g00062,0,2
g00063,247,303
g00064,21,18
g00065,229,264
g00066,216,483
g00067,77,92
g00068,684,795
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,532,544
g00076,86,137
g00077,1,1
g00078,0,1
g00079,21,14
g00080,0,0
g00081,0,0
g00082,1809,1881
g00083,4,5
g00084,320,507
g00085,39,44
g00086,87,58
g00087,16,36
g00088,9,12
g00089,0,0
g00090,0,0
g00091,0,0
g00092,0,0
g00093,163,173
g00094,175,359
g00095,0,7
g00096,0,0
g00097,0,1
g00098,237,315
g00099,1,1
g00100,434,596
g00101,573,717
g00102,60,87
g00103,1023,1207
g00104,4241,4839
g00105,415,529
g00106,374,499
g00107,364,769
g00108,17,20
g00109,1,0
g00110,1,1
g00111,0,0
g00112,1,0
g00113,0,0
g00114,1,0
g00115,2032,2306
g00116,112,172
g00117,0,1
g00118,1,3
g00119,0,1
g00120,0,0
g00121,0,0
g00122,104,236
g00123,10,18
g00124,23,25
g00125,377,470
g00126,4,9
g00127,224,200
g00128,305,330
g00129,514,562
g00130,0,2
g00131,60,147
g00132,6425,9147
g00133,2,1
g00134,256,270
g00135,480,495
g00136,208,190
g00137,69,58
g00138,0,0
g00139,4,1
g00140,0,0
g00141,133,312
g00142,1,0
g00143,219,367
g00144,3607,4474
g00145,260,433
g00146,596,843
g00147,1902,2276
g00148,11,17
g00149,126,139
g00150,1010,1041
g00151,120,152
g00152,168,180
g00153,315,351
g00154,113,164
g00155,145,156
g00156,494,586
g00157,2,5
g00158,473,593
g00159,1175,1568
g00160,2,2
g00161,8,16
g00162,1278,1172
g00163,8,4
g00164,0,3
g00165,496,521
g00166,740,866
g00167,369,472
g00168,406,434
g00169,26,27
g00170,9,7
g00171,32,42
g00172,1,4
g00173,83,126
g00174,54,77
g00175,99,136
g00176,326,420
g00177,1,4
g00178,0,0
g00179,491,614
g00180,1072,904
g00181,718,820
g00182,1078,1192
g00183,535,886
g00184,102,201
g00185,11,10
g00186,12,8
g00187,481,577
g00188,60,37
g00189,208,234
g00190,455,538
g00191,383,505
g00192,6,7
g00193,524,557
g00194,46,88
g00195,3,14
g00196,1,0
g00197,0,0
g00198,5124,6644
g00199,3,3
g00200,8,6
g00201,228,185
g00202,75,72
g00203,145,93
g00204,4,6
g00205,5,3
g00206,0,1
g00207,27,24
g00208,61,72
g00209,42,50
g00210,0,0
g00211,24,56
g00212,193,403
g00213,27,63
g00214,380,420
g00215,33,77
g00216,450,521
g00217,423,567
g00218,134,248
g00219,0,0
g00220,664,838
g00221,38,62
g00222,149,204
g00223,134,157
g00224,0,1
g00225,1242,1236
g00226,9,8
g00227,89,87
g00228,457,371
g00229,337,376
g00230,481,572
g00231,148,156
g00232,2,3
g00233,432,398
g00234,20,10
g00235,57491,71519
g00236,10688,12441
g00237,622,760
g00238,0,2
g00239,170,221
g00240,0,0
g00241,1,0
g00242,106,142
g00243,19,18
g00244,1521,1800
g00245,0,0
g00246,605,898
g00247,12,11
