,het_E14.5_f5,het_E14.5_f4
g00248,731,824
g00249,71,67
g00250,1,0
g00251,1691,1774
g00252,4,3
g00253,0,0
g00254,357,371
g00255,1362,1933
g00256,369,358
g00257,219,253
g00258,189,316
g00259,144,205
g00260,194,223
g00261,7,13
g00262,230,206
g00263,3,1
g00264,207,250
g00265,157,218
g00266,115,150
g00267,643,869
g00268,6,9
g00269,153,171
g00270,400,608
g00271,3,10
g00272,499,575
g00273,956,1573
g00274,802,838
g00275,5668,6882
g00276,94,140
g00277,1264,1631
g00278,505,703
g00279,537,733
g00280,497,448
g00281,155,216
g00282,1,5
g00283,255,338
g00284,2,1
g00285,0,0
g00286,0,0
g00287,77,63
g00288,18,26
g00289,3,0
g00290,10,13
g00291,131,149
g00292,98,109
g00293,213,227
g00294,1135,1119
g00295,271,354
g00296,503,586
g00297,18,24
g00298,13,26
g00299,75,54
g00300,5,5
g00301,2350,3115
g00302,1875,2203
g00303,238,281
g00304,371,485
g00305,521,625
g00306,12,9
g00307,318,416
g00308,299,430
g00309,6,6
g00310,0,0
g00311,568,561
g00312,226,214
g00313,795,915
g00314,265,312
g00315,0,2
g00316,149,174
g00317,28,69
g00318,480,656
g00319,7,5
g00320,758,931
g00321,28,33
g00322,302,471
g00323,1159,1447
g00324,7,6
g00325,2,1
g00326,949,1133
g00327,26,39
g00328,722,984
g00329,82,194
g00330,264,310
g00331,195,224
g00332,0,5
g00333,1003,1255
g00334,256,294
g00335,1243,1683
g00336,585,691
g00337,3,9
g00338,0,0
g00339,20,10
g00340,0,0
g00341,0,0
g00342,6,6
g00343,0,1
g00344,590,580
g00345,2350,2370
g00346,17,25
g00347,1036,1022
g00348,187,170
g00349,49,69
g00350,1076,1345
g00351,3627,4179
g00352,7,10
g00353,9,10
g00354,713,945
g00355,433,649
g00356,2,8
g00357,0,3
g00358,219,275
g00359,9,11
g00360,1,5
g00361,278,401
g00362,1640,1875
g00363,190,209
g00364,27,40
g00365,126,131
g00366,126,151
g00367,305,374
g00368,5,36
g00369,0,0
g00370,0,0
g00371,0,0
g00372,0,0
g00373,0,0
g00374,1,1
g00375,2,2
g00376,1144,1968
g00377,1058,1173
g00378,0,14
g00379,0,0
g00380,2597,5226
g00381,100,162
g00382,133,309
g00383,363,386
g00384,633,805
g00385,310,298
g00386,39,46
g00387,1288,1669
g00388,902,1118
g00389,4,10
g00390,303,539
g00391,17,23
g00392,298,312
g00393,5,9
g00394,23,65
g00395,243,269
g00396,392,331
g00397,1167,1280
g00398,10027,7264
g00399,4,8
g00400,0,0
g00401,2,0
g00402,0,1
g00403,28,51
g00404,101,101
g00405,102,251
g00406,534,550
g00407,97,253
g00408,719,863
g00409,0,0
g00410,486,527
g00411,1855,2268
g00412,9766,9499
g00413,1,1
g00414,0,0
g00415,0,0
g00416,1,0
g00417,2,3
g00418,1276,1271
g00419,6,8
g00420,1,1
g00421,2,1
g00422,1,0
g00423,0,0
g00424,1733,1856
g00425,1,3
g00426,1839,2237
g00427,453,438
g00428,484,428
g00429,13,16
g00430,28,47
g00431,702,646
g00432,0,0
g00433,17,16
g00434,1070,1203
g00435,903,942
g00436,48,88
g00437,413,388
g00438,210,224
g00439,370,417
g00440,166,179
g00441,791,853
g00442,51,47
g00443,58,94
g00444,262,228
g00445,64,35
g00446,85,128
g00447,2,2
g00448,0,2
g00449,0,0
g00450,2,3
g00451,68,42
g00452,39,48
g00453,2,3
g00454,383,490
g00455,811,1108
g00456,178,220
g00457,354,509
g00458,560,742
g00459,354,388
g00460,243,255
g00461,530,619
g00462,424,458
g00463,0,0
g00464,364,446
g00465,84,222
g00466,64,143
g00467,812,909
g00468,1954,3056
g00469,2,1
g00470,656,766
g00471,385,423
g00472,116,138
g00473,88,292
g00474,941,1056
g00475,77,154
g00476,2477,2489
g00477,199,307
g00478,428,508
g00479,760,906
g00480,0,0
g00481,1,1
g00482,1945,2081
g00483,64,113
g00484,6,14
g00485,19,66
g00486,809,1036
g00487,6,4
g00488,958,1279
g00489,405,552
g00490,174,208
g00491,104,259
g00492,3,0
g00493,7,4
g00494,433,316
g00495,0,0
g00496,175,266
g00497,93,117
g00498,1022,1150
g00499,10,14
g00500,1198,1480
g00501,0,0
g00502,598,701
g00503,134,289
g00504,2292,2616
g00505,127,130
g00506,174,178
g00507,12,11
g00508,14,10
g00509,13,11
g00510,992,1336
g00511,3,6
g00512,0,0
g00513,1158,1423
g00514,10,21
g00515,1,0
g00516,0,0
g00517,1,4
g00518,143,229
g00519,501,657
g00520,635,1217
g00521,5,18
g00522,4464,4991
g00523,22,22
g00524,24,26
g00525,0,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,1,0
g00531,0,0
g00532,0,0
g00533,0,0
g00534,10,7
g00535,6,6
g00536,0,0
g00537,0,0
g00538,11,7
g00539,15,19
g00540,1705,2389
g00541,2236,2460
g00542,7,4
g00543,7,6
g00544,0,0
g00545,16,31
g00546,1872,2373
g00547,61,79
g00548,174,224
g00549,14,3
g00550,87,52
g00551,0,0
g00552,6930,4982
g00553,2,2
g00554,0,0
g00555,10,13
g00556,0,0
g00557,2,0
g00558,1641,1958
g00559,131,186
g00560,407,497
g00561,62,67
g00562,542,708
g00563,0,0
g00564,0,0
g00565,0,1
g00566,114,302
g00567,10,20
g00568,217,203
g00569,400,417
g00570,1367,1530
g00571,26,93
g00572,1318,1593
g00573,53,76
g00574,139,124
g00575,25,52
g00576,0,1
g00577,1,2
g00578,1,1
g00579,208,175
g00580,573,732
g00581,115,109
g00582,7,14
g00583,57,51
g00584,1237,1455
g00585,892,869
g00586,53,54
g00587,53,53
g00588,73,81
g00589,53,52
g00590,62,61
g00591,55,56
g00592,55,53
g00593,34,62
g00594,62,66
g00595,147,138
g00596,4179,4382
g00597,3386,3539
g00598,1,0
g00599,0,1
g00600,0,0
g00601,0,2
g00602,542,816
g00603,1,0
g00604,0,0
g00605,237,251
g00606,0,0
g00607,1482,1894
g00608,74,95
g00609,29,93
g00610,4,7
g00611,0,0
g00612,556,510
g00613,820,897
g00614,0,0
g00615,10094,9752
g00616,10,7
g00617,0,0
g00618,4,5
g00619,694,819
g00620,9,13
g00621,43,60
g00622,200,236
g00623,3,3
g00624,134,143
g00625,2,9
g00626,20,45
g00627,99,139
g00628,46,36
g00629,668,824
g00630,0,1
g00631,475,724
g00632,147,161
g00633,205,257
g00634,375,512
g00635,1011,753
g00636,651,704
g00637,1046,1246
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,0
g00644,0,0
g00645,0,0
g00646,284,413
g00647,1,1
g00648,1728,2350
g00649,270,354
g00650,1,1
g00651,4,5
g00652,65,120
g00653,402,357
g00654,55,99
g00655,352,550
g00656,20,14
g00657,0,1
g00658,1599,3080
g00659,0,1
g00660,67,37
g00661,9,13
g00662,597,708
g00663,372,445
g00664,397,457
g00665,516,561
g00666,31,20
g00667,4559,4587
g00668,4105,4638
g00669,176,210
g00670,1357,1681
g00671,152,238
g00672,376,378
g00673,743,836
g00674,563,690
g00675,327,441
g00676,116,137
g00677,0,6
g00678,0,1
g00679,0,0
g00680,0,0
g00681,1,0
g00682,2,4
g00683,0,0
g00684,119,164
g00685,323,591
g00686,0,0
g00687,0,0
g00688,0,0
g00689,0,0
g00690,1,14
g00691,5,8
g00692,0,0
g00693,0,0
g00694,0,0
g00695,0,1
g00696,158,214
g00697,1372,1805
g00698,54,57
g00699,1208,1581
g00700,19,23
g00701,3,2
g00702,0,0
g00703,0,0
g00704,82,187
g00705,0,0
g00706,44,52
g00707,185,320
g00708,18,30
g00709,601,692
g00710,896,1176
g00711,0,0
g00712,101,110
g00713,5,3
g00714,374,502
g00715,3,5
g00716,517,744
g00717,505,531
g00718,62,59
g00719,285,280
g00720,631,788
g00721,93,83
g00722,62,72
g00723,0,0
g00724,27,17
g00725,4,1
g00726,11,9
g00727,26,22
g00728,4,6
g00729,22,27
g00730,20,6
g00731,139,174
g00732,49,75
g00733,36,78
g00734,42,59
g00735,758,756
g00736,87,192
g00737,0,0
g00738,1063,1295
g00739,521,663
g00740,2506,3251
g00741,12,24
g00742,31,127
g00743,491,334
g00744,115,137
g00745,260,308
g00746,1047,1266
g00747,270,282
g00748,334,391
g00749,393,519
g00750,128,180
g00751,0,0
g00752,3,10
g00753,39,50
g00754,955,1450
g00755,28,18
g00756,99,95
g00757,0,2
g00758,2,3
g00759,80,92
g00760,2,3
g00761,204,265
g00762,703,788
g00763,5,2
g00764,117,123
g00765,10,10
g00766,139,373
g00767,1108,1311
g00768,378,436
g00769,118,214
g00770,134,269
g00771,286,296
g00772,347,441
g00773,0,1
g00774,126,209
g00775,6,9
g00776,4,8
g00777,1281,1447
g00778,3,14
g00779,699,861
g00780,189,223
g00781,1022,951
g00782,1,1
g00783,1362,1590
g00784,14,15
g00785,2355,2557
g00786,959,1179
g00787,251,340
g00788,366,736
g00789,0,3
g00790,1,1
g00791,145,151
g00792,3,0
g00793,2,2
g00794,1,1
g00795,469,592
g00796,187,223
g00797,62,44
g00798,8,3
g00799,0,0
g00800,0,0
g00801,1,3
g00802,0,0
g00803,0,1
g00804,0,0
g00805,0,0
g00806,912,1056
g00807,45,64
g00808,382,407
g00809,88,74
g00810,109,147
g00811,1166,1322
g00812,29,27
g00813,2,3
g00814,4,8
g00815,47,72
g00816,6,3
g00817,9,4
g00818,623,827
g00819,76,71
g00820,4422,5244
g00821,236,203
g00822,482,443
g00823,140,124
g00824,37,33
g00825,0,1
g00826,13,29
g00827,26,86
g00828,58,77
g00829,407,560
g00830,653,723
g00831,580,722
g00832,31,31
g00833,601,1265
g00834,368,782
g00835,3,9
g00836,108,184
g00837,895,1065
g00838,531,674
g00839,1107,1079
g00840,317,464
g00841,13,19
g00842,0,1
g00843,0,0
g00844,50,469
g00845,35,85
g00846,199,253
g00847,378,486
g00848,2116,2130
g00849,1367,1319
g00850,13,9
g00851,1376,1645
g00852,7,25
g00853,182,163
g00854,316,266
g00855,876,737
g00856,4,3
g00857,327,375
g00858,0,1
g00859,4,18
g00860,49,54
g00861,776,861
g00862,400,543
g00863,1591,2188
g00864,534,754
g00865,797,1101
g00866,2,1
g00867,250,237
g00868,1381,1543
g00869,266,286
g00870,321,378
g00871,399,471
g00872,2,1
g00873,0,0
g00874,2769,2810
g00875,51,150
g00876,344,472
g00877,47,72
g00878,74,76
g00879,120,94
g00880,8,4
g00881,51,46
g00882,484,679
g00883,2,5
g00884,30,12
g00885,558,639
g00886,204,255
g00887,28,29
g00888,199,276
g00889,2244,2548
g00890,922,1038
g00891,1449,1596
g00892,302,310
g00893,2225,3044
g00894,203,131
g00895,1359,1484
g00896,592,459
g00897,22,24
g00898,769,920
g00899,454,599
g00900,0,0
g00901,945,1600
g00902,5,3
g00903,103,60
g00904,0,0
g00905,1,6
g00906,2048,2876
g00907,21,26
g00908,168,216
g00909,401,389
g00910,0,0
g00911,664,755
g00912,1,3
g00913,0,0
g00914,1,1
g00915,42,47
g00916,150,171
g00917,0,0
g00918,1,1
g00919,111,116
g00920,0,1
g00921,479,488
g00922,0,1
g00923,105,34
g00924,59,48
g00925,0,0
g00926,431,583
g00927,14,40
g00928,0,0
g00929,972,1190
g00930,1596,1525
g00931,0,0
g00932,0,0
g00933,0,0
g00934,0,1
g00935,0,1
g00936,220,402
g00937,95,128
g00938,3,3
g00939,0,0
g00940,152,153
g00941,200,343
g00942,127,172
g00943,1082,1250
g00944,214,217
g00945,336,549
g00946,62,95
g00947,3,3
g00948,2,3
g00949,0,0
g00950,21,22
g00951,85,217
g00952,1,1
g00953,0,0
g00954,0,0
g00955,182,152
g00956,0,1
g00957,11,15
g00958,4,2
g00959,0,0
g00960,1,0
g00961,0,0
g00962,427,548
g00963,3837,4037
g00964,53,62
g00965,3204,2863
g00966,4,1
g00967,0,0
g00968,2999,3642
g00969,274,309
g00970,453,459
g00971,1252,1573
g00972,0,0
g00973,390,580
g00974,1669,2028
g00975,1175,1335
g00976,166,159
g00977,239,274
g00978,753,884
g00979,7,12
g00980,1,2
g00981,909,1092
g00982,530,599
g00983,53,70
g00984,1593,1782
g00985,568,1162
g00986,257,232
g00987,2586,3126
g00988,2,0
g00989,9,6
g00990,1483,1627
g00991,135,164
g00992,113,244
g00993,4,3
g00994,236,250
g00995,340,530
g00996,1,3
g00997,2,1
g00998,1,0
g00999,1,4
g01000,1647,2044
g01001,303,392
g01002,24,27
g01003,0,0
g01004,454,1000
g01005,372,423
g01006,94,71
g01007,1036,1204
g01008,370,396
g01009,12,15
g01010,1148,1742
g01011,4,4
g01012,471,600
g01013,11,17
g01014,62,89
g01015,525,617
g01016,2238,2383
g01017,509,494
g01018,1711,1707
g01019,50,76
g01020,6,6
g01021,1,2
g01022,4,4
g01023,619,702
g01024,852,1057
g01025,77,60
g01026,155,188
g01027,1078,1440
g01028,1254,1611
g01029,1157,1227
g01030,0,1
g01031,945,1382
g01032,282,383
g01033,75,94
g01034,195,207
g01035,0,0
g01036,118,193
g01037,641,1206
g01038,0,2
g01039,972,1161
g01040,1,1
g01041,299,364
g01042,8,8
g01043,61,128
g01044,154,112
g01045,36,28
g01046,147,363
g01047,176,216
g01048,745,828
g01049,792,947
g01050,1,3
g01051,18,20
g01052,0,0
g01053,1272,1348
g01054,55,48
g01055,340,425
g01056,2515,3023
g01057,22,28
g01058,18,14
g01059,185,270
g01060,73,54
g01061,453,528
g01062,50,95
g01063,3,3
g01064,1063,1177
g01065,1,3
g01066,1,8
g01067,3,0
g01068,950,1071
g01069,2,1
g01070,293,278
g01071,308,504
g01072,22,31
g01073,3156,1911
g01074,5,4
g01075,16,16
g01076,233,321
g01077,257,279
g01078,1,3
g01079,0,0
g01080,5407,4882
g01081,3,3
g01082,248,335
g01083,55,83
g01084,6,0
g01085,0,3
g01086,0,0
g01087,2709,1960
g01088,206,271
g01089,0,2
g01090,1289,1786
g01091,365,383
g01092,315,356
g01093,40,48
g01094,4,2
g01095,2,0
g01096,1,2
g01097,0,2
g01098,16,11
g01099,186,230
g01100,87,154
g01101,318,392
g01102,271,306
g01103,357,573
g01104,555,863
g01105,1,0
g01106,0,0
g01107,2,0
g01108,0,0
g01109,2,0
g01110,634,602
g01111,415,476
g01112,247,324
g01113,598,673
g01114,306,397
g01115,4,8
g01116,443,404
g01117,24,23
g01118,256,326
g01119,1,1
g01120,222,252
g01121,137,167
g01122,903,957
g01123,286,437
g01124,12,1
g01125,5,0
g01126,139,239
g01127,79,100
g01128,499,553
g01129,1746,2062
g01130,0,0
g01131,0,0
g01132,0,0
g01133,9,5
g01134,98,143
g01135,737,856
g01136,600,715
g01137,92,112
g01138,233,221
g01139,359,522
g01140,0,2
g01141,0,0
g01142,215,259
g01143,27,26
g01144,1076,1435
g01145,385,456
g01146,254,374
g01147,189,272
g01148,339,682
g01149,13,43
g01150,309,446
g01151,13,25
g01152,3075,2756
g01153,563,683
g01154,240,350
g01155,0,0
g01156,7,3
g01157,2,3
g01158,61,47
g01159,9,3
g01160,58,42
g01161,658,545
g01162,698,753
g01163,259,295
g01164,2,4
g01165,2,3
g01166,7,11
g01167,10,10
g01168,141,150
g01169,15,13
g01170,1297,1691
g01171,161,229
g01172,38,53
g01173,20,28
g01174,303,483
g01175,4,1
g01176,227,184
g01177,1565,2042
g01178,188,190
g01179,415,511
g01180,337,404
g01181,642,607
g01182,445,568
g01183,225,259
g01184,18,17
g01185,386,407
g01186,300,358
g01187,151,151
g01188,37,62
g01189,373,327
g01190,102,95
g01191,465,670
g01192,3,11
g01193,299,308
g01194,86,117
g01195,0,0
g01196,3,0
g01197,17,7
g01198,1,4
g01199,15,11
g01200,0,0
g01201,0,3
g01202,30,40
g01203,1,3
g01204,0,0
g01205,1,0
g01206,367,444
g01207,66,93
g01208,1075,957
g01209,6486,7231
g01210,1316,1460
g01211,1240,1551
g01212,1895,2069
g01213,1260,1764
g01214,188,208
g01215,3,1
g01216,708,1432
g01217,502,719
g01218,11,21
g01219,18,31
g01220,594,645
g01221,467,471
g01222,7,1
g01223,521,648
g01224,990,1093
g01225,9,13
g01226,7,9
g01227,3,12
g01228,0,0
g01229,5,3
g01230,64,75
g01231,0,1
g01232,4,6
g01233,0,0
g01234,0,1
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,0,0
g01240,0,0
g01241,0,0
g01242,31,59
g01243,542,1366
g01244,20,44
g01245,0,0
g01246,0,0
g01247,0,0
g01248,1,2
g01249,0,1
g01250,0,0
g01251,44,43
g01252,22,24
g01253,3,2
g01254,0,0
g01255,16,8
g01256,3,1
g01257,9,8
g01258,16,15
g01259,1,2
g01260,0,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,0
g01266,0,0
g01267,0,0
g01268,0,0
g01269,48,44
g01270,0,0
g01271,0,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,168,283
g01277,220,256
g01278,91,184
g01279,747,982
g01280,4,5
g01281,74,97
g01282,209,278
g01283,0,1
g01284,387,422
g01285,62,98
g01286,2661,3799
g01287,4,3
g01288,254,325
g01289,20,19
g01290,1035,1467
g01291,684,826
g01292,6,11
g01293,1,1
g01294,1070,1328
g01295,0,0
g01296,2,1
g01297,558,674
g01298,7,2
g01299,3,2
g01300,3,9
g01301,5,9
g01302,216,272
g01303,5290,6136
g01304,51,66
g01305,977,1271
g01306,197,269
g01307,70,41
g01308,597,756
g01309,411,611
g01310,2118,2464
g01311,0,0
g01312,1485,1772
g01313,60,64
g01314,195,253
g01315,25,32
g01316,506,550
g01317,183,391
g01318,2397,2741
g01319,179,196
g01320,3,0
g01321,857,1048
g01322,44,52
g01323,444,643
g01324,552,534
g01325,1,1
g01326,0,3
g01327,120,153
g01328,453,521
g01329,10,11
g01330,290,182
g01331,65,89
g01332,0,0
g01333,802,878
g01334,367,372
g01335,1691,1938
g01336,11,18
g01337,26,55
g01338,2,1
g01339,13,21
g01340,1132,1228
g01341,0,0
g01342,1918,2202
g01343,295,364
g01344,1,0
g01345,822,891
g01346,0,0
g01347,612,700
g01348,672,589
g01349,1601,1958
g01350,4,3
g01351,0,0
g01352,192,307
g01353,39,31
g01354,821,644
g01355,393,679
g01356,454,486
g01357,2014,2262
g01358,224,239
g01359,9,3
g01360,12,9
g01361,454,419
g01362,0,0
g01363,0,0
g01364,120,152
g01365,3,6
g01366,514,578
g01367,2,2
g01368,301,369
g01369,662,931
g01370,983,1097
g01371,0,1
g01372,870,969
g01373,3,1
g01374,4,3
g01375,375,485
g01376,3396,3935
g01377,8,6
g01378,14,17
g01379,32,66
g01380,2,0
g01381,96,130
g01382,912,798
g01383,285,374
g01384,1,2
g01385,6,3
g01386,0,0
g01387,475,594
g01388,62,75
g01389,189,380
g01390,3,8
g01391,11,17
g01392,651,839
g01393,116,161
g01394,7,9
g01395,3,8
g01396,1581,1411
g01397,1017,879
g01398,565,616
g01399,163,232
g01400,13,18
g01401,562,745
g01402,567,635
g01403,767,921
g01404,257,314
g01405,60,103
g01406,0,0
g01407,74,82
g01408,252,283
g01409,30,23
g01410,0,0
g01411,47,50
g01412,17,18
g01413,331,450
g01414,473,658
g01415,399,454
g01416,613,642
g01417,0,2
g01418,662,700
g01419,958,1085
g01420,1072,1167
g01421,318,320
g01422,57,66
g01423,290,337
g01424,13,25
g01425,126,124
g01426,0,0
g01427,7,12
g01428,276,300
g01429,47,83
g01430,72,108
g01431,160,151
g01432,3,6
g01433,4,1
g01434,395,318
g01435,21,28
g01436,117,127
g01437,350,341
g01438,546,491
g01439,119,173
g01440,156,203
g01441,5,1
g01442,87,83
g01443,87,83
g01444,112,85
g01445,162,259
g01446,0,0
g01447,0,0
g01448,2110,3387
g01449,0,0
g01450,1146,1303
g01451,134,177
g01452,56,85
g01453,0,4
g01454,1,2
g01455,23,17
g01456,213,286
g01457,15,27
g01458,0,0
g01459,0,0
g01460,29,35
g01461,98,227
g01462,4,4
g01463,503,426
g01464,304,394
g01465,4792,5740
g01466,213,235
g01467,106,137
g01468,137,179
g01469,4,2
g01470,58,37
g01471,1056,1341
g01472,85,68
g01473,3,15
g01474,387,388
g01475,154,178
g01476,112,239
g01477,0,0
g01478,8,20
g01479,25,42
g01480,248,227
g01481,48,62
g01482,135,309
g01483,453,627
g01484,27,38
g01485,188,266
g01486,76,83
g01487,1043,1210
g01488,314,364
g01489,308,353
g01490,66,71
g01491,602,736
g01492,4,5
g01493,0,0
g01494,1511,1574
g01495,288,246
g01496,836,839
g01497,69,71
g01498,255,202
g01499,2,0
g01500,821,984
g01501,8,7
g01502,172,157
g01503,3,1
g01504,20,49
g01505,0,0
g01506,1141,1279
g01507,465,437
g01508,43,71
g01509,3477,3319
g01510,5,3
g01511,68,70
g01512,779,961
g01513,11663,12076
g01514,1114,1050
g01515,0,0
g01516,492,503
g01517,1608,1756
g01518,305,278
g01519,293,336
g01520,125,123
g01521,81,154
g01522,899,1081
g01523,129,152
g01524,634,675
g01525,1,3
g01526,391,474
g01527,2,1
g01528,1,1
g01529,3,3
g01530,2,4
g01531,290,354
g01532,202,255
g01533,566,615
g01534,311,374
g01535,753,801
g01536,8,7
g01537,39,45
g01538,555,584
g01539,144,136
g01540,360,668
g01541,2,4
g01542,1,11
g01543,2593,2239
g01544,117,134
g01545,5,4
g01546,30,44
g01547,353,390
g01548,0,0
g01549,6,8
g01550,8,29
g01551,128,195
g01552,203,217
g01553,219,248
g01554,4,1
g01555,7,7
g01556,3977,4922
g01557,29,26
g01558,310,291
g01559,705,1288
g01560,6,22
g01561,12,9
g01562,86,75
g01563,664,801
g01564,135,169
g01565,0,0
g01566,0,0
g01567,0,0
g01568,0,0
g01569,360,375
g01570,0,0
g01571,33,24
g01572,11,19
g01573,6,12
g01574,8,8
g01575,49,36
g01576,0,2
g01577,54,55
g01578,553,653
g01579,0,0
g01580,2,5
g01581,33,66
g01582,411,486
g01583,60,81
g01584,15,10
g01585,21,16
g01586,124,150
g01587,0,0
g01588,7,6
g01589,0,0
g01590,2,0
g01591,0,0
g01592,0,2
g01593,0,0
g01594,1,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,0,0
g01599,1,0
g01600,0,0
g01601,0,0
g01602,0,0
g01603,0,1
g01604,652,1053
g01605,133,192
g01606,602,543
g01607,692,774
g01608,162,155
g01609,107,96
g01610,1118,1243
g01611,22,37
g01612,245,284
g01613,2058,1995
g01614,1,0
g01615,1,3
g01616,0,0
g01617,199,278
g01618,47,68
g01619,1,0
g01620,705,584
g01621,1,0
g01622,451,518
g01623,1023,1343
g01624,0,1
g01625,1063,1369
g01626,0,0
g01627,0,0
g01628,0,1
g01629,0,0
g01630,447,1132
g01631,216,474
g01632,267,404
g01633,730,951
g01634,220,186
g01635,47,30
g01636,81,65
g01637,143,157
g01638,91,129
g01639,49,67
g01640,272,347
g01641,165,317
g01642,139,179
g01643,146,175
g01644,2,1
g01645,560,651
g01646,68,157
g01647,107,127
g01648,2,2
g01649,1,4
g01650,24,55
g01651,0,0
g01652,0,0
g01653,5,8
g01654,240,200
g01655,155,277
g01656,176,247
g01657,1,2
g01658,0,1
g01659,16,17
g01660,8,3
g01661,1129,1244
g01662,903,1218
g01663,960,2173
g01664,72,100
g01665,925,253
g01666,115,147
g01667,1,0
g01668,123,315
g01669,2289,3271
g01670,3424,4596
g01671,0,0
g01672,3397,3888
g01673,18,34
g01674,151,168
g01675,17,28
g01676,1368,1729
g01677,20,37
g01678,151,142
g01679,139,182
g01680,3100,4075
g01681,69,68
g01682,32,46
g01683,6,5
g01684,1,1
g01685,6,4
g01686,2,2
g01687,3,2
g01688,147,148
g01689,214,342
g01690,344,412
g01691,128,145
g01692,123,134
g01693,554,707
g01694,0,0
g01695,0,3
g01696,6,6
