,mut_E16.5_f4,mut_E16.5_f5
g00423,0,0
g00424,2469,2082
g00425,1,5
g00426,2771,2002
g00427,461,430
g00428,990,909
g00429,8,10
g00430,52,36
g00431,738,651
g00432,0,0
g00433,16,13
g00434,1172,984
g00435,927,864
g00436,20,20
g00437,296,332
g00438,237,158
g00439,534,367
g00440,43,56
g00441,780,672
g00442,65,46
g00443,144,113
g00444,472,347
g00445,198,168
g00446,2,6
g00447,0,0
g00448,0,0
g00449,0,0
g00450,1,0
g00451,0,2
g00452,46,43
g00453,14,11
g00454,544,423
g00455,874,589
g00456,393,317
g00457,337,276
g00458,807,692
g00459,415,364
g00460,206,216
g00461,719,625
g00462,6115,4684
g00463,1,3
g00464,675,433
g00465,14,30
g00466,0,4
g00467,853,770
g00468,9160,4918
g00469,0,0
g00470,673,468
g00471,647,512
g00472,242,162
g00473,14,16
g00474,953,751
g00475,27,30
g00476,1961,1366
g00477,204,165
g00478,389,346
g00479,332,251
g00480,0,0
g00481,0,0
g00482,1088,783
g00483,75,74
g00484,2,3
g00485,38,29
g00486,1229,933
g00487,4,0
g00488,790,583
g00489,351,268
g00490,142,119
g00491,2,19
g00492,6,5
g00493,56,55
g00494,200,310
g00495,0,0
g00496,273,239
g00497,31,40
g00498,320,310
g00499,7,23
g00500,1864,1349
g00501,0,0
g00502,947,823
g00503,6,18
g00504,4603,3598
g00505,160,182
g00506,503,373
g00507,20,20
g00508,17,12
g00509,3,5
g00510,1014,821
g00511,8,3
g00512,0,0
g00513,1573,1236
g00514,19,8
g00515,0,0
g00516,2,0
g00517,0,0
g00518,74,97
g00519,363,323
g00520,13,76
g00521,0,1
g00522,5877,4537
g00523,33,38
g00524,24,24
g00525,0,0
g00526,0,0
g00527,0,1
g00528,0,0
g00529,0,0
g00530,0,0
g00531,0,0
g00532,0,0
g00533,0,0
g00534,10,6
g00535,10,6
g00536,0,1
g00537,1,1
g00538,14,14
g00539,15,18
g00540,3086,2195
g00541,2492,1882
g00542,0,5
g00543,11,4
g00544,0,1
g00545,1,3
g00546,2842,2259
g00547,42,53
g00548,135,100
g00549,2,3
g00550,10,11
g00551,0,0
g00552,5357,6398
g00553,7,2
g00554,0,1
g00555,13,11
g00556,2,0
g00557,0,0
g00558,2122,1695
g00559,141,120
g00560,315,307
g00561,49,48
g00562,671,588
g00563,0,0
g00564,0,0
g00565,1,0
g00566,2,9
g00567,1,3
g00568,398,276
g00569,415,366
g00570,1520,1240
g00571,184,166
g00572,1545,1229
g00573,85,55
g00574,2,1
g00575,49,35
g00576,0,0
g00577,1,1
g00578,6,3
g00579,600,499
g00580,781,627
g00581,127,83
g00582,6,3
g00583,47,29
g00584,1111,840
g00585,928,809
g00586,431,366
g00587,431,366
g00588,523,443
g00589,441,372
g00590,484,414
g00591,457,384
g00592,450,380
g00593,57,41
g00594,580,501
g00595,181,189
g00596,3242,3963
g00597,2545,3182
g00598,0,2
g00599,2,1
g00600,6,4
g00601,3,1
g00602,807,596
g00603,0,0
g00604,0,0
g00605,442,422
g00606,0,0
g00607,1410,1220
g00608,93,60
g00609,1,4
g00610,17,12
g00611,1,2
g00612,351,359
g00613,841,671
g00614,0,0
g00615,32139,25623
g00616,61,66
g00617,0,0
g00618,14,6
g00619,2027,1410
g00620,3,5
g00621,180,125
g00622,389,318
g00623,8,2
g00624,142,149
g00625,3,4
g00626,46,32
g00627,202,129
g00628,53,51
g00629,697,547
g00630,0,0
g00631,292,231
g00632,139,159
g00633,125,87
g00634,309,213
g00635,2806,2469
g00636,696,569
g00637,1326,1082
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,1,0
g00644,0,0
g00645,0,0
g00646,466,338
g00647,1,2
g00648,2270,1476
g00649,350,201
g00650,0,1
g00651,6,5
g00652,116,92
g00653,750,631
g00654,81,74
g00655,501,388
g00656,117,83
g00657,0,0
g00658,149,264
g00659,1,2
g00660,804,684
g00661,12,5
g00662,544,481
g00663,371,273
g00664,387,312
g00665,575,524
g00666,398,361
g00667,6535,5864
g00668,4843,3842
g00669,273,259
g00670,1360,1106
g00671,470,302
g00672,537,385
g00673,788,639
g00674,589,507
g00675,480,416
g00676,138,135
g00677,3,3
g00678,0,0
g00679,0,0
g00680,2,1
g00681,0,0
g00682,1,1
g00683,2,0
g00684,218,174
g00685,226,210
g00686,0,1
g00687,0,0
g00688,0,0
g00689,0,0
g00690,0,1
g00691,1,5
g00692,0,0
g00693,0,1
g00694,0,0
g00695,2,0
g00696,149,132
g00697,1311,1042
g00698,67,53
g00699,1434,1237
g00700,19,18
g00701,3,0
g00702,0,0
g00703,0,0
g00704,1,16
g00705,0,0
g00706,6,2
g00707,108,117
g00708,20,26
g00709,838,760
g00710,1414,1117
g00711,0,0
g00712,203,157
g00713,16,9
g00714,846,636
g00715,2,1
g00716,682,531
g00717,671,558
g00718,87,65
g00719,636,520
g00720,1307,1009
g00721,6216,3894
g00722,3944,2704
g00723,1,2
g00724,436,273
g00725,3,0
g00726,767,643
g00727,653,492
g00728,234,244
g00729,1765,1407
g00730,986,769
g00731,703,606
g00732,1597,1086
g00733,7,9
g00734,38,35
g00735,1282,932
g00736,1,20
g00737,0,0
g00738,820,744
g00739,798,618
g00740,3036,2606
g00741,22,10
g00742,105,104
g00743,719,631
g00744,389,280
g00745,338,279
g00746,1316,1104
g00747,284,225
g00748,276,261
g00749,423,333
g00750,417,243
g00751,6,0
g00752,2,3
g00753,41,30
g00754,3583,2819
g00755,28,21
g00756,152,118
g00757,0,0
g00758,2,1
g00759,107,91
g00760,0,0
g00761,713,515
g00762,781,640
g00763,0,3
g00764,123,112
g00765,18,5
g00766,3,19
g00767,1579,1280
g00768,521,437
g00769,75,80
g00770,106,99
g00771,193,192
g00772,331,274
g00773,1,3
g00774,2,8
g00775,13,3
g00776,12,0
g00777,1286,1046
g00778,1,2
g00779,1218,848
g00780,169,115
g00781,674,719
g00782,5,1
g00783,1990,1467
g00784,29,23
g00785,2415,1996
g00786,1409,1134
g00787,480,419
g00788,22,23
g00789,2,0
g00790,1,0
g00791,644,507
g00792,1,2
g00793,0,0
g00794,0,1
g00795,847,633
g00796,1502,1000
g00797,935,842
g00798,35,25
g00799,8,6
g00800,5,2
g00801,1,0
g00802,1,0
g00803,2,0
g00804,0,0
g00805,1,0
g00806,1648,1059
g00807,51,22
g00808,486,355
g00809,673,480
g00810,320,213
g00811,1707,1409
g00812,40,10
g00813,2,5
g00814,3,9
g00815,498,402
g00816,109,74
g00817,10,8
g00818,1140,783
g00819,156,112
g00820,5184,4153
g00821,963,692
g00822,774,668
g00823,226,177
g00824,48,55
g00825,0,0
g00826,0,0
g00827,11,7
g00828,244,239
g00829,246,197
g00830,877,766
g00831,674,662
g00832,73,41
g00833,27,20
g00834,13,43
g00835,0,0
g00836,46,55
g00837,1023,905
g00838,548,423
g00839,1874,1372
g00840,260,227
g00841,13,12
g00842,0,0
g00843,0,1
g00844,0,1
g00845,5,8
g00846,248,212
g00847,419,344
g00848,2759,2310
g00849,1840,1512
g00850,9,11
g00851,2679,2210
g00852,4,3
g00853,227,265
g00854,45,45
g00855,115,132
g00856,13,4
g00857,798,493
g00858,2,1
g00859,77,37
g00860,242,158
g00861,604,423
g00862,272,185
g00863,1313,923
g00864,656,535
g00865,1051,824
g00866,0,1
g00867,371,254
g00868,2722,2117
g00869,509,434
g00870,354,264
g00871,489,463
g00872,0,0
g00873,2,4
g00874,2806,2326
g00875,17,13
g00876,599,453
g00877,67,63
g00878,442,285
g00879,27,28
g00880,2,4
g00881,112,88
g00882,268,261
g00883,1,1
g00884,51,39
g00885,823,699
g00886,315,258
g00887,33,30
g00888,116,74
g00889,1719,1526
g00890,517,511
g00891,1772,1297
g00892,715,549
g00893,2292,1833
g00894,2913,2442
g00895,1360,1189
g00896,11027,8330
g00897,3,1
g00898,472,435
g00899,830,570
g00900,2,2
g00901,482,368
g00902,27,22
g00903,247,203
g00904,1,0
g00905,1,0
g00906,3888,2761
g00907,25,28
g00908,239,221
g00909,461,395
g00910,0,0
g00911,559,427
g00912,2,2
g00913,1,1
g00914,0,0
g00915,54,45
g00916,74,83
g00917,0,0
g00918,1,0
g00919,274,193
g00920,0,0
g00921,925,742
g00922,0,0
g00923,0,2
g00924,72,52
g00925,0,1
g00926,488,351
g00927,3,1
g00928,0,0
g00929,1068,862
g00930,1700,1589
g00931,0,0
g00932,0,0
g00933,0,0
g00934,0,1
g00935,0,0
g00936,178,139
g00937,42,35
g00938,0,0
g00939,0,0
g00940,210,161
g00941,146,172
g00942,244,193
g00943,1172,910
g00944,398,359
g00945,522,473
g00946,74,82
g00947,5,9
g00948,37,30
g00949,0,0
g00950,52,41
g00951,1,12
g00952,0,0
g00953,0,0
g00954,0,0
g00955,421,306
g00956,1,1
g00957,54,21
g00958,2,3
g00959,0,0
g00960,0,0
g00961,0,0
g00962,592,431
g00963,4238,3600
g00964,40,49
g00965,1564,1368
g00966,12,16
g00967,0,0
g00968,4360,3468
g00969,351,241
g00970,352,321
g00971,947,732
g00972,0,0
g00973,296,260
g00974,1696,1347
g00975,1484,1114
g00976,133,107
g00977,151,151
g00978,600,521
g00979,6,7
g00980,1,0
g00981,1357,1200
g00982,726,669
g00983,127,84
g00984,1827,1480
g00985,111,190
g00986,1283,873
g00987,4647,3578
g00988,4,4
g00989,7,5
g00990,1446,1345
g00991,5728,3901
g00992,3,18
g00993,2,1
g00994,130,99
g00995,345,256
g00996,4,4
g00997,3,3
g00998,1,0
g00999,2,2
g01000,1745,1488
g01001,299,273
g01002,1,2
g01003,0,0
g01004,40,139
g01005,993,671
g01006,170,131
g01007,1250,911
g01008,310,204
g01009,8,10
g01010,438,455
g01011,1,1
g01012,577,489
g01013,1,0
g01014,176,162
g01015,1210,901
g01016,3187,2704
g01017,604,519
g01018,2364,1874
g01019,2,6
g01020,14,12
g01021,0,3
g01022,3,2
g01023,409,350
g01024,905,696
g01025,229,201
g01026,309,218
g01027,2284,1697
g01028,1246,1049
g01029,637,543
g01030,3,2
g01031,1148,920
g01032,406,325
g01033,230,199
g01034,437,359
g01035,0,0
g01036,9,24
g01037,17,91
g01038,2,0
g01039,2337,1863
g01040,0,0
g01041,449,325
g01042,14,6
g01043,2,7
g01044,221,206
g01045,60,36
g01046,34,14
g01047,285,235
g01048,796,545
g01049,1057,858
g01050,1,2
g01051,24,21
g01052,0,1
g01053,1398,1215
g01054,15,12
g01055,220,218
g01056,3398,2641
g01057,34,17
g01058,9,14
g01059,259,203
g01060,73,62
g01061,468,393
g01062,2,9
g01063,0,0
g01064,1080,958
g01065,0,3
g01066,8,11
g01067,1,0
g01068,1176,826
g01069,1,3
g01070,333,278
g01071,93,156
g01072,11,15
g01073,1528,1711
g01074,8,2
g01075,12,24
g01076,283,219
g01077,306,266
g01078,1,0
g01079,0,0
g01080,5010,5114
g01081,2,1
g01082,270,230
g01083,3987,2193
g01084,7,0
g01085,4,2
g01086,0,1
g01087,2852,2425
g01088,321,240
g01089,0,1
g01090,677,666
g01091,486,448
g01092,283,240
g01093,54,45
g01094,15,7
g01095,9,12
g01096,19,6
g01097,0,0
g01098,5,6
g01099,1534,970
g01100,99,65
g01101,1799,1231
g01102,284,259
g01103,330,369
g01104,4399,3353
g01105,0,0
g01106,0,0
g01107,0,0
g01108,0,1
g01109,0,0
g01110,1941,1436
g01111,405,341
g01112,170,119
g01113,691,554
g01114,351,262
g01115,4,3
g01116,308,304
g01117,22,18
g01118,430,301
g01119,0,3
g01120,384,343
g01121,126,131
g01122,634,629
g01123,614,390
g01124,0,1
g01125,2,0
g01126,178,161
g01127,101,65
g01128,562,419
g01129,1835,1486
g01130,0,0
g01131,0,0
g01132,1,0
g01133,4,2
g01134,63,47
g01135,1413,982
g01136,916,756
g01137,135,113
g01138,289,253
g01139,681,546
g01140,0,0
g01141,0,0
g01142,101,64
g01143,37,29
g01144,792,655
g01145,450,323
g01146,427,344
g01147,291,246
g01148,24,33
g01149,0,1
g01150,966,806
g01151,24,13
g01152,3088,2441
g01153,631,550
g01154,367,250
g01155,0,1
g01156,10,6
g01157,3,1
g01158,25,28
g01159,4,4
g01160,15,17
g01161,474,415
g01162,923,865
g01163,307,230
g01164,1,0
g01165,1,1
g01166,92,70
g01167,10,8
g01168,554,337
g01169,11,5
g01170,1720,1239
g01171,163,134
g01172,40,47
g01173,19,18
g01174,412,303
g01175,0,1
g01176,568,486
g01177,2148,1694
g01178,461,363
g01179,346,307
g01180,252,238
g01181,428,384
g01182,713,565
g01183,316,242
g01184,7,10
g01185,485,382
g01186,413,357
g01187,89,135
g01188,28,34
g01189,2869,2031
g01190,202,173
g01191,374,353
g01192,13,13
g01193,1146,888
g01194,115,88
g01195,0,0
g01196,31,14
g01197,22,19
g01198,4,1
g01199,43,35
g01200,1,0
g01201,1,2
g01202,61,32
g01203,2,1
g01204,0,0
g01205,0,0
g01206,369,292
g01207,4,9
g01208,1007,1024
g01209,6980,6032
g01210,1493,1188
g01211,1192,1040
g01212,1851,1500
g01213,1233,1126
g01214,914,574
g01215,1,0
g01216,489,422
g01217,424,294
g01218,1,7
g01219,9,9
g01220,821,776
g01221,767,693
g01222,11,9
g01223,1229,835
g01224,1629,1519
g01225,14,22
g01226,12,6
g01227,36,43
g01228,0,1
g01229,0,1
g01230,96,84
g01231,1,0
g01232,0,0
g01233,0,0
g01234,0,0
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,1,2
g01240,0,0
g01241,0,0
g01242,7,12
g01243,100,184
g01244,64,26
g01245,2,1
g01246,0,0
g01247,1,0
g01248,6,4
g01249,1,0
g01250,0,0
g01251,78,78
g01252,58,30
g01253,7,10
g01254,0,0
g01255,30,18
g01256,6,5
g01257,16,12
g01258,92,62
g01259,7,3
g01260,0,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,0
g01266,0,0
g01267,0,0
g01268,0,1
g01269,45,71
g01270,0,0
g01271,0,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,52,73
g01277,726,518
g01278,6,16
g01279,946,818
g01280,9,7
g01281,98,64
g01282,247,189
g01283,0,0
g01284,445,356
g01285,9,17
g01286,1831,1544
g01287,2,2
g01288,267,228
g01289,60,35
g01290,455,375
g01291,671,506
g01292,32,19
g01293,2,0
g01294,944,773
g01295,0,0
g01296,1,3
g01297,748,609
g01298,9,4
g01299,1,1
g01300,12,6
g01301,3,4
g01302,252,194
g01303,6448,4861
g01304,24,29
g01305,145,140
g01306,231,199
g01307,42,29
g01308,1011,717
g01309,480,366
g01310,2462,2071
g01311,0,0
g01312,1406,1245
g01313,267,213
g01314,377,335
g01315,18,18
g01316,1174,1051
g01317,69,83
g01318,2266,1913
g01319,437,396
g01320,3,3
g01321,1396,1063
g01322,44,51
g01323,628,439
g01324,676,514
g01325,1,1
g01326,0,1
g01327,120,103
g01328,455,390
g01329,39,39
g01330,527,427
g01331,196,180
g01332,0,0
g01333,736,732
g01334,483,414
g01335,2963,2098
g01336,21,14
g01337,3,5
g01338,2,0
g01339,56,51
g01340,1608,1371
g01341,3,0
g01342,2429,1785
g01343,370,308
g01344,0,0
g01345,2829,2335
g01346,57,78
g01347,762,627
g01348,679,665
g01349,1737,1325
g01350,1,1
g01351,0,0
g01352,60,62
g01353,89,98
g01354,663,550
g01355,523,410
g01356,450,362
g01357,2598,2045
g01358,221,219
g01359,3,5
g01360,10,11
g01361,496,427
g01362,0,0
g01363,0,0
g01364,68,67
g01365,2,0
g01366,726,537
g01367,2,1
g01368,621,522
g01369,579,484
g01370,1308,1065
g01371,1,0
g01372,1429,1197
g01373,1,5
g01374,4,8
g01375,415,349
g01376,5202,4033
g01377,4,7
g01378,3,4
g01379,9,10
g01380,0,0
g01381,83,64
g01382,388,296
g01383,341,260
g01384,1,1
g01385,1,0
g01386,0,0
g01387,478,408
g01388,64,53
g01389,35,29
g01390,1,0
g01391,2,4
g01392,819,656
g01393,55,54
g01394,16,5
g01395,1,2
g01396,1767,1624
g01397,1311,1063
g01398,679,618
g01399,117,104
g01400,7,9
g01401,433,398
g01402,629,527
g01403,393,352
g01404,299,220
g01405,73,75
g01406,0,1
g01407,76,62
g01408,259,228
g01409,8,9
g01410,0,0
g01411,149,98
g01412,5,10
g01413,446,372
g01414,710,585
g01415,606,437
g01416,1266,951
g01417,0,2
g01418,600,508
g01419,1019,788
g01420,851,683
g01421,324,303
g01422,187,116
g01423,1175,768
g01424,4,4
g01425,141,122
g01426,0,1
g01427,7,7
g01428,229,231
g01429,55,59
g01430,8,10
g01431,104,95
g01432,1,1
g01433,1,0
g01434,146,148
g01435,13,17
g01436,27,37
g01437,388,342
g01438,2313,1663
g01439,186,173
g01440,342,249
g01441,12,44
g01442,132,103
g01443,132,103
g01444,1097,792
g01445,31,49
g01446,2,5
g01447,5,0
g01448,1239,1178
g01449,0,0
g01450,3353,2814
g01451,349,304
g01452,40,37
g01453,2,1
g01454,3,0
g01455,16,8
g01456,319,299
g01457,13,14
g01458,0,0
g01459,0,0
g01460,548,429
g01461,275,232
g01462,10,6
g01463,979,908
g01464,440,368
g01465,2805,2730
g01466,214,192
g01467,127,93
g01468,228,146
g01469,3,1
g01470,68,54
g01471,1357,1077
g01472,85,80
g01473,0,0
g01474,371,307
g01475,160,136
g01476,7,25
g01477,0,0
g01478,0,1
g01479,6,10
g01480,270,205
g01481,88,90
g01482,30,36
g01483,619,451
g01484,27,22
g01485,235,165
g01486,60,53
g01487,1477,1194
g01488,722,445
g01489,450,385
g01490,102,90
g01491,877,660
g01492,5,1
g01493,0,0
g01494,2075,1616
g01495,381,268
g01496,1502,1231
g01497,18,24
g01498,209,162
g01499,0,0
g01500,1299,1066
g01501,10,14
g01502,149,128
g01503,2,0
g01504,1,9
g01505,0,0
g01506,1158,963
g01507,408,358
g01508,23,15
g01509,4236,3640
g01510,2,3
g01511,140,117
g01512,894,768
g01513,7861,7527
g01514,791,679
g01515,0,0
g01516,565,507
g01517,1220,1146
g01518,526,438
g01519,512,421
g01520,122,114
g01521,137,93
g01522,748,690
g01523,85,74
g01524,241,216
g01525,2,1
g01526,417,369
g01527,0,0
g01528,0,0
g01529,0,2
g01530,20,17
g01531,623,491
g01532,457,303
g01533,1499,947
g01534,423,292
g01535,780,713
g01536,4,4
g01537,73,70
g01538,621,539
g01539,1317,998
g01540,32,67
g01541,1,2
g01542,3,0
g01543,34272,25256
g01544,244,152
g01545,3,2
g01546,0,1
g01547,652,513
g01548,94,65
g01549,3,3
g01550,83,43
g01551,265,230
g01552,289,259
g01553,826,569
g01554,8,14
g01555,10,15
g01556,4124,3280
g01557,23,26
g01558,335,355
g01559,218,249
g01560,3,7
g01561,6,4
g01562,209,198
g01563,857,661
g01564,200,130
g01565,1,1
g01566,0,0
g01567,0,0
g01568,0,0
g01569,507,372
g01570,0,0
g01571,37,25
g01572,10,12
g01573,6,7
g01574,5,8
g01575,12,17
g01576,0,0
g01577,55,40
g01578,333,281
g01579,0,0
g01580,0,0
g01581,0,0
g01582,225,162
g01583,98,63
g01584,13,15
g01585,35,16
g01586,105,94
g01587,0,3
g01588,17,25
g01589,0,0
g01590,0,0
g01591,0,0
g01592,0,0
g01593,0,0
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,0,0
g01599,0,0
g01600,0,1
g01601,0,0
g01602,0,0
g01603,0,0
g01604,521,438
g01605,86,83
g01606,445,365
g01607,153,151
g01608,33,23
g01609,139,115
g01610,869,786
g01611,67,44
g01612,171,94
g01613,2190,1737
g01614,0,0
g01615,1,2
g01616,0,0
g01617,48,47
g01618,9,13
g01619,1,1
g01620,464,415
g01621,1,0
g01622,754,630
g01623,3071,2634
g01624,1,0
g01625,1051,906
g01626,0,1
g01627,0,0
g01628,0,0
g01629,0,0
g01630,27,70
g01631,46,58
g01632,926,662
g01633,1433,1140
g01634,355,261
g01635,62,57
g01636,73,61
g01637,172,132
g01638,101,61
g01639,73,67
g01640,183,144
g01641,96,103
g01642,178,138
g01643,98,81
g01644,2,5
g01645,917,662
g01646,6,16
g01647,333,260
g01648,8,4
g01649,0,0
g01650,0,4
g01651,0,0
g01652,1,0
g01653,2,5
g01654,171,142
g01655,74,68
g01656,204,172
g01657,1,0
g01658,0,0
g01659,28,20
g01660,7,1
g01661,1109,912
g01662,860,752
g01663,524,487
g01664,177,154
g01665,62,68
g01666,79,94
g01667,0,0
g01668,23,48
g01669,2404,1791
g01670,2929,2335
g01671,0,0
g01672,3668,2972
g01673,4,5
g01674,115,121
g01675,16,9
g01676,1008,951
g01677,16,16
g01678,369,323
g01679,98,87
g01680,2448,2198
g01681,37,44
g01682,26,17
g01683,5,0
g01684,1,1
g01685,4,7
g01686,3,8
g01687,0,1
g01688,268,215
g01689,245,166
g01690,373,249
g01691,156,127
g01692,144,138
g01693,601,516
