,mut_E16.5_f4,mut_E16.5_f5
g00001,26,50
g00002,7,22
g00003,0,0
g00004,5,5
g00005,134,98
g00006,553,390
g00007,737,633
g00008,73,57
g00009,207,221
g00010,98,77
g00011,899,688
g00012,10,20
g00013,19,33
g00014,1677,1181
g00015,0,0
g00016,4,14
g00017,943,670
g00018,2,8
g00019,425,384
g00020,14,13
g00021,19,14
g00022,11,15
g00023,115,81
g00024,613,563
g00025,113,109
g00026,341,277
g00027,1,2
g00028,7,8
g00029,175,165
g00030,10,2
g00031,0,1
g00032,0,1
g00033,0,0
g00034,553,566
g00035,653,557
g00036,1423,1307
g00037,13,26
g00038,883,645
g00039,18,12
g00040,0,1
g00041,1802,1825
g00042,80,153
g00043,0,0
g00044,1552,1308
g00045,2730,2260
g00046,160,102
g00047,5,1
g00048,4,1
g00049,88,51
g00050,64,44
g00051,0,1
g00052,18,33
g00053,220,213
g00054,39,16
g00055,0,2
g00056,5,4
g00057,3469,2506
g00058,253,199
g00059,271,192
g00060,388,325
g00061,389,347
g00062,0,0
g00063,305,225
g00064,26,20
g00065,338,225
g00066,2,28
g00067,367,313
g00068,164,124
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,524,560
g00076,119,94
g00077,1,4
g00078,0,1
g00079,18,16
g00080,0,0
g00081,0,0
g00082,1716,1446
g00083,1,2
g00084,333,274
g00085,29,24
g00086,85,60
g00087,17,18
g00088,31,23
g00089,0,1
g00090,0,0
g00091,0,0
g00092,0,0
g00093,21,28
g00094,29,30
g00095,0,0
g00096,1,0
g00097,3,0
g00098,195,137
g00099,0,0
g00100,428,400
g00101,726,666
g00102,58,49
g00103,1883,1516
g00104,80,51
g00105,219,200
g00106,514,415
g00107,53,62
g00108,1,4
g00109,0,0
g00110,0,1
g00111,0,0
g00112,0,0
g00113,0,0
g00114,0,1
g00115,2071,1631
g00116,132,80
g00117,0,0
g00118,0,0
g00119,0,0
g00120,0,0
g00121,0,0
g00122,1,6
g00123,0,1
g00124,0,7
g00125,430,328
g00126,6,5
g00127,171,176
g00128,451,353
g00129,502,356
g00130,0,0
g00131,10,29
g00132,7154,6107
g00133,4,1
g00134,359,314
g00135,554,495
g00136,180,163
g00137,114,87
g00138,4,1
g00139,8,8
g00140,0,0
g00141,2,11
g00142,0,0
g00143,301,214
g00144,2958,2459
g00145,368,357
g00146,719,520
g00147,2144,1748
g00148,13,16
g00149,174,162
g00150,1028,809
g00151,116,94
g00152,209,163
g00153,303,256
g00154,418,206
g00155,113,137
g00156,555,395
g00157,32,20
g00158,590,505
g00159,1162,1048
g00160,1,0
g00161,9,10
g00162,1698,1514
g00163,22,14
g00164,3,1
g00165,281,293
g00166,1059,892
g00167,578,428
g00168,246,243
g00169,14,19
g00170,33,25
g00171,204,132
g00172,17,23
g00173,57,49
g00174,69,46
g00175,164,112
g00176,490,393
g00177,1,1
g00178,0,3
g00179,859,638
g00180,1027,1014
g00181,683,517
g00182,146,128
g00183,137,162
g00184,30,41
g00185,5,0
g00186,0,3
g00187,614,480
g00188,28,22
g00189,297,233
g00190,562,407
g00191,488,375
g00192,4,9
g00193,1387,1197
g00194,43,63
g00195,8,6
g00196,0,0
g00197,0,0
g00198,5459,4030
g00199,21,16
g00200,185,95
g00201,569,446
g00202,321,254
g00203,1042,735
g00204,34,23
g00205,33,22
g00206,2,1
g00207,49,37
g00208,67,53
g00209,139,101
g00210,0,0
g00211,8,6
g00212,63,58
g00213,9,12
g00214,415,314
g00215,2,8
g00216,542,457
g00217,430,352
g00218,412,282
g00219,0,0
g00220,599,428
g00221,31,26
g00222,30,24
g00223,139,118
g00224,0,0
g00225,1985,1859
g00226,17,13
g00227,112,88
g00228,340,311
g00229,237,202
g00230,596,501
g00231,150,143
g00232,127,41
g00233,309,238
g00234,11,10
g00235,278673,178377
g00236,23363,16260
g00237,809,644
g00238,0,2
g00239,338,163
g00240,0,0
g00241,0,0
g00242,21,25
g00243,2,10
g00244,1221,1102
g00245,0,0
g00246,382,391
g00247,3,8
g00248,1151,938
g00249,288,183
g00250,1,0
g00251,1685,1463
g00252,20,4
g00253,0,0
g00254,535,445
g00255,1562,1248
g00256,1065,714
g00257,227,165
g00258,1083,781
g00259,116,118
g00260,236,190
g00261,8,9
g00262,154,118
g00263,0,1
g00264,200,174
g00265,270,220
g00266,168,131
g00267,806,604
g00268,1,2
g00269,520,335
g00270,652,501
g00271,1,4
g00272,450,404
g00273,767,642
g00274,1601,1169
g00275,6511,5173
g00276,185,151
g00277,1522,1134
g00278,582,385
g00279,764,596
g00280,561,460
g00281,239,241
g00282,1,3
g00283,234,215
g00284,4,5
g00285,0,0
g00286,0,0
g00287,45,45
g00288,25,17
g00289,1,0
g00290,9,14
g00291,206,167
g00292,104,76
g00293,211,220
g00294,783,620
g00295,256,270
g00296,612,497
g00297,70,49
g00298,11,7
g00299,2995,4450
g00300,58,15
g00301,3888,3153
g00302,2985,2089
g00303,317,247
g00304,409,362
g00305,601,460
g00306,8,6
g00307,401,310
g00308,520,364
g00309,7,8
g00310,8,4
g00311,1137,861
g00312,476,414
g00313,919,792
g00314,188,178
g00315,0,0
g00316,126,114
g00317,43,45
g00318,546,478
g00319,12,8
g00320,604,464
g00321,27,25
g00322,441,313
g00323,1650,1249
g00324,5,5
g00325,0,0
g00326,1167,959
g00327,50,27
g00328,614,510
g00329,16,28
g00330,335,267
g00331,191,182
g00332,1,0
g00333,915,794
g00334,287,267
g00335,1015,931
g00336,867,856
g00337,6,2
g00338,0,1
g00339,18,13
g00340,0,1
g00341,7,4
g00342,3,8
g00343,0,0
g00344,534,462
g00345,2588,1805
g00346,35,18
g00347,1152,1061
g00348,218,169
g00349,61,53
g00350,1566,1138
g00351,5848,4461
g00352,5,9
g00353,21,14
g00354,994,821
g00355,536,511
g00356,0,0
g00357,0,0
g00358,239,198
g00359,2,7
g00360,1,0
g00361,173,167
g00362,1758,1475
g00363,193,171
g00364,15,17
g00365,103,106
g00366,168,99
g00367,318,280
g00368,51,16
g00369,2,0
g00370,0,0
g00371,0,0
g00372,0,0
g00373,0,0
g00374,0,0
g00375,0,4
g00376,1398,1087
g00377,1235,927
g00378,3,0
g00379,0,0
g00380,1808,1948
g00381,63,91
g00382,12,27
g00383,546,389
g00384,735,544
g00385,339,322
g00386,42,36
g00387,3758,2866
g00388,1619,1279
g00389,2,3
g00390,37,45
g00391,2,0
g00392,210,154
g00393,0,0
g00394,0,7
g00395,257,238
g00396,10858,7321
g00397,1068,963
g00398,9823,10597
g00399,3,3
g00400,0,0
g00401,0,0
g00402,1,0
g00403,380,290
g00404,101,103
g00405,7,14
g00406,436,346
g00407,2,14
g00408,621,522
g00409,1,1
g00410,847,633
g00411,767,568
g00412,3973,3926
g00413,0,0
g00414,1,2
g00415,0,0
g00416,0,0
g00417,5,3
g00418,1732,1315
g00419,2,2
g00420,3,1
g00421,9,7
g00422,0,0
