,het_NB_f4,het_NB_f5
g00393,0,1
g00394,0,1
g00395,13,46
g00396,23670,16124
g00397,31,90
g00398,246,941
g00399,0,0
g00400,0,0
g00401,3,1
g00402,1,2
g00403,1280,701
g00404,20,30
g00405,1,2
g00406,109,105
g00407,4,0
g00408,128,158
g00409,0,0
g00410,479,319
g00411,79,72
g00412,150,273
g00413,0,0
g00414,0,0
g00415,0,1
g00416,0,0
g00417,0,0
g00418,68,227
g00419,0,2
g00420,7,1
g00421,12,1
g00422,0,0
g00423,0,0
g00424,1780,1259
g00425,3,2
g00426,1726,1267
g00427,362,344
g00428,727,728
g00429,2,3
g00430,6,8
g00431,190,229
g00432,0,0
g00433,2,3
g00434,347,288
g00435,312,293
g00436,0,0
g00437,112,91
g00438,65,77
g00439,521,322
g00440,10,11
g00441,139,178
g00442,8,15
g00443,11,8
g00444,52,74
g00445,46,59
g00446,2,0
g00447,0,0
g00448,0,2
g00449,1,0
g00450,0,0
g00451,0,0
g00452,30,18
g00453,21,35
g00454,523,427
g00455,594,532
g00456,403,270
g00457,222,157
g00458,774,627
g00459,357,273
g00460,119,93
g00461,305,295
g00462,7326,5400
g00463,7,3
g00464,653,518
g00465,27,41
g00466,1,0
g00467,500,421
g00468,47,149
g00469,0,0
g00470,8,42
g00471,317,321
g00472,104,100
g00473,1,4
g00474,32,68
g00475,6,9
g00476,105,161
g00477,113,106
g00478,199,189
g00479,24,29
g00480,0,0
g00481,0,0
g00482,1219,1236
g00483,13,14
g00484,0,1
g00485,133,84
g00486,353,397
g00487,0,0
g00488,54,99
g00489,58,82
g00490,5,24
g00491,1,1
g00492,27,19
g00493,133,106
g00494,94,192
g00495,0,0
g00496,122,133
g00497,1,6
g00498,11,43
g00499,3,0
g00500,3051,1687
g00501,0,0
g00502,49,56
g00503,1,0
g00504,2076,2098
g00505,45,115
g00506,503,462
g00507,17,24
g00508,39,66
g00509,6,2
g00510,473,410
g00511,0,1
g00512,0,0
g00513,1264,1169
g00514,22,26
g00515,3,0
g00516,14,6
g00517,1,1
g00518,1,1
g00519,10,23
g00520,1,2
g00521,0,0
g00522,7241,5967
g00523,29,30
g00524,90,169
g00525,0,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,2,0
g00531,0,0
g00532,0,0
g00533,0,0
g00534,3,2
g00535,2,0
g00536,0,0
g00537,0,0
g00538,5,3
g00539,3,0
