,het_NB_f4,het_NB_f5
g04890,93,95
g04891,1,0
g04892,0,0
g04893,0,0
g04894,0,0
g04895,0,0
g04896,1,1
g04897,0,0
g04898,84,99
g04899,23,25
g04900,0,1
g04901,0,0
g04902,0,0
g04903,0,0
g04904,0,0
g04905,0,0
g04906,0,1
g04907,6,43
g04908,47,42
g04909,626,426
g04910,37,36
g04911,156,130
g04912,517,535
g04913,0,0
g04914,1343,1049
g04915,320,147
g04916,0,0
g04917,0,0
g04918,0,2
g04919,0,0
g04920,0,0
g04921,9,13
g04922,158,73
g04923,229,193
g04924,351,292
g04925,204,250
g04926,261,117
g04927,38,71
g04928,0,0
g04929,0,0
g04930,1,1
g04931,0,0
g04932,6,2
g04933,7,11
g04934,273,211
g04935,418,266
g04936,146,131
g04937,124,140
g04938,14,19
g04939,40,35
g04940,88,109
g04941,858,657
g04942,4197,3520
g04943,1,1
g04944,137,96
g04945,485,455
g04946,124,82
g04947,44,36
g04948,1,1
g04949,0,0
g04950,100,69
g04951,1192,820
g04952,71,62
g04953,55,52
g04954,4,7
g04955,85,109
g04956,566,1242
g04957,23,31
g04958,773,246
g04959,398,1019
g04960,0,0
g04961,1,10
g04962,368,310
g04963,96,79
g04964,1203,939
g04965,406,340
g04966,86,77
g04967,30,20
g04968,507,315
g04969,0,2
g04970,42,51
g04971,117,99
g04972,3,30
g04973,0,0
g04974,0,1
g04975,4102,2839
g04976,4,7
g04977,14,14
g04978,174,139
g04979,3,0
g04980,1,5
g04981,0,1
g04982,83,132
g04983,517,579
g04984,1123,875
g04985,483,395
g04986,0,1
g04987,0,0
g04988,1,3
g04989,0,3
g04990,133,187
g04991,77,62
g04992,27,48
g04993,0,0
g04994,330,444
g04995,3,2
g04996,1927,1368
g04997,3,2
g04998,1302,1585
g04999,23,37
g05000,1,1
g05001,64,49
g05002,1,0
g05003,0,0
g05004,1,1
g05005,0,2
g05006,0,0
g05007,4,80
g05008,0,1
g05009,391,409
g05010,30,17
g05011,16,8
g05012,10541,7892
g05013,3870,2790
g05014,4,8
g05015,5,9
g05016,0,0
g05017,80,138
g05018,16,22
g05019,34,48
g05020,509,342
g05021,3,3
g05022,845,245
g05023,28,23
g05024,1,1
g05025,1,0
g05026,418,476
g05027,15,15
g05028,36,60
g05029,75,57
g05030,1,0
g05031,49,81
g05032,347,229
g05033,1122,524
g05034,53,38
g05035,0,4
g05036,265,411
g05037,1,1
g05038,239,188
g05039,925,761
g05040,509,560
g05041,305,226
g05042,2472,393
g05043,166,226
g05044,119,117
g05045,288,270
g05046,653,506
g05047,367,427
g05048,1442,1152
g05049,342,406
g05050,5,9
g05051,1540,2064
g05052,100,141
g05053,751,723
g05054,645,428
g05055,6,4
g05056,171,185
g05057,4,21
g05058,14,55
g05059,12,15
g05060,480,437
g05061,0,0
g05062,2,2
g05063,0,2
g05064,2562,1309
g05065,0,1
g05066,8,6
g05067,1850,1618
g05068,32,37
g05069,12,28
g05070,0,0
g05071,2,11
g05072,0,1
g05073,9,5
g05074,3,8
g05075,106,100
g05076,12,8
g05077,256,196
g05078,1,3
g05079,163,130
g05080,179,152
g05081,441,351
g05082,3673,2080
g05083,625,817
g05084,1975,1733
g05085,3,4
g05086,0,1
g05087,0,1
g05088,2,4
g05089,464,388
g05090,424,282
g05091,1243,1193
g05092,2891,2878
g05093,485,408
g05094,663,429
g05095,121,136
g05096,230,199
g05097,568,371
g05098,8,4
g05099,0,0
g05100,0,1
g05101,17,17
g05102,29,51
g05103,21,47
g05104,2042,2145
g05105,227,180
g05106,121,99
g05107,622,465
g05108,22,14
g05109,120,152
g05110,489,389
g05111,24,31
g05112,140,87
g05113,290,340
g05114,40,45
g05115,20,14
g05116,1,1
g05117,73,54
g05118,1,0
g05119,0,0
g05120,636,575
g05121,38,37
g05122,7,39
g05123,3,5
g05124,321,261
g05125,79,66
g05126,457,481
g05127,12,5
g05128,24,12
g05129,640,598
g05130,1,4
g05131,0,3
g05132,335,356
g05133,119,91
g05134,28,25
g05135,5,9
g05136,205,319
g05137,169,137
g05138,480,444
g05139,6568,3364
g05140,7,40
g05141,0,1
g05142,784,477
g05143,247,179
g05144,227,193
g05145,39,128
g05146,2,17
g05147,101,126
g05148,0,0
g05149,181,155
g05150,0,0
g05151,29,51
g05152,105,130
g05153,0,0
g05154,162,189
g05155,872,656
g05156,1,4
g05157,4,1
g05158,0,0
g05159,35,55
g05160,63,109
g05161,71,80
g05162,0,1
g05163,2,0
g05164,255,207
g05165,325,343
g05166,1,5
g05167,1168,753
g05168,201,243
g05169,3,2
g05170,62,74
g05171,78,58
g05172,644,531
g05173,0,0
g05174,0,0
g05175,0,0
g05176,0,0
g05177,0,0
g05178,0,0
g05179,0,0
g05180,0,0
g05181,0,0
g05182,0,0
g05183,0,0
g05184,0,0
g05185,0,0
g05186,0,0
g05187,0,0
g05188,0,0
g05189,0,0
g05190,0,0
g05191,0,0
g05192,0,0
g05193,0,0
g05194,0,0
g05195,0,0
g05196,0,0
g05197,0,0
g05198,76,66
g05199,0,2
g05200,3,14
g05201,8,40
g05202,28,33
g05203,156,43
g05204,1,3
g05205,514,345
g05206,915,819
g05207,77,88
g05208,1258,1113
g05209,19,88
g05210,0,9
g05211,0,0
g05212,39,60
g05213,1,11
g05214,0,0
g05215,4,28
g05216,1655,1135
g05217,889,944
g05218,241,305
g05219,36,52
g05220,8,6
g05221,1029,917
g05222,96,85
g05223,10,11
g05224,0,0
g05225,5,5
g05226,30,29
g05227,2,2
g05228,1052,779
g05229,220,290
g05230,3,6
g05231,8726,6019
g05232,265,214
g05233,0,1
g05234,28,49
g05235,71,71
g05236,5,11
g05237,2,7
g05238,1,0
g05239,12,10
g05240,90,133
g05241,12,8
g05242,0,1
g05243,681,576
g05244,230,213
g05245,0,0
g05246,0,0
g05247,7,10
g05248,9,62
g05249,1624,1026
g05250,163,108
g05251,852,602
g05252,285,240
g05253,380,327
g05254,1,1
g05255,34,26
g05256,155,144
g05257,694,515
g05258,1041,709
g05259,90,87
g05260,0,1
g05261,0,0
g05262,100,78
g05263,93,64
g05264,48,66
g05265,19,20
g05266,311,304
g05267,965,795
g05268,0,0
g05269,6,9
g05270,0,1
g05271,1,1
g05272,805,499
g05273,1676,804
g05274,765,771
g05275,38,73
g05276,2,2
g05277,0,1
g05278,25,21
g05279,0,1
g05280,0,0
g05281,0,0
g05282,0,2
g05283,0,0
g05284,1,0
g05285,0,0
g05286,1,0
g05287,2,1
g05288,15,0
g05289,685,335
g05290,10851,6753
g05291,2,0
g05292,0,0
g05293,0,1
g05294,11,27
g05295,16,15
g05296,0,1
g05297,2,4
g05298,334,461
g05299,63,60
g05300,28,10
g05301,1,0
g05302,0,0
g05303,0,0
g05304,1,14
g05305,0,0
g05306,0,0
g05307,785,939
g05308,0,1
g05309,1028,1669
g05310,56,92
g05311,7,8
g05312,734,460
g05313,150,83
g05314,321,216
g05315,312,212
g05316,1,1
g05317,0,0
g05318,0,0
g05319,0,0
g05320,0,0
g05321,0,0
g05322,2,0
g05323,0,0
g05324,9,18
g05325,40,36
g05326,1,1
g05327,1314,1342
g05328,309,150
g05329,4,1
g05330,1023,1011
g05331,0,0
g05332,103,158
g05333,0,0
g05334,0,0
g05335,0,2
g05336,0,0
g05337,1687,914
g05338,15,13
g05339,332,304
g05340,120,159
g05341,266,157
g05342,1,2
g05343,1,4
g05344,1,9
g05345,33,91
g05346,6,16
g05347,190,261
g05348,3,2
g05349,992,891
g05350,468,388
g05351,7,15
g05352,5,8
g05353,0,0
g05354,20,23
g05355,268,324
g05356,29,35
g05357,3,15
g05358,0,0
g05359,13,29
g05360,0,0
g05361,0,0
g05362,0,0
g05363,0,0
g05364,0,0
g05365,0,0
g05366,0,0
g05367,0,0
g05368,0,0
g05369,0,0
g05370,0,0
g05371,0,0
g05372,0,0
g05373,0,0
g05374,0,0
g05375,0,0
g05376,0,0
g05377,0,0
g05378,0,0
g05379,0,0
g05380,0,0
g05381,0,0
g05382,0,0
g05383,0,0
g05384,0,0
g05385,0,0
g05386,0,0
g05387,0,0
g05388,0,0
g05389,0,0
g05390,0,0
g05391,0,0
g05392,0,1
g05393,0,1
g05394,0,0
g05395,0,1
g05396,0,1
g05397,0,1
g05398,0,4
g05399,0,3
g05400,0,0
g05401,0,1
g05402,0,0
g05403,0,1
g05404,0,1
g05405,0,0
g05406,0,1
g05407,0,0
g05408,0,0
g05409,0,1
g05410,0,0
g05411,0,0
g05412,0,1
g05413,0,0
g05414,0,0
g05415,1,0
g05416,0,3
g05417,8,29
g05418,1,0
g05419,0,0
g05420,0,1
g05421,0,0
g05422,0,0
g05423,0,1
g05424,0,1
g05425,0,1
g05426,0,0
g05427,0,0
g05428,0,0
g05429,1,1
g05430,0,0
g05431,0,1
g05432,0,0
g05433,779,811
g05434,27,21
g05435,5,7
g05436,7122,8298
g05437,9,7
g05438,2,9
g05439,97,125
g05440,365,251
g05441,12,17
g05442,1,3
g05443,141,139
g05444,3,4
g05445,172,133
g05446,175,168
g05447,186,228
g05448,3,2
g05449,811,713
g05450,122,157
g05451,0,2
g05452,1,1
g05453,1263,1060
g05454,0,0
g05455,3,3
g05456,169,58
g05457,0,2
g05458,2378,1508
g05459,17,10
g05460,7,12
g05461,884,662
g05462,557,576
g05463,161,129
g05464,381,200
g05465,136,99
g05466,1307,1049
g05467,259,262
g05468,113,77
g05469,937,547
g05470,1,3
g05471,220,179
g05472,1,0
g05473,0,0
g05474,436,295
g05475,0,0
g05476,47,11
g05477,820,1569
g05478,0,0
g05479,0,0
g05480,1,4
g05481,1,2
g05482,110,124
g05483,21,29
g05484,31,40
g05485,530,586
g05486,170,121
g05487,7558,5685
g05488,8,29
g05489,2893,2455
g05490,1915,1465
g05491,31,31
g05492,421,327
g05493,0,0
g05494,246,389
g05495,46,62
g05496,317,267
g05497,172,168
g05498,143,243
g05499,0,3
g05500,101,206
g05501,32,64
g05502,168,80
g05503,50,112
g05504,5,33
g05505,0,8
g05506,1,3
g05507,0,0
g05508,0,0
g05509,0,0
g05510,0,0
g05511,0,0
g05512,0,0
g05513,20,3
g05514,0,0
g05515,0,0
g05516,0,0
g05517,0,0
g05518,0,0
g05519,0,0
g05520,0,0
g05521,0,0
g05522,0,0
g05523,0,0
g05524,0,0
g05525,0,0
g05526,0,0
g05527,0,0
g05528,0,0
g05529,0,0
g05530,0,0
g05531,0,0
g05532,0,0
g05533,0,0
g05534,0,0
g05535,0,0
g05536,0,0
g05537,0,0
g05538,0,0
g05539,0,0
g05540,0,0
g05541,0,0
g05542,0,0
g05543,0,0
g05544,0,0
g05545,0,0
g05546,0,0
g05547,0,0
g05548,0,0
g05549,0,0
g05550,0,0
g05551,0,0
g05552,0,0
g05553,0,0
g05554,0,0
g05555,0,0
g05556,0,0
g05557,0,0
g05558,0,0
g05559,0,0
g05560,0,0
g05561,0,0
g05562,0,0
g05563,0,0
g05564,0,0
g05565,0,0
g05566,0,0
g05567,0,0
g05568,0,0
g05569,0,0
g05570,0,0
g05571,1,0
g05572,0,0
g05573,0,0
g05574,0,0
g05575,0,0
g05576,0,0
g05577,0,0
g05578,0,0
g05579,0,0
g05580,0,0
g05581,0,0
g05582,0,0
g05583,0,0
g05584,0,0
g05585,0,0
g05586,0,0
g05587,0,0
g05588,0,0
g05589,0,0
g05590,0,0
g05591,0,0
g05592,0,0
g05593,0,0
g05594,0,0
g05595,0,0
g05596,0,0
g05597,0,0
g05598,0,0
g05599,0,0
g05600,0,0
g05601,0,0
g05602,0,0
g05603,0,0
g05604,0,0
g05605,0,0
g05606,0,0
g05607,0,0
g05608,0,0
g05609,0,0
g05610,0,0
g05611,0,0
g05612,0,0
g05613,0,0
g05614,0,0
g05615,0,0
g05616,0,0
g05617,0,0
g05618,0,1
g05619,0,0
g05620,0,0
g05621,0,0
g05622,0,0
g05623,0,0
g05624,0,0
g05625,0,0
g05626,0,0
g05627,0,0
g05628,0,0
g05629,0,0
g05630,0,0
g05631,0,0
g05632,0,0
g05633,0,0
g05634,0,0
g05635,0,0
g05636,0,0
g05637,0,0
g05638,0,0
g05639,0,0
g05640,0,0
g05641,0,0
g05642,0,0
g05643,0,0
g05644,0,0
g05645,0,0
g05646,0,0
g05647,0,0
g05648,0,0
g05649,0,0
g05650,0,0
g05651,0,0
g05652,96,122
g05653,3,14
g05654,65,84
g05655,658,690
g05656,60,51
g05657,14,22
g05658,62,138
g05659,0,5
g05660,0,0
g05661,0,0
g05662,0,0
g05663,0,0
g05664,482,647
g05665,88,111
g05666,80,45
g05667,38,62
g05668,0,0
g05669,1,0
g05670,0,0
g05671,26,20
g05672,632,384
g05673,0,0
g05674,0,0
g05675,0,0
g05676,0,3
g05677,0,2
g05678,2715,2182
g05679,446,623
g05680,318,214
g05681,15820,10635
g05682,81858,34562
g05683,229,169
g05684,1116,1258
g05685,7,2
g05686,2,1
g05687,1,4
g05688,6,7
g05689,0,0
g05690,0,1
g05691,0,0
g05692,0,0
g05693,0,0
g05694,0,0
g05695,3,3
g05696,74,91
g05697,0,0
g05698,0,0
g05699,2459,1832
g05700,319,438
g05701,288,1025
g05702,0,0
g05703,1,7
g05704,147,149
g05705,26,27
g05706,1,0
g05707,31,1
g05708,538,502
g05709,1519,1461
g05710,0,0
g05711,259,390
g05712,913,736
g05713,3,1
g05714,1,0
g05715,7,15
g05716,14,14
g05717,42,51
g05718,1,1
g05719,43,90
g05720,0,3
g05721,430,507
g05722,199,148
g05723,144,134
g05724,24,27
g05725,85,53
g05726,0,1
g05727,0,0
g05728,0,0
g05729,0,0
g05730,0,0
g05731,38,24
g05732,118,745
g05733,5301,3294
g05734,1516,840
g05735,339,182
g05736,290,231
g05737,140,118
g05738,641,439
g05739,1,3
g05740,0,0
g05741,152,112
g05742,548,466
g05743,69,76
g05744,11,3
g05745,0,0
g05746,63,167
g05747,0,0
g05748,0,0
g05749,4,13
g05750,3,1
g05751,35,27
g05752,1477,1407
g05753,2,6
g05754,572,472
g05755,47,50
g05756,0,0
g05757,0,0
g05758,851,759
g05759,1,1
g05760,0,0
g05761,0,0
g05762,0,0
g05763,2,3
g05764,1,0
g05765,9,3
g05766,0,0
g05767,0,0
g05768,0,0
g05769,5,1
g05770,0,0
g05771,2,0
g05772,1,2
g05773,0,0
g05774,1,1
g05775,27,18
g05776,13,26
g05777,0,4
g05778,0,0
g05779,1,4
g05780,36,4
g05781,0,0
g05782,31,108
g05783,1,0
g05784,3,3
g05785,0,0
g05786,0,0
g05787,0,0
g05788,407,243
g05789,133,68
g05790,0,0
g05791,0,0
g05792,0,0
g05793,33,55
g05794,229,121
g05795,32,27
g05796,438,232
g05797,15,4
g05798,2,3
g05799,3,3
g05800,3,0
g05801,244,247
g05802,0,0
g05803,0,0
g05804,0,0
g05805,0,0
g05806,0,0
g05807,0,0
g05808,0,0
g05809,0,0
g05810,24,61
g05811,70,125
g05812,6,13
g05813,32,52
g05814,50,106
g05815,61,157
g05816,119,318
g05817,23,68
g05818,150,426
g05819,18,40
g05820,8,33
g05821,0,5
g05822,0,0
g05823,0,0
g05824,24,0
g05825,3,9
g05826,0,0
g05827,0,0
g05828,0,1
g05829,3,3
g05830,0,0
g05831,2,3
g05832,0,0
g05833,9,32
g05834,16,55
g05835,6,16
g05836,7,27
g05837,43,80
g05838,0,0
g05839,0,0
g05840,0,0
g05841,0,0
g05842,0,0
g05843,0,0
g05844,0,0
g05845,0,0
g05846,0,0
g05847,0,0
g05848,0,0
g05849,0,0
g05850,0,0
g05851,0,0
g05852,0,0
g05853,0,0
g05854,0,0
g05855,0,0
g05856,0,0
g05857,0,0
g05858,0,0
g05859,0,0
g05860,0,0
g05861,0,1
g05862,0,0
g05863,0,0
g05864,0,0
g05865,0,0
g05866,0,0
g05867,0,0
g05868,0,0
g05869,0,0
g05870,0,0
g05871,0,0
g05872,0,0
g05873,0,0
g05874,0,0
g05875,72,58
g05876,150,116
g05877,1,0
g05878,1,0
g05879,0,5
g05880,0,3
g05881,33,149
g05882,255,409
g05883,33,149
g05884,22,105
g05885,15,57
g05886,131,206
g05887,203,430
g05888,371,471
g05889,349,352
g05890,25,63
g05891,170,182
g05892,16,35
g05893,0,2
g05894,10,43
g05895,1117,1463
g05896,53,60
g05897,2005,1673
g05898,24,43
g05899,250,188
g05900,4,2
g05901,370,529
g05902,9,11
g05903,3258,2392
g05904,41,221
g05905,2,2
g05906,113,190
g05907,48,158
g05908,15,73
g05909,47,97
g05910,59,187
g05911,76,132
g05912,145,311
g05913,0,0
g05914,0,0
g05915,0,0
g05916,0,0
g05917,0,0
g05918,0,0
g05919,0,0
g05920,0,0
g05921,620,510
g05922,1,2
g05923,0,0
g05924,0,0
g05925,7,32
g05926,0,3
g05927,0,0
g05928,30,35
g05929,735,735
g05930,140,139
g05931,85,82
g05932,1,2
g05933,56,49
g05934,556,425
g05935,3582,2580
g05936,185,208
g05937,0,0
g05938,4,0
g05939,0,0
g05940,0,0
g05941,0,0
g05942,0,0
g05943,0,0
g05944,0,0
g05945,0,0
g05946,0,0
g05947,0,0
g05948,0,0
g05949,0,0
g05950,0,0
g05951,0,0
g05952,0,0
g05953,0,0
g05954,3,4
g05955,0,0
g05956,2,0
g05957,0,0
g05958,0,0
g05959,0,0
g05960,0,0
g05961,0,0
g05962,0,0
g05963,0,0
g05964,0,0
g05965,2,0
g05966,20,39
g05967,196,367
g05968,4,1
g05969,171,185
g05970,84,114
g05971,285,175
g05972,5,42
g05973,762,621
g05974,0,0
g05975,1435,736
g05976,2,19
g05977,497,534
g05978,64,75
g05979,13,4
g05980,0,0
g05981,64,82
g05982,0,1
g05983,0,0
g05984,0,0
g05985,156,137
g05986,8,15
g05987,0,0
g05988,2,1
g05989,163,107
g05990,2,13
g05991,19,45
g05992,0,0
g05993,5,2
g05994,3,11
g05995,50,24
g05996,5,4
g05997,0,2
g05998,0,0
g05999,0,0
g06000,0,0
g06001,0,0
g06002,0,0
g06003,0,0
g06004,0,0
g06005,1,1
g06006,268,160
g06007,107,153
g06008,1,12
g06009,27,30
g06010,242,199
g06011,57,104
g06012,1952,1543
g06013,3,2
g06014,111,130
g06015,38,30
g06016,56,71
g06017,5058,3781
g06018,39,67
g06019,0,1
g06020,669,589
g06021,1,0
g06022,0,0
g06023,0,0
g06024,49,79
g06025,0,0
g06026,719,1165
g06027,348,454
g06028,19,21
g06029,0,2
g06030,27,38
g06031,2,2
g06032,107,146
g06033,7,58
g06034,13,115
g06035,3,6
g06036,4,0
g06037,728,805
g06038,918,1039
g06039,219,248
g06040,30,22
g06041,421,396
g06042,95874,102624
g06043,161,179
g06044,8,23
g06045,358,553
g06046,81,74
g06047,104,76
g06048,95,90
g06049,6,4
g06050,2,1
g06051,397,536
g06052,458,359
g06053,0,0
g06054,32,31
g06055,327,238
g06056,267,206
g06057,2,2
g06058,0,0
g06059,0,0
g06060,0,0
g06061,339,402
g06062,64,160
g06063,974,1076
g06064,14,6
g06065,803,900
g06066,0,0
g06067,1002,1178
g06068,31,59
g06069,2,14
g06070,95,96
g06071,545,435
g06072,31,42
g06073,159,212
g06074,1258,754
g06075,525,365
g06076,0,3
g06077,0,2
g06078,2,7
g06079,0,0
g06080,1,0
g06081,0,0
g06082,1070,1130
g06083,398,180
g06084,79,138
g06085,5,17
g06086,50,132
g06087,0,1
g06088,16,3
g06089,0,0
g06090,3,10
g06091,5,21
g06092,491,371
g06093,866,697
g06094,286,404
g06095,0,0
g06096,19,24
g06097,6,13
g06098,467,439
g06099,518,453
g06100,644,500
g06101,0,1
g06102,0,0
g06103,0,0
g06104,197,99
g06105,1190,529
g06106,0,0
g06107,513,306
g06108,6,3
g06109,2,5
g06110,0,1
g06111,0,1
g06112,16,48
g06113,0,0
g06114,264,347
g06115,1605,1749
g06116,70,59
g06117,359,451
g06118,37,41
g06119,120,95
g06120,2,1
g06121,6,5
g06122,4625,3488
g06123,603,279
g06124,29,24
g06125,7,26
g06126,14,144
g06127,0,6
g06128,7,50
g06129,124,185
g06130,618,699
g06131,0,0
g06132,0,0
g06133,0,0
g06134,0,0
g06135,0,0
g06136,0,0
g06137,0,0
g06138,0,0
g06139,16,28
g06140,0,0
g06141,0,0
g06142,0,0
g06143,0,0
g06144,0,0
g06145,0,0
g06146,0,0
g06147,0,0
g06148,17,32
g06149,304,337
g06150,86,126
g06151,0,1
g06152,128,100
g06153,13,69
g06154,0,3
g06155,2,5
g06156,317,314
g06157,563,530
g06158,35,10
g06159,193,166
g06160,0,1
g06161,1,0
g06162,0,0
g06163,57,88
g06164,0,0
g06165,103,70
g06166,204,211
g06167,4,59
g06168,534,359
g06169,2784,1844
g06170,13,17
g06171,15,36
g06172,0,3
g06173,201,234
g06174,1,1
g06175,12,52
g06176,263,236
g06177,6,13
g06178,32,42
g06179,1071,636
g06180,82,56
g06181,31,27
g06182,173,185
g06183,284,296
g06184,5221,3068
g06185,1010,932
g06186,738,659
g06187,0,0
g06188,3,10
g06189,0,0
g06190,0,0
g06191,20,20
g06192,1,1
g06193,0,7
g06194,179,177
g06195,40,41
g06196,51,38
g06197,3,21
g06198,2296,2291
g06199,1282,913
g06200,837,1090
g06201,54,88
g06202,1538,1373
g06203,6,1
g06204,0,0
g06205,0,0
g06206,0,1
g06207,204,265
g06208,9,7
g06209,32,91
g06210,42,110
g06211,8,13
g06212,223,240
g06213,479,464
g06214,521,507
g06215,1249,1242
g06216,91,67
g06217,179,99
g06218,1247,1007
g06219,312,274
g06220,113,130
g06221,38,39
g06222,0,0
g06223,4,23
g06224,1834,1481
g06225,6,6
g06226,0,0
g06227,638,794
g06228,55,94
g06229,8,19
g06230,88,143
g06231,0,1
g06232,2,0
g06233,0,0
g06234,411,291
g06235,425,555
g06236,0,1
g06237,4,4
g06238,0,3
g06239,0,0
g06240,1066,1315
g06241,77,141
g06242,4387,3844
g06243,0,0
g06244,6,15
g06245,1,7
g06246,313,380
g06247,66,85
g06248,892,1002
g06249,4,7
g06250,194,214
g06251,1387,578
g06252,0,0
g06253,4,24
g06254,61,90
g06255,0,1
g06256,316,268
g06257,23,53
g06258,0,0
g06259,0,0
g06260,0,0
g06261,0,0
g06262,0,0
g06263,9,21
g06264,43,55
g06265,178,171
g06266,1754,1509
g06267,0,0
g06268,1,0
g06269,289,821
g06270,0,12
g06271,1186,967
g06272,0,0
g06273,2,1
g06274,2,0
g06275,3,0
g06276,0,0
g06277,9,24
g06278,0,0
g06279,0,0
g06280,0,4
g06281,0,0
g06282,0,0
g06283,0,0
g06284,1,0
g06285,0,0
g06286,0,0
g06287,0,0
g06288,0,0
g06289,0,0
g06290,0,0
g06291,0,0
g06292,0,0
g06293,0,0
g06294,1,2
g06295,0,0
g06296,3,1
g06297,0,0
g06298,64,47
g06299,2,3
g06300,0,0
g06301,3,1
g06302,1,7
g06303,2,1
g06304,0,0
g06305,3,8
g06306,12,2
g06307,8,18
g06308,354,309
g06309,261,339
g06310,1,6
g06311,172,178
g06312,9,16
g06313,3,9
g06314,1,9
g06315,119,155
g06316,423,618
g06317,262,250
g06318,0,0
g06319,67,56
g06320,33,72
g06321,80,97
g06322,667,367
g06323,50,22
g06324,216,148
g06325,3144,1368
g06326,5,12
g06327,0,0
g06328,0,3
g06329,0,0
g06330,0,0
g06331,1,0
g06332,5667,3928
g06333,0,0
g06334,3,1
g06335,0,0
g06336,0,0
g06337,0,1
g06338,261,259
g06339,0,0
g06340,0,0
g06341,0,0
g06342,0,0
g06343,0,0
g06344,0,0
g06345,0,0
g06346,0,0
g06347,0,0
g06348,0,0
g06349,219,173
g06350,6,5
g06351,111,102
g06352,1400,912
g06353,73,68
g06354,18,17
g06355,20,19
g06356,13,12
g06357,22,10
g06358,9,2
g06359,1,3
g06360,20,19
g06361,3,2
g06362,0,0
g06363,42,28
g06364,28,29
g06365,5,5
g06366,11,12
g06367,13,8
g06368,17,10
g06369,24,18
g06370,49,29
g06371,40,28
g06372,84,77
g06373,89,92
g06374,85,90
g06375,13,6
g06376,90,68
g06377,42,46
g06378,0,2
g06379,10,12
g06380,1,3
g06381,2,1
g06382,5,4
g06383,0,0
g06384,0,0
g06385,0,0
g06386,0,0
g06387,166,163
g06388,126,102
g06389,0,2
g06390,5,37
g06391,299,275
g06392,3,1
g06393,481,722
g06394,2147,2160
g06395,1,2
g06396,206,167
g06397,0,0
g06398,0,0
g06399,0,0
g06400,1,0
g06401,353,493
g06402,1,15
g06403,0,0
g06404,53,123
g06405,0,0
g06406,174,219
g06407,739,1395
g06408,0,1
g06409,278,495
g06410,326,287
g06411,182,157
g06412,182,156
g06413,0,0
g06414,5,23
g06415,2,0
g06416,683,669
g06417,5,5
g06418,7,2
g06419,863,547
g06420,28,7
g06421,12,41
g06422,20,147
g06423,3,9
g06424,22,28
g06425,253,249
g06426,1,0
g06427,669,476
g06428,29,43
g06429,3,1
g06430,721,785
g06431,5,10
g06432,447,374
g06433,711,772
g06434,296,294
g06435,43,41
g06436,10,6
g06437,4,7
g06438,19,13
g06439,166,201
g06440,3211,2229
g06441,0,0
g06442,1,0
g06443,1600,1386
g06444,3362,2244
g06445,97,152
g06446,1,2
g06447,73,81
g06448,0,0
g06449,86,85
g06450,969,941
g06451,4,4
g06452,1,15
g06453,79,95
g06454,20,37
g06455,0,0
g06456,245,247
g06457,22,27
g06458,7,1
g06459,1,4
g06460,0,1
g06461,1222,1062
g06462,2,5
g06463,0,1
g06464,1,6
g06465,109,123
g06466,2188,1395
g06467,110,71
g06468,27,12
g06469,254,230
g06470,0,0
g06471,25,244
g06472,1,24
g06473,0,1
g06474,0,0
g06475,0,0
g06476,0,0
g06477,0,0
g06478,113,97
g06479,129,151
g06480,859,548
g06481,27,15
g06482,0,0
g06483,3,7
g06484,3,8
g06485,139,893
g06486,2,3
g06487,56,57
g06488,364,350
g06489,0,0
g06490,14,15
g06491,33,43
g06492,0,0
g06493,0,0
g06494,276,316
g06495,37,59
g06496,0,1
g06497,192,141
g06498,7,3
g06499,0,2
g06500,107,109
g06501,40,62
g06502,0,0
g06503,17,15
g06504,519,367
g06505,0,0
g06506,801,635
g06507,2,8
g06508,113,172
g06509,8,35
g06510,0,1
g06511,3,16
g06512,155,146
g06513,150,130
g06514,824,894
g06515,3,4
g06516,0,0
g06517,0,0
g06518,0,0
g06519,0,0
g06520,11,53
g06521,29,113
g06522,1744,1626
g06523,19,17
g06524,1228,1150
g06525,71,69
g06526,0,0
g06527,244,265
g06528,105,130
g06529,0,0
g06530,6,11
g06531,0,2
g06532,0,2
g06533,400,318
g06534,0,1
g06535,3,1
g06536,204,223
g06537,31,125
g06538,20,27
g06539,0,0
g06540,1,1
g06541,102,101
g06542,4,14
g06543,81,48
g06544,630,623
g06545,1461,1367
g06546,3,3
g06547,0,0
g06548,11,13
g06549,152,106
g06550,479,434
g06551,708,556
g06552,57,109
g06553,0,0
g06554,0,0
g06555,0,0
g06556,21,40
g06557,252,236
g06558,159,127
g06559,526,465
g06560,19,10
g06561,0,12
g06562,0,0
g06563,0,0
g06564,0,0
g06565,454,307
g06566,483,625
g06567,2,0
g06568,0,0
g06569,0,0
g06570,1,3
g06571,70,64
g06572,140,102
g06573,13,14
g06574,51,156
g06575,0,0
g06576,99,121
g06577,1021,729
g06578,46,55
g06579,67,96
g06580,4,7
g06581,4,3
g06582,6,2
g06583,1,0
g06584,3,8
g06585,85,105
g06586,807,692
g06587,130,113
g06588,218,135
g06589,198,227
g06590,35,57
g06591,255,244
g06592,21,20
g06593,9,15
g06594,11,22
g06595,251,229
g06596,0,0
g06597,0,0
g06598,6,4
g06599,1,1
g06600,0,0
g06601,628,1682
g06602,1,2
g06603,1385,1247
g06604,21,14
g06605,18,10
g06606,0,0
g06607,484,610
g06608,3793,2997
g06609,116,118
g06610,29,22
g06611,540,397
g06612,406,328
g06613,112,112
g06614,15,22
