,logFC,AveExpr,t,P.Value,adj.P.Val,B,ExperimentName
g06152,5.00860986253295,3.1434695941694,18.864189859216,2.04552538790958e-08,0.000295353410760264,-2.84178509556585,E17.5_het
g15049,-1.12885456114299,5.37499399128357,-9.69588129473849,5.48465812065644e-06,0.0395964893020792,-0.453195914849119,E17.5_het
g15227,-0.768385019147628,8.45285534204715,-7.41342295856618,4.58710197902402e-05,0.220777218250426,-0.189988415401847,E17.5_het
g04070,0.507136945757757,7.47707392222187,5.95525428223423,0.000234864130197757,0.847800793981354,-0.685135593712796,E17.5_het
g15219,-1.19393809784391,2.60704387236493,-5.19640915745849,0.000611241487790479,0.999849592874708,-3.26530130756509,E17.5_het
g08814,0.515805117675083,5.97541327684284,5.1129562310144,0.00068236982804921,0.999849592874708,-1.39014511653964,E17.5_het
g20743,0.475237333527815,6.40712272237079,5.09239697493054,0.000701235310159382,0.999849592874708,-1.28124296967339,E17.5_het
g14680,-0.531834081285466,6.62258229956653,-5.08495298605639,0.000708204467128051,0.999849592874708,-1.25922585702724,E17.5_het
g12639,0.447825927968107,6.00275528839708,4.97033735586037,0.000825513056108941,0.999849592874708,-1.46477052190136,E17.5_het
g14681,-0.542088997895908,5.83366728312884,-4.93295450276156,0.000868185835746049,0.999849592874708,-1.56595765841735,E17.5_het
g05122,-0.73984007193061,4.97660276160071,-4.87972279393199,0.000933110381762567,0.999849592874708,-1.98069183766083,E17.5_het
g23871,0.507609712711066,7.58614010710497,4.82669221257301,0.00100302676839364,0.999849592874708,-1.36436664426711,E17.5_het
g11720,0.450399780139138,6.20878620382473,4.66319842078275,0.00125653509553518,0.999849592874708,-1.60343169375698,E17.5_het
g07496,0.45380197989129,7.34915996788134,4.63482300945317,0.00130716869884306,0.999849592874708,-1.49452705203892,E17.5_het
g13095,-0.483019661193693,6.00685203926018,-4.62529885912306,0.00132465200245588,0.999849592874708,-1.69937921541564,E17.5_het
g07888,-0.502006814270268,6.20050150352701,-4.571234979505,0.00142877922516626,0.999849592874708,-1.68543250592662,E17.5_het
g13752,0.44505372043394,5.53802301556794,4.5134365838711,0.00154989921264254,0.999849592874708,-1.89939215314747,E17.5_het
g20153,0.45794587852368,6.49214854770113,4.4422570520249,0.00171440675951999,0.999849592874708,-1.70288015583666,E17.5_het
g02922,0.418039877581534,5.80484457588448,4.39750161153382,0.00182736191537954,0.999849592874708,-1.89162385490297,E17.5_het
g08234,0.705186773910253,3.12959988919317,4.32505511112922,0.00202744128440936,0.999849592874708,-3.11601115680388,E17.5_het
g15239,0.396231807115993,7.17909627143104,4.31482718109633,0.00205752646075596,0.999849592874708,-1.73734559900702,E17.5_het
g02700,0.786723215774796,3.07899924527276,4.24941225766626,0.00226159593129055,0.999849592874708,-3.16734279647577,E17.5_het
g17335,-1.25504017566894,2.49428547905096,-4.24435690884471,0.00227824319448433,0.999849592874708,-3.50935304297984,E17.5_het
g15008,0.933564106995429,2.31630718086882,4.19132806859488,0.0024609708063992,0.999849592874708,-3.52881883612672,E17.5_het
g15215,-1.56212424499005,2.57818385147739,-4.18238079150934,0.00249331464882465,0.999849592874708,-3.51604280347869,E17.5_het
g03407,-0.512268194704809,4.83572449756837,-4.16650255619246,0.00255183553504096,0.999849592874708,-2.40795408191227,E17.5_het
g15360,0.399586834304457,8.38932345101966,4.13453275214861,0.00267415552824698,0.999849592874708,-1.93297691425889,E17.5_het
g00299,0.350411502706266,7.78857780046756,4.11040186672604,0.00277061802870271,0.999849592874708,-1.91118599213073,E17.5_het
g20889,0.430927745042191,6.21837966649032,4.0687716602801,0.0029458560422214,0.999849592874708,-2.03334703301441,E17.5_het
g04039,0.45715738394179,6.97560224121755,4.01908987596682,0.00317056537169073,0.999849592874708,-1.98566479029836,E17.5_het
g16719,0.425214575166844,9.03242622549026,3.99500624062964,0.00328599426742304,0.999849592874708,-2.10923298439166,E17.5_het
g02054,0.680778101780814,3.19696182050699,3.95581452197811,0.00348348734103156,0.999849592874708,-3.20900324578529,E17.5_het
g01083,0.435355517628579,8.11089535534377,3.92244108954813,0.00366160533803482,0.999849592874708,-2.08599171025325,E17.5_het
g17894,0.391529208715426,6.62762097429698,3.91482247671546,0.0037036069466874,0.999849592874708,-2.09967095350421,E17.5_het
g23010,0.33498520640117,7.75537017147402,3.89215689459882,0.00383161374423999,0.999849592874708,-2.09261059908077,E17.5_het
g10644,0.446999438502157,4.59081329461168,3.86316428251905,0.00400223264854392,0.999849592874708,-2.66102028695014,E17.5_het
g17023,0.448566624157126,5.59478369816242,3.84840832917671,0.00409214623342085,0.999849592874708,-2.34209180108485,E17.5_het
g02981,0.454364661038558,6.2028940961866,3.84763238997471,0.00409693318012807,0.999849592874708,-2.21374426255782,E17.5_het
g23529,0.526596595662499,6.54053232592096,3.81188041947016,0.00432405751415233,0.999849592874708,-2.19762491807017,E17.5_het
g16628,1.15462947923983,1.84573041133817,3.79719486729714,0.00442118097862073,0.999849592874708,-3.78720392407893,E17.5_het
g16890,0.45162709766693,6.18324377983353,3.7661544887613,0.00463414498001086,0.999849592874708,-2.28437721478225,E17.5_het
g07517,0.662231624582665,6.3599309821585,3.75846952210171,0.00468852869627069,0.999849592874708,-2.26748938246421,E17.5_het
g01655,-0.740303378711072,2.55906953334318,-3.74282029867728,0.00480136942937421,0.999849592874708,-3.58201413647847,E17.5_het
g13246,-0.488278266809789,4.69586797609899,-3.73323544351945,0.00487189677848254,0.999849592874708,-2.72303386467256,E17.5_het
g14306,0.331010203589777,6.13654286448045,3.7206633735428,0.00496606839668111,0.999849592874708,-2.32965030043806,E17.5_het
g02982,-1.2050954353221,2.06670004576495,-3.71774075908267,0.00498823462997287,0.999849592874708,-3.77950729824064,E17.5_het
g10576,-0.639474464492515,3.17689596307458,-3.70662311293328,0.00507351462253969,0.999849592874708,-3.3445797001995,E17.5_het
g01647,-0.365117961193796,5.46648443126556,-3.67486354462014,0.00532571989021033,0.999849592874708,-2.51727841213212,E17.5_het
g03515,0.33810037969787,6.89133127867688,3.66224279274187,0.0054295853655111,0.999849592874708,-2.29881589419059,E17.5_het
g14830,0.420603593276414,4.7514764683403,3.64307614795294,0.00559142710325206,0.999849592874708,-2.74123940708281,E17.5_het
g08802,-0.908594621902648,1.68512339692904,-3.63659208913233,0.00564732285661632,0.999849592874708,-3.89375957357519,E17.5_het
g18602,0.392963795188884,5.77024868185673,3.62783027138428,0.00572379127288748,0.999849592874708,-2.47557506254806,E17.5_het
g21739,0.366475244016833,6.7670494128736,3.61687448018579,0.00582094553457091,0.999849592874708,-2.34747301502218,E17.5_het
g18684,0.35399293708394,5.69878546089948,3.59648959150879,0.00600636728475999,0.999849592874708,-2.51572117217983,E17.5_het
