,logFC,AveExpr,t,P.Value,adj.P.Val,B,ExperimentName
g15049,-4.55261465121773,3.81827716730639,-23.6181089759809,3.25885973823934e-08,0.000468624030358817,-2.75541053822778,E15.5_mut
g15227,-2.01225698912219,3.26135128887135,-8.42509384841498,4.88015393906044e-05,0.350883068218446,-2.7612679474799,E15.5_mut
g22149,1.40151800970815,6.17401438553981,6.38846219064816,0.000300255014447178,0.99988766456675,-1.10166863285768,E15.5_mut
g15008,0.626584903729413,4.30454254611229,4.95318313631226,0.00142217138159676,0.99988766456675,-2.43488617769159,E15.5_mut
g02917,2.05450001113952,7.72800727329492,4.88079579220134,0.00154944231374697,0.99988766456675,-1.63958400189847,E15.5_mut
g24365,1.34549690627741,2.09271642594036,4.83672993679782,0.00163303024689235,0.99988766456675,-3.681986935034,E15.5_mut
g13640,0.630853837759689,5.80985700378443,4.52891054886561,0.00237573579829755,0.99988766456675,-1.98479240191288,E15.5_mut
g00299,-0.441400051085205,7.82768021074344,-4.18374881212505,0.00367761306797454,0.99988766456675,-2.05602903115988,E15.5_mut
g13788,0.528660470041156,4.37585790960331,4.16137922628149,0.00378556710098626,0.99988766456675,-2.70499294488578,E15.5_mut
g15302,-0.646332333646581,4.22885857687875,-3.95967694342484,0.0049305289142746,0.99988766456675,-2.85542059882663,E15.5_mut
g02849,-0.895652003511332,2.34094526935257,-3.93629547359176,0.00508589525313589,0.99988766456675,-3.698028173831,E15.5_mut
g22146,1.60285559527589,9.16624113475767,3.90388114816059,0.0053101285407124,0.99988766456675,-2.33129359111912,E15.5_mut
g26718,1.49577290714155,6.52904279024676,3.89702821951425,0.00535889391827255,0.99988766456675,-2.32248534360516,E15.5_mut
g22145,1.60381406350537,9.14781020725782,3.80346123574964,0.00607552375489993,0.99988766456675,-2.40334963309667,E15.5_mut
g15254,-0.976199373452311,1.55821177961283,-3.76755043042385,0.00637753625865494,0.99988766456675,-3.9585004584927,E15.5_mut
g02914,1.46040900644756,5.30723611932997,3.64666704746574,0.007519311911132,0.99988766456675,-2.71977607401634,E15.5_mut
g15262,-0.303301743594212,7.11766906557151,-3.63944378331822,0.00759418510032,0.99988766456675,-2.46088486505177,E15.5_mut
g15054,0.605156157041992,3.96121226840376,3.63046556444091,0.00768837007353599,0.99988766456675,-3.1371658384598,E15.5_mut
g13801,2.06237801620357,1.52750553607103,3.55509256541571,0.00853045133189452,0.99988766456675,-3.99857353799293,E15.5_mut
g07517,-0.646845313091182,3.56823702532563,-3.46961866087605,0.00960687238495036,0.99988766456675,-3.35711955092802,E15.5_mut
g13497,-0.366378057249704,4.87816329148583,-3.42377193952076,0.0102434730122444,0.99988766456675,-2.9198224006414,E15.5_mut
g13750,-0.731440108387184,2.74173307105881,-3.41872867164657,0.0103162098322634,0.99988766456675,-3.68698001893471,E15.5_mut
g09526,-0.43022917307981,5.94787216555551,-3.33898232796236,0.0115427911022168,0.99988766456675,-2.77938489844851,E15.5_mut
g23348,0.380946113519016,4.83218686967231,3.28291562885127,0.0124978581443694,0.99988766456675,-3.03221947953234,E15.5_mut
g19559,1.64398585467304,3.8934233938752,3.2786437876242,0.0125740010558173,0.99988766456675,-3.41181422339782,E15.5_mut
g04186,-0.774381571786757,2.16396175053193,-3.27360063815248,0.0126645283102659,0.99988766456675,-3.9002084406839,E15.5_mut
g02915,1.36170842704441,8.65080517509376,3.26431861615328,0.0128329641466383,0.99988766456675,-2.80940657144511,E15.5_mut
g02913,1.36078951002204,8.65034546691247,3.26161001486104,0.0128825638362952,0.99988766456675,-2.81171113578141,E15.5_mut
g13826,-0.601340383390017,2.98966178161127,-3.25781986422201,0.0129523114799189,0.99988766456675,-3.6542656418231,E15.5_mut
g04000,0.685481460891687,2.38934829899621,3.21049090282077,0.0138579062848431,0.99988766456675,-3.86682879220062,E15.5_mut
g15425,1.65271463229617,4.36289536364521,3.19486893947504,0.0141713958528656,0.99988766456675,-3.2972069246166,E15.5_mut
g23165,0.908609310202725,1.51299000284628,3.16233336696927,0.0148487104408496,0.99988766456675,-4.08504292138882,E15.5_mut
g17609,0.591414881163194,3.65936349012749,3.15462119012982,0.0150142403181804,0.99988766456675,-3.47673519089017,E15.5_mut
g02132,-0.297868528759971,5.67224126371328,-3.14755079917244,0.0151677142194309,0.99988766456675,-2.97065803663937,E15.5_mut
g06253,0.725426790037981,3.23003860748914,3.13771073997058,0.0153840803242369,0.99988766456675,-3.63701969510285,E15.5_mut
g08730,0.31835228288842,5.38766479368604,3.12617466284104,0.0156419089687278,0.99988766456675,-3.03181233603219,E15.5_mut
g22144,1.4793498345291,6.87679578170781,3.09089516071831,0.0164591708970796,0.99988766456675,-2.95301717755652,E15.5_mut
g13861,0.618406925907003,2.71843403340799,3.04943935277453,0.0174775591681899,0.99988766456675,-3.82250151691118,E15.5_mut
g25811,0.381910165952163,4.40616809208682,3.04575250183102,0.0175712961303047,0.99988766456675,-3.30118955039998,E15.5_mut
g17446,-0.381566807067692,4.57520561087415,-3.02333844016526,0.0181526982339651,0.99988766456675,-3.26808736408742,E15.5_mut
g15352,-0.514646900292459,7.10981322168097,-3.02333060290641,0.0181529050374217,0.99988766456675,-2.9983616711882,E15.5_mut
g12506,-0.75076703973863,1.68739143872829,-2.9998608217352,0.0187834853465542,0.99988766456675,-4.07234797150937,E15.5_mut
g13245,1.35754329990841,3.58966002736703,2.99548539707498,0.0189035734457937,0.99988766456675,-3.6188555036775,E15.5_mut
g10112,0.681562512841235,2.24476206246487,2.96944573656369,0.019635176979102,0.99988766456675,-3.96978069856948,E15.5_mut
g15379,-0.63963659688885,2.45304228845419,-2.96708022644465,0.0197030978029695,0.99988766456675,-3.90975048379661,E15.5_mut
g13783,-0.532850331660651,4.91379698171137,-2.95410289892961,0.0200801362582446,0.99988766456675,-3.24721201809421,E15.5_mut
g05899,-0.36732485672061,5.0594208051481,-2.94239664421022,0.0204267523143312,0.99988766456675,-3.22802351806437,E15.5_mut
g08844,0.441608609943486,4.0381747888372,2.90251355380901,0.0216555946215038,0.99988766456675,-3.48968333915709,E15.5_mut
